600550 保变电气 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	13.95	14.07	13.75	13.79	2693115	37369032.00
2011/10/11	14.09	14.18	13.68	13.79	3995284	55747500.00
2011/10/12	13.79	14.24	13.70	14.21	4991406	70243960.00
2011/10/13	14.24	14.41	14.12	14.28	5269178	75185600.00
2011/10/14	14.24	14.37	14.18	14.32	3674313	52497952.00
2011/10/17	14.36	14.52	14.22	14.27	4302978	61739852.00
2011/10/18	14.11	14.25	13.79	13.81	4479343	62432720.00
2011/10/19	13.93	13.98	13.71	13.75	2378446	32872600.00
2011/10/21	13.40	13.40	12.84	12.85	5251402	68649488.00
2011/10/24	12.86	13.14	12.76	13.05	4106924	53173028.00
2011/10/25	13.05	13.33	12.88	13.29	5654562	74407624.00
2011/10/26	13.13	13.65	13.08	13.47	6429155	86286896.00
2011/10/27	13.53	13.56	13.37	13.38	4580110	61595264.00
2011/10/28	13.55	13.79	13.45	13.72	7580490	103343992.00
2011/10/31	13.72	14.05	13.60	13.81	6350499	87794288.00
2011/11/01	13.70	14.10	13.58	14.04	7875338	108928272.00
2011/11/02	13.75	14.34	13.69	14.32	9670029	135760576.00
2011/11/03	14.40	14.75	14.20	14.23	16074278	233333648.00
2011/11/04	14.37	15.05	14.19	14.61	16202234	237427040.00
2011/11/07	14.40	14.59	14.26	14.26	7798929	112223728.00
2011/11/08	14.30	14.44	13.96	13.97	5804770	82329712.00
2011/11/09	14.00	14.31	13.89	14.30	5293021	74873744.00
2011/11/10	14.11	14.61	14.03	14.31	9266379	133521312.00
2011/11/11	14.43	14.50	14.11	14.14	5150323	73365168.00
2011/11/14	14.30	14.50	14.25	14.42	6298067	90626168.00
2011/11/15	14.42	14.64	14.35	14.60	9877330	143693360.00
2011/11/16	14.99	15.29	14.38	14.53	17914879	265797408.00
2011/11/17	14.55	14.62	14.18	14.20	7221992	103786800.00
2011/11/18	14.10	14.14	13.60	13.64	6591814	91165040.00
2011/11/21	13.54	13.78	13.54	13.70	2389876	32638684.00
2011/11/22	13.69	13.69	13.35	13.54	3420953	46267192.00
2011/11/23	13.56	13.72	13.33	13.38	2953039	39979976.00
2011/11/24	13.28	13.51	13.15	13.41	2635506	35134976.00
2011/11/25	13.37	13.61	13.30	13.33	2680054	36055872.00
2011/11/28	13.36	13.45	13.05	13.26	3221197	42503048.00
2011/11/29	13.38	13.50	13.26	13.45	2808461	37609152.00
2011/11/30	13.41	13.44	12.55	12.71	5704942	73784320.00
2011/12/01	13.04	13.38	12.99	13.15	7799844	103151088.00
2011/12/02	13.14	13.20	12.85	12.96	2827854	36800168.00
2011/12/05	12.98	12.98	12.53	12.54	3145941	39929984.00
2011/12/06	12.60	12.65	12.30	12.40	2996082	37271876.00
2011/12/07	12.47	12.54	12.30	12.38	2882846	35722392.00
2011/12/08	12.38	12.57	12.14	12.42	2730456	33796712.00
2011/12/09	12.34	12.45	12.15	12.20	2691812	33016272.00
2011/12/12	12.25	12.27	12.13	12.15	1814516	22088496.00
2011/12/13	12.14	12.20	11.65	11.73	4390859	52070584.00
2011/12/14	11.77	11.79	11.22	11.35	3065979	35083836.00
2011/12/15	11.29	11.30	10.81	10.83	4449649	49056480.00
2011/12/16	10.83	11.20	10.83	11.18	3505547	38599544.00
2011/12/19	11.23	11.41	11.00	11.39	5963927	67002516.00
2011/12/20	11.35	11.49	11.17	11.18	3851051	43531084.00
2011/12/21	11.30	11.38	10.83	10.85	2751127	30624904.00
2011/12/22	10.78	10.90	10.21	10.72	4739310	50187164.00
2011/12/23	10.68	10.88	10.62	10.73	2911960	31309456.00
2011/12/26	10.72	10.86	10.28	10.50	3282657	34925888.00
2011/12/27	10.56	10.58	10.13	10.14	3037805	31456804.00
2011/12/28	10.12	10.46	9.92	10.39	3875205	39282672.00
2011/12/29	10.36	11.43	10.25	11.07	16208090	181097760.00
2011/12/30	11.00	11.29	10.90	11.18	6197097	68791080.00
2012/01/04	11.21	11.35	10.63	10.66	5160222	56562976.00
2012/01/05	10.69	10.75	10.30	10.43	4300530	45255672.00
2012/01/06	10.39	10.73	10.23	10.66	3824712	40030156.00
2012/01/09	10.69	11.13	10.42	11.07	5217465	56590016.00
2012/01/10	11.09	11.65	10.96	11.58	11402239	129634264.00
2012/01/11	11.57	11.64	11.36	11.46	6658564	76584328.00
2012/01/12	11.61	12.24	11.54	11.57	9372240	110841456.00
2012/01/13	11.50	11.70	11.16	11.23	5050668	57353080.00
2012/01/17	10.89	11.75	10.85	11.73	7847666	89367400.00
2012/01/18	11.73	11.73	11.25	11.31	8279288	94863624.00
2012/01/19	11.20	11.52	11.19	11.35	5813896	66152904.00
2012/01/20	11.35	11.47	11.10	11.25	5082263	57203004.00
2012/01/30	11.30	11.36	11.11	11.25	3302271	37190320.00
2012/01/31	11.25	11.30	11.07	11.17	2507343	27906662.00
2012/02/01	11.23	11.29	10.97	11.00	3256298	36254904.00
2012/02/02	11.05	11.16	10.85	11.16	5252122	57697348.00
2012/02/03	11.10	11.31	10.98	11.30	7899733	88132432.00
2012/02/06	11.30	11.45	11.23	11.38	9088637	103068704.00
2012/02/07	11.35	11.35	10.93	11.02	5633134	62338388.00
2012/02/08	11.00	11.35	11.00	11.30	6153919	69067016.00
2012/02/09	11.31	11.66	11.31	11.44	10353639	118899120.00
2012/02/10	11.40	11.70	11.40	11.54	8657261	100070312.00
2012/02/13	11.40	11.88	11.35	11.68	11097536	129604712.00
2012/02/14	11.63	11.75	11.50	11.70	6945764	80699784.00
2012/02/15	11.67	12.08	11.53	12.00	12938097	152844880.00
2012/02/16	12.00	12.00	11.74	11.94	12479355	148295328.00
2012/02/17	11.95	12.09	11.78	11.84	8034109	95783792.00
2012/02/20	12.02	12.03	11.72	11.82	7977112	94630816.00
2012/02/21	12.00	12.47	11.97	12.19	18860298	230074688.00
2012/02/22	12.13	12.37	11.88	12.28	15938918	194065280.00
2012/02/23	12.20	12.38	12.15	12.32	11322921	138922064.00
2012/02/24	12.32	12.48	12.20	12.41	10110861	124939192.00
2012/02/27	12.50	12.82	12.41	12.46	16619058	209867712.00
2012/02/28	12.41	12.57	12.23	12.41	8338516	103271672.00
2012/02/29	12.37	12.46	12.22	12.29	5118524	63048752.00
2012/03/01	12.50	12.59	12.18	12.38	7997623	99450872.00
2012/03/02	12.38	12.57	12.30	12.56	7020104	87455520.00
2012/03/05	12.59	12.76	12.51	12.54	7259161	91641992.00
2012/03/06	12.42	12.52	12.15	12.19	6651979	81545952.00
2012/03/07	12.09	12.17	11.92	11.96	6674337	80381256.00
2012/03/08	12.01	12.26	12.00	12.25	7340077	89096920.00
2012/03/09	12.50	12.60	12.23	12.52	8562105	106421096.00
2012/03/12	12.54	12.83	12.41	12.62	12013999	151896448.00
2012/03/13	12.80	12.82	12.48	12.64	10091527	127363760.00
2012/03/14	12.80	12.83	12.08	12.28	16741257	209360656.00
2012/03/15	12.26	12.55	11.94	12.44	17447577	215836752.00
2012/03/16	12.70	12.70	12.26	12.56	11488222	143632624.00
2012/03/19	12.45	12.48	12.21	12.46	7833060	96720560.00
2012/03/20	12.36	12.36	11.90	11.94	12376849	149520288.00
2012/03/21	12.05	12.13	11.70	11.83	7723444	91980352.00
2012/03/22	11.81	11.81	11.40	11.62	6329197	73885160.00
2012/03/23	11.58	11.65	11.30	11.40	7176255	82184760.00
2012/03/27	11.40	11.60	11.11	11.30	8639579	97259320.00
2012/03/28	11.49	12.10	11.15	11.34	20836402	240689200.00
2012/03/29	11.88	11.88	10.60	10.62	16877682	189286960.00
2012/03/30	10.38	10.46	9.98	10.16	13094331	133587624.00
2012/04/05	10.25	10.37	10.10	10.33	6209305	63711272.00
2012/04/06	10.34	10.43	10.26	10.34	5095611	52827492.00
2012/04/09	10.33	10.33	10.13	10.16	3989067	40691668.00
2012/04/10	10.15	10.23	9.88	10.19	6916617	69420672.00
2012/04/11	10.05	10.18	9.93	10.10	7657847	76901016.00
2012/04/13	10.30	10.44	10.20	10.43	13876837	143635040.00
2012/04/16	10.33	10.55	10.32	10.51	8601809	90213360.00
2012/04/17	10.49	10.53	10.33	10.46	5480834	57236920.00
2012/04/18	10.52	10.66	10.20	10.61	9798063	102971432.00
2012/04/19	10.61	10.66	10.47	10.51	6293876	66451404.00
2012/04/20	10.50	10.61	10.44	10.55	6269402	66069920.00
2012/04/23	10.50	10.52	10.10	10.22	10418800	107083216.00
2012/04/24	10.14	10.29	9.98	10.13	7482613	75517960.00
2012/04/25	10.15	10.28	10.10	10.26	6129334	62480308.00
2012/04/26	10.27	10.59	10.27	10.39	9032439	94418312.00
2012/04/27	10.44	10.45	10.26	10.32	4384760	45311032.00
2012/05/02	10.51	10.55	10.30	10.49	7605424	79512368.00
2012/05/03	10.49	10.50	10.20	10.34	6331824	65856240.00
2012/05/04	10.38	10.56	10.38	10.51	7454177	78203168.00
2012/05/07	10.45	10.74	10.40	10.70	9569443	101224928.00
2012/05/08	10.74	10.76	10.58	10.68	8508224	90802176.00
2012/05/09	10.63	10.63	10.38	10.38	5989158	62542088.00
2012/05/10	10.38	10.46	10.31	10.36	3999047	41517792.00
2012/05/11	10.35	10.38	10.20	10.21	4188392	43049568.00
2012/05/14	10.30	10.35	10.18	10.19	4015327	41164952.00
2012/05/15	10.14	10.16	9.98	10.09	5448380	54792096.00
2012/05/16	10.01	10.14	9.99	9.99	4241762	42634160.00
2012/05/17	9.98	10.12	9.98	10.11	3989248	40110912.00
2012/05/18	10.06	10.07	9.88	9.90	4962906	49543664.00
2012/05/21	9.94	9.96	9.61	9.78	4659388	45610620.00
2012/05/22	9.82	9.91	9.81	9.85	3047115	30014134.00
2012/05/23	9.85	9.86	9.65	9.68	4713396	45867776.00
2012/05/24	9.69	10.48	9.69	10.06	14018157	142473200.00
2012/05/25	10.03	10.20	9.94	10.07	6929474	69844104.00
2012/05/28	10.00	10.22	9.74	10.21	8004239	79848312.00
