600559 老白干酒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	26.15	26.45	25.54	25.58	254098	6736571.00
2011/10/11	25.95	26.44	24.15	24.48	770667	20041632.00
2011/10/12	24.60	25.14	23.86	25.00	596835	15148141.00
2011/10/13	24.85	25.82	24.68	25.54	928566	24188928.00
2011/10/14	25.60	25.60	24.78	25.16	495159	12759641.00
2011/10/17	25.20	26.14	25.20	26.12	914370	24028792.00
2011/10/18	26.05	26.73	25.66	26.06	1414768	38124916.00
2011/10/19	25.77	26.52	25.77	25.92	631780	16948052.00
2011/10/20	25.73	26.05	23.41	24.57	797488	20170368.00
2011/10/21	24.13	24.55	24.13	24.16	278584	6947492.00
2011/10/24	24.15	24.50	23.73	24.19	1312488	32528456.00
2011/10/25	24.25	25.05	24.15	24.87	1521298	38352016.00
2011/10/26	24.59	26.05	24.45	25.19	1192068	30708820.00
2011/10/27	25.20	25.44	24.75	25.08	675092	17347640.00
2011/10/28	25.25	25.67	25.15	25.66	1246427	32509762.00
2011/10/31	25.85	26.10	25.65	25.86	912651	24176834.00
2011/11/01	25.76	26.10	25.48	26.03	927044	24562664.00
2011/11/02	25.65	26.03	25.04	26.01	1184948	31065716.00
2011/11/03	26.25	27.15	26.06	26.46	2182896	59547060.00
2011/11/04	26.47	26.86	26.47	26.70	1220094	33315850.00
2011/11/07	26.65	26.85	26.13	26.26	558404	15127427.00
2011/11/08	26.25	26.43	25.75	25.81	600946	16042687.00
2011/11/09	25.61	27.45	25.61	27.44	2207937	60805432.00
2011/11/10	27.10	27.23	26.66	27.11	1595059	44072380.00
2011/11/11	27.05	27.35	26.81	27.08	1085101	30089760.00
2011/11/14	27.12	28.13	27.12	27.65	1164317	33012948.00
2011/11/15	27.65	27.85	27.43	27.56	736053	20757868.00
2011/11/16	27.54	27.55	26.65	26.76	1095732	30222260.00
2011/11/17	26.73	27.15	26.56	26.77	699073	19309264.00
2011/11/18	26.75	26.75	26.13	26.14	700777	18970036.00
2011/11/21	26.13	26.34	25.95	26.21	402215	10801854.00
2011/11/22	25.98	26.85	25.90	26.73	1257572	34271240.00
2011/11/23	26.82	27.82	26.65	27.59	2061224	57964132.00
2011/11/24	27.34	29.95	27.14	28.98	4676283	136632256.00
2011/11/25	28.89	29.40	28.49	28.57	2650512	78149352.00
2011/11/28	28.55	29.20	28.03	29.15	2444917	71718880.00
2011/11/29	29.45	29.45	28.15	28.57	2261048	66489228.00
2011/11/30	28.60	28.99	26.48	27.62	1855764	53031908.00
2011/12/01	28.03	28.65	27.67	27.93	1623932	46583216.00
2011/12/02	27.93	28.24	27.40	27.59	1060711	30118224.00
2011/12/05	27.55	27.55	26.15	26.62	1292017	35385448.00
2011/12/06	26.78	26.78	25.38	26.35	1019839	27156250.00
2011/12/07	26.09	26.55	25.78	26.44	699359	18744264.00
2011/12/08	26.23	27.15	25.75	26.89	1047505	28377408.00
2011/12/09	26.74	27.03	26.35	26.76	542110	14803380.00
2011/12/12	26.75	26.84	25.95	26.01	425884	11551980.00
2011/12/13	25.85	25.88	24.75	24.75	929372	23872984.00
2011/12/14	24.72	25.05	23.83	23.83	564450	14170559.00
2011/12/15	23.86	23.95	22.67	22.69	720946	17219188.00
2011/12/16	22.69	23.68	22.38	23.64	962325	22733162.00
2011/12/19	23.53	23.53	22.56	23.07	678801	16033101.00
2011/12/20	23.25	23.61	22.86	23.06	751596	17942944.00
2011/12/21	23.34	23.55	22.15	22.24	714952	16804408.00
2011/12/22	21.90	22.24	20.33	21.27	1520278	33286190.00
2011/12/23	21.05	21.65	20.65	21.03	1029955	22605476.00
2011/12/26	21.22	21.35	20.41	20.47	756500	16311793.00
2011/12/27	20.36	20.41	19.35	19.87	975679	19894980.00
2011/12/28	19.55	19.88	19.07	19.68	1362877	27184592.00
2011/12/29	19.35	20.00	19.35	19.74	617106	12590468.00
2011/12/30	19.74	20.25	19.74	20.18	819650	16954676.00
2012/01/04	20.25	20.75	19.37	19.45	878234	18068026.00
2012/01/05	19.32	19.43	18.33	18.34	904425	17478024.00
2012/01/06	17.90	18.50	17.90	18.34	643274	12121421.00
2012/01/09	18.37	19.18	18.15	19.15	1219505	23422046.00
2012/01/10	19.25	20.85	18.90	20.48	2145365	44095664.00
2012/01/11	20.35	20.35	19.85	20.14	1760789	36481376.00
2012/01/12	20.11	20.23	19.74	20.20	968296	20051304.00
2012/01/13	20.20	20.56	19.46	19.52	1182742	24441828.00
2012/01/16	18.85	19.44	18.35	18.43	960865	18763280.00
2012/01/17	18.41	19.53	18.00	19.44	1144676	22281954.00
2012/01/18	19.43	19.84	18.56	18.60	1116113	22174358.00
2012/01/19	18.59	18.95	18.42	18.86	984326	19114488.00
2012/01/20	19.13	19.84	18.95	19.68	1116088	22570752.00
2012/01/30	19.41	20.16	19.40	20.14	1207372	24675460.00
2012/01/31	20.25	22.15	20.25	21.90	5340829	117444496.00
2012/02/01	21.91	23.87	21.55	23.33	5860169	137162384.00
2012/02/02	23.25	23.75	22.85	23.39	3371753	80410984.00
2012/02/03	23.39	23.55	23.00	23.40	2513283	60109596.00
2012/02/06	23.40	23.75	23.03	23.56	3393045	81450944.00
2012/02/07	23.35	23.45	22.63	22.91	2095920	49731976.00
2012/02/08	22.75	24.64	22.75	24.61	4350262	106572624.00
2012/02/09	24.36	25.77	24.36	25.13	3029479	78216064.00
2012/02/10	24.86	26.73	24.73	26.31	2828592	74084856.00
2012/02/13	26.05	27.42	25.55	26.65	3479283	95540840.00
2012/02/14	26.41	27.00	26.18	26.64	1606673	43613820.00
2012/02/15	26.58	26.64	25.94	26.24	4019471	107746504.00
2012/02/16	26.23	26.25	25.31	25.81	2851192	75026912.00
2012/02/17	25.65	26.15	25.55	25.96	1422370	37665184.00
2012/02/20	26.18	26.23	25.50	25.61	1464516	38757760.00
2012/02/21	25.55	26.85	25.35	26.83	2956211	79346088.00
2012/02/22	26.93	27.24	26.56	26.94	2223597	61191276.00
2012/02/23	26.80	26.90	25.68	26.82	2010499	54652616.00
2012/02/24	26.20	28.05	26.20	27.84	3447176	96705408.00
2012/02/27	27.51	28.05	27.03	27.08	2879035	81005200.00
2012/02/28	26.97	27.82	26.66	27.41	1556301	43563976.00
2012/02/29	27.42	28.18	27.06	27.76	3650430	103834360.00
2012/03/01	27.47	29.25	27.47	28.34	3296585	95921432.00
2012/03/02	28.24	28.82	27.95	28.50	1703916	49499016.00
2012/03/05	28.25	29.50	28.21	29.16	3172138	94288992.00
2012/03/06	28.95	29.09	28.16	28.52	2498997	73354856.00
2012/03/07	28.25	28.25	25.98	26.74	4064223	113479768.00
2012/03/08	26.65	27.11	26.25	26.81	3079611	84293392.00
2012/03/09	26.90	29.56	26.90	29.56	6876794	199086464.00
2012/03/12	29.75	29.94	28.97	29.59	4029304	121657472.00
2012/03/13	29.35	30.85	29.15	30.66	3737568	115419208.00
2012/03/14	30.55	30.93	28.25	28.78	3840643	116706128.00
2012/03/15	28.75	29.90	28.35	29.36	3207503	95581712.00
2012/03/16	29.35	31.15	29.26	30.90	3572262	111356560.00
2012/03/19	31.00	31.05	29.70	30.38	2868825	88798920.00
2012/03/20	30.16	30.37	29.35	29.84	1484596	45066800.00
2012/03/21	29.83	30.21	28.75	29.64	1670585	50180692.00
2012/03/22	29.76	30.24	29.35	29.55	1225215	37339916.00
2012/03/23	29.33	29.65	28.75	29.16	2037962	60729024.00
2012/03/26	28.93	30.15	28.85	29.88	1334329	40273632.00
2012/03/27	29.90	30.00	28.15	28.73	1991566	59154264.00
2012/03/28	28.45	28.55	27.37	27.44	2221140	63238960.00
2012/03/29	27.38	28.49	26.75	27.92	1799338	51263528.00
2012/03/30	27.42	28.21	26.35	26.97	2263713	62541224.00
2012/04/05	26.49	29.58	26.49	29.42	2272584	66432448.00
2012/04/06	29.35	30.71	29.25	29.82	3226505	99029088.00
2012/04/09	30.15	30.15	29.23	29.54	1451604	43828176.00
2012/04/10	29.35	29.54	28.09	29.35	1831843	53898192.00
2012/04/11	29.05	29.30	28.07	28.55	1782411	51830104.00
2012/04/12	28.53	28.90	28.19	28.89	1110455	32580846.00
2012/04/13	28.83	29.33	28.61	28.88	1172406	34663836.00
2012/04/16	28.38	29.45	28.38	28.81	936251	27794400.00
2012/04/17	28.63	29.14	28.23	28.45	627665	18341898.00
2012/04/18	28.50	28.82	28.13	28.56	853969	24882628.00
2012/04/19	28.56	29.05	27.95	28.07	1088664	31626244.00
2012/04/20	28.10	28.32	27.53	28.02	1091806	31168696.00
2012/04/23	28.13	28.52	27.64	27.88	749058	21594884.00
2012/04/24	27.90	28.15	26.62	27.21	1520889	42454040.00
2012/04/25	26.85	27.45	26.77	26.95	1890506	52033432.00
2012/04/26	27.01	27.70	26.95	27.33	1557220	43565108.00
2012/04/27	27.06	28.63	26.15	26.50	7918902	221467600.00
2012/05/02	26.63	26.75	24.00	25.59	8525203	221911632.00
2012/05/03	25.35	26.25	24.90	26.19	4397522	116323928.00
2012/05/04	26.14	26.54	25.85	26.34	3096869	83272136.00
2012/05/07	26.34	28.13	26.15	27.66	5093298	142961184.00
2012/05/08	27.66	27.69	26.83	27.44	2927921	81689168.00
2012/05/09	26.75	27.69	26.75	27.05	2479881	69071088.00
2012/05/10	26.95	28.28	26.95	27.94	3451258	98666272.00
2012/05/11	27.81	28.64	27.66	27.98	2663786	76613160.00
2012/05/14	28.13	28.15	26.95	27.00	2060364	57886872.00
2012/05/15	26.78	26.94	26.15	26.85	1735308	47211088.00
2012/05/16	26.83	26.83	26.23	26.25	1140067	31029644.00
2012/05/17	26.25	26.62	25.87	26.31	1832915	49113544.00
2012/05/18	26.29	26.47	25.47	25.56	2056627	54478896.00
2012/05/21	25.55	26.80	25.35	26.61	2435287	65464448.00
2012/05/22	26.65	27.49	26.40	27.11	2097959	58136952.00
2012/05/23	27.14	29.85	26.93	29.05	8751173	254304832.00
2012/05/24	28.65	29.35	27.58	27.93	4974414	145127136.00
2012/05/25	27.93	27.93	26.68	26.89	3175854	88030232.00
2012/05/28	26.45	27.32	25.85	26.78	2848168	77682176.00
2012/05/29	26.80	28.29	26.20	27.69	3427981	94951488.00
2012/05/30	27.53	28.00	27.29	27.37	1781511	50421544.00
2012/05/31	27.15	27.94	27.03	27.71	1712628	48365192.00
2012/06/01	27.71	28.40	27.51	28.03	2130366	61096456.00
2012/06/04	27.45	27.95	26.86	27.01	1887558	52963684.00
2012/06/05	26.93	27.23	26.24	26.50	1401994	38355920.00
2012/06/06	26.52	26.77	26.35	26.52	704866	19138102.00
2012/06/07	26.80	26.91	26.26	26.42	1093516	29795452.00
2012/06/08	26.58	26.72	26.01	26.23	1015100	27303852.00
2012/06/11	26.23	26.55	25.35	26.46	679224	18228524.00
2012/06/12	26.46	26.65	26.05	26.18	631067	16956456.00
2012/06/13	26.06	27.25	25.90	26.82	1513555	41436272.00
2012/06/14	26.82	27.65	26.56	27.10	1599114	44754364.00
2012/06/15	27.27	27.28	26.43	26.73	1284345	35209612.00
2012/06/18	26.75	27.35	26.66	27.30	1270106	35296096.00
2012/06/19	27.05	27.32	26.35	26.50	1984232	54170796.00
2012/06/20	26.52	26.73	26.25	26.35	766738	20791740.00
2012/06/21	26.33	26.50	26.15	26.36	721972	19490500.00
2012/06/25	26.38	26.64	26.01	26.06	659936	17774934.00
2012/06/26	26.17	26.29	25.63	25.94	764557	20365156.00
2012/06/27	25.96	26.60	25.96	26.49	804560	21703084.00
2012/06/29	26.37	27.95	26.10	27.89	5413774	152874240.00
2012/07/02	27.95	29.85	27.30	28.50	6852018	201947408.00
2012/07/03	28.37	28.86	27.45	28.24	3579495	103337120.00
2012/07/04	28.14	28.49	27.70	28.24	3352188	96356896.00
2012/07/05	27.97	28.15	27.33	27.73	1806743	51080600.00
2012/07/06	27.90	29.95	27.61	29.48	6361720	190737824.00
2012/07/09	29.33	30.74	28.85	29.08	5106762	156023920.00
2012/07/10	29.05	30.24	28.55	29.50	3646807	110530608.00
2012/07/11	29.30	32.52	28.90	32.52	6874264	218187616.00
2012/07/12	32.52	35.35	32.06	33.55	9395528	323022464.00
2012/07/13	33.03	36.85	32.96	36.04	8161679	289877344.00
2012/07/16	35.93	36.73	35.02	35.71	6547892	239138768.00
2012/07/17	35.16	35.33	33.63	34.75	6084511	211393136.00
2012/07/18	34.35	34.75	33.13	34.16	5052000	174318992.00
2012/07/19	33.96	34.70	33.38	34.44	3998588	138882112.00
2012/07/20	33.95	34.89	31.85	32.10	5825771	198768416.00
2012/07/23	31.37	32.05	30.93	31.91	3471369	111546472.00
2012/07/24	31.64	33.35	31.50	32.90	3477547	115686936.00
2012/07/25	32.82	33.55	31.85	32.03	2720101	90549504.00
2012/07/26	32.05	32.84	30.96	31.05	2075068	67493416.00
2012/07/27	31.08	31.53	29.85	30.31	2554740	79333888.00
2012/07/30	30.18	30.63	30.05	30.43	1283820	39745220.00
2012/07/31	30.35	30.54	28.85	28.87	2097623	63498948.00
2012/08/01	28.87	30.03	28.70	30.01	2390491	72062304.00
2012/08/02	29.95	30.59	29.55	29.85	1750608	53760576.00
2012/08/03	29.85	30.66	29.56	30.51	1908726	59051764.00
2012/08/06	30.40	31.55	29.99	31.32	2357814	74248896.00
2012/08/07	31.23	31.71	30.77	31.11	2002043	63707952.00
2012/08/08	31.22	31.22	29.85	30.01	2178009	67359960.00
2012/08/09	30.01	31.85	29.75	31.77	4431933	141137824.00
2012/08/10	31.56	31.56	30.25	30.62	3307089	103756856.00
2012/08/13	30.48	30.83	30.06	30.12	1495396	46408168.00
2012/08/14	30.15	30.58	28.85	30.55	1766679	53950532.00
2012/08/15	30.42	31.45	30.25	30.46	2830959	89390512.00
2012/08/16	30.35	31.85	30.03	30.64	2861451	90898496.00
2012/08/17	30.53	30.54	29.03	29.64	2259441	68079232.00
2012/08/20	29.34	29.85	28.75	29.52	1362363	40908036.00
2012/08/21	29.20	30.03	29.20	29.75	1899730	57653656.00
