600561 江西长运 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.95	9.04	8.92	8.94	315800	3002143.00
2011/10/11	9.10	9.22	8.85	9.00	421500	4037293.00
2011/10/12	9.06	9.30	8.87	9.26	966500	9405195.00
2011/10/13	9.17	9.38	9.17	9.31	742416	7315010.00
2011/10/14	9.26	9.37	9.20	9.31	536175	5260466.00
2011/10/17	9.36	9.37	9.25	9.30	616550	6057871.00
2011/10/18	9.21	9.26	8.92	8.93	679062	6513179.00
2011/10/19	8.93	9.03	8.81	8.91	416979	3930790.00
2011/10/20	8.90	8.90	8.55	8.67	747842	6884359.00
2011/10/21	8.62	8.72	8.54	8.70	441725	4051817.00
2011/10/24	8.69	8.87	8.52	8.85	563286	5208066.00
2011/10/25	8.73	9.04	8.73	9.04	918052	8705423.00
2011/10/26	8.92	9.16	8.92	9.07	971621	9343303.00
2011/10/27	9.28	9.67	9.23	9.38	2830311	28173914.00
2011/10/28	9.40	9.51	9.27	9.43	1521214	15110699.00
2011/10/31	9.42	9.52	9.33	9.48	1243237	12400213.00
2011/11/01	9.30	9.50	9.30	9.43	628800	6260727.00
2011/11/02	9.37	9.56	9.23	9.55	1119541	11097498.00
2011/11/03	9.55	9.72	9.53	9.56	2019292	20535988.00
2011/11/04	9.56	9.85	9.56	9.74	2201099	22564678.00
2011/11/07	9.75	9.75	9.61	9.69	853426	8713847.00
2011/11/08	9.69	9.69	9.47	9.48	966172	9744633.00
2011/11/09	9.67	9.67	9.38	9.63	1031764	10395773.00
2011/11/10	9.46	9.56	9.40	9.42	1583967	15825674.00
2011/11/11	9.40	9.54	9.37	9.41	770564	7694753.00
2011/11/14	9.54	9.64	9.48	9.63	1423987	14415552.00
2011/11/15	9.62	9.84	9.59	9.81	2222708	22838860.00
2011/11/16	9.81	9.82	9.50	9.53	1616977	16418758.00
2011/11/17	9.52	9.60	9.46	9.47	929700	9353520.00
2011/11/18	9.45	9.56	9.18	9.21	1294111	12784913.00
2011/11/22	9.17	9.22	9.03	9.22	555701	5361720.00
2011/11/23	9.23	9.25	9.06	9.07	540300	5221504.00
2011/11/24	9.02	9.15	8.87	9.09	703681	6726654.00
2011/11/25	9.10	9.14	8.99	9.01	313779	3013339.00
2011/11/28	9.02	9.15	8.97	9.06	419521	4013669.00
2011/11/29	9.15	9.41	9.07	9.38	2418203	23790728.00
2011/11/30	9.37	9.37	8.88	9.10	1152468	11103727.00
2011/12/01	9.30	9.43	9.22	9.31	1034905	10193902.00
2011/12/02	9.27	9.27	9.08	9.11	432000	4181328.00
2011/12/05	9.02	9.07	8.79	8.80	404800	3833586.00
2011/12/06	8.77	8.85	8.70	8.83	557092	5176733.00
2011/12/07	8.84	8.92	8.75	8.92	410740	3858858.00
2011/12/08	8.81	8.98	8.80	8.92	337831	3187666.00
2011/12/09	8.80	8.99	8.80	8.90	334781	3146904.00
2011/12/12	8.90	8.90	8.73	8.82	321751	3004253.00
2011/12/13	8.72	8.83	8.45	8.53	716941	6500676.00
2011/12/14	8.49	8.56	8.33	8.37	365300	3275783.00
2011/12/15	8.33	8.33	8.05	8.13	593470	5173685.00
2011/12/16	8.15	8.47	8.09	8.40	519217	4549310.00
2011/12/19	8.29	8.40	8.14	8.37	271923	2384220.00
2011/12/20	8.37	8.57	8.35	8.47	655003	5918065.00
2011/12/21	8.49	8.57	8.37	8.43	1538400	13835393.00
2011/12/22	8.33	8.43	7.87	8.31	1773456	15454565.00
2011/12/23	8.28	8.44	8.17	8.31	427721	3793086.00
2011/12/26	8.22	8.41	8.20	8.26	263503	2326155.00
2011/12/27	8.20	8.32	7.92	7.98	330260	2838613.00
2011/12/28	7.97	7.98	7.68	7.94	368205	3082869.00
2011/12/29	7.82	8.07	7.70	7.94	202709	1721005.00
2011/12/30	7.98	8.07	7.97	8.04	304386	2600711.00
2012/01/04	8.12	8.33	7.88	8.00	304138	2616028.00
2012/01/05	7.99	8.22	7.84	7.85	701160	6038520.00
2012/01/06	7.85	8.05	7.53	7.97	1341851	11291283.00
2012/01/09	7.97	8.41	7.89	8.35	1826731	15977504.00
2012/01/10	8.35	8.64	8.25	8.57	1776643	15928452.00
2012/01/11	8.56	8.56	8.38	8.46	939551	8455518.00
2012/01/12	8.42	8.53	8.41	8.43	582703	5240678.00
2012/01/13	8.52	8.65	8.30	8.38	1456606	13163639.00
2012/01/16	8.36	8.65	8.17	8.51	2507900	22667362.00
2012/01/17	8.42	8.91	8.32	8.87	2486694	23128452.00
2012/01/18	8.84	8.91	8.63	8.65	1146159	10624764.00
2012/01/19	8.61	8.87	8.61	8.68	1169298	10850999.00
2012/01/20	8.74	8.86	8.66	8.78	812543	7562859.00
2012/01/30	8.77	8.77	8.58	8.60	640040	5876009.00
2012/01/31	8.69	8.69	8.50	8.58	393726	3577423.00
2012/02/01	8.51	8.61	8.46	8.47	318340	2882482.00
2012/02/02	8.48	8.61	8.42	8.59	486907	4402386.00
2012/02/03	8.57	8.74	8.54	8.72	717650	6596608.00
2012/02/06	8.72	8.73	8.55	8.67	667334	6119847.00
2012/02/07	8.66	8.66	8.45	8.49	618117	5587423.00
2012/02/08	8.39	8.64	8.39	8.64	645249	5868554.00
2012/02/09	8.60	8.72	8.59	8.66	754342	6940513.00
2012/02/10	8.67	8.88	8.67	8.78	1715358	16009408.00
2012/02/13	8.77	8.89	8.69	8.83	821122	7672351.00
2012/02/14	8.83	8.87	8.73	8.79	575199	5352377.00
2012/02/15	8.77	8.95	8.72	8.92	2105742	19770898.00
2012/02/16	8.94	8.97	8.79	8.86	890335	8381608.00
2012/02/17	8.86	8.91	8.76	8.83	593564	5551136.00
2012/02/20	8.92	8.99	8.81	8.82	918021	8667746.00
2012/02/21	8.81	8.87	8.75	8.85	747491	6983911.00
2012/02/22	8.80	8.95	8.80	8.94	1664328	15699629.00
2012/02/23	8.95	9.01	8.87	8.94	888328	8410773.00
2012/02/24	8.95	9.12	8.90	9.09	1404725	13433217.00
2012/02/27	9.07	9.19	8.98	9.05	1943431	18741720.00
2012/02/28	9.05	9.05	8.87	8.98	1005236	9548942.00
2012/02/29	8.93	8.97	8.84	8.87	809845	7638191.00
2012/03/01	8.82	8.97	8.82	8.89	705021	6648460.00
2012/03/02	8.93	9.07	8.89	9.06	820011	7812531.00
2012/03/05	9.05	9.15	9.03	9.07	863673	8307567.00
2012/03/06	9.07	9.07	8.92	8.96	629078	5978011.00
2012/03/07	8.91	9.06	8.87	8.95	696880	6620734.00
2012/03/08	8.97	9.26	8.97	9.24	1764864	17075524.00
2012/03/09	9.21	9.35	9.14	9.34	1475292	14424738.00
2012/03/12	9.33	9.36	9.15	9.28	964125	9440051.00
2012/03/13	9.22	9.42	9.22	9.41	1062763	10498254.00
2012/03/14	9.37	9.50	8.87	9.07	1635128	16046914.00
2012/03/15	8.99	9.18	8.82	8.90	1011163	9606828.00
2012/03/16	9.02	9.40	9.02	9.38	1795851	17552748.00
2012/03/19	9.30	9.76	9.30	9.54	2543762	25651908.00
2012/03/20	9.31	9.33	8.99	9.02	2830748	27377496.00
2012/03/21	9.04	9.12	8.84	9.07	1053342	10015682.00
2012/03/22	9.06	9.06	8.91	8.96	646200	6146701.00
2012/03/23	8.98	8.98	8.76	8.82	721953	6772667.00
2012/03/26	8.82	9.12	8.77	8.89	500508	4725304.00
2012/03/27	8.92	8.96	8.77	8.79	611000	5726448.00
2012/03/28	8.73	8.79	8.36	8.38	706829	6400062.00
2012/03/29	8.38	8.39	8.10	8.16	605469	5311908.00
2012/03/30	8.28	8.28	8.12	8.18	457520	3983739.00
2012/04/05	8.12	8.41	8.12	8.40	510743	4522388.00
2012/04/06	8.39	8.43	8.33	8.39	343481	3060967.00
2012/04/09	8.39	8.41	8.19	8.36	375110	3328196.00
2012/04/10	8.34	8.46	8.17	8.43	434805	3846985.00
2012/04/11	8.33	8.52	8.25	8.43	508998	4543778.00
2012/04/12	8.42	8.72	8.38	8.63	1046819	9512626.00
2012/04/13	8.62	8.68	8.54	8.63	659759	6032657.00
2012/04/16	8.60	8.71	8.54	8.66	403400	3700322.00
2012/04/17	8.65	8.69	8.51	8.53	630300	5757036.00
2012/04/19	8.70	8.76	8.66	8.70	938926	8682996.00
2012/04/20	8.72	8.77	8.67	8.77	672311	6226709.00
2012/04/23	8.72	8.99	8.72	8.78	1552938	14608259.00
2012/04/24	8.78	8.87	8.59	8.80	792689	7335564.00
2012/04/25	8.84	8.95	8.80	8.94	947152	8928272.00
2012/04/26	8.91	9.00	8.86	8.87	900107	8511047.00
2012/04/27	8.90	8.92	8.78	8.84	492250	4616085.00
2012/05/02	9.04	9.06	8.92	8.96	1516860	14431872.00
2012/05/03	8.97	9.03	8.95	9.01	1100613	10478783.00
