600563 法拉电子 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	18.60	18.68	18.20	18.26	868639	17588428.00
2011/10/11	18.75	18.88	17.89	18.02	1488607	30276220.00
2011/10/12	17.79	18.74	17.71	18.71	1883557	38272016.00
2011/10/13	18.71	19.06	18.60	18.74	1714497	35451852.00
2011/10/14	18.64	18.75	18.28	18.52	1313507	26794280.00
2011/10/17	18.56	18.76	18.31	18.64	997421	20392514.00
2011/10/18	18.43	18.56	17.75	17.83	1558342	31094540.00
2011/10/19	17.91	17.99	15.86	15.87	6823964	124895592.00
2011/10/20	15.70	15.70	15.24	15.50	2556043	44321184.00
2011/10/21	15.46	15.53	14.72	14.91	1760181	29852948.00
2011/10/24	15.11	15.12	14.16	14.91	2449482	40551868.00
2011/10/25	14.91	15.37	14.77	15.31	5421624	92629320.00
2011/10/26	15.15	15.86	15.10	15.64	4117735	72225144.00
2011/10/27	15.64	15.78	15.46	15.61	2390774	41846872.00
2011/10/28	15.90	16.44	15.78	16.40	3665649	65982248.00
2011/10/31	16.69	16.87	16.45	16.70	4352336	80930912.00
2011/11/01	16.49	16.81	16.30	16.67	3320347	61367320.00
2011/11/02	16.33	17.18	16.01	17.13	4272375	79102224.00
2011/11/03	17.31	17.77	16.90	16.91	5392827	103904504.00
2011/11/04	17.10	17.30	16.93	17.24	2466679	46927556.00
2011/11/07	17.25	17.96	17.25	17.36	3291580	64237240.00
2011/11/08	17.04	17.04	15.94	16.01	8403345	153604032.00
2011/11/09	15.94	16.46	15.94	16.40	4747684	86336584.00
2011/11/10	16.22	16.58	16.10	16.44	3655372	66939024.00
2011/11/11	16.44	16.79	16.31	16.57	3319531	61545848.00
2011/11/14	16.78	17.59	16.60	17.58	4891032	93398336.00
2011/11/15	17.45	18.35	17.40	17.78	5239255	104012856.00
2011/11/16	17.78	17.94	17.20	17.28	2565608	49892424.00
2011/11/17	17.35	17.75	17.22	17.40	1818694	35187840.00
2011/11/18	17.35	17.35	16.80	16.89	1745480	32976522.00
