600565 迪马股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	4.54	4.59	4.46	4.50	1724676	7888063.00
2011/10/11	4.56	4.62	4.49	4.52	1376095	6329462.00
2011/10/12	4.50	4.63	4.40	4.59	3812316	17718852.00
2011/10/13	4.58	4.67	4.55	4.61	3998158	18649564.00
2011/10/14	4.61	4.76	4.59	4.68	9680535	46090620.00
2011/10/17	4.70	4.70	4.57	4.61	5730004	26819686.00
2011/10/18	4.62	4.63	4.47	4.48	3664701	16768652.00
2011/10/19	4.49	4.55	4.44	4.50	1631006	7434494.00
2011/10/20	4.50	4.58	4.35	4.56	3335305	15015255.00
2011/10/21	4.50	4.50	4.36	4.40	4440323	19824372.00
2011/10/24	4.40	4.46	4.31	4.44	4369371	19373876.00
2011/10/25	4.42	4.56	4.39	4.55	9959949	45373440.00
2011/10/26	4.52	4.57	4.47	4.48	6486046	29640516.00
2011/10/27	4.46	4.51	4.42	4.45	4764540	21573658.00
2011/10/28	4.48	4.54	4.46	4.50	6755283	30784770.00
2011/10/31	4.50	4.50	4.39	4.45	5121859	23091066.00
2011/11/01	4.42	4.51	4.37	4.48	4634055	20933342.00
2011/11/02	4.43	4.51	4.40	4.48	4258975	19231968.00
2011/11/03	4.48	4.55	4.47	4.49	9253559	42271456.00
2011/11/04	4.49	4.66	4.42	4.63	26263744	120874176.00
2011/11/08	4.54	4.62	4.52	4.53	10237199	47316344.00
2011/11/09	4.53	4.56	4.45	4.51	5848182	26633956.00
2011/11/10	4.47	4.49	4.42	4.43	4957644	22387496.00
2011/11/11	4.42	4.47	4.39	4.43	4849887	21746638.00
2011/11/14	4.46	4.51	4.43	4.50	6164594	27954706.00
2011/11/15	4.50	4.54	4.46	4.52	6047904	27653882.00
2011/11/16	4.50	4.54	4.34	4.40	6297982	28286334.00
2011/11/17	4.39	4.42	4.37	4.39	2687575	11977751.00
2011/11/18	4.37	4.38	4.31	4.33	4392811	19305640.00
2011/11/21	4.33	4.39	4.32	4.37	2236969	9855180.00
2011/11/22	4.34	4.35	4.27	4.31	2427079	10598075.00
2011/11/23	4.30	4.32	4.24	4.25	2691703	11654805.00
2011/11/24	4.22	4.24	4.13	4.17	5219688	22049554.00
2011/11/25	4.17	4.18	4.10	4.10	2457519	10315019.00
2011/11/28	4.07	4.16	4.07	4.12	2078602	8671207.00
2011/11/29	4.12	4.19	4.12	4.16	2735291	11544396.00
2011/11/30	4.17	4.17	3.86	3.92	4243295	17273948.00
2011/12/01	3.98	4.10	3.98	4.01	4394748	17991864.00
2011/12/02	3.97	4.06	3.97	4.00	2246193	9124112.00
2011/12/05	4.04	4.04	3.80	3.81	2454028	9669815.00
2011/12/06	3.83	3.85	3.71	3.75	2444586	9359840.00
2011/12/07	3.77	3.83	3.75	3.79	1618680	6226132.00
