600568 中珠控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.53	7.90	7.53	7.84	2412394	41265416.00
2011/10/11	7.99	8.31	7.85	8.07	3698209	65968532.00
2011/10/12	7.96	8.57	7.90	8.52	5097308	94006040.00
2011/10/13	8.40	8.69	8.30	8.51	4332583	80837944.00
2011/10/14	8.53	8.71	8.43	8.58	3112478	58727688.00
2011/10/17	8.60	8.61	8.28	8.47	3439038	63777404.00
2011/10/18	8.40	8.67	8.28	8.54	3794029	71230952.00
2011/10/19	8.40	8.51	7.86	8.22	3160653	57215136.00
2011/10/20	8.26	8.42	8.07	8.41	2261253	41147748.00
2011/10/21	8.42	8.84	7.94	8.02	6046646	113720784.00
2011/10/24	7.52	8.31	7.26	8.29	4427327	77407440.00
2011/10/25	8.26	8.56	8.06	8.27	4877452	89147552.00
2011/10/26	8.17	8.53	8.09	8.36	3392668	62228128.00
2011/10/27	8.33	8.67	8.24	8.65	5155597	96587128.00
2011/10/28	8.74	8.89	8.44	8.62	5226059	99958256.00
2011/10/31	8.65	9.18	8.40	9.13	7214575	140211584.00
2011/11/01	9.06	9.38	8.94	9.14	6646810	133900304.00
2011/11/02	8.96	10.06	8.90	9.90	9604667	203773136.00
2011/11/03	9.87	10.28	9.81	9.86	8572979	189864000.00
2011/11/04	9.91	10.84	9.67	10.82	9372197	212771888.00
2011/11/07	10.90	11.43	10.63	11.23	11339354	276337152.00
2011/11/08	11.15	11.29	10.49	10.53	11869311	280468064.00
2011/11/09	10.56	11.03	10.24	10.78	12967400	301656416.00
2011/11/10	10.60	10.97	10.26	10.42	10950487	257242368.00
2011/11/11	10.44	10.88	10.43	10.58	7183226	168282128.00
2011/11/14	10.70	11.64	10.53	11.64	15463519	386953664.00
2011/11/15	11.63	11.89	11.49	11.76	9723625	249862480.00
2011/11/16	11.80	12.26	11.43	11.68	9499750	246524992.00
2011/11/17	11.58	12.82	11.58	12.44	12570990	342153632.00
2011/11/21	12.17	12.23	11.39	12.05	8596254	224575136.00
2011/11/22	12.03	12.03	10.84	11.06	12641692	310376224.00
2011/11/23	10.88	11.20	10.78	10.90	5917401	143211072.00
2011/11/24	10.72	11.63	10.61	11.45	7970562	197824784.00
2011/12/08	10.30	11.12	10.30	10.31	8684262	202438592.00
2011/12/09	10.08	10.50	10.05	10.21	4580958	103396096.00
2011/12/12	10.21	10.34	9.19	9.19	10915835	229988976.00
2011/12/13	9.17	9.17	8.76	8.93	8624140	169288544.00
2011/12/14	8.93	9.06	8.77	8.88	4880996	95924632.00
2011/12/15	8.71	8.92	8.37	8.45	4831869	92034504.00
2011/12/16	8.46	8.67	8.23	8.63	4690649	87622368.00
2011/12/19	8.50	8.53	7.99	8.44	6533169	118414528.00
2011/12/20	7.94	8.74	7.94	8.51	6960656	129199760.00
2011/12/21	8.53	8.85	8.09	8.14	5375183	100911752.00
2011/12/22	8.14	8.14	7.54	7.81	4708537	81024448.00
2011/12/23	7.83	8.28	7.76	8.19	4856563	85985232.00
2011/12/26	8.06	8.62	8.04	8.33	4388529	80852856.00
2011/12/27	8.25	8.34	7.81	7.86	3226853	57054672.00
2011/12/28	7.74	8.23	7.58	8.15	3349513	59272236.00
2011/12/29	7.94	8.30	7.94	8.07	2214288	39890204.00
2011/12/30	8.13	8.24	8.02	8.18	1845729	33193178.00
