600569 安阳钢铁 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	3.05	3.07	3.03	3.05	3423808	10439090.00
2011/10/11	3.10	3.11	3.04	3.06	4506909	13836974.00
2011/10/12	3.05	3.13	3.03	3.13	8803622	27335228.00
2011/10/13	3.12	3.30	3.10	3.20	17418171	55513132.00
2011/10/14	3.16	3.18	3.11	3.15	9229453	28994576.00
2011/10/17	3.15	3.19	3.12	3.13	4167784	13107522.00
2011/10/18	3.12	3.13	3.05	3.06	6723829	20724104.00
2011/10/19	3.06	3.09	3.04	3.05	3887252	11912223.00
2011/10/20	3.05	3.06	3.01	3.03	6329721	19132520.00
2011/10/21	3.03	3.05	3.01	3.04	2742097	8310697.00
2011/10/24	3.03	3.10	3.02	3.09	5656260	17331696.00
2011/10/25	3.09	3.17	3.05	3.12	8664600	26980884.00
2011/10/26	3.10	3.20	3.10	3.14	8844176	27831270.00
2011/10/27	3.14	3.19	3.12	3.14	8216001	25866686.00
2011/10/28	3.17	3.21	3.15	3.19	10833217	34439520.00
2011/10/31	3.18	3.18	3.13	3.15	7469054	23543602.00
2011/11/01	3.13	3.17	3.13	3.14	7506566	23622660.00
2011/11/02	3.11	3.17	3.08	3.16	7820420	24362550.00
2011/11/03	3.16	3.21	3.16	3.19	15445260	49235760.00
2011/11/04	3.19	3.23	3.18	3.20	10589214	33935276.00
2011/11/07	3.22	3.27	3.20	3.21	13350482	43204616.00
2011/11/08	3.23	3.24	3.17	3.17	6945093	22146480.00
2011/11/09	3.18	3.20	3.15	3.20	5982557	19010484.00
2011/11/10	3.17	3.30	3.16	3.22	21234092	68865088.00
2011/11/11	3.24	3.25	3.16	3.16	11139162	35582448.00
2011/11/14	3.18	3.22	3.17	3.21	9648231	30767824.00
2011/11/15	3.20	3.22	3.18	3.21	7780038	24844636.00
2011/11/16	3.20	3.21	3.13	3.13	8392871	26526900.00
2011/11/17	3.11	3.14	3.11	3.11	3975147	12421882.00
2011/11/18	3.10	3.11	3.03	3.06	8663055	26525070.00
2011/11/21	3.05	3.08	3.03	3.07	5258129	16001974.00
2011/11/22	3.05	3.07	3.03	3.07	3989138	12165261.00
2011/11/23	3.06	3.07	3.04	3.04	2549389	7770965.00
2011/11/24	3.02	3.06	3.02	3.05	3551205	10783402.00
2011/11/25	3.04	3.06	3.02	3.04	2490400	7563741.00
2011/11/28	3.04	3.07	3.01	3.04	4367752	13266317.00
2011/11/29	3.05	3.07	3.04	3.07	2360973	7211383.00
2011/11/30	3.06	3.07	2.96	2.97	10214758	30644094.00
2011/12/01	3.03	3.06	2.97	3.00	7215385	21812504.00
2011/12/02	3.01	3.01	2.95	2.95	4346979	12901838.00
2011/12/05	2.96	2.96	2.87	2.88	4647140	13468865.00
2011/12/06	2.89	2.90	2.82	2.89	4134580	11837643.00
2011/12/07	2.88	2.90	2.86	2.89	1740788	5018216.00
2011/12/08	2.88	2.93	2.87	2.89	3926760	11375023.00
2011/12/09	2.87	2.88	2.84	2.85	2549348	7285911.00
2011/12/12	2.85	2.87	2.83	2.83	1892700	5380090.00
2011/12/13	2.83	2.83	2.73	2.74	3803546	10522509.00
2011/12/14	2.74	2.75	2.70	2.71	2156816	5882727.00
2011/12/15	2.70	2.70	2.62	2.64	4938538	13063635.00
2011/12/16	2.63	2.70	2.62	2.70	3491814	9276494.00
2011/12/19	2.68	2.69	2.64	2.69	3226707	8608045.00
2011/12/20	2.67	2.72	2.67	2.68	2348546	6329525.00
2011/12/21	2.70	2.70	2.64	2.64	2716000	7284210.00
2011/12/22	2.64	2.64	2.55	2.59	3660973	9509911.00
2011/12/23	2.59	2.64	2.57	2.63	2887697	7551256.00
2011/12/26	2.62	2.71	2.60	2.67	5182149	13856507.00
2011/12/27	2.65	2.66	2.61	2.61	3761206	9893611.00
2011/12/28	2.59	2.63	2.58	2.62	2776861	7225532.00
2011/12/29	2.60	2.64	2.60	2.63	2580348	6784259.00
2011/12/30	2.64	2.67	2.63	2.67	2631761	6980752.00
2012/01/04	2.68	2.69	2.62	2.62	2835607	7536685.00
2012/01/05	2.63	2.64	2.57	2.57	2760494	7220204.00
2012/01/06	2.57	2.62	2.56	2.59	2527645	6532333.00
2012/01/09	2.59	2.68	2.59	2.68	4826111	12758857.00
2012/01/10	2.68	2.78	2.66	2.77	9014853	24657998.00
2012/01/11	2.77	2.84	2.75	2.76	10136125	28201146.00
2012/01/12	2.73	2.79	2.72	2.75	5567382	15300374.00
2012/01/13	2.75	2.75	2.67	2.68	4304558	11625641.00
2012/01/16	2.67	2.70	2.64	2.65	2942494	7843105.00
2012/01/17	2.65	2.78	2.64	2.77	6449656	17608896.00
2012/01/18	2.77	2.80	2.74	2.75	9934350	27591304.00
2012/01/19	2.75	2.83	2.73	2.79	5976313	16662788.00
2012/01/20	2.79	2.81	2.77	2.80	4304758	12006162.00
2012/01/30	2.80	2.83	2.75	2.78	3727397	10375187.00
2012/01/31	2.76	2.78	2.72	2.74	4234841	11591473.00
2012/02/01	2.74	2.76	2.71	2.71	2560100	6986251.00
2012/02/02	2.72	2.76	2.71	2.76	3297844	9015331.00
2012/02/03	2.76	2.78	2.73	2.78	4570370	12608578.00
2012/02/06	2.77	2.80	2.77	2.79	3927157	10925062.00
2012/02/07	2.79	2.79	2.73	2.73	3768196	10397800.00
2012/02/08	2.73	2.80	2.72	2.78	4875054	13428671.00
2012/02/09	2.78	2.81	2.76	2.80	6974407	19447024.00
2012/02/10	2.79	2.86	2.78	2.80	9212799	25975796.00
2012/02/13	2.78	2.82	2.76	2.80	7586897	21213588.00
2012/02/14	2.79	2.80	2.77	2.79	2864666	7973413.00
2012/02/15	2.79	2.86	2.78	2.84	8753359	24747072.00
2012/02/16	2.83	2.85	2.80	2.82	5275915	14891281.00
2012/02/17	2.83	2.84	2.80	2.81	3843587	10824655.00
2012/02/20	2.84	2.85	2.82	2.83	5384757	15251311.00
2012/02/21	2.82	2.84	2.79	2.83	5282079	14849842.00
2012/02/22	2.82	2.87	2.81	2.87	9394355	26742446.00
2012/02/23	2.86	2.93	2.85	2.90	13722496	39739784.00
2012/02/24	2.88	2.96	2.86	2.95	16369874	47627756.00
2012/02/27	2.96	3.02	2.94	2.96	18867743	56219536.00
2012/02/28	2.95	3.00	2.92	2.98	12790457	37788876.00
2012/02/29	2.96	2.98	2.92	2.92	8153994	23947184.00
2012/03/01	2.91	2.93	2.88	2.91	6049000	17584234.00
2012/03/02	2.91	2.94	2.91	2.94	7137255	20902188.00
2012/03/05	2.95	2.95	2.90	2.92	6883331	20178274.00
2012/03/06	2.91	2.91	2.85	2.87	6680756	19187168.00
2012/03/07	2.85	2.89	2.82	2.86	7271416	20772704.00
2012/03/08	2.85	2.90	2.85	2.89	6954871	20013308.00
2012/03/09	2.89	2.89	2.85	2.88	7052662	20248738.00
2012/03/12	2.88	2.89	2.85	2.86	6635681	18994370.00
2012/03/13	2.87	2.89	2.86	2.89	6831078	19650490.00
2012/03/14	2.89	2.97	2.78	2.79	18793027	54411056.00
2012/03/15	2.79	2.81	2.67	2.73	9896952	27126000.00
2012/03/16	2.72	2.77	2.71	2.76	5016219	13770486.00
2012/03/19	2.76	2.78	2.72	2.77	6212237	17066834.00
2012/03/20	2.75	2.80	2.72	2.75	10175004	28087100.00
2012/03/21	2.75	2.77	2.72	2.75	5620228	15428894.00
2012/03/22	2.75	2.76	2.73	2.75	4205838	11528252.00
2012/03/23	2.75	2.75	2.70	2.71	4579852	12468974.00
2012/03/26	2.72	2.73	2.70	2.71	3009127	8170927.00
2012/03/27	2.72	2.73	2.70	2.72	3068547	8323984.00
2012/03/28	2.72	2.72	2.61	2.62	8187790	21698152.00
2012/03/29	2.61	2.62	2.55	2.56	6281589	16244982.00
2012/03/30	2.56	2.59	2.56	2.59	5194027	13354039.00
2012/04/05	2.59	2.65	2.58	2.64	5450637	14264963.00
2012/04/06	2.64	2.66	2.62	2.63	4597521	12130821.00
2012/04/09	2.64	2.67	2.62	2.63	5523618	14625820.00
2012/04/10	2.62	2.66	2.59	2.66	3504614	9189149.00
2012/04/11	2.63	2.67	2.63	2.65	3923868	10383412.00
2012/04/12	2.65	2.69	2.63	2.68	7285043	19383792.00
2012/04/13	2.68	2.71	2.67	2.70	6348630	17077422.00
2012/04/16	2.68	2.72	2.66	2.70	5412325	14527792.00
2012/04/17	2.70	2.75	2.67	2.68	6571796	17779100.00
2012/04/18	2.68	2.72	2.66	2.72	5977940	16131013.00
2012/04/19	2.71	2.73	2.70	2.71	6802000	18443986.00
2012/04/20	2.70	2.74	2.70	2.73	10276767	27921464.00
2012/04/23	2.72	2.73	2.68	2.70	5873018	15848307.00
2012/04/24	2.69	2.70	2.62	2.66	8593224	22906440.00
2012/04/25	2.66	2.71	2.65	2.70	7410227	19876332.00
2012/04/26	2.71	2.72	2.68	2.70	5804031	15665039.00
2012/04/27	2.69	2.74	2.67	2.70	9901401	26852224.00
2012/05/02	2.70	2.71	2.65	2.69	14151393	37957384.00
2012/05/03	2.68	2.69	2.63	2.66	9586996	25489260.00
2012/05/04	2.66	2.69	2.64	2.68	9224299	24598832.00
2012/05/07	2.66	2.67	2.64	2.67	4805243	12758347.00
2012/05/08	2.66	2.67	2.64	2.66	4839718	12830516.00
2012/05/09	2.64	2.65	2.60	2.61	6336279	16611842.00
2012/05/10	2.60	2.64	2.59	2.61	4836776	12634047.00
2012/05/11	2.61	2.61	2.58	2.59	4150100	10775323.00
2012/05/14	2.61	2.61	2.57	2.58	5838990	15127115.00
2012/05/15	2.57	2.58	2.54	2.57	8271722	21137346.00
2012/05/16	2.55	2.57	2.53	2.54	4331400	11044410.00
2012/05/17	2.54	2.59	2.53	2.59	6218113	15974243.00
