600576 万好万家 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	13.14	13.31	12.49	12.78	6566682	83694864.00
2011/10/11	13.14	13.86	12.78	13.81	14614648	197208464.00
2011/10/12	13.59	14.69	13.45	14.47	22774057	325607584.00
2011/10/13	14.21	14.79	14.15	14.69	17270021	249902704.00
2011/10/14	14.50	14.50	14.03	14.16	13943651	198326480.00
2011/10/17	14.14	14.67	13.94	14.64	16091212	230522960.00
2011/10/18	14.42	14.42	13.18	13.18	16634020	228671296.00
2011/10/19	13.18	13.95	12.90	13.49	11073788	149458592.00
2011/10/20	13.21	13.46	12.15	12.27	11964678	150606272.00
2011/10/21	12.28	12.37	11.43	11.52	8554132	101522368.00
2011/10/24	11.59	11.94	11.09	11.89	7443094	86262992.00
2011/10/25	11.84	12.37	11.65	12.20	8777144	105898680.00
2011/10/26	11.99	12.43	11.90	12.09	9370823	113910064.00
2011/10/27	12.09	12.24	11.82	11.87	7182494	86402336.00
2011/10/28	11.98	12.42	11.98	12.18	8552988	104080816.00
2011/10/31	12.09	12.28	11.89	12.26	10161110	122565352.00
2011/11/01	12.10	12.56	12.07	12.53	12552979	155582144.00
2011/11/02	12.23	12.51	11.98	12.45	9720722	119303072.00
2011/11/03	12.50	12.84	12.39	12.47	11140676	140857200.00
2011/11/04	12.58	12.70	12.26	12.68	8442695	105717664.00
2011/11/07	12.69	12.74	12.40	12.51	5750661	71973232.00
2011/11/08	12.51	12.61	11.94	11.97	7596081	92914704.00
2011/11/09	11.95	12.19	11.88	12.15	5892045	71033328.00
2011/11/10	11.94	12.08	11.78	11.86	5754485	68430032.00
2011/11/11	11.91	12.14	11.84	11.96	3906593	46759776.00
2011/11/14	12.09	12.24	11.99	12.21	5172841	62814248.00
2011/11/15	12.18	12.36	12.14	12.32	5206128	63848784.00
2011/11/16	12.35	12.38	11.69	11.78	6175764	74081488.00
2011/11/18	11.57	11.86	11.18	11.26	4792798	54925192.00
2011/11/21	11.26	11.79	11.22	11.40	3529549	40266428.00
2011/11/22	11.32	11.76	11.26	11.49	3252301	37192700.00
2011/11/23	11.44	11.49	11.28	11.31	2418700	27505996.00
2011/11/24	11.29	11.59	10.99	11.33	3140331	35455964.00
2011/11/25	11.46	11.53	11.16	11.19	2797588	31789282.00
2011/11/28	11.21	11.27	10.78	10.87	4471486	49021396.00
2011/11/29	10.97	11.16	10.89	11.04	3862376	42536416.00
