600586 金晶科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.50	5.55	5.40	5.42	4524823	24745352.00
2011/10/11	5.58	5.69	5.35	5.46	6796014	37568248.00
2011/10/12	5.43	5.65	5.34	5.64	11747440	65778512.00
2011/10/13	5.64	5.85	5.60	5.82	14105410	81168408.00
2011/10/14	5.81	5.81	5.67	5.71	8521486	48891792.00
2011/10/17	5.73	5.82	5.68	5.73	6264601	36055472.00
2011/10/18	5.67	5.67	5.46	5.48	9611932	53444132.00
2011/10/19	5.50	5.53	5.41	5.44	4274374	23415710.00
2011/10/20	5.38	5.43	5.17	5.21	9548753	50420352.00
2011/10/21	5.23	5.31	5.01	5.03	6808343	35266328.00
2011/10/24	5.04	5.16	4.98	5.15	8084832	41216912.00
2011/10/25	5.17	5.41	5.08	5.39	12530646	66170816.00
2011/10/26	5.31	5.53	5.28	5.38	14094138	76433800.00
2011/10/27	5.41	5.45	5.35	5.36	9320854	50512504.00
2011/10/28	5.46	5.58	5.40	5.56	15143783	83490088.00
2011/10/31	5.53	5.55	5.44	5.50	9781496	53970504.00
2011/11/01	5.44	5.50	5.38	5.49	10010955	54679220.00
2011/11/02	5.38	5.65	5.31	5.58	20831187	114383240.00
2011/11/03	5.60	6.14	5.60	6.14	52633124	314320320.00
2011/11/04	6.15	6.26	6.04	6.24	64360850	397674048.00
2011/11/07	6.19	6.23	6.07	6.10	20720922	127465928.00
2011/11/08	6.07	6.22	6.06	6.09	16642773	102229992.00
2011/11/09	6.08	6.20	5.93	6.14	20025374	121945504.00
2011/11/10	6.08	6.08	5.98	5.99	14967398	90342776.00
2011/11/11	5.99	6.16	5.98	6.05	17361451	105654192.00
2011/11/14	6.10	6.32	6.08	6.28	28991812	179968368.00
2011/11/15	6.23	6.36	6.19	6.27	23908745	150456384.00
2011/11/16	6.27	6.38	6.01	6.09	26904324	168442816.00
2011/11/17	6.09	6.13	5.99	6.01	13621249	82677488.00
2011/11/18	5.96	5.98	5.75	5.78	14727917	86460008.00
2011/11/21	5.76	5.88	5.69	5.83	9275015	53841932.00
2011/11/22	5.76	5.80	5.64	5.78	7578075	43659996.00
2011/11/23	5.78	5.86	5.66	5.69	5954890	34338360.00
2011/11/24	5.59	5.66	5.51	5.56	8068754	45111976.00
2011/11/25	5.56	5.63	5.49	5.53	5624457	31390372.00
2011/11/28	5.53	5.58	5.45	5.47	6338126	34931584.00
2011/11/29	5.55	5.66	5.51	5.63	9935264	55786584.00
2011/11/30	5.60	5.61	5.24	5.27	13678887	74035392.00
2011/12/01	5.46	5.58	5.41	5.47	13212242	72685488.00
2011/12/02	5.45	5.59	5.36	5.45	12436975	68299232.00
2011/12/05	5.39	5.43	5.23	5.25	6742511	35798448.00
2011/12/06	5.22	5.44	5.21	5.31	6650259	35254776.00
2011/12/07	5.29	5.35	5.26	5.29	3759844	19986100.00
2011/12/08	5.24	5.37	5.21	5.31	6576758	34997684.00
2011/12/09	5.28	5.34	5.23	5.26	3441301	18236082.00
2011/12/12	5.27	5.31	5.22	5.23	3376462	17803348.00
2011/12/13	5.21	5.24	5.11	5.21	9802367	50953832.00
2011/12/14	5.21	5.28	5.12	5.16	5613983	29246128.00
2011/12/15	5.13	5.15	4.91	4.99	9254585	46435836.00
2011/12/16	5.00	5.18	4.95	5.16	6159031	31184676.00
2011/12/19	5.16	5.16	4.99	5.13	6927963	35279048.00
2011/12/20	5.09	5.17	5.06	5.10	5565265	28663678.00
2011/12/21	5.16	5.18	4.95	4.96	5403924	27534632.00
2011/12/23	4.94	5.09	4.88	5.01	5991364	30049228.00
2011/12/26	5.02	5.05	4.92	4.95	4155850	20795716.00
2011/12/27	4.95	4.98	4.68	4.70	5718459	27658356.00
2011/12/28	4.67	4.67	4.48	4.61	6050161	27760268.00
2011/12/29	4.62	4.67	4.56	4.58	4365279	20264820.00
2011/12/30	4.60	4.83	4.59	4.74	6089289	28460716.00
2012/01/04	4.85	4.85	4.56	4.58	4279455	20212956.00
2012/01/05	4.58	4.63	4.48	4.49	5622342	25575246.00
2012/01/06	4.47	4.51	4.25	4.48	8126650	35653524.00
2012/01/09	4.48	4.67	4.38	4.67	7631398	35136560.00
2012/01/10	4.68	5.01	4.63	4.91	11710347	56868520.00
2012/01/11	4.92	4.93	4.79	4.83	9114571	44451552.00
2012/01/12	4.80	4.99	4.79	4.87	9922250	48956976.00
2012/01/13	4.87	4.91	4.58	4.63	8407430	39820268.00
2012/01/16	4.60	4.68	4.51	4.60	4719663	21787580.00
2012/01/17	4.54	4.91	4.54	4.87	8538607	40922980.00
2012/01/18	4.88	4.93	4.75	4.78	9868400	47772320.00
2012/01/19	4.79	4.89	4.76	4.83	6725561	32655352.00
2012/01/20	4.86	4.88	4.81	4.87	5408766	26343048.00
2012/01/30	4.89	4.90	4.77	4.78	5341501	26027872.00
2012/01/31	4.79	4.81	4.70	4.77	4395955	20993464.00
2012/02/01	4.78	4.82	4.70	4.71	3577492	17103308.00
2012/02/02	4.71	4.77	4.66	4.75	7949525	37735152.00
2012/02/03	4.81	4.96	4.78	4.89	15260775	74881464.00
2012/02/06	4.84	5.12	4.83	5.09	23484754	118107792.00
2012/02/07	5.01	5.02	4.86	4.91	13342304	66066312.00
2012/02/08	4.92	5.06	4.86	5.02	10908263	54554792.00
2012/02/09	5.02	5.13	4.99	5.06	14697411	74829976.00
2012/02/10	5.06	5.17	5.02	5.11	14386271	73848656.00
2012/02/13	5.03	5.16	5.00	5.07	12743789	65023244.00
2012/02/14	5.05	5.11	5.03	5.05	7827854	39737824.00
2012/02/15	5.04	5.25	5.00	5.20	17459383	90366312.00
2012/02/16	5.19	5.26	5.11	5.18	15983847	83274272.00
2012/02/17	5.19	5.22	5.08	5.11	11624366	59892104.00
2012/02/20	5.17	5.62	5.13	5.62	87659990	485899072.00
2012/02/21	5.56	5.71	5.54	5.69	67548547	381513344.00
2012/02/22	5.64	5.73	5.58	5.71	43736427	248763584.00
2012/02/23	5.69	5.90	5.65	5.76	60844902	353257696.00
2012/02/24	5.72	5.75	5.60	5.73	34100936	194490928.00
2012/02/27	5.74	5.78	5.64	5.65	33912285	194657168.00
2012/02/28	5.60	5.67	5.55	5.63	19284913	108518048.00
2012/02/29	5.61	5.76	5.59	5.61	20195366	115129288.00
2012/03/01	5.58	5.66	5.56	5.61	12285910	69169664.00
2012/03/02	5.60	5.73	5.59	5.71	19496453	111091552.00
2012/03/05	5.72	5.75	5.61	5.64	20518341	116594032.00
2012/03/06	5.61	5.71	5.58	5.67	18270010	103669184.00
2012/03/07	5.64	5.86	5.58	5.82	38290448	220747536.00
2012/03/08	5.83	5.93	5.78	5.82	38429409	226003280.00
2012/03/09	5.82	5.86	5.65	5.75	28301606	162530480.00
2012/03/12	5.77	5.77	5.64	5.72	18901073	107925616.00
2012/03/13	5.68	6.06	5.66	5.91	43811056	257924928.00
2012/03/14	5.90	5.91	5.43	5.49	37989797	217343696.00
2012/03/15	5.48	5.56	5.19	5.27	20267836	108613600.00
2012/03/16	5.27	5.38	5.23	5.37	13164547	70255480.00
