600588 用友网络 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	11.90	12.20	11.90	12.04	2085816	46708356.00
2011/10/11	12.10	12.34	11.61	11.80	1446384	31954690.00
2011/10/12	11.61	12.02	11.56	11.94	1906644	41784948.00
2011/10/13	11.90	12.25	11.80	12.19	2058002	45902680.00
2011/10/14	12.08	12.25	12.05	12.19	774785	17406276.00
2011/10/17	12.24	12.47	12.19	12.44	1445006	32928312.00
2011/10/18	12.42	12.76	12.27	12.28	2579297	59395440.00
2011/10/19	12.28	12.53	12.24	12.39	669708	15285047.00
2011/10/20	12.26	12.41	12.02	12.07	734486	16434260.00
2011/10/21	12.30	12.30	11.60	11.78	898859	19716400.00
2011/10/24	11.72	11.90	11.56	11.82	916054	19864736.00
2011/10/25	11.90	12.13	11.73	12.01	1729527	38206388.00
2011/10/26	11.98	12.28	11.98	12.19	1674531	37622780.00
2011/10/27	12.16	12.16	10.89	10.90	23924273	486617824.00
2011/10/28	10.73	10.99	10.36	10.94	22671784	449034272.00
2011/10/31	10.74	11.16	10.58	11.09	11855470	242140000.00
2011/11/01	10.93	11.38	10.89	11.12	7958511	164806880.00
2011/11/02	10.98	11.90	10.90	11.83	11887954	253841744.00
2011/11/03	11.93	13.09	11.93	12.01	12959310	295744128.00
2011/11/04	12.13	12.31	11.67	11.84	6039243	133036080.00
2011/11/07	11.73	12.05	11.63	11.74	2014980	44086384.00
2011/11/08	11.82	11.86	11.43	11.46	2105576	45418392.00
2011/11/09	11.39	11.69	11.28	11.68	3466282	73652024.00
2011/11/10	11.63	12.22	11.49	11.89	6945345	153450064.00
2011/11/11	12.02	12.16	11.75	12.01	3136850	69638792.00
2011/11/14	12.02	12.42	12.01	12.22	3418163	77532344.00
2011/11/15	12.19	12.34	12.03	12.15	1780645	40067412.00
2011/11/16	12.15	12.31	11.79	11.86	2179806	48487744.00
2011/11/17	11.86	12.05	11.72	11.92	1910969	41977804.00
2011/11/18	11.84	11.84	11.27	11.28	3233540	68715368.00
2011/11/21	11.26	11.52	11.25	11.43	1189625	25220940.00
2011/11/22	11.43	11.58	11.27	11.44	2430600	51513528.00
2011/11/23	11.47	11.69	11.32	11.64	2230185	47594280.00
2011/11/24	11.56	11.70	11.47	11.58	1214743	25979016.00
2011/11/25	11.65	11.66	11.31	11.40	1650821	35064412.00
2011/11/28	11.49	11.53	11.03	11.11	4226818	88111472.00
2011/11/29	11.27	11.27	10.95	11.03	5274639	108171152.00
2011/11/30	11.01	11.09	10.52	10.57	4701172	93846928.00
2011/12/01	10.73	11.04	10.69	10.73	3525278	71195440.00
2011/12/02	10.72	10.82	10.58	10.71	1929160	38416332.00
2011/12/05	10.83	10.84	10.46	10.49	2504759	49318484.00
2011/12/06	10.51	10.57	10.39	10.41	1962040	38325316.00
2011/12/07	10.43	10.59	10.37	10.47	1606560	31405500.00
2011/12/08	10.46	10.54	10.22	10.33	3325788	64231668.00
2011/12/12	10.17	10.32	9.77	9.82	4750384	89187464.00
2011/12/13	9.76	9.86	9.37	9.53	3250634	58530260.00
2011/12/14	9.55	9.58	9.18	9.28	2683349	47040116.00
2011/12/15	9.28	9.50	8.72	9.38	4951285	84587216.00
2011/12/16	9.40	9.70	9.27	9.64	2159057	38590912.00
2011/12/19	9.61	9.78	9.29	9.73	1747115	31149936.00
2011/12/20	9.76	9.81	9.54	9.63	1395981	25271436.00
2011/12/21	9.76	9.76	9.50	9.59	766622	13794023.00
2011/12/22	9.53	9.59	9.01	9.59	2273966	40034616.00
2011/12/23	9.40	9.76	9.40	9.56	1243793	22361720.00
2011/12/26	9.70	9.98	9.59	9.62	1881518	34315400.00
2011/12/27	9.56	9.64	9.30	9.33	920030	16257125.00
2011/12/28	9.30	9.38	8.78	9.30	3378242	56967576.00
2011/12/29	9.30	9.59	9.04	9.55	3280966	57116096.00
2011/12/30	9.47	9.69	9.36	9.59	2900566	52262872.00
2012/01/04	9.59	9.70	8.94	8.95	2597370	45352832.00
2012/01/05	8.94	8.94	8.11	8.71	6171953	97610408.00
2012/01/06	8.53	8.64	8.20	8.56	2814091	44977300.00
2012/01/09	8.56	8.79	8.23	8.77	4852289	78108296.00
2012/01/10	8.75	9.10	8.60	9.02	3599410	60593864.00
2012/01/11	9.08	9.88	9.01	9.47	5592946	99374848.00
2012/01/12	9.36	9.47	9.01	9.09	2764174	48072420.00
2012/01/13	9.24	9.24	8.71	8.73	1708498	28524932.00
2012/01/16	8.71	8.71	8.40	8.45	2202001	35524452.00
2012/01/17	8.45	8.88	8.40	8.85	1716522	28252400.00
2012/01/18	8.85	8.99	8.60	8.71	2792294	46100304.00
2012/01/19	8.71	8.71	8.43	8.54	3402193	55098224.00
2012/01/20	8.55	8.84	8.39	8.71	4651132	75993736.00
2012/01/30	8.71	8.75	8.49	8.56	1971045	32115292.00
2012/01/31	8.66	8.82	8.53	8.69	5907922	96922096.00
2012/02/01	8.73	8.97	8.66	8.82	3550503	59244660.00
2012/02/02	8.83	9.13	8.74	9.09	4216641	71155680.00
