600589 广东榕泰 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.67	7.85	7.63	7.70	1965115	15318971.00
2011/10/11	7.89	7.97	7.61	7.77	2407223	19026120.00
2011/10/12	7.76	8.04	7.66	8.02	3082338	24713482.00
2011/10/13	8.04	8.25	7.98	8.21	5039414	41561688.00
2011/10/14	8.15	8.28	8.04	8.27	5553948	45823792.00
2011/10/17	8.27	8.44	8.22	8.31	7270156	60970460.00
2011/10/18	8.30	8.30	7.97	8.24	5297970	43457620.00
2011/10/19	8.18	8.34	8.00	8.15	10243244	84015944.00
2011/10/20	8.07	8.07	7.55	7.87	5180911	40690612.00
2011/10/21	7.80	8.19	7.68	7.79	9502624	75174224.00
2011/10/24	7.75	7.78	7.10	7.44	8862416	66784384.00
2011/10/25	7.40	7.56	7.23	7.52	7908466	59534608.00
2011/10/26	7.49	7.67	7.40	7.52	5746317	43868320.00
2011/10/27	7.50	7.58	7.41	7.47	3285322	24951280.00
2011/10/28	7.53	7.72	7.50	7.69	5231722	40322920.00
2011/10/31	7.70	7.77	7.63	7.71	4284112	33452370.00
2011/11/01	7.74	7.96	7.69	7.87	6704400	53279356.00
2011/11/02	7.75	7.90	7.66	7.90	5932601	46736736.00
2011/11/03	7.90	8.05	7.82	7.84	8260068	66389408.00
2011/11/04	7.90	7.93	7.74	7.85	5800425	46123984.00
2011/11/07	7.81	7.92	7.75	7.85	3237922	25736952.00
2011/11/08	7.88	7.92	7.70	7.75	3353538	26602028.00
2011/11/09	7.75	7.83	7.56	7.74	4781198	37151392.00
2011/11/10	7.66	7.69	7.55	7.56	3722685	28730708.00
2011/11/11	7.64	7.67	7.52	7.59	2088157	16075102.00
2011/11/14	7.65	7.93	7.62	7.90	7213582	57360216.00
2011/11/15	7.90	7.96	7.84	7.90	4332207	34609112.00
2011/11/16	7.92	7.94	7.61	7.64	5607402	44087768.00
2011/11/17	7.64	7.75	7.61	7.64	2507501	19506470.00
2011/11/18	7.64	7.65	7.36	7.41	3462320	26128688.00
2011/11/21	7.39	7.95	7.39	7.89	13374596	105833360.00
2011/11/22	7.77	8.04	7.73	8.00	14694730	118272760.00
2011/11/23	8.00	8.06	7.85	7.89	5744694	46185832.00
2011/11/24	7.82	8.02	7.53	8.00	10288240	81526064.00
2011/11/25	8.00	8.08	7.80	7.90	5990204	48113388.00
2011/11/28	7.89	7.95	7.77	7.90	4064421	32343740.00
2011/11/29	7.93	7.96	7.83	7.92	5334365	42741088.00
2011/11/30	7.93	8.08	7.53	7.78	10754694	85871864.00
2011/12/01	8.00	8.14	7.90	8.02	11190181	90906808.00
2011/12/02	7.99	8.28	7.86	8.26	16343362	134429664.00
2011/12/05	8.22	8.22	7.88	7.98	9431722	76659912.00
2011/12/06	7.88	7.93	7.51	7.70	8051658	62668140.00
2011/12/07	7.65	7.73	7.57	7.64	4731679	36603416.00
2011/12/08	7.60	7.67	7.41	7.53	4193347	32063270.00
2011/12/09	7.50	7.61	7.38	7.45	3233847	24509416.00
2011/12/12	7.48	7.50	7.18	7.21	3651273	27055732.00
2011/12/13	7.21	7.26	6.85	6.99	5580248	39587160.00
2011/12/14	6.97	6.97	6.75	6.79	2780754	19247048.00
2011/12/15	6.72	6.72	6.25	6.34	4905401	32232712.00
2011/12/16	6.30	6.61	6.28	6.59	3738671	24340664.00
2011/12/19	6.50	6.60	6.37	6.58	3346663	22031752.00
2011/12/20	6.50	6.68	6.50	6.59	3710657	24863534.00
2011/12/21	6.66	6.68	6.05	6.06	3154793	20497250.00
2011/12/22	5.95	6.01	5.50	5.90	6828105	40237172.00
2011/12/23	5.89	6.00	5.82	5.88	2865925	17283744.00
2011/12/26	5.90	5.92	5.69	5.75	2215290	13109607.00
2011/12/27	5.75	5.75	5.48	5.51	2513061	14298264.00
2011/12/28	5.48	5.98	5.38	5.86	5949694	34122608.00
2011/12/29	5.80	5.91	5.76	5.81	2292769	13619472.00
2011/12/30	5.80	5.92	5.80	5.89	1742880	10410582.00
2012/01/04	5.93	5.97	5.59	5.60	2816067	16437696.00
2012/01/05	5.61	5.63	5.29	5.37	2660206	14754132.00
2012/01/06	5.31	5.50	5.10	5.46	2977226	16022404.00
2012/01/09	5.49	5.80	5.35	5.75	3606231	20679516.00
2012/01/10	5.76	6.01	5.76	5.91	7599827	45715244.00
2012/01/11	5.85	6.01	5.84	5.99	4690067	28225724.00
2012/01/12	5.93	6.04	5.90	5.99	3618955	22022132.00
2012/01/13	6.00	6.00	5.74	5.80	3568910	21109664.00
2012/01/16	5.75	5.76	5.59	5.61	1578950	9096747.00
2012/01/17	5.65	5.94	5.50	5.90	4690262	27713996.00
2012/01/18	5.90	5.99	5.77	5.78	3658023	21931076.00
2012/01/19	5.83	5.90	5.62	5.81	2455947	14525641.00
2012/01/20	5.82	5.89	5.79	5.87	2962756	17648380.00
2012/01/30	5.87	5.98	5.84	5.86	2671409	16065489.00
2012/01/31	5.88	5.90	5.75	5.86	1113781	6580996.00
2012/02/01	5.84	5.91	5.69	5.70	2542528	14985390.00
2012/02/02	5.75	5.78	5.58	5.77	4593221	26518840.00
2012/02/03	5.75	5.90	5.72	5.88	5828441	34590836.00
2012/02/06	5.88	6.04	5.87	6.01	9353642	56608656.00
