600590 泰豪科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.06	8.12	7.85	7.87	1182838	9628284.00
2011/10/21	8.04	8.18	7.69	7.69	2314919	18801992.00
2011/10/24	7.69	7.91	7.53	7.72	2519393	19900544.00
2011/10/25	7.81	8.01	7.68	7.97	3147075	25274220.00
2011/10/27	8.07	8.69	8.03	8.30	7203754	61536656.00
2011/10/28	8.43	8.68	8.37	8.46	4923315	42682384.00
2011/10/31	8.51	8.51	8.33	8.43	2519355	21638390.00
2011/11/01	8.35	8.49	8.30	8.48	2699150	23167088.00
2011/11/02	8.38	8.93	8.30	8.79	6200352	54604484.00
2011/11/03	8.79	8.99	8.75	8.80	7666060	69326280.00
2011/11/04	8.88	8.91	8.72	8.78	3417835	30642346.00
2011/11/07	8.74	8.91	8.73	8.88	3777880	34040764.00
2011/11/08	8.91	8.98	8.69	8.77	2753668	24714132.00
2011/11/09	8.78	8.88	8.68	8.87	2751153	24693154.00
2011/11/10	8.83	9.18	8.74	9.00	9523315	87691688.00
2011/11/11	9.01	9.15	8.86	9.03	6230065	57301548.00
2011/11/14	9.13	9.27	9.10	9.21	5301624	49632228.00
2011/11/15	9.20	9.25	9.09	9.11	3683323	34299976.00
2011/11/16	9.17	9.32	8.80	8.86	5031846	46317652.00
2011/11/17	8.92	8.98	8.80	8.81	2458881	22190922.00
2011/11/18	8.73	8.86	8.52	8.61	2906910	25737312.00
2011/11/21	8.59	8.71	8.52	8.69	1765462	15519629.00
2011/11/22	8.62	8.71	8.44	8.63	1871801	16379845.00
2011/11/23	8.64	8.70	8.58	8.62	1296360	11428634.00
2011/11/24	8.52	8.58	8.37	8.44	2130791	18425362.00
2011/11/25	8.44	8.49	8.18	8.21	1977715	16779256.00
2011/11/28	8.21	8.34	8.20	8.24	1167028	9831851.00
2011/11/29	8.37	8.41	8.28	8.40	1540877	13137001.00
2011/11/30	8.40	8.40	7.91	7.94	1810757	14971368.00
2011/12/01	8.25	8.37	8.10	8.17	2196119	18498726.00
2011/12/02	8.18	8.25	8.01	8.04	1180300	9787368.00
2011/12/05	8.01	8.06	7.81	7.82	1123297	9102668.00
2011/12/06	7.82	7.94	7.75	7.84	911980	7305786.00
2011/12/07	7.83	7.96	7.78	7.87	1072270	8617116.00
2011/12/08	7.93	8.16	7.80	8.02	2229653	18167032.00
2011/12/09	7.94	8.03	7.86	7.90	949236	7710609.00
2011/12/12	7.91	7.97	7.74	7.75	755936	6051828.00
2011/12/13	7.73	7.75	7.30	7.31	2041402	15505064.00
2011/12/14	7.32	7.38	7.24	7.27	1213779	9071958.00
2011/12/15	7.25	7.25	6.90	6.92	1805512	13046151.00
2011/12/16	6.92	7.18	6.92	7.17	1449999	10430115.00
2011/12/19	7.13	7.23	6.97	7.19	1228595	8929829.00
2011/12/20	7.19	7.34	7.09	7.22	1616439	12009646.00
2011/12/21	7.28	7.41	7.04	7.05	1415462	10516301.00
2011/12/22	7.03	7.03	6.56	6.87	2333527	16274175.00
2011/12/26	6.93	7.03	6.78	6.81	2260232	16066861.00
2011/12/27	6.78	6.87	6.62	6.62	945150	6529805.00
2011/12/28	6.62	6.63	6.41	6.61	1653004	11072175.00
2011/12/29	6.58	6.68	6.51	6.53	1846556	12514208.00
2011/12/30	6.63	6.66	6.53	6.55	2182454	14788587.00
2012/01/04	6.68	6.68	6.38	6.39	2064030	13804260.00
2012/01/05	6.33	6.33	5.96	6.14	2164970	13717558.00
2012/01/06	5.99	6.18	5.97	6.14	1289475	8065797.00
2012/01/09	6.14	6.47	6.05	6.42	1986027	12890703.00
2012/01/10	6.41	6.74	6.35	6.70	3889361	26475316.00
2012/01/11	6.73	6.88	6.68	6.70	3134982	21734696.00
2012/01/12	6.63	6.84	6.63	6.72	2165917	14965744.00
2012/01/13	6.73	6.83	6.32	6.38	2916349	19389362.00
2012/01/16	6.36	6.44	6.22	6.22	810355	5256930.00
2012/01/17	6.24	6.64	6.23	6.60	2319508	15402667.00
2012/01/18	6.62	6.71	6.45	6.48	1674762	11314258.00
2012/01/19	6.52	6.62	6.33	6.60	1928994	12969437.00
2012/01/20	6.59	6.71	6.54	6.65	1832231	12484528.00
2012/01/30	6.72	6.72	6.59	6.59	1115968	7600322.00
2012/01/31	6.63	6.63	6.50	6.56	1086166	7281416.00
2012/02/01	6.56	6.61	6.44	6.50	1270282	8520809.00
2012/02/02	6.47	6.62	6.46	6.62	1848540	12400674.00
2012/02/03	6.59	6.84	6.59	6.80	3204571	22134966.00
2012/02/06	6.82	6.88	6.77	6.85	3469193	24245082.00
2012/02/07	6.85	6.85	6.62	6.63	2409072	16554309.00
2012/02/08	6.59	6.81	6.58	6.81	2819299	19416604.00
2012/02/09	6.83	7.00	6.80	6.91	4193557	29647352.00
2012/02/10	6.90	6.99	6.86	6.95	3666391	26019212.00
2012/02/13	6.89	7.10	6.83	7.10	3936846	28246374.00
2012/02/14	7.12	7.23	7.03	7.15	6484135	47467304.00
2012/02/15	7.16	7.43	7.07	7.31	5485449	40783256.00
2012/02/16	7.28	7.41	7.22	7.36	5196105	38843576.00
2012/02/17	7.35	7.40	7.19	7.26	2425090	18030268.00
2012/02/20	7.35	7.40	7.17	7.20	3561298	26595764.00
2012/02/21	7.17	7.31	7.14	7.31	2832995	20986100.00
2012/02/22	7.31	7.46	7.29	7.43	4186155	31615952.00
