600594 益佰制药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	15.98	16.15	15.59	15.99	1427801	23011308.00
2011/10/11	16.14	16.31	15.86	15.98	479381	7864256.00
2011/10/12	15.91	16.53	15.90	16.53	537308	8951700.00
2011/10/13	16.26	16.79	16.26	16.63	828752	14095109.00
2011/10/14	16.65	16.65	16.45	16.51	185710	3130797.00
2011/10/17	16.75	16.75	16.32	16.55	183709	3107929.00
2011/10/18	16.48	16.53	15.95	16.05	274471	4533484.00
2011/10/19	16.05	16.23	15.94	16.05	547770	9004179.00
2011/10/20	16.11	16.11	15.43	15.48	811099	12889737.00
2011/10/21	15.53	15.60	14.83	14.86	1051405	16214480.00
2011/10/24	14.94	16.38	14.94	15.77	2807263	45513424.00
2011/10/25	15.60	16.64	15.45	16.44	2893723	47848100.00
2011/10/26	16.32	16.95	16.27	16.79	1897444	32343924.00
2011/10/27	16.92	17.19	16.83	16.83	1361818	23624020.00
2011/10/28	16.85	17.15	16.73	16.85	1138913	19694936.00
2011/10/31	16.85	17.54	16.65	17.16	1478263	25867910.00
2011/11/01	17.10	17.34	16.97	17.15	673111	11831624.00
2011/11/02	16.73	17.38	16.73	17.36	988909	17219712.00
2011/11/03	17.30	17.92	17.30	17.70	1883804	34001740.00
2011/11/04	17.72	17.85	17.65	17.76	812255	14702344.00
2011/11/07	17.57	17.90	17.54	17.60	698041	12630841.00
2011/11/08	17.64	17.64	16.87	17.10	1341212	23452356.00
2011/11/09	17.10	17.35	16.96	17.32	798373	14002490.00
2011/11/10	17.15	17.65	17.00	17.34	993436	17632640.00
2011/11/11	17.54	17.71	17.35	17.60	726196	13042563.00
2011/11/14	17.80	18.65	17.76	18.30	1794987	33533732.00
2011/11/15	18.51	18.65	18.32	18.50	807948	15229897.00
2011/11/16	18.48	19.15	18.11	18.23	910525	17214908.00
2011/11/17	18.33	18.63	18.31	18.37	1014135	19017736.00
2011/11/18	18.37	18.55	17.93	18.51	1563570	29242120.00
2011/11/21	18.25	18.55	17.66	17.83	1032409	19024364.00
2011/11/22	18.15	18.15	17.65	17.95	1494764	27203844.00
2011/11/23	17.66	18.01	17.65	17.95	331590	6025619.00
2011/11/24	17.90	18.35	17.66	18.21	625830	11532209.00
2011/11/25	18.23	18.55	17.90	18.46	1454760	27274656.00
2011/11/28	18.43	18.63	18.28	18.56	468639	8847852.00
2011/11/29	18.70	18.75	18.15	18.54	1804898	34013320.00
2011/11/30	18.43	18.43	17.73	18.18	936330	17288870.00
2011/12/01	18.43	18.70	18.29	18.46	979868	18424880.00
2011/12/02	18.40	18.44	17.58	18.02	1457240	26444148.00
2011/12/05	18.02	18.02	17.01	17.24	778409	13778373.00
2011/12/06	17.06	17.35	16.70	17.17	961391	16734185.00
2011/12/07	16.69	17.54	16.63	17.06	1266156	21902424.00
2011/12/08	16.81	17.25	16.42	16.90	1592493	27128602.00
2011/12/09	16.61	16.83	16.40	16.42	967396	16383249.00
2011/12/12	16.49	17.01	16.23	16.44	895091	15002098.00
2011/12/13	16.15	16.33	15.91	16.02	835600	13749056.00
2011/12/14	15.85	16.10	15.64	16.09	1642518	26472384.00
2011/12/15	15.95	15.95	15.63	15.88	791642	12763221.00
2011/12/16	15.91	16.32	15.77	16.30	500859	8172305.00
2011/12/19	16.30	16.30	15.61	15.91	988309	15946896.00
2011/12/20	15.84	15.97	15.58	15.72	1054850	16962920.00
2011/12/21	15.92	15.92	15.60	15.80	1292136	20799078.00
2011/12/22	15.80	15.89	15.35	15.81	488565	7820536.00
2011/12/23	15.89	16.03	15.48	15.63	825164	13279012.00
2011/12/26	15.63	15.81	15.46	15.58	650452	10370937.00
2011/12/27	15.60	15.63	15.37	15.54	369779	5851394.00
2011/12/28	15.40	15.55	14.87	15.55	733296	11443553.00
2011/12/29	15.45	16.25	15.36	15.89	1338929	21867670.00
2011/12/30	15.99	16.53	15.96	16.43	775871	12927567.00
2012/01/04	16.45	16.53	15.45	15.69	422722	6866404.00
2012/01/05	15.82	15.87	15.21	15.53	453800	7273782.00
2012/01/06	15.45	15.45	14.88	15.04	2009614	31009280.00
2012/01/09	15.04	15.34	14.89	15.26	1494975	23121504.00
2012/01/10	15.25	15.93	15.18	15.84	1757500	27993844.00
