600599 熊猫金控 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	12.63	12.75	12.29	12.36	2139914	26714600.00
2011/10/11	12.70	12.85	12.30	12.48	2520717	31619252.00
2011/10/12	12.30	12.93	12.23	12.88	2774381	35224004.00
2011/10/13	12.87	13.12	12.77	12.97	2612030	33840808.00
2011/10/14	12.90	13.08	12.73	12.88	1802276	23170220.00
2011/10/17	12.85	13.08	12.78	12.84	1709019	22076848.00
2011/10/18	12.80	12.80	12.35	12.35	2185293	27490816.00
2011/10/19	12.41	12.65	12.40	12.56	1348569	16923044.00
2011/10/20	12.50	12.64	12.20	12.37	1420702	17577090.00
2011/10/21	12.38	12.49	12.23	12.33	1090855	13485149.00
2011/10/24	12.31	12.50	12.10	12.46	1613137	19889096.00
2011/10/25	12.50	12.84	12.40	12.83	2441282	30953220.00
2011/10/26	12.67	12.82	12.49	12.72	3729890	47220208.00
2011/10/27	12.69	12.83	12.62	12.77	2445449	31114668.00
2011/10/28	12.85	12.95	12.67	12.83	2926489	37499264.00
2011/10/31	12.86	13.08	12.76	12.97	3377774	43723624.00
2011/11/01	12.83	13.07	12.80	12.83	2383237	30797144.00
2011/11/02	12.70	12.98	12.54	12.92	2274939	28951188.00
2011/11/03	12.95	13.20	12.92	13.01	3886299	50844516.00
2011/11/04	13.05	13.13	12.94	13.09	2637269	34391476.00
2011/11/07	13.04	13.26	13.00	13.13	2354445	30960380.00
2011/11/08	13.20	13.24	12.91	12.93	2072962	27047812.00
2011/11/09	13.00	13.19	12.87	13.12	1820829	23767220.00
2011/11/10	12.97	13.18	12.90	13.00	1865639	24307364.00
2011/11/11	12.98	13.11	12.90	13.01	1484220	19325956.00
2011/11/14	13.08	13.25	13.08	13.23	2840034	37457996.00
2011/11/15	13.22	13.45	13.16	13.38	2786816	37105036.00
2011/11/16	13.38	13.45	13.06	13.12	2680148	35402352.00
2011/11/17	13.12	13.28	13.11	13.15	1534866	20224110.00
2011/11/18	13.10	13.13	12.65	12.72	2482054	31942806.00
2011/11/21	12.72	12.85	12.68	12.80	1129898	14435449.00
2011/11/22	12.72	13.24	12.68	13.22	1952576	25276732.00
2011/11/23	13.20	13.64	13.15	13.39	5712004	76743864.00
2011/11/24	13.25	13.60	13.20	13.54	4701564	63415888.00
2011/11/25	13.48	13.75	13.40	13.46	3639815	49380240.00
2011/11/28	13.53	13.55	13.30	13.35	2387960	31961838.00
2011/11/29	13.51	13.68	13.31	13.55	3462688	46845372.00
2011/12/01	13.50	13.97	13.41	13.92	8252557	113493040.00
2011/12/02	13.79	13.86	13.41	13.57	3967273	54122804.00
2011/12/05	13.58	13.63	13.11	13.15	2917914	39015084.00
2011/12/06	13.07	13.10	12.46	12.68	3477725	44032120.00
2011/12/07	12.59	12.93	12.58	12.90	2246110	28708540.00
2011/12/08	12.80	13.14	12.65	12.90	2149096	27739078.00
2011/12/09	12.76	13.11	12.70	13.02	1933775	25138468.00
2011/12/12	13.06	13.64	12.99	13.44	5076674	68188280.00
2011/12/13	13.45	13.60	13.23	13.38	5630685	75592176.00
2011/12/14	13.28	13.55	13.23	13.44	3961901	53194188.00
2011/12/15	13.35	13.70	13.30	13.50	6442634	87404040.00
2011/12/16	13.49	13.56	12.15	12.81	8118060	102433672.00
2011/12/19	12.50	12.75	12.10	12.65	4327158	53612584.00
2011/12/20	12.42	12.72	12.41	12.49	2902039	36474868.00
2011/12/21	12.62	12.73	12.24	12.26	2306241	28890184.00
2011/12/22	12.15	12.15	11.03	11.37	4799870	54669688.00
2011/12/23	11.39	11.49	11.10	11.35	3000653	33917144.00
2011/12/27	11.06	11.29	10.35	10.38	4007606	42594400.00
2011/12/28	10.27	10.27	9.46	9.83	4308495	41892904.00
2011/12/29	9.67	10.10	9.56	10.07	3356369	33329820.00
2011/12/30	10.07	10.29	10.07	10.25	2685508	27431096.00
2012/01/04	10.36	11.28	10.36	11.28	4459991	49677916.00
2012/01/05	11.50	11.58	11.02	11.41	10029079	113643720.00
2012/01/06	11.07	11.47	11.03	11.40	4313604	48558248.00
2012/01/09	11.24	11.87	11.20	11.78	7106265	82256776.00
2012/01/10	11.70	12.12	11.44	11.86	7955128	93566416.00
2012/01/11	11.70	11.80	11.50	11.64	5126483	59605992.00
2012/01/12	11.43	11.85	11.43	11.62	4136679	48276548.00
2012/01/13	11.64	12.55	11.64	12.14	11298083	136297184.00
2012/01/16	11.90	11.92	10.93	10.93	6402181	71523824.00
2012/01/17	10.66	11.91	10.20	11.68	8583256	93906240.00
2012/01/18	11.47	11.50	10.61	10.72	6852751	76230072.00
2012/01/19	10.60	11.40	10.50	10.85	4633256	50900296.00
