600600 青岛啤酒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	31.95	32.72	31.60	32.44	1851968	61324756.00
2011/10/11	32.73	32.95	30.81	31.32	2951640	96333504.00
2011/10/12	31.31	32.01	30.76	31.90	2189897	71183432.00
2011/10/13	31.79	32.75	31.45	32.69	3018437	100344960.00
2011/10/14	32.69	33.05	32.26	32.96	1934508	65062968.00
2011/10/17	33.08	33.54	32.59	32.65	1672763	56597852.00
2011/10/18	32.65	33.25	31.97	32.06	2721715	91840632.00
2011/10/19	31.97	32.45	31.75	32.10	1194420	39347428.00
2011/10/20	31.67	32.12	31.15	31.77	955436	30921992.00
2011/10/21	31.45	32.25	31.45	31.98	1507802	49372128.00
2011/10/24	32.14	32.58	31.60	32.03	1421315	46853700.00
2011/10/25	31.82	33.65	31.82	33.35	2633048	89213968.00
2011/10/26	33.33	33.63	33.15	33.37	752530	25798858.00
2011/10/27	33.40	33.75	33.30	33.34	1146894	39324332.00
2011/10/28	33.15	33.63	32.31	32.70	7149077	239589888.00
2011/10/31	32.65	33.15	32.35	32.84	2932114	98603240.00
2011/11/01	32.51	32.98	32.48	32.54	2434604	81724616.00
2011/11/02	32.35	33.42	32.15	33.40	2256353	75954400.00
2011/11/03	33.35	33.54	32.98	33.20	2684712	91589160.00
2011/11/04	33.43	33.90	33.10	33.27	3804707	131169304.00
2011/11/07	33.25	34.24	33.15	33.92	3337844	116044760.00
2011/11/08	33.86	34.64	33.56	34.33	2407640	84462928.00
2011/11/09	34.53	34.86	34.16	34.79	2629855	93091704.00
2011/11/10	34.33	35.44	34.30	34.59	3395756	122053592.00
2011/11/11	34.75	35.27	34.33	35.02	1898765	68058464.00
2011/11/14	35.15	35.65	34.93	35.14	1409985	50910552.00
2011/11/15	35.00	35.28	34.86	34.88	1052109	37767948.00
2011/11/16	34.81	35.12	33.95	34.26	2528401	89425880.00
2011/11/17	34.35	34.61	34.25	34.30	753278	26614120.00
2011/11/18	34.05	34.61	33.61	34.17	1400525	48729296.00
2011/11/21	34.20	35.53	34.20	35.24	1401280	50232872.00
2011/11/22	35.14	35.61	34.94	35.57	1699390	61636064.00
2011/11/23	35.57	35.93	34.85	35.41	1105424	40274760.00
2011/11/24	35.05	36.15	35.05	35.51	1356456	49556328.00
2011/11/25	35.26	35.83	34.63	34.65	1643705	59345936.00
2011/11/28	34.75	35.61	34.30	35.51	1135896	40693544.00
2011/11/29	35.53	35.95	34.95	35.14	1765075	63931652.00
2011/11/30	34.99	35.23	34.02	34.73	1757566	62364752.00
2011/12/01	35.15	35.42	33.73	34.67	2894410	103891024.00
2011/12/02	34.35	34.98	34.16	34.72	1107629	39386084.00
2011/12/05	34.95	35.24	34.30	35.00	2389578	85765104.00
2011/12/06	34.96	35.15	33.76	34.15	1752988	61264828.00
2011/12/07	34.07	34.33	33.63	34.15	1466042	50983724.00
2011/12/08	33.95	34.49	33.72	34.01	1257307	43815724.00
2011/12/09	34.00	34.10	31.45	33.28	6442319	214541216.00
2011/12/12	32.75	32.78	31.97	32.14	2639508	87616032.00
2011/12/13	31.95	32.09	31.05	31.08	2501419	80679672.00
2011/12/14	30.34	32.12	30.34	31.77	1516501	49458536.00
2011/12/15	31.28	32.59	31.28	32.33	1059933	34832240.00
2011/12/16	32.25	32.64	31.85	32.32	1176164	38759476.00
2011/12/19	31.85	33.06	31.15	32.76	1489588	48913608.00
2011/12/20	32.59	33.09	32.45	32.83	1132648	38064968.00
2011/12/21	33.10	33.14	31.98	32.52	1472373	48927320.00
2011/12/22	32.32	32.60	32.15	32.31	892313	29607298.00
2011/12/23	32.17	33.05	32.08	32.79	1812275	60343604.00
2011/12/26	32.37	32.57	31.39	32.14	1968126	64667892.00
2011/12/27	32.30	32.30	31.15	31.73	1825093	59370956.00
2011/12/28	31.64	31.71	31.06	31.57	1321207	42584436.00
2011/12/29	31.18	32.04	31.18	31.81	857039	28007162.00
2011/12/30	31.80	32.83	31.80	32.63	3597479	119376184.00
2012/01/04	32.67	32.77	30.55	30.83	3916414	125830568.00
2012/01/05	30.86	31.14	29.75	30.05	2401805	74917360.00
2012/01/06	29.94	30.49	29.05	30.06	2088303	63770156.00
2012/01/09	30.15	30.75	28.95	30.73	3356058	103096960.00
2012/01/10	30.73	31.85	30.10	31.58	3217244	102208576.00
2012/01/11	31.55	31.80	31.28	31.54	1004841	32577292.00
2012/01/12	31.45	31.64	31.06	31.10	1285584	41288324.00
2012/01/13	31.42	31.44	30.35	30.77	1031213	32636514.00
2012/01/16	30.30	30.65	29.65	30.08	1856938	57504608.00
2012/01/17	29.96	31.58	29.65	31.18	2308595	72381064.00
2012/01/18	31.13	31.38	30.35	30.75	1330113	42107116.00
2012/01/19	30.99	31.55	30.48	31.23	1513240	48434768.00
2012/01/20	31.35	31.61	30.96	31.35	1328052	42801148.00
2012/01/30	31.05	31.90	31.05	31.53	1953072	62969096.00
