600613 神奇制药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	12.25	12.28	11.76	12.07	1667110	20068176.00
2011/10/11	12.25	12.54	12.10	12.30	2313580	28475210.00
2011/10/12	12.18	12.79	12.06	12.64	2523996	31566818.00
2011/10/13	12.55	13.05	12.51	12.68	2633678	33469130.00
2011/10/14	12.53	13.29	12.53	13.21	3773319	48943368.00
2011/10/17	13.15	13.49	13.00	13.33	3246127	42891000.00
2011/10/18	13.20	13.27	12.15	12.21	3059665	38986200.00
2011/10/19	12.36	12.38	11.76	12.15	2269103	27241736.00
2011/10/20	12.12	12.12	11.56	11.64	1249086	14723370.00
2011/10/21	11.51	11.70	11.30	11.60	1073068	12368811.00
2011/10/24	11.59	11.99	11.48	11.90	1279128	15063112.00
2011/10/25	11.92	12.18	11.67	12.08	1880071	22460756.00
2011/10/26	11.89	12.16	11.73	11.75	1918502	22980662.00
2011/10/27	11.71	12.18	11.71	11.92	2034117	24361208.00
2011/10/28	12.00	12.12	11.80	12.02	2020458	24200244.00
2011/10/31	12.02	12.30	12.02	12.17	2093720	25465778.00
2011/11/01	12.10	12.46	12.02	12.31	2579082	31653120.00
2011/11/02	12.19	12.19	11.73	12.17	2562555	30649950.00
2011/11/03	12.18	12.69	12.15	12.48	4522836	56215992.00
2011/11/04	12.52	12.52	12.30	12.45	2256256	27966176.00
2011/11/07	12.40	12.55	12.14	12.20	1731371	21296304.00
2011/11/08	12.20	12.28	11.91	12.10	1695866	20544828.00
2011/11/09	12.18	12.65	12.09	12.61	2591212	32093084.00
2011/11/10	12.50	12.60	12.18	12.20	1779653	22030200.00
2011/11/11	12.20	12.32	12.08	12.29	1198092	14579312.00
2011/11/14	12.30	12.55	12.27	12.49	1572467	19524590.00
2011/11/15	12.49	12.64	12.37	12.56	2400926	30036764.00
2011/11/16	12.55	12.55	12.01	12.04	2085939	25529220.00
2011/11/17	12.01	12.13	11.85	11.90	1116400	13370141.00
2011/11/18	12.00	12.25	11.66	11.83	1546088	18515772.00
2011/11/21	11.80	11.88	11.33	11.66	1349319	15531299.00
2011/11/22	11.55	11.76	11.38	11.67	797335	9162140.00
2011/11/23	11.65	11.70	11.43	11.45	556578	6412658.00
2011/11/24	11.38	11.58	11.30	11.54	603074	6924922.00
2011/11/25	11.50	11.63	11.11	11.15	1094200	12430283.00
2011/11/28	11.05	11.24	11.00	11.16	611144	6817914.00
2011/11/29	11.26	11.55	11.26	11.47	968279	11088568.00
2011/11/30	11.48	11.56	10.70	11.00	1277419	14269192.00
2011/12/01	11.35	11.65	11.15	11.37	1146916	13073865.00
2011/12/02	11.15	11.34	11.01	11.12	589983	6568896.00
2011/12/05	11.09	11.13	10.71	10.88	386998	4230847.00
2011/12/06	10.80	11.06	10.52	11.00	396224	4314057.00
2011/12/07	10.91	11.06	10.65	10.99	353047	3869895.00
2011/12/08	10.85	11.14	10.66	10.97	488412	5318113.00
2011/12/09	10.93	10.98	10.50	10.94	678346	7267760.00
2011/12/12	10.73	10.91	10.71	10.90	461847	4992131.00
2011/12/13	10.78	10.78	10.47	10.53	669202	7069281.00
2011/12/14	10.43	10.60	9.86	9.97	496847	5104621.00
2011/12/15	9.97	10.03	9.25	9.35	1175737	11218628.00
2011/12/16	9.32	9.48	8.90	9.44	1226397	11237435.00
