600614 鼎立股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	10.01	10.33	9.92	10.26	18633518	190041248.00
2011/10/11	10.41	10.63	10.14	10.32	15448372	159932896.00
2011/10/12	10.22	10.59	10.14	10.56	22734679	235814016.00
2011/10/13	10.41	10.81	10.34	10.74	19789537	210084384.00
2011/10/14	10.61	10.72	10.42	10.50	13324253	141332640.00
2011/10/17	10.50	10.69	10.44	10.56	11336501	120344264.00
2011/10/18	10.47	10.50	10.14	10.20	16892879	174655280.00
2011/10/19	10.16	10.29	9.94	10.28	17061868	173188352.00
2011/10/20	10.16	10.34	9.99	10.27	22575002	230247488.00
2011/10/21	10.17	10.44	9.89	10.43	27654661	280500640.00
2011/10/24	10.24	10.49	10.03	10.48	25707014	264143296.00
2011/10/25	10.30	10.74	10.24	10.71	25696317	271782144.00
2011/10/26	10.57	11.02	10.54	10.79	25582797	279053088.00
2011/10/27	10.71	11.18	10.55	11.12	30491176	332262368.00
2011/10/28	11.19	11.62	11.04	11.34	30664594	348524640.00
2011/10/31	11.24	11.51	11.19	11.47	23898032	271885504.00
2011/11/01	11.33	11.61	11.24	11.57	29124097	335898176.00
2011/11/02	11.41	12.24	11.31	12.23	34730525	416186176.00
2011/11/03	12.19	12.51	11.98	12.02	31698909	391330752.00
2011/11/04	11.99	12.23	11.84	12.19	32112276	388750944.00
2011/11/07	12.12	12.14	11.80	11.95	10991998	132185992.00
2011/11/08	11.98	12.05	11.77	11.89	7829484	93549872.00
2011/11/09	11.86	12.13	11.77	12.12	10575512	127182728.00
2011/11/10	11.98	12.09	11.88	11.90	8581773	103359840.00
2011/11/11	11.87	12.33	11.86	12.12	14117219	172894976.00
2011/11/14	12.15	12.49	12.14	12.43	11275078	140199840.00
2011/11/15	12.37	12.49	12.24	12.25	9054889	111956048.00
2011/11/16	12.20	12.32	11.64	11.96	9721163	117256192.00
2011/11/17	11.91	12.04	11.85	11.98	4339068	52068448.00
2011/11/18	11.79	11.91	11.37	11.42	6229520	72616912.00
2011/11/21	11.39	11.47	11.26	11.45	2896893	33173724.00
2011/11/22	11.34	11.43	11.10	11.25	3602758	40803120.00
2011/11/23	11.27	11.34	11.11	11.21	3835353	43211024.00
2011/11/24	11.07	11.44	10.94	11.40	4655609	52389680.00
2011/11/25	11.39	11.52	11.27	11.38	3486450	39883352.00
2011/11/28	11.37	11.44	11.11	11.20	3889711	43873484.00
2011/11/29	11.37	11.39	11.20	11.33	3269412	37126072.00
2011/11/30	11.32	11.38	10.72	11.26	7033545	78854632.00
2011/12/01	11.54	11.70	11.39	11.40	7722652	89656072.00
2011/12/02	11.33	11.34	10.98	11.07	3579607	39993536.00
2011/12/05	11.14	11.14	10.69	10.98	3683694	40269520.00
2011/12/06	10.89	11.12	10.82	11.08	2873834	31730126.00
2011/12/07	11.06	11.19	10.94	11.14	4659239	51972096.00
2011/12/08	11.05	11.22	10.94	11.21	6575779	73432200.00
2011/12/09	11.08	11.22	11.01	11.20	6356313	71082296.00
2011/12/12	11.21	11.23	11.01	11.04	2886120	32146996.00
2011/12/13	11.01	11.09	10.64	10.69	4466818	48689520.00
2011/12/14	10.65	10.81	10.56	10.61	2917141	31352092.00
2011/12/15	10.54	10.64	10.37	10.60	4663314	49259400.00
2011/12/16	10.53	11.04	10.53	11.02	3207513	34729824.00
2011/12/19	10.99	10.99	10.61	10.83	4087859	44349196.00
2011/12/20	10.83	11.01	10.76	10.86	2920766	31930762.00
2011/12/21	10.94	11.00	10.54	10.66	2940909	31886548.00
2011/12/22	10.64	10.74	10.29	10.50	3031465	31982044.00
2011/12/23	10.56	10.62	10.34	10.43	3388549	35632344.00
2011/12/26	10.43	10.53	10.34	10.36	3107484	32607048.00
2011/12/27	10.17	10.53	10.17	10.39	4538341	47687664.00
2011/12/28	10.30	10.46	10.20	10.43	2280970	23660120.00
2011/12/29	10.39	10.48	10.34	10.43	2051928	21455120.00
