600618 氯碱化工 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	12.05	12.18	11.92	11.98	2997224	36104984.00
2011/10/11	12.30	12.50	11.95	12.19	4503148	55141260.00
2011/10/12	12.16	12.72	11.92	12.68	7569492	94690120.00
2011/10/13	12.57	12.97	12.55	12.77	8599167	109939216.00
2011/10/14	12.78	13.74	12.70	13.19	14154289	188052480.00
2011/10/17	13.07	13.19	12.88	13.11	8229473	107076328.00
2011/10/18	13.11	13.13	12.48	12.52	7365472	94073456.00
2011/10/19	12.44	12.74	12.34	12.55	4370471	54780840.00
2011/10/20	12.50	12.50	11.90	12.01	4653194	56206640.00
2011/10/21	11.97	12.09	11.72	11.76	2992214	35533624.00
2011/10/24	11.81	12.14	11.28	12.08	5861022	69325752.00
2011/10/25	12.00	12.64	11.90	12.38	7821239	96386360.00
2011/10/26	12.24	12.55	12.20	12.40	7165369	88805112.00
2011/10/27	12.36	12.63	12.33	12.42	5952804	74257432.00
2011/10/28	12.56	12.77	12.42	12.72	7483453	94221128.00
2011/10/31	12.66	12.90	12.54	12.82	10328457	131870992.00
2011/11/01	12.70	12.98	12.61	12.65	7550810	96468056.00
2011/11/02	12.35	12.63	12.02	12.53	9452998	116263904.00
2011/11/03	12.57	12.99	12.45	12.69	12139537	154649088.00
2011/11/04	12.72	12.97	12.63	12.86	7803639	99988048.00
2011/11/07	12.90	13.40	12.86	13.17	18269490	240561408.00
2011/11/08	13.12	13.58	12.90	13.31	18045680	240287520.00
2011/11/09	13.33	13.38	12.91	13.27	9109705	119881856.00
2011/11/10	13.05	13.65	12.98	13.21	13335508	178552624.00
2011/11/11	13.35	13.35	12.86	12.88	7741330	100982504.00
2011/11/14	13.08	13.29	12.90	13.17	7253858	95037968.00
2011/11/15	13.22	13.31	13.05	13.21	6459333	85074128.00
2011/11/16	13.18	13.65	13.00	13.35	19792491	265136224.00
2011/11/17	13.28	13.34	12.91	13.16	10472200	137521552.00
2011/11/18	13.00	13.15	12.33	12.37	7715779	97588904.00
2011/11/21	12.30	12.66	12.18	12.56	5040528	62630432.00
2011/11/22	12.42	12.53	12.00	12.34	4633070	56816180.00
2011/11/23	12.50	12.53	12.00	12.04	3518683	42987904.00
2011/11/24	11.88	11.98	11.60	11.81	3965828	46740348.00
2011/11/25	11.81	11.95	11.50	11.61	3257828	38287516.00
2011/11/28	11.62	11.78	11.54	11.58	1999589	23261920.00
2011/11/29	11.71	12.38	11.71	12.19	6846459	82659672.00
2011/11/30	12.00	12.09	11.20	11.68	6781244	79614216.00
2011/12/01	12.08	12.40	11.80	12.13	8881433	107574280.00
2011/12/02	12.10	12.10	11.64	11.66	4754975	55953076.00
2011/12/05	11.57	11.78	11.32	11.38	3014311	34751140.00
2011/12/06	11.38	11.50	11.15	11.24	2663297	29970680.00
2011/12/07	11.23	11.39	11.16	11.32	1943010	21910720.00
2011/12/08	11.37	11.37	11.00	11.11	3373081	37670152.00
2011/12/09	11.00	11.25	10.91	11.06	2826107	31421808.00
2011/12/12	11.06	11.36	11.02	11.07	3722719	41755744.00
2011/12/13	11.00	11.00	10.21	10.32	4876368	51026304.00
2011/12/14	10.32	10.34	9.70	9.71	4421444	44214980.00
2011/12/15	9.48	9.62	8.81	8.89	4387384	41118484.00
2011/12/16	9.00	9.16	8.67	9.15	4081108	36609864.00
2011/12/19	9.05	9.06	8.63	9.04	3404703	30171304.00
2011/12/20	8.96	9.28	8.85	9.10	4432107	40552648.00
2011/12/21	9.16	9.34	8.75	8.83	3821273	34664132.00
2011/12/22	8.60	8.79	8.30	8.59	4060196	34511352.00
2011/12/23	8.60	8.88	8.42	8.77	3606319	31607416.00
2011/12/26	8.63	9.06	8.57	8.90	5428864	48149908.00
2011/12/27	8.81	8.88	8.39	8.43	3812847	32809266.00
2011/12/28	8.40	8.49	8.15	8.45	2602860	21730716.00
2011/12/29	8.39	8.55	8.34	8.38	1627735	13745792.00
2011/12/30	8.45	8.60	8.38	8.53	3269199	27767148.00
2012/01/04	8.65	8.78	8.27	8.31	4075892	34942032.00
2012/01/05	8.30	8.37	7.88	7.89	3291190	26754584.00
2012/01/06	7.80	7.93	7.27	7.83	3953705	30099504.00
2012/01/09	7.80	8.37	7.71	8.30	5096742	41347116.00
2012/01/10	8.29	8.86	8.17	8.75	7536751	64705708.00
2012/01/11	8.76	8.97	8.60	8.95	7522523	66114432.00
2012/01/12	8.85	9.85	8.79	9.39	16334638	156658336.00
2012/01/13	9.21	9.60	9.01	9.17	11454115	106143472.00
2012/01/16	9.00	9.25	8.60	8.71	5441810	48570792.00
2012/01/17	8.75	9.43	8.70	9.38	8044443	73237776.00
2012/01/18	9.30	9.50	9.05	9.20	7429759	69133552.00
2012/01/19	9.20	9.38	9.06	9.19	4182177	38442432.00
2012/01/20	9.23	9.34	9.13	9.24	3455533	31925940.00
