600621 华鑫股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.83	5.94	5.80	5.88	1247236	7817712.00
2011/10/11	5.96	6.09	5.92	5.96	1507463	9633681.00
2011/10/12	6.00	6.23	5.92	6.16	2949510	19234280.00
2011/10/13	6.22	6.32	6.17	6.25	5485477	36431264.00
2011/10/14	6.22	6.29	6.13	6.18	1277759	8387978.00
2011/10/17	6.20	6.23	6.04	6.12	1113600	7269345.00
2011/10/18	6.13	6.17	6.04	6.05	1195284	7753123.00
2011/10/19	6.06	6.12	5.98	5.99	928799	5966602.00
2011/10/20	5.98	6.00	5.77	5.86	2196691	13695803.00
2011/10/21	5.80	5.88	5.80	5.83	882202	5485454.00
2011/10/24	5.83	5.87	5.61	5.85	1820601	11143084.00
2011/10/25	5.82	5.97	5.72	5.97	2176861	13617954.00
2011/10/26	5.93	6.02	5.91	5.95	3080403	19543018.00
2011/10/27	6.02	6.14	5.96	6.00	2222720	14229172.00
2011/10/28	6.06	6.11	5.97	6.08	2758706	17728224.00
2011/10/31	6.07	6.07	5.93	6.00	2031901	12969320.00
2011/11/01	5.94	6.07	5.94	5.99	2401510	15349407.00
2011/11/02	5.90	6.08	5.83	6.07	3411254	21597538.00
2011/11/03	6.08	6.17	6.08	6.09	4753716	30908620.00
2011/11/04	6.11	6.26	6.06	6.19	5150876	33714444.00
2011/11/07	6.19	6.19	6.06	6.08	5584427	36194288.00
2011/11/08	6.07	6.10	5.94	5.97	3536207	22584716.00
2011/11/09	5.97	6.03	5.92	6.03	2200884	14008618.00
2011/11/10	5.98	5.98	5.88	5.90	2445345	15415962.00
2011/11/11	5.92	5.96	5.88	5.90	1342599	8460359.00
2011/11/14	5.95	6.06	5.91	6.03	3464901	22060684.00
2011/11/15	6.02	6.15	5.99	6.14	4548425	29421084.00
2011/11/16	6.12	6.13	5.91	5.95	3745099	23978196.00
2011/11/17	5.95	5.99	5.80	5.83	7044805	44027416.00
2011/11/18	5.82	5.83	5.52	5.58	8443674	50959136.00
2011/11/21	5.58	5.61	5.42	5.57	6077239	35801884.00
2011/11/22	5.50	5.54	5.43	5.52	2996184	17568900.00
2011/11/23	5.54	5.54	5.45	5.47	2299587	13509261.00
2011/11/24	5.41	5.50	5.36	5.45	3155611	18341556.00
