600635 大众公用 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	4.86	4.95	4.85	4.89	3609553	18425980.00
2011/10/11	5.00	5.09	4.91	4.96	5097725	26592722.00
2011/10/12	4.98	5.22	4.92	5.19	14163924	75620400.00
2011/10/13	5.18	5.28	5.13	5.20	11951089	64816160.00
2011/10/14	5.22	5.33	5.15	5.30	16192279	88704616.00
2011/10/17	5.31	5.40	5.21	5.32	12129924	66966712.00
2011/10/18	5.28	5.28	5.05	5.09	12429588	66662692.00
2011/10/19	5.12	5.24	5.12	5.15	9372608	50517592.00
2011/10/20	5.16	5.43	5.09	5.38	24916731	136268096.00
2011/10/21	5.32	5.42	5.22	5.29	14386197	79554688.00
2011/10/24	5.27	5.43	5.10	5.41	20115688	110747024.00
2011/10/25	5.36	5.73	5.34	5.56	31235018	179443232.00
2011/10/26	5.50	5.63	5.45	5.53	18175681	104430864.00
2011/10/27	5.78	5.96	5.56	5.59	25899911	153546992.00
2011/10/28	5.63	5.72	5.54	5.67	18736498	109347744.00
2011/10/31	5.65	5.66	5.50	5.56	11737236	67887344.00
2011/11/01	5.49	5.66	5.47	5.52	11805526	68255768.00
2011/11/02	5.44	5.66	5.40	5.65	15482432	89027336.00
2011/11/03	5.66	5.72	5.57	5.58	16105386	94439656.00
2011/11/04	5.62	5.82	5.60	5.69	16062998	94881224.00
2011/11/07	5.61	5.67	5.49	5.51	11801053	68173272.00
2011/11/08	5.50	5.58	5.45	5.47	8028553	45835092.00
2011/11/10	5.49	5.56	5.45	5.51	11454918	65494936.00
2011/11/11	5.51	5.54	5.42	5.43	8027718	45726048.00
2011/11/14	5.47	5.54	5.38	5.49	11656462	66317656.00
2011/11/15	5.50	5.57	5.47	5.53	7538235	43278936.00
2011/11/16	5.54	5.57	5.24	5.32	13070198	73340760.00
2011/11/17	5.32	5.34	5.17	5.22	10230453	55772968.00
2011/11/18	5.21	5.30	5.12	5.14	7820548	42395104.00
2011/11/21	5.14	5.18	5.04	5.12	5827245	30960508.00
2011/11/22	5.08	5.14	5.05	5.11	4960196	26314500.00
2011/11/23	5.12	5.15	5.03	5.04	4668346	24674450.00
2011/11/24	5.00	5.04	4.92	5.01	5284195	27457164.00
2011/11/25	4.99	5.03	4.94	4.96	4443124	23051868.00
2011/11/28	4.98	5.08	4.96	5.08	4661603	24368780.00
2011/11/29	5.10	5.14	5.04	5.12	4224147	22366550.00
2011/11/30	5.11	5.11	4.80	4.86	7751961	39697212.00
2011/12/01	5.00	5.09	4.95	4.96	8157647	42609800.00
2011/12/02	4.94	4.98	4.90	4.93	3509252	18045136.00
2011/12/05	4.96	4.96	4.79	4.80	4877464	24751716.00
2011/12/06	4.81	4.90	4.79	4.85	3600962	18149328.00
2011/12/07	4.84	4.89	4.84	4.87	1924602	9762646.00
2011/12/08	4.87	4.88	4.75	4.81	3919297	19726144.00
2011/12/09	4.79	4.87	4.77	4.85	4514873	22658064.00
2011/12/12	4.84	4.85	4.78	4.80	2471289	12403719.00
2011/12/13	4.78	4.81	4.70	4.71	4355473	21624460.00
2011/12/14	4.69	4.75	4.57	4.61	3205811	15615228.00
2011/12/15	4.60	4.60	4.46	4.47	4788152	22685266.00
2011/12/16	4.48	4.59	4.47	4.59	4080751	19299014.00
2011/12/19	4.54	4.63	4.46	4.63	5131395	24323544.00
2011/12/20	4.62	4.67	4.54	4.57	3953002	19024276.00
2011/12/21	4.62	4.64	4.48	4.48	2935149	14007591.00
2011/12/22	4.49	4.55	4.35	4.50	4607753	21472104.00
2011/12/23	4.49	4.61	4.46	4.55	3761983	17917652.00
2011/12/26	4.52	4.57	4.49	4.50	2864837	13555444.00
2011/12/27	4.49	4.52	4.33	4.33	3801184	17598096.00
2011/12/28	4.34	4.54	4.34	4.43	6469345	30037328.00
2011/12/29	4.34	4.43	4.34	4.35	4622626	21225252.00
2011/12/30	4.39	4.41	4.29	4.38	6740664	30835078.00
2012/01/04	4.43	4.43	4.31	4.31	3317010	15201944.00
2012/01/05	4.31	4.32	4.19	4.19	4714377	21056568.00
2012/01/06	4.17	4.27	4.17	4.25	2770867	12249452.00
2012/01/09	4.26	4.39	4.20	4.38	5107697	23144800.00
2012/01/10	4.38	4.59	4.35	4.57	11287519	53136928.00
2012/01/11	4.58	4.60	4.50	4.56	6103051	29032052.00
2012/01/12	4.56	4.60	4.47	4.52	4926381	23351068.00
2012/01/13	4.54	4.59	4.38	4.40	5698202	26590076.00
2012/01/16	4.37	4.39	4.29	4.30	2673310	12182332.00
2012/01/17	4.30	4.57	4.30	4.53	4905276	22863012.00
