600636 三爱富 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	23.17	23.41	22.78	22.95	4311824	110720600.00
2011/10/11	23.62	23.88	22.81	23.23	7505648	194978416.00
2011/10/12	23.06	24.69	22.56	24.53	13554695	361148416.00
2011/10/13	24.44	25.23	24.27	24.72	11261585	309531168.00
2011/10/14	24.53	25.41	24.42	25.16	13284996	369382816.00
2011/10/17	25.34	25.39	24.42	24.71	11351379	312623200.00
2011/10/18	24.39	24.44	23.15	23.24	11007205	289534048.00
2011/10/19	23.26	23.75	23.17	23.45	6283856	163689008.00
2011/10/20	23.26	23.31	22.61	22.91	5322619	135007184.00
2011/10/21	22.85	23.31	22.80	23.00	5431492	139025376.00
2011/10/24	23.02	23.42	21.72	23.40	8841348	222532880.00
2011/10/25	23.63	25.35	23.44	24.89	20730238	567166144.00
2011/10/26	24.62	25.10	24.26	24.50	18370480	501386560.00
2011/10/27	24.38	24.77	23.90	24.05	10445182	281302272.00
2011/10/28	24.44	24.69	24.07	24.57	11004839	298144640.00
2011/10/31	24.48	24.76	24.22	24.47	7938082	215532528.00
2011/11/01	24.15	24.47	23.99	24.29	7149339	191821200.00
2011/11/02	23.91	24.26	23.30	24.23	10149859	266685920.00
2011/11/03	24.39	25.19	24.26	24.73	16974281	466325888.00
2011/11/04	24.87	24.96	24.47	24.74	9902408	271027424.00
2011/11/07	24.66	25.46	24.26	25.13	16879484	467969088.00
2011/11/08	25.15	25.68	24.85	25.32	16270731	456903648.00
2011/11/09	25.35	25.63	24.87	25.60	12876150	361350592.00
2011/11/10	25.44	26.88	25.32	26.43	33613497	985784704.00
2011/11/11	26.24	26.57	25.85	25.97	14916451	433274528.00
2011/11/14	26.53	26.86	26.17	26.62	17650851	517976928.00
2011/11/15	26.40	26.57	26.04	26.17	11708795	340191488.00
2011/11/16	26.10	26.17	24.93	25.06	12061375	341633600.00
2011/11/17	25.06	25.25	24.53	24.59	8722191	239831504.00
2011/11/18	24.35	24.52	23.45	23.61	8522868	225717184.00
2011/11/21	23.67	24.09	23.53	24.06	6179434	163352688.00
2011/11/22	23.85	23.97	23.45	23.77	4191566	110233320.00
2011/11/23	23.85	24.07	23.60	23.74	5508780	145715040.00
2011/11/24	23.43	23.59	22.91	23.19	5847792	150508448.00
2011/11/25	23.14	23.50	22.98	23.08	4424065	113977256.00
2011/11/28	23.11	23.35	22.77	22.89	4140864	105470728.00
2011/11/29	23.26	24.01	23.09	23.87	8699768	227370464.00
2011/11/30	23.75	23.78	22.26	22.57	8690727	221830896.00
2011/12/01	23.44	23.76	23.04	23.29	8602670	223426224.00
2011/12/02	23.12	23.23	22.45	22.60	6045062	152311696.00
2011/12/05	22.57	22.60	21.77	21.84	3956885	96496424.00
2011/12/06	21.64	22.13	21.64	21.94	3036352	73728616.00
2011/12/07	21.97	22.07	21.72	21.94	3001859	72996704.00
2011/12/08	21.90	22.07	21.15	21.60	5848065	140337696.00
2011/12/09	21.34	21.57	20.98	20.99	3951552	93066376.00
2011/12/12	21.26	22.38	21.18	21.67	14180207	344207936.00
2011/12/13	21.39	21.85	21.04	21.35	7908951	187722352.00
2011/12/14	21.10	21.26	20.14	20.31	8045292	185186080.00
