600640 号百控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.84	8.84	8.64	8.64	1449644	12691259.00
2011/10/11	8.84	8.89	8.34	8.44	2032241	17687596.00
2011/10/12	8.31	8.81	8.31	8.76	2276121	19799128.00
2011/10/13	8.90	9.51	8.89	9.17	4661139	43261172.00
2011/10/14	9.10	9.23	9.06	9.18	2216967	20390526.00
2011/10/17	9.25	9.30	9.11	9.15	1515955	13980970.00
2011/10/18	9.13	9.18	8.83	8.85	1829651	16495095.00
2011/10/19	8.95	9.01	8.72	8.79	1381224	12354972.00
2011/10/20	8.79	8.79	8.45	8.54	1453653	12478895.00
2011/10/21	8.83	8.83	8.47	8.52	1507131	13022379.00
2011/10/24	8.53	8.77	8.23	8.75	2193999	18878092.00
2011/10/25	8.67	9.10	8.67	8.98	3722503	33418460.00
2011/10/26	8.88	9.43	8.84	9.21	5567146	51448848.00
2011/10/27	9.23	9.30	9.01	9.05	3282961	30123970.00
2011/10/28	9.13	9.39	9.07	9.26	4323265	40008704.00
2011/10/31	9.27	9.41	9.15	9.31	3489606	32610356.00
2011/11/01	9.25	9.40	9.15	9.25	3454730	32201372.00
2011/11/02	9.13	9.73	9.02	9.68	8093219	77367000.00
2011/11/03	9.63	9.93	9.52	9.56	6468946	63262152.00
2011/11/04	9.58	9.69	9.45	9.49	4429198	42458588.00
2011/11/07	9.47	9.67	9.44	9.49	2771877	26606520.00
2011/11/08	9.45	9.54	9.31	9.36	2347633	22266052.00
2011/11/09	9.38	9.62	9.30	9.60	3137925	29862300.00
2011/11/10	9.45	9.59	9.37	9.45	2431683	23213104.00
2011/11/11	9.45	9.83	9.45	9.62	4141776	40289232.00
2011/11/14	9.73	10.07	9.59	9.83	4682259	46482276.00
2011/11/15	9.88	10.23	9.71	10.09	7631301	76491048.00
2011/11/16	10.02	10.06	9.68	9.70	5199135	51513176.00
2011/11/18	9.60	9.65	9.25	9.35	3559352	33674552.00
2011/11/21	9.35	9.35	9.14	9.25	1255422	11620138.00
2011/11/22	9.23	9.23	9.06	9.17	1339284	12325271.00
2011/11/23	9.16	9.37	9.15	9.17	1461662	13532824.00
