600643 爱建股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.20	8.20	8.04	8.07	1888387	15407112.00
2011/10/11	8.43	8.45	8.05	8.09	3230359	26736276.00
2011/10/12	8.09	8.51	8.05	8.42	6779451	57150032.00
2011/10/13	8.35	8.54	8.35	8.47	5620048	47908840.00
2011/10/14	8.46	8.54	8.40	8.50	4016599	34245676.00
2011/10/17	8.49	8.56	8.42	8.47	5430360	46347980.00
2011/10/18	8.44	8.47	8.05	8.09	4554914	37993624.00
2011/10/19	8.19	8.21	8.04	8.09	2596898	21229572.00
2011/10/20	8.09	8.13	7.84	7.87	3670063	29323258.00
2011/10/21	7.87	8.24	7.87	8.00	4695208	38162204.00
2011/10/24	8.02	8.21	7.94	8.18	4266794	34835692.00
2011/10/25	8.20	8.40	8.09	8.32	5972095	49631344.00
2011/10/26	8.29	8.40	8.19	8.25	6389661	53465248.00
2011/10/27	8.25	8.50	8.25	8.36	6918892	58413736.00
2011/10/28	8.49	8.51	8.37	8.48	7956484	67592336.00
2011/10/31	8.47	8.50	8.34	8.42	4613734	39039932.00
2011/11/01	8.34	8.48	8.28	8.45	5973972	50613968.00
2011/11/02	8.29	8.93	8.26	8.79	12890291	110846232.00
2011/11/03	8.73	8.79	8.59	8.61	11026515	96312296.00
2011/11/04	8.63	8.77	8.57	8.62	6127112	53336108.00
2011/11/07	8.61	8.79	8.59	8.65	5775423	50617136.00
2011/11/08	8.70	8.70	8.51	8.52	3399354	29365278.00
2011/11/09	8.54	8.63	8.40	8.62	3812917	32777402.00
2011/11/10	8.55	8.57	8.36	8.37	4930002	42024672.00
2011/11/11	8.40	8.47	8.33	8.38	2702719	22878750.00
2011/11/14	8.44	8.56	8.42	8.54	3933802	33731688.00
2011/11/15	8.50	8.69	8.47	8.66	5895201	51154696.00
2011/11/16	8.68	8.68	8.33	8.35	5152041	43864920.00
2011/11/17	8.38	8.42	8.23	8.25	3788297	31642746.00
2011/11/18	8.34	8.73	8.34	8.44	13337332	115012328.00
2011/11/21	8.39	8.39	8.09	8.24	6208143	51339636.00
2011/11/22	8.19	8.19	8.00	8.13	4622779	37696296.00
2011/11/23	8.18	8.22	8.07	8.12	2842224	23273462.00
2011/11/24	8.05	8.22	8.05	8.14	3175864	26017520.00
2011/11/25	8.12	8.27	8.10	8.15	3788191	31215628.00
2011/11/28	8.15	8.23	8.05	8.13	1706014	13960483.00
2011/11/29	8.19	8.24	8.13	8.22	2819395	23267552.00
2011/11/30	8.19	8.21	7.82	7.88	5052359	40665616.00
2011/12/01	8.13	8.18	7.96	7.97	7612982	61922904.00
2011/12/02	7.94	7.94	7.75	7.78	3911951	30831428.00
2011/12/05	7.78	8.20	7.53	8.18	12776670	102199624.00
2011/12/06	8.02	8.10	7.85	8.01	7825169	62713520.00
2011/12/07	7.97	8.09	7.73	7.80	7691049	61371576.00
2011/12/08	7.74	7.86	7.70	7.73	3666507	28690936.00
2011/12/09	7.72	7.87	7.67	7.82	2917987	22933900.00
2011/12/12	7.82	7.89	7.59	7.63	2467675	19146516.00
2011/12/13	7.61	7.61	7.24	7.29	4032508	29842736.00
2011/12/14	7.21	7.41	7.09	7.13	7246148	53331968.00
2011/12/15	7.12	7.16	6.74	6.78	4053379	28312240.00
