600644 *ST乐电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/17	12.09	12.76	12.09	12.76	7865062	100291072.00
2011/10/18	13.22	13.72	12.73	12.75	22642918	301558592.00
2011/10/19	12.77	12.94	12.14	12.23	10060799	125861208.00
2011/10/20	11.91	12.06	11.67	11.83	6169846	73467240.00
2011/10/21	11.70	11.89	11.50	11.54	3725267	43891640.00
2011/10/24	11.57	11.66	11.05	11.58	5747803	66084864.00
2011/10/25	11.64	11.94	11.57	11.86	5744274	68346216.00
2011/10/26	11.76	11.98	11.59	11.85	7377214	88172200.00
2011/10/27	11.78	12.16	11.74	11.90	7246448	87421256.00
2011/10/28	12.29	12.38	11.90	12.25	8258967	101063672.00
2011/10/31	12.20	12.68	12.09	12.54	10732886	134279504.00
2011/11/01	12.33	12.53	12.12	12.31	7337340	91256424.00
2011/11/02	12.04	12.31	11.64	12.29	9013517	108815088.00
2011/11/03	12.31	12.77	12.15	12.30	12176017	153387872.00
2011/11/04	12.37	13.17	12.30	12.74	16933152	217984880.00
2011/11/07	12.49	12.74	12.49	12.51	7461625	94666720.00
2011/11/08	12.45	12.69	12.31	12.34	7044405	88497280.00
2011/11/09	12.45	12.75	12.30	12.62	6731311	85166432.00
2011/11/10	12.46	13.14	12.33	12.88	15486308	199962976.00
2011/11/11	12.96	13.08	12.54	12.60	9274377	119068640.00
2011/11/14	12.81	12.97	12.67	12.95	10017286	130028200.00
2011/11/15	13.02	13.22	12.90	13.14	12030662	158847936.00
2011/11/16	13.89	14.18	12.90	13.03	22418302	303859296.00
2011/11/17	12.94	12.96	12.59	12.75	11148774	143549600.00
2011/11/18	12.54	12.59	12.12	12.15	7749646	96168960.00
2011/11/21	12.19	12.28	11.94	12.20	3867530	47187280.00
2011/11/22	11.97	12.19	11.94	12.15	3124353	38029224.00
2011/11/23	12.17	12.38	11.99	12.03	4726418	58120512.00
2011/11/24	11.89	12.12	11.70	11.91	3974765	47595296.00
2011/11/25	12.00	12.14	11.79	11.94	2850744	34395600.00
2011/11/28	11.94	12.09	11.81	11.94	2958644	35696992.00
2011/11/29	12.12	12.21	11.97	12.18	3685570	45009048.00
2011/11/30	12.22	12.33	11.47	11.74	6591602	79584632.00
2011/12/01	12.16	12.24	11.85	11.88	5782126	70290392.00
2011/12/02	11.65	11.65	10.68	10.88	10083967	111928512.00
2011/12/05	10.84	10.84	10.07	10.18	6818258	70238984.00
2011/12/06	10.15	10.23	9.95	10.18	3468891	35279040.00
2011/12/07	10.10	10.20	10.00	10.07	2683895	27350224.00
2011/12/08	10.10	10.26	9.66	10.10	4955566	49760256.00
2011/12/09	9.79	10.00	9.79	9.92	3140944	31430916.00
2011/12/12	9.83	9.96	9.69	9.72	2493979	24723818.00
2011/12/13	9.68	9.69	8.74	8.74	9374797	84632272.00
2011/12/14	8.64	8.72	8.23	8.37	5928372	50707304.00
2011/12/15	8.30	8.35	8.12	8.18	4638252	38712196.00
2011/12/16	8.19	8.58	8.18	8.52	5228325	44462624.00
2011/12/19	8.54	9.01	8.39	8.98	10118639	90379520.00
2011/12/20	8.92	8.99	8.72	8.77	5079120	45463312.00
2011/12/21	8.87	8.94	8.30	8.32	3921125	34369800.00
2011/12/22	8.23	8.41	7.81	8.29	4592557	37592408.00
2011/12/26	8.25	8.42	8.12	8.25	2483431	20869504.00
2011/12/27	8.19	8.24	7.89	7.94	2378797	19401240.00
2011/12/28	7.92	7.92	7.67	7.87	2828188	22270352.00
2011/12/29	7.99	8.32	7.80	8.11	4127276	34011648.00
2011/12/30	8.11	8.23	8.04	8.20	3149974	26066222.00
2012/01/04	8.30	8.35	7.93	7.94	2393994	19799688.00
2012/01/05	7.95	7.98	7.66	7.69	2742099	21762394.00
2012/01/06	7.68	7.87	7.52	7.86	2347745	18334136.00
2012/01/09	7.89	8.26	7.75	8.25	4256079	34889840.00
2012/01/10	8.21	8.99	8.17	8.72	7572933	66120408.00
2012/01/11	8.72	8.94	8.47	8.78	7117685	63175896.00
2012/01/12	8.99	9.48	8.94	8.97	10755335	99745664.00
2012/01/13	8.84	9.03	8.49	8.59	6634214	58478312.00
2012/01/16	8.52	8.52	8.05	8.07	3573853	30032662.00
2012/01/17	8.07	8.69	8.05	8.68	5545409	47377804.00
2012/01/18	8.74	8.94	8.30	8.45	5857802	51564100.00
2012/01/19	8.47	8.66	8.33	8.63	3380801	29286788.00
2012/01/20	8.69	8.74	8.57	8.71	3310828	29080896.00
2012/01/30	8.76	8.79	8.58	8.61	2682017	23548544.00
2012/01/31	8.57	8.67	8.41	8.63	2348507	20289412.00
2012/02/01	8.67	8.71	8.47	8.51	2500697	21767220.00
2012/02/02	8.53	8.79	8.50	8.74	3276369	28707182.00
2012/02/03	8.74	8.94	8.68	8.87	4694325	41949160.00
2012/02/06	8.85	9.07	8.83	9.05	6101805	55284608.00
2012/02/07	9.01	9.01	8.71	8.77	3880250	34594448.00
2012/02/08	8.74	9.05	8.71	9.04	5804755	52614652.00
2012/02/09	9.06	9.36	8.99	9.13	8588258	79896152.00
2012/02/10	9.13	9.37	9.06	9.31	6792910	63507472.00
2012/02/13	9.19	10.25	9.11	10.25	30634402	310141920.00
2012/02/14	10.19	11.01	10.13	10.91	37605886	401166080.00
2012/02/15	10.79	10.99	10.62	10.91	15829196	173043600.00
2012/02/16	10.82	12.01	10.81	12.01	49529713	578338432.00
2012/02/17	11.99	12.00	11.65	11.88	36066227	428976192.00
2012/02/20	11.88	11.99	11.65	11.87	26475200	314858080.00
2012/02/21	11.81	11.96	11.41	11.89	29615592	350777664.00
2012/02/22	11.74	11.98	11.55	11.89	21356841	254796304.00
2012/02/23	11.86	12.32	11.71	11.78	32197272	387871872.00
2012/02/24	11.61	11.85	11.54	11.82	21674583	256016944.00
2012/02/27	11.80	12.00	11.66	11.69	19019518	227353152.00
2012/02/28	11.61	11.67	10.89	11.16	22382798	254240496.00
2012/02/29	11.09	11.33	10.92	11.26	12511908	140871856.00
2012/03/01	11.09	11.42	11.09	11.31	10559350	120377672.00
2012/03/02	11.31	11.59	11.18	11.49	15744415	180825680.00
2012/03/05	11.49	11.49	11.19	11.21	11739415	133986056.00
2012/03/06	11.17	11.74	11.15	11.63	22607895	262862448.00
2012/03/07	11.54	11.73	11.19	11.25	14496300	168608640.00
2012/03/08	11.26	11.35	10.94	11.19	15137046	169902448.00
2012/03/09	11.20	11.48	11.20	11.33	11062538	126350496.00
2012/03/12	11.35	11.74	11.26	11.65	17997086	209421152.00
2012/03/13	11.54	11.64	11.36	11.55	11202389	129832848.00
2012/03/14	11.56	11.79	10.50	10.57	20785448	236228768.00
2012/03/15	10.49	10.65	9.97	10.10	13244744	136656640.00
2012/03/16	10.05	10.61	10.03	10.50	10320857	107752496.00
2012/03/19	10.47	10.59	10.23	10.53	8619569	90822080.00
2012/03/20	10.57	10.73	10.34	10.36	8531211	91078864.00
2012/03/21	10.64	11.02	10.47	10.64	11411378	123857696.00
2012/03/22	10.54	10.59	10.29	10.39	6334696	66697704.00
2012/03/23	10.34	10.46	9.98	10.07	7306763	75012848.00
2012/03/26	10.07	10.22	10.03	10.15	3064489	31340128.00
2012/03/27	10.18	10.33	10.11	10.17	3936794	40718496.00
2012/03/28	10.19	10.35	9.82	9.89	6754232	68967576.00
2012/03/29	9.82	9.82	8.94	9.21	8438920	79908840.00
2012/03/30	9.18	9.32	8.97	9.10	3620179	33420940.00
2012/04/05	9.16	9.42	9.10	9.41	4350917	40970764.00
2012/04/06	9.37	9.52	9.26	9.48	5103555	48598472.00
2012/04/09	9.35	9.48	9.27	9.29	3205997	30483394.00
2012/04/10	9.27	9.47	9.00	9.46	3682800	34364928.00
2012/04/11	9.34	9.45	9.19	9.39	3674583	34790112.00
2012/04/12	9.45	9.69	9.43	9.68	6592746	63798672.00
2012/04/13	9.71	10.48	9.71	9.98	10924684	111834760.00
2012/04/16	9.89	10.16	9.72	10.06	5362846	54338360.00
2012/04/17	9.99	10.24	9.79	9.80	5657767	57029360.00
2012/04/18	9.86	10.13	9.75	10.07	6505284	65655096.00
2012/04/19	10.07	10.28	10.00	10.12	7768034	79804048.00
2012/04/23	10.09	10.09	9.16	9.29	13300522	127351760.00
2012/04/24	9.22	9.34	8.99	9.27	6450536	59651788.00
2012/04/25	9.29	9.41	9.19	9.39	5538853	52151968.00
2012/04/26	9.39	9.44	9.21	9.25	4465095	42025036.00
2012/04/27	9.23	9.43	9.15	9.33	3238179	30447040.00
2012/05/02	9.44	9.64	9.35	9.60	6053157	58047856.00
2012/05/03	9.67	9.70	9.29	9.41	5391733	51402960.00
2012/05/04	9.26	9.44	9.22	9.38	4253260	40192792.00
2012/05/07	9.36	9.46	9.24	9.45	4094989	38665476.00
2012/05/08	9.43	9.97	9.39	9.82	14477394	143249904.00
2012/05/09	9.75	9.79	9.49	9.73	6933151	67432128.00
2012/05/10	9.68	9.79	9.66	9.73	6287630	61862208.00
2012/05/11	9.67	9.76	9.54	9.56	4841714	47069148.00
2012/05/14	9.67	9.71	9.37	9.57	4642422	44584448.00
