600649 城投控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	4.48	4.53	4.48	4.50	2425729	15272053.00
2011/10/11	4.62	4.64	4.50	4.52	2107462	13407191.00
2011/10/12	4.52	4.65	4.50	4.65	4971030	31955870.00
2011/10/13	4.62	4.70	4.62	4.68	5087466	33121796.00
2011/10/14	4.66	4.67	4.62	4.66	2266452	14686324.00
2011/10/17	4.66	4.69	4.62	4.65	2073039	13449376.00
2011/10/18	4.62	4.62	4.50	4.50	3236774	20586748.00
2011/10/19	4.53	4.55	4.49	4.49	2365653	14946346.00
2011/10/20	4.47	4.52	4.33	4.35	4018319	24763632.00
2011/10/21	4.45	4.55	4.42	4.49	7899426	49597048.00
2011/10/24	4.57	4.76	4.57	4.74	14353358	93429152.00
2011/10/25	4.78	4.80	4.63	4.77	11786888	77788136.00
2011/10/26	4.77	4.93	4.75	4.82	14866037	99960632.00
2011/10/27	4.82	4.93	4.76	4.80	7975123	53554060.00
2011/10/28	4.85	4.96	4.82	4.91	11307307	76703360.00
2011/10/31	4.92	4.97	4.80	4.87	9415180	63886196.00
2011/11/01	4.80	4.88	4.76	4.80	7884167	52859660.00
2011/11/02	4.74	4.88	4.68	4.87	10844942	71846640.00
2011/11/03	4.87	4.95	4.85	4.87	12135228	82775000.00
2011/11/04	4.93	4.95	4.88	4.92	8042669	54875360.00
2011/11/07	4.89	4.94	4.85	4.88	5870851	39919676.00
2011/11/08	4.88	4.90	4.81	4.82	6426206	43394348.00
2011/11/09	4.84	4.86	4.75	4.83	5741203	38400688.00
2011/11/10	4.78	5.08	4.75	4.92	19770374	136396560.00
2011/11/11	4.91	4.98	4.88	4.92	6845115	46870952.00
2011/11/14	4.98	5.03	4.95	5.00	10019804	69383552.00
2011/11/15	4.95	5.02	4.93	4.99	7701012	53224608.00
2011/11/16	4.98	5.00	4.78	4.81	8477086	57458032.00
2011/11/17	4.84	4.84	4.74	4.75	6656641	44409056.00
2011/11/18	4.71	4.74	4.60	4.60	5941768	38681592.00
2011/11/21	4.63	4.66	4.59	4.65	2209342	14233671.00
2011/11/22	4.59	4.65	4.58	4.64	2711946	17471578.00
2011/11/23	4.65	4.68	4.58	4.61	3308282	21304344.00
2011/11/24	4.55	4.64	4.55	4.60	2079215	13345557.00
2011/11/25	4.61	4.64	4.55	4.58	2185705	14006124.00
2011/11/28	4.62	4.63	4.56	4.63	2821331	18127838.00
2011/11/29	4.67	4.68	4.63	4.68	5008907	32519260.00
2011/11/30	4.65	4.66	4.43	4.44	5329023	33670564.00
2011/12/01	4.58	4.66	4.53	4.56	5670955	36318000.00
2011/12/02	4.54	4.55	4.45	4.47	3120780	19557932.00
2011/12/05	4.51	4.67	4.39	4.62	10757214	68731184.00
2011/12/06	4.56	4.64	4.51	4.59	6552512	41874432.00
2011/12/07	4.58	4.62	4.55	4.59	2570385	16442544.00
2011/12/08	4.60	4.67	4.49	4.62	3486101	22357262.00
2011/12/09	4.58	4.62	4.52	4.55	2639344	16852004.00
2011/12/12	4.53	4.59	4.48	4.48	2476117	15603442.00
2011/12/13	4.50	4.52	4.35	4.37	4158679	25784716.00
2011/12/14	4.37	4.43	4.34	4.34	2671917	16396385.00
2011/12/15	4.33	4.36	4.25	4.28	4401635	26607030.00
2011/12/16	4.34	4.40	4.27	4.38	4320850	26130120.00
2011/12/19	4.35	4.39	4.25	4.37	3983834	24048132.00
2011/12/20	4.35	4.41	4.32	4.33	3361098	20512270.00
2011/12/21	4.38	4.40	4.22	4.22	2764714	16708433.00
2011/12/22	4.22	4.37	4.13	4.31	6908379	41290088.00
2011/12/23	4.29	4.39	4.27	4.34	4263876	25952720.00
2011/12/26	4.31	4.35	4.29	4.29	3334576	20210162.00
2011/12/27	4.28	4.32	4.24	4.25	2866859	17194272.00
2011/12/28	4.26	4.29	4.16	4.21	3365840	19917576.00
2011/12/29	4.21	4.23	4.18	4.22	3059680	18071878.00
2011/12/30	4.26	4.33	4.24	4.29	2855753	17155040.00
2012/01/04	4.35	4.35	4.27	4.29	3228428	19481084.00
2012/01/05	4.27	4.31	4.19	4.22	3045956	18177028.00
2012/01/06	4.24	4.30	4.16	4.29	2996201	17792800.00
2012/01/09	4.27	4.38	4.20	4.38	6688099	40629248.00
2012/01/10	4.37	4.51	4.36	4.49	9130779	56763520.00
2012/01/11	4.46	4.52	4.45	4.47	4705127	29455398.00
2012/01/12	4.45	4.52	4.42	4.46	4243771	26552156.00
2012/01/13	4.49	4.50	4.35	4.35	4704229	28947584.00
2012/01/16	4.35	4.36	4.22	4.25	3258113	19632940.00
2012/01/17	4.26	4.47	4.23	4.46	4703983	28787104.00
2012/01/18	4.47	4.51	4.39	4.41	4318449	26885278.00
2012/01/19	4.45	4.54	4.41	4.51	6099640	38278616.00
2012/01/20	4.53	4.55	4.48	4.52	4154429	26242764.00
2012/01/30	4.53	4.54	4.39	4.42	4620155	28741344.00
2012/01/31	4.45	4.45	4.39	4.45	1632688	10104085.00
2012/02/01	4.42	4.47	4.38	4.39	2228621	13787261.00
2012/02/02	4.41	4.44	4.35	4.43	4905041	30221004.00
2012/02/03	4.40	4.48	4.40	4.47	4227116	26304772.00
2012/02/06	4.45	4.49	4.42	4.46	4944294	30822936.00
2012/02/07	4.43	4.45	4.32	4.33	5078197	31095444.00
2012/02/08	4.31	4.45	4.31	4.44	5028300	30967684.00
2012/02/09	4.42	4.52	4.42	4.47	8225524	51510360.00
2012/02/10	4.45	4.56	4.43	4.49	8651958	54629264.00
2012/02/13	4.47	4.58	4.44	4.56	6507345	41000980.00
2012/02/14	4.55	4.60	4.47	4.50	8671181	54626744.00
2012/02/15	4.49	4.57	4.46	4.55	10431183	65884696.00
2012/02/16	4.58	4.70	4.54	4.63	20587071	132655232.00
2012/02/17	4.65	4.68	4.58	4.62	9212863	59398416.00
2012/02/20	4.67	4.68	4.59	4.59	7181402	46389740.00
2012/02/21	4.61	4.64	4.53	4.62	5796705	37065432.00
2012/02/22	4.61	4.70	4.60	4.69	10802712	70421912.00
2012/02/23	4.72	4.72	4.65	4.71	9730709	63630672.00
2012/02/24	4.70	4.84	4.68	4.81	17588289	117063616.00
2012/02/27	4.80	4.86	4.78	4.80	13907394	93405128.00
2012/02/28	4.78	4.91	4.75	4.84	14946631	100367584.00
2012/02/29	4.80	4.82	4.72	4.72	8504958	56329856.00
2012/03/01	4.72	4.79	4.71	4.75	5156316	34144248.00
2012/03/02	4.77	4.87	4.76	4.87	11058801	74175384.00
2012/03/05	4.89	4.89	4.81	4.82	7715674	51981992.00
2012/03/06	4.79	4.82	4.68	4.69	8629104	57025372.00
2012/03/07	4.65	4.75	4.65	4.70	5758037	37758416.00
2012/03/08	4.74	4.86	4.71	4.82	11328553	75620280.00
2012/03/09	4.82	4.85	4.78	4.82	6313886	42253996.00
2012/03/12	4.85	4.85	4.74	4.77	7650193	50898140.00
2012/03/13	4.77	4.82	4.74	4.82	8950831	59583032.00
2012/03/14	4.84	4.89	4.59	4.61	17613025	116745472.00
2012/03/15	4.63	4.65	4.53	4.56	7409854	47448816.00
