600651 飞乐音响 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.74	8.00	7.68	7.90	16371824	156133968.00
2011/10/11	8.05	8.14	7.76	8.00	16612936	159970736.00
2011/10/12	7.91	8.27	7.69	8.19	23109723	226452640.00
2011/10/13	8.16	8.20	7.98	8.12	16614173	163178224.00
2011/10/14	8.05	8.10	7.86	7.94	10224571	98542920.00
2011/10/17	7.90	8.05	7.90	7.91	8157509	78804536.00
2011/10/18	7.83	7.85	7.57	7.59	10598164	98783568.00
2011/10/19	7.62	7.96	7.61	7.83	10634212	101056688.00
2011/10/20	7.77	7.82	7.28	7.35	11636335	105389792.00
2011/10/21	7.33	7.40	6.93	7.05	8621427	74876568.00
2011/10/24	7.08	7.24	6.73	7.16	5895546	50295328.00
2011/10/25	7.16	7.33	7.03	7.25	6185508	54112256.00
2011/10/26	7.20	7.57	7.16	7.37	8705791	78149920.00
2011/10/27	7.41	7.48	7.26	7.28	4888436	43792728.00
2011/10/28	7.41	7.50	7.33	7.41	6441981	57961084.00
2011/10/31	7.41	7.45	7.29	7.32	6948651	61956268.00
2011/11/01	7.25	7.83	7.23	7.70	16995701	157387776.00
2011/11/02	7.58	8.15	7.56	8.10	24554527	235986672.00
2011/11/03	8.15	8.55	7.95	7.97	43136498	432277568.00
2011/11/04	8.05	8.13	7.90	8.12	16732063	163314016.00
2011/11/07	8.13	8.54	8.13	8.24	21841516	221026208.00
2011/11/08	8.18	8.23	7.99	8.01	12244249	120320720.00
2011/11/09	8.00	8.28	7.96	8.26	10311815	101348424.00
2011/11/10	8.16	8.22	8.01	8.05	9101514	89557976.00
2011/11/11	8.06	8.19	8.00	8.05	6799563	66599800.00
2011/11/14	8.12	8.26	8.03	8.20	10275596	101805528.00
2011/11/15	8.20	8.24	7.98	8.10	10806739	106246352.00
2011/11/16	8.17	8.23	7.82	7.94	10924306	106492616.00
2011/11/17	7.90	8.00	7.81	7.87	8186300	78451360.00
2011/11/18	7.85	7.92	7.62	7.70	8186542	76932344.00
2011/11/21	7.65	7.73	7.45	7.50	7131250	65265104.00
2011/11/22	7.48	7.54	7.40	7.50	7731915	70343096.00
2011/11/23	7.54	7.64	7.47	7.49	6363476	58490528.00
2011/11/24	7.41	7.45	7.24	7.31	9040876	80391928.00
2011/11/25	7.35	7.40	7.13	7.17	7697761	67756768.00
2011/11/28	7.18	7.23	7.00	7.16	6194022	53642144.00
2011/11/29	7.25	7.29	7.17	7.28	7550977	66326872.00
2011/11/30	7.27	7.27	6.83	6.85	8040228	68314448.00
2011/12/01	7.10	7.14	6.95	6.98	6956982	59476240.00
2011/12/02	6.99	7.06	6.94	7.02	4062457	34596772.00
2011/12/05	7.01	7.04	6.83	6.92	3187485	26819346.00
2011/12/06	6.95	7.08	6.82	7.07	5226850	44235252.00
