600652 游久游戏 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.24	6.33	6.20	6.25	7183050	45676420.00
2011/10/11	6.42	6.54	5.84	5.92	25237803	157793696.00
2011/10/12	5.84	6.14	5.73	6.10	18797254	114572400.00
2011/10/13	6.07	6.21	6.02	6.15	12006620	74816288.00
2011/10/14	6.14	6.28	6.07	6.16	11991479	75283776.00
2011/10/17	6.22	6.22	6.07	6.10	7405451	46157688.00
2011/10/18	6.05	6.08	5.79	5.80	12893561	77936304.00
2011/10/19	5.82	5.89	5.71	5.84	7619309	45141304.00
2011/10/20	5.81	5.83	5.51	5.55	9412277	53982500.00
2011/10/21	5.58	5.60	5.46	5.47	4952497	27870776.00
2011/10/24	5.47	5.60	5.29	5.57	7516920	42083340.00
2011/10/25	5.58	5.82	5.54	5.74	11288705	65508476.00
2011/10/26	5.68	5.88	5.65	5.87	15233248	89807000.00
2011/10/27	5.80	5.96	5.78	5.79	16987568	101486120.00
2011/10/28	5.87	6.02	5.85	5.96	17160740	103707536.00
2011/10/31	5.89	5.89	5.77	5.82	15328260	90921216.00
2011/11/01	5.74	5.84	5.69	5.72	12698763	74404856.00
2011/11/02	5.64	5.88	5.56	5.84	13959955	80993528.00
2011/11/03	5.84	6.06	5.81	5.91	20989147	126563952.00
2011/11/04	5.94	6.09	5.91	6.03	21829309	133493240.00
2011/11/07	6.05	6.21	5.99	6.08	21195128	131728352.00
2011/11/08	6.10	6.28	6.04	6.16	27213624	171480688.00
2011/11/09	6.19	6.20	5.99	6.15	17944742	111344824.00
2011/11/10	6.01	6.08	5.95	5.96	14029341	85911488.00
2011/11/11	6.02	6.07	5.94	5.99	10792780	66162948.00
2011/11/14	6.04	6.17	6.02	6.14	14747260	91798136.00
2011/11/15	6.14	6.27	6.08	6.24	17056597	107271920.00
2011/11/16	6.23	6.24	5.97	6.04	15698705	97159568.00
2011/11/17	6.00	6.15	6.00	6.03	12024806	74437960.00
2011/11/18	6.00	6.00	5.74	5.76	12019328	71433048.00
2011/11/21	5.72	5.82	5.71	5.81	5006603	29394172.00
2011/11/22	5.75	5.78	5.61	5.72	5738095	33287094.00
2011/11/23	5.72	5.77	5.62	5.63	4534589	26224468.00
2011/11/24	5.59	5.63	5.46	5.54	6267672	35382256.00
2011/11/25	5.51	5.60	5.43	5.45	5140933	28890894.00
2011/11/28	5.46	5.52	5.44	5.50	4074048	22771192.00
2011/11/29	5.56	5.63	5.53	5.63	6604288	37664872.00
2011/11/30	5.63	5.64	5.21	5.30	9476039	52296504.00
2011/12/01	5.49	5.53	5.35	5.36	9178902	51095752.00
2011/12/02	5.37	5.37	5.19	5.21	5573103	29852384.00
2011/12/05	5.24	5.25	4.99	5.02	4963603	25856082.00
2011/12/06	5.02	5.07	4.87	4.97	6351448	32130768.00
2011/12/07	4.99	5.00	4.87	4.91	7231986	36343016.00
2011/12/08	4.92	4.93	4.77	4.88	5944370	29546622.00
2011/12/09	4.83	4.89	4.80	4.83	3569558	17670968.00
2011/12/12	4.84	4.86	4.79	4.80	3079507	15199134.00
2011/12/13	4.78	4.78	4.42	4.53	7741240	36146264.00
2011/12/14	4.53	4.56	4.34	4.37	5892156	26877304.00
2011/12/15	4.33	4.33	4.08	4.08	9816518	42149964.00
2011/12/16	4.09	4.22	4.07	4.21	6846072	29050958.00
2011/12/19	4.15	4.20	4.05	4.19	5900127	24994288.00
2011/12/20	4.17	4.28	4.14	4.19	5950170	25808892.00
2011/12/21	4.25	4.27	4.06	4.07	5228404	22471486.00
2011/12/22	4.04	4.06	3.79	3.97	7347045	29641572.00
2011/12/23	3.97	4.08	3.92	4.03	5186965	21401724.00
2011/12/26	4.05	4.09	4.01	4.02	3315601	13773899.00
2011/12/27	4.02	4.02	3.88	3.89	4276434	17296304.00
2011/12/28	3.82	3.95	3.81	3.93	4263195	16941124.00
2011/12/29	3.89	4.00	3.87	3.94	5170699	20992034.00
2011/12/30	3.93	4.06	3.93	4.04	5581548	23020736.00
2012/01/04	4.07	4.10	3.88	3.89	6433233	26357206.00
2012/01/05	3.88	3.90	3.72	3.73	5025536	19814096.00
2012/01/06	3.73	3.79	3.66	3.78	3576344	13662038.00
2012/01/09	3.80	4.17	3.74	4.17	24738701	104252360.00
2012/01/10	4.24	4.60	4.19	4.60	43376000	196011968.00
2012/01/11	4.64	4.94	4.60	4.78	48360671	236762000.00
2012/01/12	4.71	4.94	4.67	4.87	34789960	172136544.00
2012/01/13	4.82	4.86	4.58	4.65	28910061	139318480.00
2012/01/16	4.59	4.81	4.43	4.45	26590355	126145080.00
2012/01/17	4.47	4.91	4.40	4.91	37834131	181781712.00
2012/01/18	4.91	4.98	4.64	4.77	35367961	175091760.00
2012/01/19	4.79	4.87	4.65	4.83	21739252	106724880.00
2012/01/20	4.85	4.87	4.73	4.79	13835619	67880200.00
