600654 中安消 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.17	5.24	5.09	5.12	2692336	14136144.00
2011/10/11	5.22	5.29	5.09	5.09	4542256	23992552.00
2011/10/12	5.10	5.32	5.08	5.32	5518691	29428160.00
2011/10/13	5.33	5.40	5.27	5.36	5284046	28721960.00
2011/10/14	5.32	5.34	5.20	5.28	4283201	22972168.00
2011/10/17	5.29	5.36	5.24	5.28	2627296	14132505.00
2011/10/18	5.27	5.27	5.11	5.12	3071102	16191415.00
2011/10/19	5.12	5.21	5.12	5.13	2250770	11813781.00
2011/10/20	5.17	5.17	4.89	4.93	3858217	19507656.00
2011/10/21	4.93	4.98	4.89	4.95	1989162	9983576.00
2011/10/24	4.95	5.02	4.87	5.00	2893250	14615842.00
2011/10/25	5.00	5.13	4.97	5.11	4124708	21249600.00
2011/10/26	5.08	5.21	5.06	5.13	5281535	27642344.00
2011/10/27	5.12	5.23	5.10	5.12	4252223	22302228.00
2011/10/28	5.17	5.26	5.15	5.22	6782085	35867344.00
2011/10/31	5.21	5.25	5.18	5.20	4672942	24774018.00
2011/11/01	5.15	5.32	5.15	5.23	6356905	34010872.00
2011/11/02	5.15	5.36	5.13	5.35	7173618	38333404.00
2011/11/03	5.39	5.51	5.30	5.31	12158592	66741940.00
2011/11/04	5.33	5.37	5.29	5.35	5747398	31112362.00
2011/11/07	5.33	5.40	5.28	5.29	4332899	23531700.00
2011/11/08	5.29	5.33	5.21	5.23	3541734	18965192.00
2011/11/09	5.27	5.29	5.16	5.29	3107747	16555260.00
2011/11/10	5.23	5.26	5.10	5.16	4440827	23421348.00
2011/11/11	5.18	5.20	5.13	5.15	2898408	15213804.00
2011/11/14	5.19	5.29	5.16	5.28	4822077	25736892.00
2011/11/15	5.30	5.58	5.29	5.49	14989849	83650664.00
2011/11/16	5.44	5.51	5.35	5.37	8076814	44457660.00
2011/11/17	5.41	5.46	5.35	5.38	4253826	23394700.00
2011/11/18	5.33	5.41	5.20	5.24	4791828	25709480.00
2011/11/21	5.23	5.30	5.17	5.29	3079193	16428082.00
2011/11/22	5.26	5.28	5.19	5.25	2441613	13026296.00
2011/11/23	5.24	5.29	5.16	5.17	2196997	11671432.00
2011/11/24	5.14	5.16	5.06	5.09	2297149	11923928.00
2011/11/25	5.11	5.16	5.06	5.08	1922659	9992258.00
2011/11/28	5.08	5.11	5.01	5.03	2554384	13119217.00
2011/11/29	5.06	5.11	5.00	5.08	4141354	21278284.00
2011/11/30	5.05	5.07	4.76	4.81	4902565	24441960.00
2011/12/01	4.94	4.97	4.86	4.88	5736479	28732610.00
2011/12/02	4.83	4.99	4.83	4.96	6776433	33893340.00
2011/12/05	4.96	4.97	4.75	4.78	3174420	15562587.00
2011/12/06	4.73	4.85	4.73	4.85	2715142	13271548.00
2011/12/07	4.84	4.89	4.79	4.85	2194521	10798287.00
2011/12/08	4.87	4.88	4.75	4.83	1763696	8656269.00
2011/12/09	4.81	4.83	4.75	4.80	1589849	7768966.00
2011/12/12	4.78	4.85	4.78	4.80	1971363	9667572.00
2011/12/13	4.81	4.81	4.66	4.70	4031594	19404848.00
2011/12/14	4.69	5.18	4.69	4.81	7434611	36739728.00
2011/12/15	4.80	4.80	4.62	4.69	3195089	15311694.00
2011/12/16	4.67	4.91	4.67	4.90	5049859	24833428.00
2011/12/19	4.92	4.94	4.80	4.89	3411943	16882948.00
2011/12/20	4.89	4.94	4.84	4.87	2961502	14710466.00
2011/12/21	4.91	4.91	4.73	4.74	2373700	11677292.00
2011/12/22	4.71	4.75	4.49	4.59	3353004	15752751.00
2011/12/23	4.56	4.71	4.56	4.65	2370224	11250117.00
2011/12/26	4.62	4.67	4.59	4.60	1664402	7842096.00
2011/12/27	4.58	4.60	4.20	4.22	4082200	18206036.00
2011/12/28	4.27	4.27	3.97	4.09	4921228	20480964.00
2011/12/29	4.06	4.11	4.01	4.03	2005024	8311976.00
2011/12/30	4.09	4.13	4.01	4.08	1198322	5003068.00
2012/01/04	4.10	4.13	3.98	3.98	1491718	6204061.00
2012/01/05	4.00	4.01	3.81	3.83	2803243	11184902.00
2012/01/06	3.84	3.93	3.79	3.90	1897810	7500146.00
2012/01/09	3.91	4.09	3.86	4.06	3061323	12516816.00
2012/01/10	4.04	4.20	4.03	4.19	4323407	18299230.00
2012/01/11	4.16	4.23	4.12	4.17	3578803	15234388.00
2012/01/12	4.17	4.23	4.13	4.17	2274458	9706217.00
2012/01/13	4.13	4.20	4.00	4.03	2593964	10760806.00
2012/01/16	4.01	4.04	3.91	3.92	1367371	5564359.00
2012/01/17	3.91	4.16	3.91	4.15	4016163	16661578.00
2012/01/18	4.17	4.21	4.06	4.07	2542164	10723785.00
2012/01/19	4.06	4.17	4.06	4.13	1895824	8000047.00
2012/01/20	4.19	4.20	4.12	4.20	2104556	8949130.00
2012/01/30	4.17	4.25	4.16	4.22	2858348	12291197.00
2012/01/31	4.22	4.22	4.17	4.20	1869221	7999333.00
2012/02/01	4.21	4.32	4.18	4.28	6293829	27494752.00
2012/02/02	4.28	4.38	4.24	4.37	4127576	18176532.00
2012/02/03	4.37	4.48	4.33	4.46	3827455	17241378.00
2012/02/06	4.47	4.53	4.38	4.40	4677979	21139638.00
2012/02/07	4.39	4.39	4.28	4.33	2927724	12935640.00
2012/02/08	4.34	4.59	4.31	4.54	7746415	35582840.00
2012/02/09	4.51	4.70	4.49	4.63	8327548	39452772.00
2012/02/10	4.66	4.76	4.59	4.73	6487251	30962910.00
2012/02/13	4.69	4.92	4.67	4.88	9681400	47819848.00
2012/02/14	4.88	4.97	4.79	4.96	6597052	32729612.00
2012/02/15	4.94	5.01	4.87	4.95	5169608	25973874.00
2012/02/16	4.91	4.93	4.81	4.86	5211552	25921144.00
2012/02/17	4.95	5.28	4.95	4.99	9492812	49242584.00
2012/02/20	4.99	5.07	4.93	4.94	5163079	26193054.00
2012/02/21	4.92	5.00	4.84	4.99	4262160	21365734.00
2012/02/22	4.99	5.05	4.96	5.02	3192976	16277098.00
2012/02/23	5.01	5.06	4.99	5.03	3620604	18509976.00
2012/02/24	5.03	5.16	5.01	5.14	6534963	33863536.00
2012/02/27	5.12	5.19	5.08	5.10	6413324	33474500.00
2012/02/28	5.06	5.12	5.00	5.10	4937634	25380040.00
2012/02/29	5.10	5.10	4.91	4.91	5730157	29121136.00
2012/03/01	4.86	5.00	4.86	4.95	2653477	13408534.00
2012/03/02	4.99	5.28	4.95	5.21	12706080	66937428.00
2012/03/05	5.32	5.37	5.21	5.24	10670727	57145836.00
2012/03/06	5.20	5.35	5.16	5.26	7432485	39850452.00
2012/03/07	5.20	5.29	5.18	5.19	5443791	29019648.00
2012/03/08	5.23	5.67	5.23	5.58	20976798	117217680.00
2012/03/09	5.56	5.62	5.50	5.56	8110952	45766376.00
2012/03/12	5.59	5.61	5.50	5.57	5115377	28834502.00
2012/03/13	5.58	5.74	5.55	5.64	7142529	41165596.00
2012/03/14	5.65	5.66	5.19	5.25	12190787	67514632.00
2012/03/15	5.31	5.46	5.21	5.32	7791555	42244268.00
2012/03/16	5.39	5.46	5.31	5.43	4320204	23699836.00
2012/03/19	5.43	5.43	5.26	5.41	5007329	27189964.00
2012/03/20	5.41	5.41	5.26	5.30	3479049	18788250.00
2012/03/21	5.30	5.36	5.23	5.30	3394817	18285118.00
2012/03/22	5.27	5.33	5.20	5.21	3422205	18209784.00
2012/03/23	5.21	5.24	5.11	5.12	3374480	17729358.00
2012/03/26	5.12	5.16	5.06	5.12	1438060	7475033.00
2012/03/27	5.13	5.20	5.12	5.13	1591728	8354734.00
2012/03/28	5.14	5.14	4.86	4.88	3018782	15221270.00
2012/03/29	4.85	4.85	4.74	4.76	2245060	10975361.00
2012/03/30	4.78	4.85	4.75	4.79	2106341	10290596.00
2012/04/05	4.81	4.96	4.77	4.93	2234321	11108201.00
2012/04/09	4.96	4.96	4.82	4.83	2369391	11764479.00
2012/04/10	4.83	4.89	4.73	4.88	1744803	8551623.00
2012/04/11	4.84	4.95	4.81	4.95	2473639	12351217.00
2012/04/12	4.95	5.45	4.93	5.41	17399228	94685848.00
2012/04/13	5.36	5.56	5.29	5.45	13244384	73110192.00
2012/04/16	5.41	5.50	5.34	5.47	5386638	29789070.00
2012/04/17	5.47	5.59	5.35	5.36	5137302	28359624.00
2012/04/18	5.38	5.47	5.32	5.46	3908551	21514572.00
2012/04/19	5.41	5.57	5.39	5.40	3636786	20160020.00
2012/04/20	5.34	5.56	5.33	5.49	6934399	38609524.00
2012/04/23	5.45	5.62	5.41	5.49	6949385	39078672.00
2012/04/24	5.44	5.56	5.29	5.49	6235025	34433536.00
2012/04/25	5.48	5.84	5.46	5.67	11806337	68002288.00
2012/04/26	5.65	5.67	5.53	5.57	5625182	31928276.00
2012/04/27	5.56	5.74	5.47	5.50	5763671	32926956.00
2012/05/02	5.61	5.64	5.53	5.54	3823507	21679764.00
2012/05/03	5.55	5.60	5.39	5.41	4661877	25878396.00
2012/05/04	5.41	5.51	5.39	5.46	2744558	15204586.00
2012/05/07	5.46	5.68	5.40	5.65	6615620	37344532.00
2012/05/08	5.61	5.75	5.59	5.67	4651751	26809640.00
2012/05/09	5.61	5.66	5.51	5.51	3434204	19425240.00
2012/05/10	5.47	5.57	5.45	5.50	1806878	10134067.00
2012/05/11	5.50	5.54	5.43	5.43	2664087	14807433.00
2012/05/14	5.49	5.49	5.38	5.45	2682478	14811512.00
2012/05/15	5.37	5.46	5.28	5.42	3588590	19474444.00
2012/05/16	5.36	5.38	5.22	5.29	3163428	17072172.00
2012/05/17	5.27	5.42	5.25	5.41	3359333	18294618.00
2012/05/18	5.37	5.37	5.15	5.22	3933712	20994226.00
2012/05/21	5.27	5.27	5.16	5.21	1563988	8291597.00
2012/05/22	5.21	5.34	5.21	5.30	1908702	10282208.00
2012/05/23	5.29	5.33	5.17	5.22	2656762	14163607.00
2012/05/24	5.21	5.25	5.15	5.17	2261499	11954046.00
2012/05/25	5.17	5.21	5.05	5.09	2556253	13280581.00
2012/05/28	5.06	5.28	4.96	5.27	4258554	22176888.00
2012/05/29	5.22	5.43	5.22	5.33	5504329	29828732.00
2012/05/30	5.34	5.37	5.26	5.31	2254322	12175000.00
2012/05/31	5.31	5.34	5.24	5.26	2570438	13799885.00
2012/06/01	5.28	5.28	5.16	5.18	2633993	13993708.00
2012/06/04	5.16	5.16	4.96	4.99	3017080	15463754.00
2012/06/05	5.03	5.11	4.97	5.10	2856980	14612344.00
2012/06/06	5.09	5.26	5.01	5.07	4771401	24922884.00
2012/06/07	5.12	5.14	4.96	4.99	2206216	11268836.00
2012/06/08	5.05	5.06	4.95	4.98	1773924	9014518.00
2012/06/11	4.98	5.01	4.79	4.90	9476955	47252144.00
2012/06/12	4.83	4.85	4.78	4.82	3069717	15049932.00
2012/06/13	4.83	4.88	4.80	4.86	2257197	11158504.00
2012/06/14	4.86	4.86	4.80	4.83	1897580	9348516.00
2012/06/15	4.82	4.85	4.76	4.80	2334826	11426258.00
2012/06/18	4.81	4.85	4.79	4.81	2286794	11207401.00
2012/06/19	4.81	4.81	4.72	4.74	1953190	9481853.00
2012/06/20	4.74	4.77	4.64	4.67	3562632	17055254.00
2012/06/21	4.64	4.67	4.56	4.57	2523697	11835920.00
2012/06/25	4.57	4.61	4.44	4.44	1762300	8118953.00
2012/06/26	4.42	4.50	4.42	4.49	1726005	7871707.00
2012/06/27	4.49	4.50	4.44	4.47	1277450	5824219.00
2012/06/28	4.50	4.53	4.37	4.39	1151501	5230715.00
2012/06/29	4.39	4.45	4.32	4.42	1328728	5958575.00
2012/07/02	4.46	4.52	4.41	4.42	1516744	6896425.00
2012/07/03	4.42	4.49	4.31	4.40	2063495	9344629.00
2012/07/04	4.46	4.47	4.38	4.41	1296608	5850933.00
2012/07/05	4.41	4.41	4.28	4.28	1676714	7390051.00
2012/07/06	4.32	4.42	4.24	4.40	2088258	9240390.00
2012/07/09	4.36	4.39	4.29	4.29	1584680	7010874.00
2012/07/10	4.29	4.35	4.26	4.34	1377281	6055025.00
2012/07/11	4.33	4.35	4.30	4.34	1125711	4969062.00
2012/07/12	4.35	4.48	4.31	4.44	2310870	10371077.00
2012/07/13	4.41	4.47	4.38	4.41	1645682	7426797.00
2012/07/16	4.41	4.41	4.18	4.18	2362755	10274523.00
2012/07/17	4.17	4.26	4.16	4.20	1402176	6010586.00
2012/07/18	4.17	4.23	4.16	4.23	1286041	5501062.00
2012/07/19	4.23	4.64	4.19	4.44	6181901	28076944.00
2012/07/20	4.40	4.74	4.38	4.61	9535048	44516848.00
2012/07/23	4.56	4.62	4.46	4.51	3110440	14338171.00
2012/07/24	4.48	4.57	4.48	4.56	2329526	10771778.00
2012/07/25	4.52	4.56	4.44	4.46	2241587	10288127.00
2012/07/26	4.43	4.56	4.41	4.43	1768248	8056323.00
2012/07/27	4.44	4.51	4.37	4.40	1495485	6737759.00
2012/07/30	4.40	4.43	4.21	4.23	2156963	9446958.00
2012/07/31	4.17	4.29	4.15	4.23	2425353	10375683.00
2012/08/01	4.23	4.31	4.20	4.27	2219299	9648888.00
2012/08/02	4.26	4.28	4.18	4.23	1433487	6184819.00
2012/08/03	4.23	4.34	4.21	4.32	2006987	8819064.00
2012/08/06	4.30	4.43	4.28	4.43	3514216	15669256.00
2012/08/07	4.41	4.50	4.40	4.45	2295031	10406193.00
2012/08/08	4.42	4.46	4.35	4.39	2750418	12358308.00
2012/08/09	4.37	4.45	4.36	4.44	1580586	7123564.00
2012/08/10	4.45	4.47	4.39	4.46	1405592	6360568.00
2012/08/13	4.46	4.46	4.24	4.26	2594876	11509645.00
2012/08/14	4.24	4.32	4.22	4.32	1752186	7629091.00
2012/08/15	4.31	4.31	4.22	4.23	1391798	6056211.00
2012/08/16	4.24	4.27	4.19	4.24	1224469	5287386.00
2012/08/17	4.24	4.25	4.18	4.24	1079573	4644685.00
2012/08/20	4.20	4.25	4.16	4.24	1185311	5071373.00
2012/08/21	4.22	4.35	4.22	4.32	2019459	8878252.00
2012/08/22	4.31	4.32	4.21	4.22	1490048	6489592.00
2012/08/23	4.23	4.45	4.21	4.35	3288694	14537673.00
2012/08/24	4.32	4.33	4.22	4.25	1950211	8496272.00
2012/08/27	4.25	4.26	4.14	4.20	1898202	8118715.00
2012/08/28	4.20	4.26	4.17	4.22	986513	4238103.00
2012/08/29	4.22	4.33	4.21	4.25	2277640	9920927.00
2012/08/30	4.22	4.27	4.14	4.19	2518470	10752924.00
2012/08/31	4.21	4.21	4.09	4.15	2397731	10129258.00
2012/09/03	4.15	4.18	4.11	4.17	1579264	6706823.00
2012/09/04	4.17	4.21	4.09	4.15	1783632	7533877.00
2012/09/05	4.11	4.21	4.09	4.15	1863534	7906441.00
2012/09/06	4.14	4.19	4.14	4.18	1784475	7590008.00
2012/09/07	4.21	4.38	4.18	4.31	5140119	22541464.00
2012/09/10	4.31	4.34	4.26	4.32	3842003	16840128.00
2012/09/11	4.30	4.31	4.22	4.26	3039428	13189033.00
2012/09/12	4.26	4.34	4.24	4.33	3028050	13251786.00
2012/09/13	4.32	4.33	4.24	4.24	2143349	9369055.00
2012/09/14	4.24	4.28	4.18	4.25	2197268	9531198.00
2012/09/17	4.22	4.22	4.05	4.06	5187342	21806204.00
2012/09/18	4.05	4.06	3.98	4.02	2582716	10614952.00
2012/09/19	4.02	4.13	4.00	4.05	2734020	11319209.00
2012/09/20	4.04	4.04	3.87	3.88	4169823	16752124.00
2012/09/21	3.86	3.95	3.84	3.85	1956449	7751654.00
2012/09/24	3.85	3.87	3.79	3.85	1473911	5780417.00
2012/09/25	3.84	3.87	3.80	3.83	1541689	6039317.00
2012/09/26	3.83	3.83	3.70	3.73	1945709	7492221.00
2012/09/27	3.72	3.83	3.71	3.79	2731820	10580865.00
2012/09/28	3.78	3.85	3.76	3.84	2179083	8529425.00
2012/10/08	3.84	3.86	3.80	3.83	1670929	6544964.00
2012/10/09	3.86	3.93	3.84	3.92	2763338	11015275.00
2012/10/10	3.92	4.01	3.89	3.99	4331116	17583940.00
2012/10/11	3.96	3.98	3.90	3.91	2378480	9597115.00
2012/10/12	3.91	4.18	3.87	3.97	6820617	27990000.00
2012/10/15	3.96	3.96	3.87	3.89	2981643	11925133.00
2012/10/16	3.91	3.94	3.88	3.89	1354492	5410305.00
2012/10/17	3.89	3.93	3.86	3.90	1430744	5698892.00
2012/10/18	3.92	4.02	3.91	3.98	4104759	16689007.00
2012/10/19	3.98	4.00	3.95	3.97	1853023	7526153.00
2012/10/22	3.93	3.98	3.90	3.96	2229663	8973154.00
2012/10/23	3.97	4.00	3.95	3.99	4461400	18166790.00
2012/10/24	3.97	4.06	3.96	3.99	3182024	13047107.00
2012/10/25	3.99	4.04	3.94	4.02	4677742	19104376.00
2012/10/26	4.02	4.05	3.85	3.88	3979876	15962327.00
2012/10/29	3.87	3.98	3.87	3.97	3578806	14419097.00
2012/10/30	3.95	3.99	3.89	3.95	2731634	11025152.00
2012/10/31	3.93	3.98	3.92	3.97	2124259	8597094.00
2012/11/01	3.99	4.06	3.97	4.03	4163532	17142426.00
2012/11/02	4.02	4.06	4.01	4.04	2935875	12115079.00
2012/11/05	4.02	4.16	4.02	4.14	8437942	35405200.00
2012/11/06	4.14	4.26	4.06	4.25	9988965	42580804.00
2012/11/07	4.21	4.30	4.16	4.27	7277158	31531564.00
2012/11/08	4.21	4.34	4.19	4.20	6479237	28218642.00
2012/11/09	4.16	4.23	4.11	4.16	3523271	15012742.00
