600656 *ST博元 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	13.85	13.85	13.85	13.85	2667819	36949292.00
2011/10/11	14.54	14.54	14.13	14.54	4665854	67686320.00
2011/10/12	15.27	15.27	13.81	14.53	10532242	153769904.00
2011/10/13	14.08	14.61	14.08	14.49	3807135	54743864.00
2011/10/14	14.26	14.52	13.95	14.07	2585788	36690208.00
2011/10/17	14.00	14.30	13.98	14.07	1590338	22452352.00
2011/10/18	14.12	14.33	13.40	13.69	3092231	43035192.00
2011/10/19	13.64	13.77	13.22	13.65	2396728	32442016.00
2011/10/20	13.41	13.68	13.22	13.29	2039857	27429398.00
2011/10/21	13.21	13.49	13.08	13.17	1440971	19118386.00
2011/10/24	13.17	13.27	12.51	12.51	3470309	43705460.00
2011/10/25	12.49	12.49	11.88	11.88	5396776	64478932.00
2011/10/26	11.82	11.99	11.44	11.97	4478956	52467696.00
2011/10/27	11.90	12.20	11.83	12.10	3358314	40508456.00
2011/10/28	12.25	12.44	12.06	12.33	3152085	38925456.00
2011/10/31	12.33	12.89	12.33	12.64	3795139	48041712.00
2011/11/01	12.63	12.88	12.41	12.50	3234488	40949960.00
2011/11/02	12.32	12.33	11.88	12.11	6176806	73798712.00
2011/11/03	12.11	12.11	11.91	11.94	4088186	49017560.00
2011/11/04	11.94	12.07	11.88	12.02	2811542	33593400.00
2011/11/07	12.06	12.10	11.88	12.04	1503270	18054356.00
2011/11/08	12.02	12.08	11.84	12.01	1970948	23579616.00
2011/11/09	11.92	12.00	11.41	11.56	6143488	70660112.00
2011/11/10	11.41	11.41	10.98	10.98	2706800	29858368.00
2011/11/11	10.43	10.92	10.43	10.68	6358484	66847832.00
2011/11/14	10.73	10.97	10.52	10.71	4672918	50206264.00
2011/11/15	10.67	10.70	10.45	10.49	5157685	54462552.00
2011/11/16	10.51	10.54	9.97	9.97	7619204	77307856.00
2011/11/17	9.61	10.09	9.61	9.95	4543775	44894944.00
2011/11/18	9.94	9.94	9.45	9.62	5724656	55084448.00
2011/11/21	9.55	9.65	9.14	9.28	6545045	60833552.00
2011/11/22	9.13	9.14	8.82	8.84	6725612	59893296.00
2011/11/23	8.75	9.28	8.55	9.28	8773097	79091904.00
2011/11/24	9.10	9.61	9.00	9.54	11418999	107044528.00
2011/11/25	9.54	9.55	9.08	9.09	5102463	47614280.00
2011/11/28	9.09	9.10	8.68	8.72	4396068	38678592.00
2011/11/30	8.90	9.10	8.52	8.80	5792331	51465576.00
2011/12/01	8.94	9.12	8.72	9.02	4756264	42525104.00
2011/12/02	8.97	9.00	8.57	8.57	4047870	35080464.00
2011/12/05	8.40	8.43	8.14	8.14	2890700	23560356.00
2011/12/06	7.73	7.73	7.73	7.73	2081600	16090768.00
2011/12/07	7.40	7.73	7.34	7.43	9587841	71328704.00
2011/12/08	7.34	7.57	7.08	7.43	5661094	41585184.00
2011/12/09	7.29	7.40	7.13	7.16	2832465	20536580.00
2011/12/12	7.15	7.41	7.11	7.32	3672786	26729280.00
2011/12/14	6.99	7.48	6.95	7.28	4512729	32784168.00
2011/12/15	7.20	7.37	6.92	6.92	3383365	24160126.00
2011/12/16	6.57	6.77	6.57	6.57	5404645	35547092.00
2011/12/19	6.24	6.49	6.24	6.24	5099391	31873648.00
2011/12/20	6.17	6.55	6.06	6.28	8812711	56021168.00
2011/12/21	6.31	6.45	5.97	5.97	7920286	49059244.00
2011/12/22	5.67	5.70	5.67	5.67	1274300	7226464.00
2011/12/23	5.39	5.69	5.39	5.42	11493747	62629972.00
2011/12/26	5.42	5.46	5.24	5.35	4465411	23845088.00
2011/12/27	5.29	5.32	5.08	5.08	4587316	23493248.00
2011/12/28	4.85	4.89	4.83	4.83	4785629	23134956.00
2011/12/29	4.66	4.96	4.66	4.82	7607807	36716440.00
2011/12/30	4.83	5.06	4.83	5.06	2631004	13206707.00
2012/01/04	5.31	5.31	5.29	5.31	6783006	36017532.00
2012/01/05	5.31	5.45	5.04	5.05	6584584	33909440.00
2012/01/06	4.93	5.10	4.80	5.09	4481846	22080432.00
2012/01/09	5.04	5.34	4.92	5.34	3861814	20090876.00
2012/01/11	5.15	5.57	5.07	5.46	17017175	89127208.00
2012/01/12	5.30	5.36	5.19	5.19	10951610	57186552.00
2012/01/13	5.05	5.09	4.93	4.93	8833090	43748688.00
2012/01/16	4.73	4.88	4.68	4.68	4261129	20095184.00
2012/01/17	4.55	4.83	4.46	4.73	9098581	42463348.00
2012/01/18	4.74	4.83	4.51	4.53	7277945	34027572.00
2012/01/19	4.50	4.58	4.39	4.43	5831056	26065008.00
2012/01/20	4.43	4.64	4.42	4.59	4726842	21542714.00
2012/01/30	4.61	4.82	4.59	4.82	3669369	17426614.00
2012/01/31	4.85	5.06	4.83	5.06	8600610	42960168.00
2012/02/01	5.20	5.31	5.11	5.31	7574292	39811404.00
2012/02/02	5.37	5.58	5.16	5.35	19533846	105814320.00
2012/02/03	5.35	5.62	5.35	5.62	9480249	53035376.00
2012/02/06	5.90	5.90	5.90	5.90	1114812	6577391.00
2012/02/07	5.75	6.20	5.61	6.20	24531257	144203504.00
2012/02/08	6.30	6.51	6.08	6.38	25283719	161061200.00
2012/02/09	6.30	6.38	6.06	6.16	17112080	105798112.00
2012/02/10	6.01	6.44	5.94	6.33	17695664	110139800.00
2012/02/13	6.15	6.55	6.12	6.39	15851822	100938688.00
2012/02/14	6.40	6.71	6.30	6.71	7923609	52806456.00
2012/02/15	7.05	7.05	7.05	7.05	1178489	8308347.00
2012/02/16	7.40	7.40	6.95	7.10	24223930	173881344.00
2012/02/17	7.11	7.20	6.75	6.78	14778308	101927992.00
2012/02/20	6.79	6.96	6.58	6.82	13655408	92621344.00
2012/02/21	6.83	6.91	6.55	6.71	11551274	77020816.00
2012/02/22	6.66	6.82	6.58	6.76	9181468	61744964.00
2012/02/23	6.76	6.78	6.42	6.62	14744469	97120512.00
2012/02/24	6.62	6.95	6.54	6.95	25661766	176990352.00
2012/02/27	6.90	7.07	6.76	6.85	20603663	141152448.00
2012/02/28	6.73	6.80	6.51	6.52	12205038	80598520.00
2012/02/29	6.48	6.69	6.19	6.50	13363859	85771368.00
2012/03/01	6.40	6.56	6.32	6.43	5962842	38258824.00
2012/03/02	6.41	6.58	6.38	6.49	5204516	33793448.00
2012/03/05	6.47	6.56	6.35	6.38	6106543	39241044.00
2012/03/06	6.39	6.39	6.21	6.28	5130357	32240646.00
2012/03/07	6.22	6.41	6.15	6.27	4937961	31137284.00
2012/03/08	6.39	6.51	6.27	6.45	7331490	47021220.00
2012/03/09	6.40	6.71	6.40	6.64	9332477	61580144.00
2012/03/12	6.60	6.63	6.44	6.48	7406827	48194740.00
2012/03/13	6.47	6.60	6.35	6.43	6770734	43630880.00
2012/03/14	6.44	6.47	6.11	6.11	8333438	52357432.00
2012/03/15	6.00	6.04	5.80	5.80	7896508	46174780.00
2012/03/16	5.72	5.90	5.65	5.82	5922662	34286260.00
2012/03/19	5.81	5.88	5.65	5.86	5065312	29289142.00
2012/03/20	5.83	6.08	5.79	5.86	6595830	39252540.00
2012/03/21	5.87	5.95	5.58	5.68	5987561	34171924.00
2012/03/22	5.65	5.67	5.50	5.56	4282655	23898200.00
2012/03/23	5.54	5.80	5.49	5.66	5474640	30922712.00
2012/03/26	5.68	5.69	5.51	5.57	2996493	16723696.00
2012/03/27	5.61	5.61	5.52	5.55	2480267	13785194.00
2012/03/28	5.55	5.55	5.27	5.27	3452307	18353796.00
2012/03/29	5.12	5.15	5.01	5.01	5564693	27937858.00
2012/03/30	4.95	5.02	4.88	4.91	2927122	14493672.00
2012/04/05	4.95	5.16	4.92	5.16	1148274	5875435.00
2012/04/06	5.38	5.38	5.24	5.30	6020149	31965220.00
2012/04/09	5.33	5.57	5.26	5.57	6361692	35066312.00
2012/04/10	5.57	5.85	5.42	5.84	8495912	47990744.00
2012/04/11	5.78	5.94	5.63	5.85	5495281	32047552.00
2012/04/12	5.85	5.94	5.70	5.78	4894661	28296936.00
2012/04/13	5.79	5.86	5.60	5.68	6298978	35897352.00
2012/04/16	5.64	5.85	5.60	5.84	5169637	29777244.00
2012/04/17	5.83	5.92	5.63	5.67	3791496	21888880.00
2012/04/18	5.68	5.76	5.60	5.75	3532824	20106908.00
2012/04/19	5.65	5.82	5.65	5.75	2738855	15730443.00
2012/04/20	5.74	5.99	5.68	5.94	6682747	39305316.00
2012/04/23	5.94	6.08	5.64	5.64	6748586	39244160.00
2012/04/24	5.59	5.59	5.36	5.36	5797371	31158098.00
2012/04/25	5.25	5.45	5.23	5.39	2983677	16028112.00
2012/04/26	5.45	5.47	5.35	5.42	2300089	12430519.00
2012/04/27	5.42	5.42	5.15	5.15	6218794	32311412.00
2012/05/02	4.90	5.00	4.89	4.89	6975332	34191100.00
2012/05/03	4.79	4.79	4.65	4.65	5299800	24736946.00
2012/05/04	4.70	4.87	4.65	4.85	5208444	24902552.00
2012/05/07	4.84	5.09	4.78	5.02	4521173	22535620.00
2012/05/08	4.96	5.08	4.95	5.00	2864459	14329538.00
2012/05/09	5.02	5.02	4.87	4.94	2814878	13896586.00
2012/05/10	4.90	5.09	4.90	5.01	4065560	20430996.00
2012/05/11	5.02	5.26	5.02	5.26	5886550	30471220.00
2012/05/14	5.36	5.52	5.31	5.52	6712348	36617336.00
2012/07/06	5.80	5.80	5.80	5.80	624514	3622181.00
2012/07/09	6.09	6.09	6.09	6.09	322221	1962326.00
2012/07/10	6.39	6.39	5.79	5.79	17675439	108286056.00
2012/07/11	5.50	5.62	5.50	5.50	3184610	17562104.00
2012/07/12	5.25	5.44	5.23	5.23	9147586	48302028.00
2012/07/13	5.21	5.34	5.17	5.22	4278986	22453366.00
2012/07/16	5.27	5.27	4.96	4.96	3497908	17492580.00
2012/07/17	4.80	4.96	4.79	4.90	1963070	9580706.00
2012/07/18	4.90	5.15	4.86	5.15	5352693	27316092.00
