600661 新南洋 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.85	7.90	7.81	7.87	544027	4267417.00
2011/10/11	8.00	8.09	7.85	7.90	675100	5375308.00
2011/10/12	7.96	8.18	7.84	8.17	1262892	10178371.00
2011/10/13	8.19	8.32	8.15	8.27	1045299	8623662.00
2011/10/14	8.19	8.28	8.16	8.24	864040	7096065.00
2011/10/17	8.24	8.39	8.20	8.28	1266191	10512094.00
2011/10/18	8.23	8.23	7.95	7.96	1061450	8568480.00
2011/10/19	8.10	8.13	7.90	7.92	767553	6159023.00
2011/10/20	7.89	7.96	7.50	7.57	1372658	10524838.00
2011/10/21	7.60	7.65	7.45	7.50	567937	4287698.00
2011/10/24	7.50	7.72	7.42	7.71	1001525	7616261.00
2011/10/25	7.68	8.29	7.68	8.06	3010194	24181072.00
2011/10/26	7.98	8.42	7.95	8.18	3936097	32161504.00
2011/10/27	8.14	8.24	8.00	8.05	2477833	20106416.00
2011/10/28	8.19	8.53	8.06	8.36	3902458	32386752.00
2011/10/31	8.33	8.50	8.23	8.43	3371761	28284380.00
2011/11/01	8.36	8.80	8.25	8.43	4216742	36010472.00
2011/11/02	8.32	8.88	8.21	8.84	6149951	52975976.00
2011/11/03	8.80	8.93	8.61	8.62	6072835	53214672.00
2011/11/04	8.63	8.77	8.50	8.63	2987108	25789990.00
2011/11/07	8.59	8.78	8.52	8.75	2482224	21472436.00
2011/11/08	8.73	8.96	8.67	8.78	4555980	40208924.00
2011/11/09	8.80	9.11	8.56	9.09	5395107	47708100.00
2011/11/10	8.99	9.00	8.69	8.70	4016291	35449420.00
2011/11/11	8.76	9.04	8.58	8.76	3679085	32288992.00
2011/11/14	8.80	8.95	8.76	8.86	3247789	28775344.00
2011/11/15	8.79	8.94	8.75	8.90	3382718	29955956.00
2011/11/16	8.90	9.08	8.73	8.84	4469152	39683272.00
2011/11/17	8.86	8.89	8.62	8.65	2460686	21523188.00
2011/11/18	8.60	8.69	8.30	8.35	2332304	19838176.00
2011/11/21	8.38	8.48	8.30	8.47	1217189	10209973.00
2011/11/22	8.40	8.49	8.27	8.45	1218273	10204741.00
2011/11/23	8.45	8.50	8.24	8.28	1362126	11354977.00
2011/11/24	8.24	8.34	8.15	8.26	1208928	9966375.00
2011/11/25	8.20	8.30	8.12	8.12	852628	6997579.00
2011/11/28	8.15	8.20	8.03	8.10	837300	6799310.00
2011/11/29	8.18	8.24	8.10	8.23	933365	7629503.00
2011/11/30	8.26	8.26	7.53	7.63	1852373	14396593.00
2011/12/01	7.83	7.97	7.76	7.78	1509959	11866323.00
2011/12/02	7.83	7.83	7.67	7.68	787476	6091365.00
2011/12/05	7.69	7.75	7.50	7.53	881843	6720566.00
2011/12/06	7.65	7.70	7.49	7.62	625688	4746501.00
2011/12/07	7.57	7.68	7.51	7.61	475604	3620524.00
2011/12/08	7.61	7.80	7.49	7.71	1367684	10529658.00
2011/12/09	7.62	7.69	7.50	7.56	719424	5447760.00
2011/12/12	7.56	7.58	7.33	7.36	814640	6085158.00
2011/12/13	7.30	7.33	7.00	7.10	1382434	9830575.00
2011/12/14	7.08	7.22	6.97	7.00	949521	6743606.00
2011/12/15	6.87	7.04	6.75	6.77	1042389	7156151.00
2011/12/16	6.81	6.98	6.71	6.98	1050596	7199416.00
2011/12/19	6.95	7.03	6.76	7.01	1136083	7827304.00
2011/12/20	6.96	7.05	6.90	6.92	932417	6519216.00
2011/12/21	7.01	7.04	6.67	6.69	855551	5894763.00
2011/12/22	6.67	6.67	6.31	6.51	1273096	8218707.00
2011/12/23	6.52	6.67	6.44	6.54	583527	3816548.00
2011/12/26	6.50	6.63	6.47	6.49	639410	4174330.00
2011/12/27	6.45	6.47	6.21	6.24	552367	3515477.00
2011/12/28	6.27	6.27	6.02	6.17	733660	4495431.00
2011/12/29	6.17	6.26	6.10	6.22	701103	4357042.00
2011/12/30	6.28	6.32	6.21	6.26	534477	3346610.00
2012/01/04	6.29	6.37	6.00	6.02	604723	3764264.00
2012/01/05	6.14	6.14	5.68	5.77	770570	4556722.00
2012/01/06	5.82	5.82	5.59	5.75	1263971	7193420.00
2012/01/09	5.77	6.05	5.68	6.03	1189176	7009585.00
2012/01/10	6.00	6.34	5.96	6.30	1532514	9485011.00
2012/01/11	6.32	6.43	6.21	6.31	1253864	7933992.00
2012/01/12	6.26	6.44	6.26	6.28	825040	5237120.00
2012/01/13	6.32	6.32	6.00	6.04	1199360	7339588.00
2012/01/16	6.06	6.07	5.80	5.83	591200	3522761.00
2012/01/17	5.93	6.20	5.81	6.17	793937	4774514.00
2012/01/18	6.17	6.26	6.00	6.06	825820	5101139.00
2012/01/19	6.06	6.18	6.06	6.15	630960	3865779.00
2012/01/20	6.15	6.29	6.15	6.24	538511	3355706.00
2012/01/30	6.24	6.28	6.18	6.25	567336	3540059.00
2012/01/31	6.25	6.31	6.12	6.28	534573	3325546.00
2012/02/01	6.26	6.35	6.20	6.29	682916	4287809.00
2012/02/02	6.31	6.42	6.20	6.40	1216269	7687924.00
2012/02/03	6.35	6.52	6.35	6.49	1999134	12896390.00
2012/02/06	6.45	6.56	6.40	6.49	1506542	9765805.00
2012/02/07	6.48	6.79	6.42	6.63	5182782	34286480.00
2012/02/08	6.56	6.73	6.52	6.71	3484695	23192556.00
2012/02/09	6.70	6.94	6.60	6.91	3841661	25926834.00
2012/02/10	6.80	6.96	6.75	6.86	3036089	20795708.00
2012/02/13	6.81	6.92	6.79	6.87	2469747	16952056.00
2012/02/14	6.87	6.91	6.71	6.75	2390458	16258704.00
2012/02/15	6.75	7.05	6.71	7.04	3850284	26622482.00
2012/02/16	7.06	7.33	6.93	7.30	5417772	38603576.00
2012/02/17	7.23	7.23	7.05	7.11	2650524	18956544.00
2012/02/20	7.13	7.20	7.02	7.03	1877889	13314113.00
2012/02/21	7.02	7.18	6.98	7.17	2295728	16261808.00
2012/02/22	7.17	7.24	7.11	7.21	2534707	18186346.00
2012/02/23	7.21	7.23	7.00	7.12	2323257	16534792.00
2012/02/24	7.10	7.28	7.05	7.22	2862784	20606440.00
2012/02/27	7.21	7.31	7.13	7.14	2863774	20686106.00
2012/02/28	7.12	7.25	7.07	7.23	2108701	15046102.00
2012/02/29	7.20	7.32	7.15	7.17	2327409	16901902.00
2012/03/01	7.05	7.26	7.05	7.10	1835376	13126043.00
2012/03/02	7.10	7.30	7.10	7.28	2013183	14534309.00
2012/03/05	7.30	7.45	7.27	7.36	2798131	20632346.00
2012/03/06	7.38	7.48	7.29	7.44	2816413	20784690.00
2012/03/07	7.38	7.49	7.27	7.47	2394099	17618600.00
2012/03/08	7.50	7.68	7.47	7.55	2941732	22212896.00
2012/03/09	7.54	7.87	7.42	7.64	4849453	37084340.00
2012/03/12	7.59	7.66	7.46	7.53	2068428	15635917.00
2012/03/13	7.50	7.58	7.46	7.56	1508683	11356417.00
2012/03/14	7.56	7.61	7.11	7.23	3366582	24783368.00
2012/03/15	7.20	7.25	6.93	7.15	1642820	11647328.00
