600662 强生控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.56	5.84	5.50	5.70	14738828	87881480.00
2011/10/11	5.71	5.88	5.58	5.73	18861016	113507112.00
2011/10/12	5.65	5.94	5.58	5.81	30995686	186214832.00
2011/10/13	5.72	5.76	5.63	5.69	13386639	80255304.00
2011/10/14	5.66	5.69	5.54	5.60	8005842	47189692.00
2011/10/17	5.62	5.66	5.53	5.62	6802539	40078780.00
2011/10/18	5.59	5.74	5.45	5.59	11710940	68828152.00
2011/10/19	5.55	5.58	5.47	5.53	4471955	26059870.00
2011/10/20	5.53	5.53	5.18	5.19	6011237	33495464.00
2011/10/21	5.18	5.26	4.93	4.93	7234100	39028104.00
2011/10/24	4.95	5.02	4.87	5.00	3921419	20609024.00
2011/10/25	5.01	5.14	4.97	5.10	4188967	22460650.00
2011/10/26	5.06	5.21	5.04	5.13	5825538	31585364.00
2011/10/27	5.66	5.67	5.66	5.67	14507839	86598920.00
2011/10/28	5.76	5.83	5.49	5.71	33553264	200046000.00
2011/10/31	5.61	5.68	5.54	5.63	12711562	75047744.00
2011/11/01	5.56	5.76	5.54	5.72	15781018	94190360.00
2011/11/02	5.60	6.32	5.54	6.15	44922051	284159936.00
2011/11/03	6.05	6.28	5.91	5.97	33353215	210215536.00
2011/11/04	5.96	6.00	5.81	5.84	14977694	92559576.00
2011/11/07	5.81	5.88	5.77	5.80	6423861	39341272.00
2011/11/08	5.84	5.89	5.77	5.81	6883221	42156068.00
2011/11/09	5.82	5.85	5.69	5.83	8216879	49896136.00
2011/11/10	5.76	5.76	5.67	5.68	6381955	38353904.00
2011/11/11	5.68	5.77	5.62	5.69	4705462	28289472.00
2011/11/14	5.73	5.85	5.69	5.82	6248626	38049608.00
2011/11/15	5.83	5.87	5.78	5.82	4477737	27428400.00
2011/11/16	5.85	5.87	5.60	5.61	8373431	50274680.00
2011/11/17	5.63	5.67	5.46	5.49	8061743	47120164.00
2011/11/18	5.58	5.76	5.49	5.52	13959651	82847496.00
2011/11/21	5.39	5.43	5.25	5.35	7675592	43047332.00
2011/11/22	5.27	5.31	5.23	5.27	3930777	21869960.00
2011/11/23	5.30	5.32	5.19	5.22	6076619	33662716.00
