600664 哈药股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.22	9.37	9.14	9.28	7063502	65962648.00
2011/10/11	9.58	9.63	9.13	9.32	8068892	76269064.00
2011/10/12	9.27	9.68	9.15	9.61	15629475	149871488.00
2011/10/13	9.56	9.84	9.53	9.79	16319648	159611104.00
2011/10/14	9.69	9.80	9.57	9.73	9325869	90935936.00
2011/10/17	9.74	9.78	9.57	9.62	9026432	87867336.00
2011/10/18	9.54	9.55	9.03	9.04	14532819	135838016.00
2011/10/19	9.09	9.14	8.73	8.84	20147123	180431760.00
2011/10/20	8.75	8.76	8.38	8.50	17206026	147374400.00
2011/10/21	8.49	8.54	8.42	8.48	5906823	50518740.00
2011/10/24	8.53	8.64	8.29	8.59	9666935	83073608.00
2011/10/25	8.65	8.81	8.47	8.74	14844412	129947968.00
2011/10/26	8.68	9.01	8.63	8.86	16571942	148215376.00
2011/10/27	8.87	8.99	8.76	8.78	12740348	113889896.00
2011/10/28	8.92	9.03	8.82	9.02	17007184	153072480.00
2011/10/31	8.94	9.05	8.75	8.84	21834415	195411936.00
2011/11/01	8.71	9.18	8.65	9.12	28060078	252860128.00
2011/11/02	8.96	9.23	8.91	9.22	20333879	185126864.00
2011/11/03	9.24	9.50	9.15	9.33	30696786	288806560.00
2011/11/04	9.39	9.51	9.28	9.45	21252017	201332624.00
2011/11/07	9.38	9.61	9.35	9.47	19528847	186193408.00
2011/11/08	9.31	9.55	9.20	9.22	24382058	230596112.00
2011/11/16	9.81	10.08	9.43	9.61	66747846	656615744.00
2011/11/17	9.52	9.58	9.31	9.34	22235508	210968816.00
2011/11/18	9.23	9.23	8.91	8.93	19658567	179140800.00
2011/11/21	8.93	8.97	8.78	8.93	8570126	76667952.00
2011/11/22	8.83	8.90	8.69	8.82	8880861	78805376.00
2011/11/23	8.83	8.86	8.63	8.67	9455001	83165864.00
2011/11/24	8.53	8.76	8.51	8.70	9817289	85739256.00
2011/11/25	8.70	8.75	8.62	8.65	5887745	51420360.00
2011/11/28	8.69	8.73	8.63	8.71	5219142	45652584.00
2011/11/29	8.81	8.91	8.78	8.88	9470481	84469568.00
2011/11/30	8.88	8.97	8.43	8.47	14093927	123142760.00
2011/12/01	8.73	8.87	8.58	8.62	16645060	146369984.00
2011/12/02	8.58	8.69	8.47	8.55	9441152	81661312.00
2011/12/05	8.57	8.60	8.21	8.23	10329410	86917480.00
2011/12/06	8.23	8.28	8.05	8.14	8602341	70676288.00
2011/12/07	8.15	8.20	8.10	8.14	6559895	53904500.00
2011/12/08	8.14	8.18	7.97	8.11	8265192	67336232.00
2011/12/09	8.05	8.10	8.00	8.08	4933010	40074084.00
2011/12/12	8.10	8.11	7.98	7.99	4787339	38748472.00
2011/12/13	7.97	8.00	7.75	7.75	9213180	73007064.00
2011/12/14	7.74	7.81	7.58	7.61	7099433	55000060.00
2011/12/15	7.53	7.58	7.39	7.48	10067847	76239360.00
2011/12/16	7.49	7.62	7.39	7.60	9530407	72189424.00
2011/12/19	7.52	7.55	7.32	7.52	9572795	71903208.00
