600665 天地源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	3.42	3.46	3.36	3.37	1077795	4628583.00
2011/10/11	3.42	3.48	3.29	3.32	1588700	6801218.00
2011/10/12	3.32	3.47	3.30	3.45	2237378	9670311.00
2011/10/13	3.44	3.51	3.42	3.51	2121495	9330897.00
2011/10/14	3.51	3.53	3.44	3.48	1813926	7978449.00
2011/10/17	3.48	3.53	3.45	3.50	1658154	7313360.00
2011/10/18	3.47	3.47	3.32	3.34	1836730	7888803.00
2011/10/19	3.40	3.40	3.29	3.31	1464976	6171854.00
2011/10/20	3.30	3.37	3.19	3.22	1790084	7406435.00
2011/10/21	3.22	3.27	3.19	3.24	948400	3882515.00
2011/10/24	3.27	3.33	3.19	3.33	1983270	8233284.00
2011/10/25	3.32	3.47	3.28	3.42	2477386	10622546.00
2011/10/26	3.39	3.49	3.37	3.44	3714756	16183013.00
2011/10/27	3.45	3.47	3.38	3.39	3116816	13500930.00
2011/10/28	3.44	3.67	3.44	3.60	14057898	63410280.00
2011/10/31	3.57	3.62	3.53	3.57	5121730	23004092.00
2011/11/01	3.53	3.67	3.52	3.62	6835293	31175628.00
2011/11/02	3.57	3.67	3.50	3.64	4676104	21198284.00
2011/11/03	3.70	3.70	3.58	3.59	7379103	33696952.00
2011/11/04	3.59	3.63	3.54	3.56	7126074	32194508.00
2011/11/07	3.54	3.59	3.52	3.54	2524909	11333671.00
2011/11/08	3.52	3.54	3.40	3.46	5999483	26306958.00
2011/11/09	3.46	3.49	3.40	3.49	3532207	15394827.00
2011/11/10	3.44	3.45	3.36	3.37	2867334	12351408.00
2011/11/11	3.37	3.42	3.36	3.37	1703559	7314263.00
2011/11/14	3.38	3.46	3.38	3.46	2820071	12221967.00
2011/11/15	3.43	3.49	3.43	3.47	2965582	12979526.00
2011/11/16	3.47	3.47	3.37	3.38	3004627	12970311.00
2011/11/17	3.38	3.45	3.36	3.37	1900087	8180283.00
2011/11/18	3.37	3.41	3.30	3.31	2510408	10624786.00
2011/11/21	3.31	3.37	3.30	3.34	1051592	4429968.00
2011/11/22	3.31	3.35	3.27	3.35	1788364	7521111.00
2011/11/23	3.34	3.35	3.28	3.31	1188765	4984103.00
2011/11/24	3.28	3.39	3.26	3.31	1316688	5518376.00
2011/11/25	3.32	3.32	3.26	3.26	1116196	4638910.00
2011/11/28	3.26	3.28	3.22	3.25	1259816	5189385.00
2011/11/29	3.29	3.29	3.25	3.29	2087135	8647672.00
2011/11/30	3.29	3.29	3.09	3.11	2462718	9911783.00
2011/12/01	3.22	3.27	3.15	3.18	4444800	18109492.00
2011/12/02	3.17	3.17	3.07	3.13	2128543	8431652.00
2011/12/05	3.13	3.13	2.98	3.01	1578292	6149482.00
2011/12/06	3.02	3.10	3.01	3.04	1254463	4875031.00
2011/12/07	3.04	3.06	3.00	3.04	1034881	3998942.00
2011/12/08	3.02	3.07	2.99	3.03	1440588	5550442.00
2011/12/09	3.02	3.09	2.99	3.04	2430382	9453021.00
2011/12/12	3.04	3.06	2.99	3.00	1018830	3922336.00
2011/12/13	2.99	3.03	2.83	2.85	2414134	8864268.00
2011/12/14	2.82	2.87	2.77	2.79	951571	3441977.00
2011/12/15	2.77	2.83	2.74	2.74	1442140	5121609.00
2011/12/16	2.79	2.83	2.74	2.83	1448780	5162137.00
2011/12/19	2.82	2.83	2.72	2.82	1424403	5053442.00
2011/12/20	2.79	2.89	2.77	2.87	2383785	8677280.00
2011/12/21	2.85	2.87	2.80	2.84	1484987	5388413.00
2011/12/22	2.83	2.83	2.62	2.80	1850944	6468880.00
2011/12/23	2.74	2.85	2.74	2.83	1422985	5117596.00
2011/12/26	2.80	2.86	2.78	2.82	1053002	3800007.00
2011/12/27	2.82	2.82	2.72	2.74	1055930	3724954.00
2011/12/28	2.72	2.74	2.65	2.73	1325587	4586077.00
2011/12/29	2.70	2.75	2.69	2.70	1049949	3655703.00
2011/12/30	2.71	2.80	2.70	2.77	2455142	8653379.00
2012/01/04	2.77	2.79	2.70	2.70	1117700	3925198.00
2012/01/05	2.67	2.72	2.61	2.63	917819	3134435.00
2012/01/06	2.67	2.67	2.58	2.65	711588	2389484.00
2012/01/09	2.65	2.78	2.65	2.77	1619224	5659295.00
2012/01/10	2.77	2.91	2.75	2.89	3225917	11734590.00
2012/01/11	2.88	2.88	2.82	2.86	2793375	10164647.00
2012/01/12	2.86	2.94	2.83	2.87	2050803	7559417.00
2012/01/13	2.86	2.86	2.75	2.77	1709458	6099176.00
2012/01/16	2.77	2.77	2.69	2.70	752640	2643191.00
2012/01/17	2.68	2.85	2.68	2.84	1594010	5710550.00
2012/01/18	2.83	2.90	2.77	2.77	1993373	7213268.00
2012/01/19	2.77	2.84	2.73	2.83	1468773	5280484.00
2012/01/20	2.84	2.91	2.82	2.87	1818967	6671295.00
2012/01/30	2.88	2.90	2.81	2.82	1285791	4667252.00
2012/01/31	2.81	2.86	2.81	2.85	1276186	4617812.00
2012/02/01	2.82	2.87	2.81	2.81	1273563	4610875.00
2012/02/02	2.81	2.87	2.80	2.86	1029215	3727714.00
2012/02/03	2.84	2.92	2.84	2.91	2335714	8599147.00
2012/02/06	2.87	2.98	2.87	2.94	3710457	13912120.00
2012/02/07	2.91	2.91	2.82	2.85	2533274	9214205.00
2012/02/08	2.85	2.92	2.82	2.92	2065899	7610848.00
2012/02/09	2.92	3.02	2.90	2.95	5043793	19102460.00
2012/02/10	2.94	3.07	2.94	3.03	6144815	23718110.00
2012/02/13	2.98	3.01	2.90	2.98	3910344	14746944.00
2012/02/14	2.96	3.06	2.92	3.04	3997140	15248589.00
2012/02/15	3.02	3.07	2.97	3.05	4071395	15733636.00
2012/02/16	3.05	3.10	3.00	3.05	4710758	18278464.00
2012/02/17	3.05	3.10	3.01	3.07	4235017	16499011.00
2012/02/20	3.11	3.14	3.08	3.12	6253645	24758180.00
2012/02/21	3.11	3.15	3.03	3.14	5549767	21840956.00
2012/02/22	3.15	3.27	3.12	3.22	9993155	40869204.00
2012/02/23	3.22	3.25	3.17	3.22	4384971	17884836.00
2012/02/24	3.22	3.47	3.19	3.42	13227448	56361744.00
2012/02/27	3.41	3.47	3.36	3.36	9845679	42586048.00
2012/02/29	3.27	3.28	3.18	3.18	5735451	23522168.00
2012/03/01	3.17	3.25	3.17	3.20	2951534	12047866.00
2012/03/02	3.22	3.37	3.22	3.34	6768549	28334668.00
2012/03/05	3.35	3.46	3.35	3.37	12030501	51870008.00
2012/03/06	3.41	3.58	3.37	3.52	15146419	66684672.00
2012/03/07	3.46	3.52	3.38	3.41	6656268	28990920.00
2012/03/08	3.39	3.47	3.39	3.44	5737003	24877808.00
2012/03/09	3.45	3.45	3.37	3.44	3857529	16674632.00
2012/03/12	3.44	3.44	3.36	3.39	3867696	16579287.00
2012/03/13	3.38	3.43	3.37	3.42	2906919	12500301.00
2012/03/14	3.42	3.47	3.16	3.17	6966110	29509704.00
2012/03/15	3.14	3.18	3.02	3.04	4584880	18001060.00
2012/03/16	3.05	3.12	3.04	3.11	2515488	9868825.00
2012/03/19	3.09	3.17	3.05	3.16	2788523	11016309.00
2012/03/20	3.16	3.24	3.09	3.15	3871688	15562674.00
2012/03/21	3.14	3.17	3.08	3.15	2420399	9642836.00
2012/03/22	3.13	3.24	3.13	3.21	3235184	13129258.00
2012/03/23	3.21	3.21	3.07	3.08	1905599	7570109.00
2012/03/26	3.07	3.09	3.03	3.07	1505450	5857553.00
2012/03/27	3.07	3.14	3.07	3.09	1101434	4343708.00
2012/03/28	3.07	3.22	2.99	3.02	3999726	15835074.00
2012/03/29	3.02	3.21	3.02	3.18	6955138	27613340.00
2012/03/30	3.19	3.22	3.09	3.16	4407437	17620664.00
2012/04/05	3.14	3.32	3.14	3.29	6629968	27401384.00
2012/04/06	3.29	3.37	3.27	3.33	5555131	23326278.00
2012/04/09	3.30	3.33	3.22	3.24	2509950	10442404.00
2012/04/10	3.27	3.32	3.15	3.31	3230356	13255281.00
2012/04/11	3.26	3.49	3.23	3.39	7177258	30892808.00
2012/04/12	3.37	3.50	3.32	3.47	9297583	40395344.00
2012/04/13	3.47	3.61	3.44	3.50	9112872	40637432.00
2012/04/16	3.45	3.70	3.42	3.63	10049908	45671396.00
2012/04/17	3.63	3.72	3.42	3.43	9759946	43573848.00
2012/04/18	3.47	3.61	3.43	3.53	8675857	38682176.00
2012/04/19	3.54	3.60	3.49	3.53	5258900	23435212.00
2012/04/23	3.62	3.91	3.60	3.81	23130816	110664096.00
2012/04/24	3.73	3.86	3.57	3.85	16242106	76445608.00
2012/04/25	3.80	4.17	3.78	4.03	18962703	95434160.00
2012/04/26	4.03	4.06	3.88	3.92	10226991	50863508.00
2012/04/27	3.88	3.93	3.75	3.77	10555794	50826516.00
2012/05/02	3.82	3.90	3.77	3.87	7593653	36630044.00
2012/05/03	3.83	3.87	3.74	3.78	6484605	30938084.00
2012/05/04	3.77	3.81	3.69	3.79	5513725	26097422.00
2012/05/07	3.77	3.83	3.72	3.82	4751612	22553588.00
2012/05/08	3.82	3.82	3.75	3.77	3526421	16755579.00
2012/05/09	3.76	3.76	3.67	3.70	3804346	17736844.00
2012/05/10	3.70	3.73	3.67	3.67	3026393	14087477.00
2012/05/11	3.70	3.84	3.70	3.74	6621978	31506298.00
2012/05/14	3.84	3.92	3.75	3.78	7457445	35919040.00
2012/05/15	3.72	3.81	3.65	3.80	5309432	24719924.00
2012/05/16	3.77	3.82	3.66	3.67	6781115	31649448.00
2012/05/17	3.68	3.76	3.65	3.71	2556915	9937417.00
2012/05/18	3.66	3.69	3.53	3.54	4709611	17878976.00
2012/05/21	3.54	3.58	3.46	3.52	3182635	11763837.00
2012/05/22	3.54	3.62	3.53	3.62	3822040	14391126.00
2012/05/23	3.62	3.72	3.58	3.68	5448038	20970640.00
