600668 尖峰集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.63	9.67	9.50	9.56	2675968	26856284.00
2011/10/11	9.88	10.13	9.60	9.77	8234826	85293200.00
2011/10/12	9.76	10.18	9.53	10.16	9281140	96889512.00
2011/10/13	10.15	10.51	10.05	10.46	11882315	128798176.00
2011/10/14	10.41	10.43	10.20	10.35	6616795	71178024.00
2011/10/17	10.35	10.55	10.26	10.36	6697404	72715504.00
2011/10/18	10.25	10.30	9.81	9.83	7588548	79562744.00
2011/10/19	9.88	10.00	9.66	9.76	3703833	37980728.00
2011/10/20	9.67	9.72	9.51	9.57	4270754	42804684.00
2011/10/21	9.57	9.62	9.32	9.37	3680108	36398004.00
2011/10/24	9.44	9.67	9.25	9.66	6215109	61686312.00
2011/10/25	9.75	9.99	9.60	9.95	8349399	85748872.00
2011/10/26	9.85	10.66	9.82	10.22	16605257	179174240.00
2011/10/27	10.20	10.43	10.12	10.24	8439967	90449632.00
2011/10/28	10.34	10.52	10.28	10.44	9269461	100629344.00
2011/10/31	10.51	10.53	10.30	10.41	7086006	76906328.00
2011/11/01	10.25	10.47	10.17	10.27	6689540	71935000.00
2011/11/02	10.06	10.41	9.83	10.34	9331019	98319504.00
2011/11/03	10.39	10.61	10.31	10.39	14878191	162166304.00
2011/11/04	10.45	10.52	10.25	10.40	7696960	83284056.00
2011/11/07	10.37	10.38	10.21	10.22	5965309	63980156.00
2011/11/08	10.16	10.32	9.94	9.98	6369730	67470360.00
2011/11/09	10.06	10.15	9.85	10.14	5507234	57647912.00
2011/11/11	9.95	10.12	9.86	9.91	6011097	62798400.00
2011/11/14	9.96	10.20	9.95	10.19	6688999	70386296.00
2011/11/15	10.19	10.38	10.15	10.23	7660169	81903240.00
2011/11/16	10.25	10.27	9.76	9.80	7850125	81596224.00
2011/11/17	9.89	9.92	9.71	9.72	4522797	46277136.00
2011/11/18	9.65	9.66	9.40	9.44	5782656	57554876.00
2011/11/21	9.44	9.54	9.37	9.54	3087594	30607222.00
2011/11/22	9.43	9.52	9.38	9.50	3354776	33180372.00
2011/11/23	9.54	9.58	9.31	9.32	3256927	32167526.00
2011/11/24	9.27	9.27	8.93	9.14	4713529	45196448.00
2011/11/25	9.13	9.29	9.05	9.14	2623875	25249508.00
2011/11/28	9.16	9.24	8.98	9.02	3134822	29944268.00
2011/11/29	9.15	9.21	9.04	9.20	3044813	29159280.00
2011/11/30	9.17	9.17	8.44	8.54	5356509	49279552.00
2011/12/01	8.89	9.05	8.69	8.73	6835219	63609432.00
2011/12/02	8.66	8.73	8.44	8.58	4161169	37655800.00
2011/12/05	8.55	8.55	7.97	8.02	5695655	49239044.00
2011/12/06	8.05	8.09	7.90	8.01	2804808	23691024.00
2011/12/07	7.97	8.13	7.95	8.02	2748959	23285876.00
2011/12/08	8.01	8.18	7.87	8.08	3918353	33259180.00
2011/12/09	7.98	8.06	7.83	7.86	2555697	21431076.00
2011/12/12	7.87	7.93	7.59	7.61	2564320	21065376.00
2011/12/13	7.55	7.56	7.12	7.16	5470905	42151284.00
2011/12/14	7.15	7.32	7.10	7.16	5017180	38408456.00
2011/12/15	7.13	7.21	6.96	6.99	3563130	26776080.00
2011/12/16	6.99	7.24	6.97	7.22	3667282	27709272.00
2011/12/19	7.14	7.19	6.92	7.14	3223545	24195844.00
2011/12/20	7.14	7.65	7.08	7.25	8032956	63134524.00
2011/12/21	7.33	7.42	6.96	7.00	3905401	30146892.00
2011/12/22	6.87	7.09	6.65	7.00	5146038	37613180.00
2011/12/23	6.91	7.75	6.91	7.65	22470555	180653280.00
2011/12/26	7.55	7.73	7.42	7.44	13478273	108479752.00
2011/12/27	7.34	7.39	7.05	7.08	9938863	76148624.00
2011/12/28	7.03	7.33	6.96	7.28	8730090	66716028.00
2011/12/29	7.15	7.35	7.15	7.26	5671958	43760232.00
2011/12/30	7.28	7.48	7.28	7.40	6871292	53803672.00
2012/01/04	7.49	7.55	7.03	7.05	6467919	49930168.00
2012/01/05	6.96	7.03	6.69	6.70	5779922	42218124.00
2012/01/06	6.60	7.04	6.60	7.02	6026007	43730840.00
2012/01/09	6.96	7.56	6.91	7.54	9037767	70086256.00
2012/01/10	7.45	8.00	7.42	7.96	15600010	128702096.00
2012/01/11	7.94	7.94	7.72	7.82	8721417	72136240.00
2012/01/12	7.75	7.95	7.70	7.90	7291416	60628228.00
2012/01/13	7.85	7.94	7.48	7.50	8204780	66529028.00
2012/01/16	7.60	7.90	7.53	7.57	12481058	101963824.00
2012/01/17	7.59	8.20	7.59	8.18	13355863	112057704.00
2012/01/18	8.13	8.58	8.05	8.17	17238028	150925104.00
2012/01/19	8.06	8.43	7.99	8.35	10747522	93519256.00
2012/01/20	8.38	8.62	8.30	8.53	10345551	92282336.00
2012/01/30	8.49	8.49	8.15	8.20	9338895	82051152.00
2012/01/31	8.14	8.25	8.05	8.21	6100953	52341764.00
2012/02/01	8.14	8.24	7.87	7.94	7359196	62599676.00
2012/02/02	7.93	8.15	7.82	8.15	7081362	59703492.00
2012/02/03	8.09	8.19	7.93	8.15	8055875	68801056.00
2012/02/06	8.16	8.43	8.15	8.27	10670371	93243392.00
2012/02/07	8.23	8.23	7.95	8.03	6539895	55604096.00
2012/02/08	8.03	8.33	7.98	8.33	8185659	70737808.00
2012/02/09	8.29	8.51	8.25	8.41	11129005	98546672.00
2012/02/10	8.40	8.71	8.31	8.45	11097206	99750248.00
2012/02/13	8.32	8.50	8.22	8.45	6772911	59859704.00
2012/02/14	8.41	8.48	8.30	8.47	6753182	59625064.00
2012/02/15	8.43	8.61	8.35	8.57	8379351	75014888.00
2012/02/16	8.58	8.78	8.46	8.55	9284504	84258848.00
2012/02/17	8.58	8.65	8.35	8.49	5871858	52316848.00
2012/02/20	8.65	8.75	8.55	8.57	11534669	104937960.00
2012/02/21	8.56	8.72	8.49	8.70	8507454	77269368.00
2012/02/22	8.66	8.79	8.63	8.76	10672834	97890712.00
2012/02/23	8.75	8.82	8.63	8.72	9007397	82710296.00
2012/02/24	8.68	9.32	8.64	9.04	18950171	178882144.00
2012/02/27	9.04	9.14	8.89	8.92	13774745	130707784.00
2012/02/28	8.86	9.00	8.80	8.95	9770784	91382296.00
2012/02/29	8.91	8.93	8.70	8.70	8578245	79433992.00
2012/03/01	8.69	8.84	8.66	8.73	4759891	43815400.00
2012/03/02	8.78	8.97	8.73	8.95	8664278	80874272.00
2012/03/05	9.00	9.12	8.90	8.92	8488134	80351488.00
2012/03/06	8.86	8.86	8.60	8.71	8128285	74471592.00
2012/03/07	8.57	8.71	8.51	8.59	6232063	56559980.00
2012/03/08	8.61	8.73	8.61	8.69	5449504	49752760.00
2012/03/09	8.72	8.82	8.63	8.81	6667239	61220564.00
2012/03/12	8.81	8.90	8.78	8.87	6845117	63519224.00
2012/03/13	8.87	9.04	8.82	9.03	9863312	92884968.00
2012/03/14	9.05	9.10	8.35	8.42	15187039	140235584.00
2012/03/15	8.37	8.43	8.02	8.05	11796390	101937096.00
2012/03/16	8.05	8.32	8.04	8.32	7169773	61958808.00
2012/03/19	8.31	8.47	8.21	8.46	6665366	58585568.00
2012/03/20	8.42	8.42	8.18	8.20	5399470	47139672.00
2012/03/21	8.25	8.29	8.04	8.25	4946864	42643336.00
2012/03/22	8.22	8.34	8.16	8.24	3982526	34738528.00
2012/03/23	8.23	8.23	7.86	7.92	5079147	43017008.00
2012/03/26	7.90	7.97	7.83	7.90	2940562	24547048.00
2012/03/27	7.93	8.69	7.89	8.64	15752466	137846864.00
2012/03/28	8.55	8.75	8.33	8.70	29407395	265907952.00
2012/03/29	8.65	8.83	8.31	8.43	15672220	140606512.00
2012/03/30	8.51	8.52	7.97	8.20	12264241	106632136.00
2012/04/05	8.21	8.83	8.20	8.79	15463595	139488912.00
2012/04/06	8.73	9.14	8.69	9.06	24346407	228841728.00
2012/04/09	8.97	9.35	8.77	8.91	20794487	197932000.00
2012/04/10	8.68	8.93	8.40	8.93	17352765	157830832.00
2012/04/11	8.70	9.31	8.65	9.19	21740103	207062832.00
2012/04/12	9.14	9.31	8.97	9.25	21653450	207822560.00
2012/04/13	9.28	9.28	9.03	9.24	19101197	183827280.00
2012/04/16	9.10	9.17	8.93	9.03	11772866	111447832.00
2012/04/17	8.99	9.06	8.71	8.72	9912834	92143968.00
2012/04/18	8.81	9.51	8.70	9.46	28364266	275146592.00
2012/04/19	9.33	9.53	9.27	9.35	18518929	182224720.00
2012/04/20	9.60	9.74	9.43	9.48	26376228	263754496.00
2012/04/23	9.48	10.47	9.45	10.47	55774271	598627712.00
2012/04/24	10.43	11.55	10.13	11.23	67451922	752738368.00
2012/04/25	11.05	11.73	10.95	11.45	47019782	555080064.00
2012/04/26	11.46	11.50	10.95	11.19	28710321	334065312.00
2012/04/27	11.13	11.53	10.93	10.95	19755930	230011680.00
2012/05/02	11.19	11.62	10.97	11.28	28002417	331318048.00
2012/05/03	11.17	11.43	10.98	11.37	18855298	219696240.00
2012/05/04	11.29	11.75	11.21	11.37	24219562	288262240.00
2012/05/07	11.24	11.63	11.05	11.44	22572172	265268128.00
2012/05/09	11.29	11.29	10.58	10.61	20605011	234769296.00
2012/05/10	10.61	10.86	10.29	10.68	19042503	209291792.00
2012/05/11	10.57	10.77	10.50	10.58	10155455	112550464.00
2012/05/14	11.15	11.68	10.88	11.68	44737769	538685504.00
2012/05/15	12.04	12.52	11.83	12.13	76580607	965460928.00
2012/05/16	11.35	11.70	11.21	11.48	46806301	556165632.00
2012/05/17	11.41	11.51	10.99	11.35	24937433	292146112.00
2012/05/18	11.16	11.65	11.09	11.23	23153299	272753696.00
2012/05/21	11.35	11.43	10.75	10.97	20738778	238241808.00
2012/05/22	11.11	11.73	11.10	11.41	32771275	389916192.00
2012/05/23	11.33	12.60	11.24	12.60	62348442	782912128.00
2012/05/24	12.65	13.23	12.28	12.38	69262069	914759808.00
2012/05/25	12.37	13.50	12.37	12.91	60786654	816163968.00
2012/05/28	12.88	14.25	12.57	14.25	73904840	1034163712.00
2012/05/29	14.53	14.75	13.86	14.18	73949799	1088493056.00
2012/05/30	14.05	14.11	13.69	13.93	39367520	566317824.00
2012/05/31	13.79	14.24	13.70	13.86	38431509	555115968.00
2012/06/01	13.80	13.99	13.38	13.53	34464035	483518560.00
2012/06/04	13.20	13.31	12.76	12.92	36849099	498908416.00
2012/06/05	12.93	13.16	12.73	12.85	24718806	331053152.00
2012/06/06	12.90	13.20	12.77	13.03	28388106	381951136.00
2012/06/07	13.23	13.30	12.79	12.84	27461564	369230848.00
2012/06/08	12.94	13.08	12.36	12.39	25695322	340029184.00
2012/06/11	12.33	12.62	11.94	12.53	27318691	347819808.00
2012/06/12	12.34	12.65	12.16	12.37	20203666	259989904.00
2012/06/13	12.44	13.10	12.19	12.88	33100572	435559904.00
2012/06/14	12.75	13.08	12.45	12.49	25066929	332370560.00
2012/06/15	12.46	12.67	11.85	12.13	26434358	335207296.00
2012/06/18	12.21	12.69	12.13	12.50	24351444	315239040.00
2012/06/19	12.45	12.45	12.11	12.25	16565145	210562336.00
2012/06/20	12.31	12.39	12.10	12.13	9353698	118483304.00
2012/06/21	12.08	12.08	11.67	11.76	14608356	179413872.00
2012/06/25	11.55	11.74	11.17	11.20	15983334	190165840.00
2012/06/26	11.14	11.57	11.08	11.46	16480940	194674752.00
2012/06/27	11.44	11.56	11.22	11.30	11409380	135038240.00
2012/06/28	11.30	11.73	11.09	11.34	17470967	208143104.00
2012/06/29	11.18	11.62	11.06	11.55	13966059	165750624.00
2012/07/02	11.57	12.12	11.52	11.92	20169725	246383088.00
2012/07/03	11.87	12.05	11.72	11.81	14521888	177420048.00
2012/07/04	11.77	11.92	11.64	11.71	9492350	114706752.00
2012/07/05	11.63	11.63	10.63	10.68	23269659	263584704.00
2012/07/06	10.82	11.12	10.64	11.09	15793881	176809120.00
