600671 天目药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.56	9.70	9.50	9.65	176130	1691022.00
2011/10/11	9.69	10.06	9.69	9.88	1071282	10605700.00
2011/10/12	9.72	10.25	9.70	10.09	730682	7366128.00
2011/10/13	10.09	10.15	9.97	10.05	802912	8048194.00
2011/10/14	10.01	10.07	9.96	10.04	389837	3903360.00
2011/10/18	10.04	10.39	10.04	10.20	1366213	13965434.00
2011/10/19	10.00	10.25	9.91	10.05	670632	6743667.00
2011/10/20	9.97	10.08	9.69	9.88	376404	3692057.00
2011/10/21	10.03	10.03	9.82	9.87	397004	3927101.00
2011/10/24	9.92	10.36	9.60	10.36	1023021	10306912.00
2011/10/25	10.22	10.88	10.21	10.72	2443434	26216586.00
2011/10/26	10.65	10.86	10.50	10.76	889406	9503709.00
2011/10/27	10.76	11.07	10.58	10.83	1931427	20957556.00
2011/10/28	11.37	11.37	10.85	10.94	1427359	15759400.00
2011/10/31	11.00	11.00	10.55	10.60	1615651	17226570.00
2011/11/01	10.60	10.83	10.50	10.61	1408661	14968175.00
2011/11/02	10.48	10.77	10.48	10.76	1034310	11023791.00
2011/11/03	10.76	10.99	10.63	10.83	1334729	14457450.00
2011/11/04	10.78	10.93	10.72	10.81	704975	7607966.00
2011/11/07	10.80	10.86	10.66	10.66	740007	7960656.00
2011/11/08	10.60	10.70	10.50	10.54	635533	6744679.00
2011/11/09	10.59	10.68	10.46	10.63	775886	8173700.00
2011/11/10	10.51	10.61	10.44	10.49	694591	7311232.00
2011/11/11	10.48	10.68	10.43	10.49	526260	5519960.00
2011/11/14	10.49	10.67	10.49	10.65	564505	5976802.00
2011/11/15	10.66	10.97	10.62	10.88	1297417	14061021.00
2011/11/16	10.89	10.93	10.64	10.70	735461	7883863.00
2011/11/17	10.69	11.19	10.65	11.02	1539382	16891626.00
2011/11/18	10.95	11.25	10.80	10.93	1324074	14571554.00
2011/11/21	10.75	10.92	10.38	10.49	1278066	13404809.00
2011/11/22	9.99	10.20	9.97	9.97	1526800	15264273.00
2011/11/23	9.90	9.90	9.58	9.79	1006894	9804725.00
2011/11/24	9.69	10.04	9.54	9.86	802542	7905546.00
2011/11/25	9.77	9.89	9.50	9.56	1020191	9846487.00
2011/11/28	9.50	9.68	9.32	9.56	1195041	11292550.00
2011/11/29	9.57	9.60	9.40	9.49	864895	8184580.00
2011/11/30	9.45	9.53	9.02	9.02	896536	8263669.00
2011/12/01	9.17	9.26	9.00	9.05	1048795	9565090.00
2011/12/02	9.03	9.05	8.60	8.65	1343837	11673569.00
2011/12/05	8.58	8.60	8.22	8.26	1819281	15011114.00
2011/12/06	8.29	8.53	8.22	8.45	1129386	9451030.00
2011/12/07	8.40	8.50	8.18	8.41	449731	3770277.00
2011/12/08	8.05	8.48	8.05	8.44	1012309	8418387.00
2011/12/09	8.27	8.79	8.27	8.76	908301	7843606.00
2011/12/12	8.67	8.75	8.32	8.43	391476	3366917.00
2011/12/13	8.40	8.50	8.01	8.15	852058	6911112.00
2011/12/14	8.10	8.16	7.82	7.83	512472	4117216.00
2011/12/15	7.88	7.93	7.62	7.93	704405	5462406.00
2011/12/16	7.99	8.22	7.83	8.17	470999	3829239.00
2011/12/20	8.48	8.58	8.29	8.36	458133	3867811.00
2011/12/21	8.33	8.56	8.00	8.32	367242	3024382.00
2011/12/22	8.30	8.30	7.90	7.90	448144	3556281.00
2011/12/23	7.87	8.03	7.69	7.90	536905	4226860.00
2011/12/26	7.90	8.00	7.67	7.86	228280	1811860.00
2011/12/27	7.92	8.25	7.70	8.13	975301	7896699.00
2011/12/28	8.01	8.12	7.99	8.07	258859	2080028.00
2011/12/29	8.25	8.28	8.03	8.03	197291	1594494.00
2011/12/30	8.22	8.23	8.06	8.14	176493	1440238.00
2012/01/04	8.16	8.28	8.03	8.03	179100	1467159.00
2012/01/05	7.95	8.14	7.63	7.63	290300	2268804.00
2012/01/06	7.58	7.63	7.25	7.42	321960	2362415.00
2012/01/09	7.47	7.78	7.23	7.74	289211	2203452.00
2012/01/10	7.83	8.08	7.74	8.07	313486	2487520.00
2012/01/11	8.19	8.19	7.95	8.00	253945	2034088.00
2012/01/12	8.00	8.20	7.99	8.17	384000	3107560.00
2012/01/13	8.20	8.58	8.12	8.47	975455	8217199.00
2012/01/16	8.35	8.50	8.25	8.37	452668	3806870.00
2012/01/17	8.20	8.58	8.16	8.45	792888	6635879.00
2012/01/18	8.45	8.55	8.20	8.28	332600	2783673.00
2012/01/19	8.44	8.69	8.21	8.68	454609	3835531.00
2012/01/20	8.59	8.68	8.40	8.47	244497	2097395.00
2012/01/30	8.58	8.76	8.40	8.72	325218	2779042.00
2012/01/31	8.53	8.77	8.53	8.70	294645	2558764.00
2012/02/01	8.68	9.05	8.68	8.83	860176	7665680.00
2012/02/02	8.82	9.16	8.82	9.07	399300	3595338.00
2012/02/03	9.00	9.21	9.00	9.12	401575	3669179.00
2012/02/06	9.12	9.16	8.71	9.12	1606898	14426118.00
2012/02/07	9.05	9.05	8.83	9.00	573701	5129793.00
2012/02/08	8.87	9.12	8.85	9.11	427596	3851366.00
2012/02/09	8.84	9.10	8.80	8.91	891998	7957285.00
2012/02/10	8.80	8.95	8.80	8.91	357506	3178089.00
2012/02/13	8.88	8.97	8.83	8.91	312456	2784189.00
2012/02/14	8.86	9.13	8.84	9.08	623398	5634996.00
2012/02/15	9.10	9.37	9.09	9.24	539332	4973820.00
2012/02/16	9.24	9.24	8.90	9.13	465225	4213711.00
2012/02/17	9.13	9.13	8.85	8.97	319213	2852317.00
2012/02/20	8.98	9.01	8.84	8.90	616400	5484592.00
2012/02/21	8.81	8.92	8.81	8.91	220879	1958626.00
2012/02/22	8.87	8.95	8.83	8.91	661842	5886439.00
2012/02/23	8.90	8.96	8.85	8.92	727471	6479621.00
2012/02/24	8.91	9.07	8.84	9.07	1049547	9425399.00
2012/02/27	9.14	9.14	9.02	9.07	1318054	11977015.00
