600674 川投能源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.41	6.43	6.33	6.41	1261796	14882554.00
2011/10/11	6.54	6.58	6.46	6.51	2013087	24217592.00
2011/10/12	6.46	6.67	6.46	6.67	2515332	30650184.00
2011/10/13	6.66	6.71	6.63	6.68	2455889	30184916.00
2011/10/14	6.65	6.74	6.60	6.71	2548423	31371008.00
2011/10/17	6.73	6.83	6.63	6.66	1962528	24268640.00
2011/10/18	6.61	6.66	6.49	6.52	1963564	23761364.00
2011/10/19	6.52	6.58	6.43	6.55	1368994	16395992.00
2011/10/20	6.52	6.52	6.32	6.42	1379858	16246097.00
2011/10/21	6.43	6.43	6.27	6.37	938777	10993516.00
2011/10/24	6.38	6.46	6.24	6.45	3310396	38632940.00
2011/10/25	6.41	6.55	6.34	6.53	2791911	33207760.00
2011/10/26	6.46	6.60	6.45	6.51	2505646	30165406.00
2011/10/27	6.51	6.67	6.41	6.46	5149710	62076232.00
2011/10/28	6.53	6.98	6.51	6.94	10365841	129482976.00
2011/10/31	6.88	7.10	6.85	6.93	7224609	92390464.00
2011/11/01	6.87	7.01	6.83	6.99	4205463	53630036.00
2011/11/02	6.86	7.04	6.78	7.00	3881656	49242892.00
2011/11/03	7.00	7.10	6.92	6.93	5408021	69683544.00
2011/11/04	7.00	7.12	6.94	7.04	7326386	94641096.00
2011/11/07	7.01	7.01	6.86	6.87	3200887	40777676.00
2011/11/08	6.87	6.93	6.77	6.88	6407419	80669168.00
2011/11/09	6.88	6.90	6.78	6.87	4440917	55855216.00
2011/11/10	6.79	6.92	6.73	6.77	4843119	60926028.00
2011/11/11	6.83	7.00	6.76	6.86	4648564	58998528.00
2011/11/14	6.97	7.10	6.92	7.01	5528083	71402624.00
2011/11/15	7.01	7.14	6.97	7.04	4270170	55451300.00
2011/11/16	7.17	7.28	6.92	6.94	9346493	122236488.00
2011/11/17	6.92	6.98	6.85	6.95	3865749	49234088.00
2011/11/18	6.88	6.89	6.64	6.66	3060276	37952020.00
2011/11/21	6.73	6.73	6.60	6.73	2259517	27815880.00
2011/11/22	6.67	6.88	6.60	6.87	2625311	32734524.00
2011/11/23	6.87	6.95	6.79	6.81	1541229	19408090.00
2011/11/24	6.77	6.96	6.74	6.90	3014557	38111228.00
2011/11/25	6.91	6.92	6.75	6.78	1390706	17495146.00
2011/11/28	6.75	6.88	6.68	6.85	1734709	21669362.00
2011/11/29	6.87	6.93	6.84	6.92	1720334	21824280.00
2011/11/30	6.95	7.05	6.60	6.66	4595606	57617584.00
2011/12/01	6.87	6.89	6.65	6.68	5092705	63201376.00
2011/12/02	6.57	6.65	6.33	6.43	5722104	67772168.00
2011/12/05	6.40	6.41	6.19	6.21	4375513	50399040.00
2011/12/06	6.16	6.28	6.16	6.22	1132255	12974976.00
2011/12/07	6.19	6.26	6.19	6.22	769395	8830355.00
2011/12/08	6.22	6.26	6.08	6.21	1418073	16143042.00
2011/12/09	6.15	6.35	6.13	6.33	1978741	22873892.00
2011/12/12	6.32	6.32	6.22	6.27	997889	11546939.00
2011/12/13	6.22	6.28	5.96	6.00	2018254	22765392.00
2011/12/14	5.97	6.12	5.96	6.00	1643251	18344956.00
2011/12/15	5.96	6.01	5.87	5.97	1598424	17591072.00
2011/12/16	5.98	6.03	5.73	6.02	2183289	23787640.00
2011/12/19	6.00	6.15	5.85	6.14	2803610	31412036.00
2011/12/20	6.12	6.17	6.05	6.06	1553429	17465844.00
2011/12/21	6.12	6.14	5.90	5.90	1124871	12526388.00
2011/12/22	5.88	5.98	5.73	5.96	1983504	21524614.00
