600676 交运股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.09	5.10	5.02	5.03	794936	4256486.00
2011/10/11	5.19	5.22	5.02	5.05	1344517	7285443.00
2011/10/12	5.05	5.24	5.02	5.23	2107018	11558536.00
2011/10/13	5.20	5.36	5.19	5.34	2786336	15575604.00
2011/10/14	5.30	5.45	5.25	5.35	4297592	24455072.00
2011/10/17	5.42	5.44	5.33	5.38	2420138	13831674.00
2011/10/18	5.36	5.85	5.33	5.59	12731441	74501960.00
2011/10/19	5.51	5.73	5.44	5.49	12893782	75337816.00
2011/10/20	5.41	5.46	5.16	5.46	5743444	32415862.00
2011/10/21	5.37	5.46	5.33	5.44	2146650	12245402.00
2011/10/24	5.44	5.75	5.36	5.49	14555709	83625024.00
2011/10/25	5.38	5.52	5.27	5.47	8213664	46836052.00
2011/10/26	5.39	5.52	5.39	5.45	4447336	25645020.00
2011/10/27	5.94	6.03	5.70	5.75	30077358	187825552.00
2011/10/28	5.79	5.84	5.56	5.77	20640682	123469176.00
2011/10/31	5.70	5.72	5.63	5.70	7228877	43283432.00
2011/11/01	5.64	5.79	5.61	5.68	5891571	35431756.00
2011/11/02	5.59	5.88	5.51	5.79	11558894	69886896.00
2011/11/03	5.78	5.86	5.74	5.76	10238644	62468792.00
2011/11/04	5.76	5.80	5.68	5.74	4665200	28197120.00
2011/11/07	5.72	5.76	5.66	5.66	3160594	18997656.00
2011/11/08	5.65	5.68	5.58	5.62	3412268	20240200.00
2011/11/16	6.04	6.04	5.68	5.77	15856898	97478712.00
2011/11/17	5.74	5.78	5.64	5.70	4631321	27784344.00
2011/11/18	5.71	5.83	5.62	5.64	6959927	42111044.00
2011/11/21	5.59	5.72	5.56	5.64	2354204	14022159.00
2011/11/22	5.62	5.67	5.50	5.62	2729459	16073051.00
2011/11/23	5.70	5.70	5.55	5.56	2318361	13714259.00
2011/11/24	5.52	5.54	5.40	5.42	2439866	14061716.00
2011/11/25	5.41	5.47	5.31	5.32	1493104	8506760.00
2011/11/28	5.31	5.40	5.29	5.33	1847117	10438673.00
2011/11/29	5.39	5.40	5.34	5.38	2130742	12095835.00
2011/11/30	5.34	5.39	4.99	5.03	3195304	17513024.00
2011/12/01	5.19	5.24	5.10	5.10	2895154	15860440.00
2011/12/02	5.10	5.11	5.00	5.04	1490678	7984306.00
2011/12/05	5.04	5.04	4.84	4.88	1169999	6167989.00
2011/12/06	4.88	4.88	4.69	4.81	1787539	9111214.00
2011/12/07	4.75	4.85	4.73	4.78	1436326	7313601.00
2011/12/08	4.78	4.83	4.71	4.79	1484528	7525105.00
2011/12/09	4.75	4.80	4.73	4.75	986992	5003819.00
2011/12/12	4.75	4.79	4.69	4.70	1284000	6468726.00
2011/12/13	4.70	4.70	4.45	4.48	2405927	11660530.00
2011/12/14	4.48	4.50	4.31	4.33	2688370	12641880.00
2011/12/15	4.30	4.30	4.17	4.19	2138752	9708983.00
2011/12/16	4.20	4.28	4.19	4.28	1316958	5993473.00
2011/12/19	4.27	4.29	4.17	4.29	1339971	6082626.00
2011/12/20	4.24	4.37	4.24	4.31	1261477	5838531.00
2011/12/21	4.38	4.38	4.17	4.18	995758	4579370.00
2011/12/22	4.17	4.18	3.95	4.04	1858813	8101944.00
2011/12/23	4.01	4.16	4.01	4.09	1712587	7570299.00
2011/12/26	4.09	4.16	4.02	4.04	1344450	5923139.00
2011/12/27	3.99	4.08	3.91	3.94	1860091	7974195.00
