600678 四川金顶 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.30	6.54	6.16	6.33	13999238	88233904.00
2011/10/11	6.39	6.65	6.20	6.65	20080929	129581656.00
2011/10/12	6.57	6.77	6.45	6.67	12880425	85073584.00
2011/10/13	6.60	6.71	6.47	6.59	9815133	64474596.00
2011/10/14	6.53	6.70	6.51	6.64	7663314	50670988.00
2011/10/17	6.70	6.71	6.31	6.31	12330313	79609696.00
2011/10/18	6.21	6.46	6.21	6.32	8112129	51565788.00
2011/10/19	6.31	6.40	6.00	6.09	10694588	65826572.00
2011/10/20	6.04	6.17	5.93	6.14	6744617	40964740.00
2011/10/21	6.13	6.22	6.03	6.15	5316266	32519680.00
2011/10/24	6.17	6.18	5.97	6.09	6162073	37315744.00
2011/10/25	6.10	6.17	6.06	6.12	7753312	47419216.00
2011/10/26	6.10	6.43	6.08	6.31	11714859	74125288.00
2011/10/27	6.26	6.31	6.12	6.17	10407174	64277612.00
2011/10/28	6.15	6.33	6.00	6.09	18554624	114094120.00
2011/10/31	6.21	6.39	6.07	6.39	37323690	236142896.00
2012/11/19	6.07	6.07	6.07	6.07	9694300	58844400.00
2012/11/20	5.77	5.77	5.77	5.77	994600	5738842.00
2012/11/21	5.48	5.48	5.48	5.48	1377900	7550892.00
2012/11/22	5.21	5.40	5.21	5.21	31142270	162769056.00
2012/11/23	5.08	5.15	4.95	4.95	18804565	94470576.00
2012/11/26	4.95	5.07	4.90	4.97	9459906	47149128.00
2012/11/27	4.95	4.96	4.72	4.72	10261290	48693628.00
2012/11/28	4.59	4.62	4.48	4.48	8440210	38052936.00
2012/11/29	4.50	4.58	4.30	4.33	10406090	46094232.00
2012/11/30	4.32	4.43	4.28	4.37	7440278	32456040.00
2012/12/03	4.20	4.25	4.15	4.15	10799739	45093520.00
2012/12/04	4.04	4.09	3.95	4.06	9022065	36217488.00
2012/12/05	4.03	4.26	4.02	4.26	5488334	23177706.00
2012/12/06	4.38	4.47	4.30	4.39	13298481	58293884.00
2012/12/07	4.34	4.51	4.26	4.42	9771581	43094052.00
2012/12/10	4.39	4.62	4.36	4.52	9788514	44126812.00
2012/12/11	4.51	4.51	4.43	4.44	5681166	25347664.00
2012/12/12	4.40	4.48	4.22	4.30	7982140	34528844.00
2012/12/13	4.27	4.37	4.25	4.31	5580812	24039368.00
2012/12/14	4.35	4.53	4.32	4.53	10932969	48835584.00
2012/12/17	4.45	4.62	4.45	4.53	10299204	46467412.00
2012/12/18	4.48	4.76	4.46	4.76	14122083	66838648.00
2012/12/19	4.77	4.86	4.66	4.74	10446407	49705696.00
2012/12/20	4.67	4.79	4.62	4.78	7511050	35179232.00
2012/12/21	4.77	4.78	4.59	4.59	6720672	31489628.00
2012/12/24	4.60	4.76	4.54	4.60	7095751	32903556.00
2012/12/25	4.56	4.66	4.45	4.63	8146407	37420424.00
2012/12/26	4.60	4.86	4.59	4.86	11400655	54058928.00
2012/12/27	4.89	5.08	4.78	4.94	11733292	57705080.00
2012/12/28	4.88	5.19	4.88	5.19	13579290	69982176.00
2012/12/31	5.12	5.45	5.10	5.45	12428062	66716100.00
2013/01/04	5.35	5.45	5.18	5.18	1044700	5469357.00
2013/01/07	5.05	5.44	5.05	5.44	7147393	38118860.00
2013/01/08	5.66	5.71	5.50	5.52	11373059	64343960.00
2013/01/09	5.52	5.79	5.43	5.59	5063522	28495076.00
2013/01/10	5.57	5.67	5.40	5.55	4811572	26395802.00
2013/01/11	5.50	5.78	5.50	5.58	4482171	25177932.00
2013/01/14	5.65	5.84	5.52	5.76	4500123	25718264.00
2013/01/15	5.76	5.95	5.70	5.81	5025019	29215360.00
2013/01/16	6.10	6.10	5.91	6.10	6943052	42171408.00
2013/01/17	6.25	6.41	6.12	6.25	10722696	68017016.00
2013/01/18	6.25	6.49	6.16	6.47	6102917	38708880.00
2013/01/21	6.45	6.79	6.45	6.79	6029983	40795868.00
2013/01/22	6.94	7.09	6.64	6.79	8811161	60746072.00
2013/01/23	6.83	7.13	6.45	6.67	11081124	75190704.00
2013/01/24	6.63	6.86	6.46	6.72	8850930	59032900.00
2013/01/25	6.80	7.06	6.72	7.06	10568583	73130904.00
2013/01/28	7.17	7.17	6.71	6.72	12748034	86948080.00
2013/02/04	7.30	7.39	7.00	7.39	11387355	82849368.00
2013/02/05	7.79	8.13	7.50	7.71	41055696	323135264.00
2013/02/06	7.48	7.75	7.40	7.43	17811246	133733192.00
2013/02/07	7.39	7.40	7.07	7.23	15304671	109949112.00
2013/02/08	7.24	7.32	7.13	7.26	9144373	66118988.00
2013/02/18	7.27	7.27	7.06	7.09	11410102	81281872.00
2013/02/19	7.10	7.11	6.78	6.83	9554197	65766352.00
2013/02/20	6.89	6.96	6.81	6.92	5194896	35779528.00
2013/02/21	6.85	7.55	6.81	7.34	16915082	121775024.00
2013/02/22	7.30	7.46	7.13	7.17	11756642	86256192.00
2013/02/25	7.08	7.22	6.92	7.05	7553439	53232704.00
2013/02/26	7.03	7.03	6.81	6.83	6917403	47866088.00
2013/02/27	6.80	6.96	6.74	6.82	6368145	43388472.00
2013/02/28	6.88	6.99	6.78	6.94	8076718	55735904.00
2013/03/01	6.94	6.94	6.76	6.83	6920564	47286488.00
2013/03/04	6.75	6.75	6.15	6.15	10715218	67503784.00
2013/03/05	6.15	6.39	6.10	6.27	5811124	36493380.00
2013/03/06	6.34	6.55	6.22	6.47	7309993	47016576.00
2013/03/07	6.46	6.54	6.36	6.46	5113656	32953532.00
2013/03/08	6.42	6.49	6.36	6.36	4235264	27129452.00
2013/03/11	6.36	6.49	6.30	6.42	3220873	20629144.00
2013/03/12	6.42	6.52	6.20	6.26	4519312	28796228.00
2013/03/13	6.26	6.32	5.97	6.06	4120240	25144004.00
2013/03/14	6.01	6.67	6.01	6.67	13066867	84989352.00
2013/03/15	6.78	7.33	6.67	7.11	26484675	188364192.00
2013/03/18	6.99	7.82	6.94	7.82	36308349	277781280.00
2013/03/19	7.83	8.13	7.50	7.75	32829859	255844512.00
2013/03/20	7.70	8.53	7.54	8.53	32900853	272863776.00
2013/03/21	9.06	9.30	8.53	8.95	61852522	549956160.00
2013/03/22	8.70	8.88	8.49	8.56	39179687	339332544.00
2013/03/25	8.44	8.80	8.27	8.55	36156283	308690432.00
2013/03/26	8.42	8.68	8.29	8.65	29020098	246717424.00
2013/03/27	8.66	9.15	8.33	8.37	40930883	357511968.00
2013/03/28	7.91	7.99	7.53	7.54	28425968	218506304.00
2013/03/29	7.53	7.85	7.47	7.78	18714182	143556512.00
2013/04/01	7.65	7.86	7.56	7.69	12001619	92720032.00
2013/04/02	7.62	8.46	7.60	8.46	37368150	306673728.00
2013/04/03	8.50	8.88	8.28	8.68	34786565	299931616.00
2013/04/08	8.62	9.23	8.22	8.99	33795197	298769280.00
2013/04/09	8.95	9.21	8.67	8.85	24120441	213674688.00
2013/04/10	8.85	8.85	8.06	8.26	27999770	234879648.00
2013/04/11	8.27	8.43	8.07	8.38	19064966	157825632.00
2013/04/12	8.28	8.30	7.80	7.91	16875558	135061456.00
2013/04/15	7.86	8.21	7.65	7.97	15693740	125330592.00
2013/04/16	7.80	8.38	7.74	8.20	18241444	149402656.00
2013/04/17	8.10	8.27	7.90	8.10	13108392	105891488.00
2013/04/18	8.10	8.20	7.97	8.02	10628247	85757816.00
2013/04/19	8.02	8.48	7.95	8.34	19984348	164467536.00
2013/04/22	9.17	9.17	9.17	9.17	8295979	76074128.00
2013/04/23	9.70	10.00	9.31	9.78	75639748	733378688.00
2013/04/24	9.32	9.71	9.11	9.61	38473245	361227616.00
2013/04/25	9.57	9.57	8.66	8.89	28015603	257101040.00
2013/04/26	8.93	9.24	8.73	8.91	21516786	193932992.00
2013/05/02	8.60	8.60	8.02	8.06	24695501	201698880.00
2013/05/03	7.91	8.19	7.91	8.06	18995554	152835312.00
2013/05/06	8.06	8.10	7.75	7.99	18537939	146395712.00
2013/05/07	7.99	8.24	7.98	8.22	19124199	155010832.00
2013/05/08	8.18	8.25	7.95	8.07	13804686	111283672.00
2013/05/09	8.11	8.11	7.71	7.89	16287157	127559936.00
2013/05/10	7.84	8.20	7.72	8.19	20946455	168310272.00
2013/05/13	8.09	8.16	8.00	8.09	11380511	91940944.00
2013/05/14	8.10	8.18	7.88	8.17	10381677	83449424.00
2013/05/15	8.11	8.15	8.00	8.04	7545040	60786424.00
2013/05/16	8.05	8.13	7.87	8.06	12423293	99478280.00
2013/05/17	8.08	8.15	7.96	7.99	14587409	116969200.00
2013/05/20	7.98	8.00	7.85	7.95	13372550	105756504.00
2013/05/21	7.95	8.01	7.84	7.90	10518039	83125824.00
2013/05/22	7.92	8.35	7.69	8.14	33598071	269923456.00
2013/05/23	8.02	8.09	7.84	7.86	15025915	118982216.00
2013/05/24	7.82	7.93	7.64	7.76	12914267	99997904.00
2013/05/27	7.72	7.72	7.58	7.61	13213406	100760304.00
2013/05/28	7.58	7.76	7.58	7.71	10581923	81493600.00
2013/05/29	7.75	7.76	7.61	7.67	9990298	76467680.00
2013/05/30	7.67	7.68	7.49	7.51	11441985	86471592.00
2013/05/31	7.48	7.57	7.34	7.35	9308050	69376104.00
2013/06/03	7.35	7.48	7.33	7.37	7866322	58150304.00
2013/06/04	7.35	7.39	6.91	7.05	11008205	78577872.00
2013/06/05	7.05	7.13	6.98	7.03	5814133	40974476.00
2013/06/06	7.03	7.04	6.82	6.84	5783081	40155696.00
2013/06/07	6.90	6.93	6.66	6.70	6966048	47154888.00
2013/06/13	6.60	6.60	6.18	6.25	9685014	61057064.00
2013/06/14	6.30	6.75	6.28	6.55	10085978	66084580.00
2013/06/17	6.48	6.78	6.48	6.60	6706457	44501160.00
2013/06/18	6.51	6.63	6.44	6.52	3712336	24173774.00
2013/06/19	6.55	6.55	6.20	6.46	4825048	30582622.00
2013/06/20	6.40	6.78	6.34	6.47	11102628	73099360.00
2013/06/21	6.27	6.41	6.08	6.34	5355097	33617040.00
2013/06/24	6.38	6.38	5.71	5.71	7143764	42402728.00
2013/06/25	5.65	5.67	5.14	5.52	10284152	55198280.00
2013/06/26	5.45	5.62	5.32	5.48	5182647	28299820.00
2013/06/27	5.57	5.78	5.48	5.49	7746215	43610412.00
2013/06/28	5.35	5.56	5.13	5.45	5713367	30838120.00
2013/07/01	5.38	5.48	5.33	5.43	3146545	17001268.00
2013/07/02	5.44	5.49	5.35	5.47	5249106	28434468.00
2013/07/03	5.47	5.47	5.24	5.37	4577459	24532070.00
2013/07/04	5.30	5.58	5.27	5.52	7793418	42624068.00
