600679 金山开发 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.33	8.80	8.27	8.31	1917124	16358354.00
2011/10/11	8.48	8.50	7.65	7.76	2294670	18598808.00
2011/10/12	7.76	8.04	7.56	7.99	1089608	8550239.00
2011/10/13	8.10	8.12	7.88	8.11	684960	5515261.00
2011/10/14	8.15	8.15	7.93	7.95	586600	4697641.00
2011/10/18	7.98	7.98	7.73	7.84	735601	5767463.00
2011/10/19	7.87	7.98	7.70	7.83	581305	4550534.00
2011/10/20	7.72	7.81	7.35	7.36	761416	5710641.00
2011/10/21	7.39	7.39	7.04	7.14	825721	5926642.00
2011/10/24	7.30	7.30	7.00	7.27	752539	5391959.00
2011/10/25	7.25	7.55	7.21	7.51	1174634	8661913.00
2011/10/26	7.45	7.65	7.41	7.54	1004409	7573135.00
2011/10/27	7.68	7.77	7.55	7.65	1170933	8962745.00
2011/10/28	7.69	7.87	7.68	7.79	1032313	8035252.00
2011/10/31	7.79	7.82	7.64	7.74	830591	6414028.00
2011/11/01	7.70	7.90	7.67	7.78	1250551	9740082.00
2011/11/02	7.61	7.84	7.61	7.82	1118955	8656376.00
2011/11/03	7.85	8.08	7.82	7.98	1380379	10989729.00
2011/11/04	7.95	8.12	7.95	8.08	977876	7866990.00
2011/11/07	8.08	8.15	7.98	8.07	1002947	8092267.00
2011/11/08	8.03	8.25	7.91	7.93	675093	5420561.00
2011/11/09	7.91	8.05	7.76	8.01	772818	6109546.00
2011/11/10	7.95	7.95	7.78	7.80	707360	5540179.00
2011/11/11	7.90	8.19	7.79	7.93	1252861	9865831.00
2011/11/14	8.01	8.72	7.91	8.67	3497469	29108990.00
2011/11/15	8.59	9.15	8.51	9.00	6155771	54762400.00
2011/11/16	8.90	9.15	8.66	8.75	1863481	16385056.00
2011/11/17	8.70	9.63	8.62	8.86	6005322	54259496.00
2011/11/18	8.75	8.75	8.20	8.47	2489772	21116220.00
2011/11/21	8.43	8.70	8.26	8.41	1561690	13208323.00
2011/11/22	8.31	8.45	8.16	8.42	1220767	10182006.00
2011/11/23	8.43	8.45	8.25	8.32	487738	4055506.00
2011/11/24	8.21	8.44	8.05	8.27	1842194	15212917.00
2011/11/25	8.31	8.80	8.20	8.27	1904085	16060975.00
2011/11/28	8.18	8.29	7.77	7.81	1434289	11455558.00
2011/11/29	7.84	8.04	7.70	7.83	1926849	15145740.00
2011/11/30	7.84	7.84	7.15	7.35	1168849	8811658.00
2011/12/01	7.53	7.67	7.50	7.56	1646670	12484226.00
2011/12/02	7.56	7.56	7.30	7.30	567865	4192956.00
2011/12/05	7.30	7.44	7.07	7.12	596693	4286672.00
2011/12/06	7.20	7.25	7.04	7.11	433501	3078402.00
2011/12/07	7.06	7.20	7.06	7.16	273340	1952038.00
2011/12/08	7.16	7.25	7.00	7.16	605975	4319258.00
2011/12/09	7.11	7.24	7.10	7.20	291694	2088165.00
2011/12/12	7.13	7.23	7.07	7.09	265101	1893126.00
