600681 万鸿集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.31	5.51	5.30	5.39	8852477	47855496.00
2011/10/11	5.49	5.58	5.40	5.46	7729707	42306664.00
2011/10/12	5.42	5.62	5.29	5.60	7746529	42613580.00
2011/10/13	5.56	5.74	5.53	5.63	8115695	45765484.00
2011/10/14	5.59	5.68	5.50	5.58	7065809	39463368.00
2011/10/17	5.60	5.61	5.30	5.30	10796725	58767892.00
2011/10/18	5.22	5.26	5.04	5.04	9932937	50597640.00
2011/10/19	5.00	5.08	4.95	4.96	5700493	28515512.00
2011/10/20	4.94	5.05	4.71	4.71	9456209	45650892.00
2011/10/21	4.72	4.75	4.57	4.60	5339680	24895300.00
2011/10/24	4.64	4.69	4.45	4.65	6561326	30086676.00
2011/10/25	4.63	4.83	4.59	4.80	8582262	40520588.00
2011/10/26	4.75	4.86	4.71	4.76	8390400	40160432.00
2011/10/27	4.76	4.95	4.73	4.81	8198733	39641512.00
2011/10/28	4.85	5.05	4.81	4.99	9788397	48218180.00
2011/10/31	4.96	4.98	4.87	4.91	6949574	34140356.00
2011/11/01	4.87	4.94	4.83	4.88	4606132	22541888.00
2011/11/02	4.80	4.95	4.77	4.94	6121304	29731422.00
2011/11/03	4.94	5.13	4.92	5.00	10027404	50379984.00
2011/11/04	5.05	5.25	4.98	5.25	10299865	52963680.00
2011/11/07	5.27	5.35	5.16	5.17	10660631	56014584.00
2011/11/08	5.17	5.21	4.99	5.02	7342132	37367068.00
2011/11/09	5.04	5.25	4.98	5.19	6287844	31958116.00
2011/11/10	5.12	5.16	5.02	5.04	5550399	28359548.00
2011/11/11	5.06	5.29	5.04	5.18	10199817	53065520.00
2011/11/14	5.21	5.32	5.17	5.28	7934821	41689192.00
2011/11/15	5.22	5.54	5.22	5.52	16348661	89507248.00
2011/11/16	5.43	5.49	5.33	5.46	12708065	68929320.00
2011/11/17	5.45	5.65	5.40	5.51	11532356	63855296.00
2011/11/18	5.46	5.51	5.23	5.29	8844419	47128328.00
2011/11/21	5.25	5.25	5.03	5.04	7494602	37991312.00
2011/11/22	4.97	5.09	4.92	5.08	4430808	22280600.00
2011/11/23	5.05	5.14	5.01	5.03	3202305	16260479.00
2011/11/24	4.97	5.01	4.87	4.92	4070768	20073764.00
2011/11/25	4.93	4.98	4.77	4.80	2997924	14629143.00
2011/11/28	4.80	4.88	4.73	4.79	2504295	11986507.00
2011/11/29	4.85	4.88	4.77	4.87	3109947	14960868.00
2011/11/30	4.83	4.87	4.63	4.63	3906298	18386454.00
2011/12/01	4.72	4.76	4.62	4.64	5664706	26559612.00
2011/12/02	4.63	4.63	4.41	4.42	5034613	22754560.00
2011/12/06	4.30	4.33	4.20	4.20	7116550	30016398.00
2011/12/07	4.20	4.33	4.17	4.22	3874142	16446488.00
2011/12/08	4.23	4.25	4.04	4.19	2950681	12319585.00
