600685 广船国际 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	14.30	14.66	14.29	14.40	1614909	23574856.00
2011/10/11	14.73	14.90	14.38	14.60	2579610	38272240.00
2011/10/12	14.61	16.07	14.60	15.87	7608621	120434416.00
2011/10/13	15.70	16.06	15.65	15.82	5126330	81818344.00
2011/10/14	15.83	15.89	15.49	15.69	2476877	39167164.00
2011/10/17	15.75	15.87	15.62	15.75	3190324	50699344.00
2011/10/18	15.69	17.32	15.45	16.57	12172835	201779072.00
2011/10/19	16.75	17.84	16.75	17.37	14090866	245667120.00
2011/10/20	17.02	17.43	16.59	17.21	8984670	153581488.00
2011/10/21	17.15	17.15	16.37	16.70	4764766	80332824.00
2011/10/24	16.67	18.38	16.09	18.38	13648265	241602976.00
2011/10/25	18.08	18.74	17.99	18.53	17083257	316393792.00
2011/10/26	18.20	18.71	18.01	18.08	14580493	269182112.00
2011/10/27	18.09	18.54	17.94	18.23	8901932	164001104.00
2011/10/28	18.52	18.57	17.98	18.36	10429621	192019152.00
2011/10/31	18.44	18.91	18.18	18.45	9773197	182302336.00
2011/11/01	18.17	19.06	18.00	18.66	9921349	185503344.00
2011/11/02	18.26	19.15	18.12	19.13	11789094	222074096.00
2011/11/03	18.98	19.22	18.58	18.60	13095920	249792736.00
2011/11/04	18.62	19.41	18.45	18.99	12732775	243806400.00
2011/11/07	18.84	18.97	18.35	18.39	6406597	119818248.00
2011/11/08	18.28	18.67	17.87	18.04	6166169	113594192.00
2011/11/09	18.06	18.37	18.04	18.33	5796329	106456720.00
2011/11/10	18.15	18.65	17.75	18.05	5770283	105394352.00
2011/11/11	18.15	18.52	18.07	18.16	3555689	65472556.00
2011/11/14	18.37	18.76	18.33	18.60	4665149	87298496.00
2011/11/15	18.57	18.72	18.35	18.55	3815325	71093352.00
2011/11/16	18.57	18.66	17.57	17.68	4839657	87858808.00
2011/11/17	17.77	18.07	17.55	17.61	2819402	50458356.00
2011/11/18	17.44	18.55	16.79	18.26	8197721	146568256.00
2011/11/21	18.24	18.67	17.92	18.30	3515628	64682136.00
2011/11/22	18.02	18.27	17.52	17.89	2489409	44925644.00
2011/11/23	17.97	18.36	17.53	17.91	2958250	53591652.00
2011/11/24	17.56	18.25	17.43	17.70	3010204	53880228.00
2011/11/25	17.71	17.81	17.17	17.24	2080204	36598008.00
2011/11/28	17.33	17.43	16.70	16.72	2723231	46572792.00
2011/11/29	16.97	18.41	16.59	18.31	9890585	178113360.00
2011/11/30	17.86	18.17	16.92	17.07	6554171	115665072.00
2011/12/01	17.67	18.67	17.38	18.08	9932397	182377408.00
2011/12/02	18.08	19.12	17.88	18.57	12205111	229742944.00
2011/12/05	18.42	18.75	18.02	18.11	5680983	104377192.00
2011/12/06	17.92	19.12	17.82	18.99	10571899	199064960.00
2011/12/07	19.07	19.55	18.87	19.25	29031663	563339328.00
2011/12/08	18.77	18.77	17.72	18.13	14064701	257955648.00
2011/12/09	17.77	18.00	17.31	17.34	7897509	139620928.00
2011/12/12	17.38	17.92	17.23	17.39	5675344	100195608.00
2011/12/13	17.17	17.19	15.89	15.93	8623493	141907712.00
2011/12/14	15.97	16.36	15.27	15.46	4969586	79010520.00
2011/12/15	15.28	15.50	14.43	14.48	6085952	90799920.00
2011/12/16	14.58	15.56	14.47	15.41	6847512	103206768.00
2011/12/19	15.22	15.82	14.83	15.65	6851239	106548144.00
2011/12/20	15.47	15.74	15.07	15.10	5177671	80457600.00
2011/12/21	15.37	15.51	14.65	14.66	4056583	61922776.00
