600687 刚泰控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/06/27	11.85	11.85	11.85	11.85	526678	8189843.00
2012/06/28	13.05	13.05	13.05	13.05	143236	2450768.00
2012/06/29	14.37	14.37	14.37	14.37	803784	15127215.00
2012/07/02	15.66	15.66	13.59	14.80	20574106	393574048.00
2012/07/03	14.35	15.37	14.13	15.04	11944672	231485824.00
2012/07/04	15.11	16.29	14.97	15.55	13187501	270389600.00
2012/07/05	15.14	15.77	15.05	15.07	9141728	184482304.00
2012/07/06	15.18	15.52	14.51	15.50	8464877	167287312.00
2012/07/09	15.20	16.19	15.10	15.48	9366940	191119088.00
2012/07/10	15.29	16.32	14.95	15.11	11059030	228832864.00
2012/07/11	14.58	14.60	13.58	13.58	9594152	173878496.00
2012/07/12	13.12	13.58	12.98	13.46	8618823	149900368.00
2012/07/13	13.39	13.85	13.20	13.58	6901018	122183672.00
2012/07/16	13.51	13.72	12.32	12.52	7573985	128037920.00
2012/07/17	12.40	12.98	12.35	12.95	5204771	87323992.00
2012/07/18	12.98	14.26	12.78	14.26	12020099	218514896.00
2012/07/19	14.12	14.70	13.93	14.57	9669567	181352512.00
2012/07/20	14.38	14.43	13.95	13.98	5478512	101289208.00
2012/07/23	13.58	13.66	12.84	12.86	5632120	97368296.00
2012/07/24	12.58	14.16	12.55	14.16	5199057	93044672.00
2012/07/25	14.59	14.85	13.85	13.88	8041604	151389584.00
2012/07/26	14.04	14.82	13.88	14.28	8149468	153829920.00
2012/07/27	14.13	14.32	13.43	13.66	5254313	95216152.00
2012/07/30	13.66	14.03	13.14	13.32	4308225	76371544.00
2012/07/31	13.07	13.63	12.89	13.53	3601837	62651664.00
2012/08/01	13.50	13.97	13.28	13.42	3583359	64063504.00
2012/08/02	13.16	13.89	12.74	13.82	5008541	86470424.00
2012/08/03	13.72	14.25	13.52	14.11	5099058	93118944.00
2012/08/06	13.92	14.64	13.82	14.48	5801142	108893256.00
2012/08/07	14.48	14.75	14.16	14.23	5957769	112626704.00
2012/08/08	14.16	15.49	14.08	15.08	11680364	229697888.00
2012/08/09	14.82	15.33	14.58	15.08	7928301	155103744.00
2012/08/10	14.89	15.25	14.33	14.35	6531600	125696432.00
2012/08/13	14.35	14.60	14.05	14.13	4241899	79329080.00
2012/08/14	14.15	14.35	13.58	14.31	4705522	86127680.00
2012/08/15	14.52	15.19	13.59	13.67	7744863	146896288.00
2012/08/16	13.22	13.55	13.08	13.24	4632790	80748664.00
2012/08/17	13.24	13.57	13.16	13.44	2351570	41116416.00
2012/08/20	13.33	13.48	13.11	13.28	2105891	36655504.00
2012/08/21	13.64	13.94	13.44	13.48	2915063	52082264.00
2012/08/22	13.34	13.72	13.18	13.30	2111567	37122320.00
2012/08/23	13.45	13.69	13.28	13.45	1998070	35286484.00
2012/08/24	13.43	13.71	13.32	13.54	2232440	39498984.00
2012/08/27	13.49	13.51	12.98	13.22	1360174	23620398.00
2012/08/28	13.20	13.55	13.20	13.43	1467946	25796970.00
2012/08/29	13.42	13.58	13.24	13.31	1994103	35036800.00
2012/08/30	13.25	13.50	12.05	12.12	3615994	60112604.00
2012/08/31	12.20	12.45	11.90	11.95	2893629	45994840.00
2012/09/03	11.98	12.30	11.98	12.23	2290048	36552696.00
2012/09/04	12.21	12.38	11.96	11.98	1696775	27000688.00
2012/09/05	12.06	12.20	11.68	12.19	1876056	29427186.00
2012/09/06	12.20	12.32	12.03	12.28	1235318	19742376.00
2012/09/07	12.33	12.94	12.28	12.71	3449648	57190332.00
2012/09/10	12.88	13.12	12.78	12.92	2439619	41369124.00
2012/09/11	12.78	12.95	12.69	12.85	1843592	30943410.00
2012/09/12	13.12	13.48	13.02	13.16	3759555	65299512.00
2012/09/13	13.09	13.18	12.63	12.66	2038763	34624004.00
2012/09/14	13.42	13.94	13.20	13.31	6884670	122697472.00
2012/09/17	13.31	13.71	13.20	13.23	4506089	79549360.00
2012/09/18	12.68	12.95	12.53	12.58	3470130	58023688.00
2012/09/19	12.62	13.55	12.62	13.33	3170111	54337144.00
2012/09/20	13.11	13.71	12.97	13.07	4666990	81902080.00
2012/09/21	13.07	13.71	13.01	13.50	5095463	89999584.00
2012/09/24	13.25	14.15	13.20	14.13	5842550	105060016.00
2012/09/25	13.90	14.32	13.64	13.72	4599110	83747112.00
2012/09/26	13.58	13.68	12.92	13.06	3797026	65753568.00
2012/09/27	13.11	13.61	12.93	13.50	4000384	69992848.00
2012/09/28	13.55	13.89	13.45	13.76	4292307	77234728.00
2012/10/08	13.66	13.78	13.31	13.49	1770100	31321636.00
2012/10/09	13.43	13.62	13.43	13.58	2168451	38442208.00
2012/10/10	13.43	13.58	13.13	13.52	2124023	37144976.00
2012/10/11	13.45	13.62	13.24	13.26	2160417	38053528.00
2012/10/12	13.47	13.47	13.10	13.15	1388266	24097636.00
2012/10/15	12.98	12.98	12.62	12.76	2402877	40188420.00
2012/10/16	12.64	12.84	12.63	12.74	1306234	21807444.00
2012/10/17	12.78	13.02	12.74	13.01	1233104	20898104.00
2012/10/18	13.02	13.12	12.93	13.05	1166553	19932604.00
2012/10/19	13.00	13.14	12.97	12.98	906554	15452809.00
2012/10/22	12.95	12.95	12.68	12.85	949280	15921236.00
2012/10/23	12.75	12.94	12.75	12.81	904615	15244568.00
2012/10/24	12.74	12.81	12.56	12.56	1552460	25706964.00
2012/10/25	12.64	12.64	12.28	12.35	1532202	24960688.00
2012/10/26	12.30	12.42	11.40	11.64	2748476	42511444.00
2012/10/29	11.62	11.62	11.45	11.55	960302	14511504.00
2012/10/30	11.68	12.11	11.66	12.08	1460047	22769560.00
2012/10/31	12.12	12.15	11.90	11.97	747747	11722037.00
2012/11/01	11.94	12.39	11.94	12.31	1204475	19359532.00
2012/11/02	12.30	12.39	12.23	12.34	970764	15688731.00
2012/11/05	12.22	12.57	12.07	12.52	1057005	17027332.00
2012/11/06	12.51	12.51	11.98	12.30	722203	11594442.00
