600688 上海石化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	3.04	3.05	3.01	3.03	2334192	16492756.00
2011/10/11	3.11	3.12	3.01	3.03	3032100	21600136.00
2011/10/12	3.04	3.16	3.01	3.13	5675524	40995636.00
2011/10/13	3.13	3.16	3.11	3.14	3787743	27632212.00
2011/10/14	3.14	3.15	3.09	3.12	2703721	19568942.00
2011/10/17	3.12	3.14	3.09	3.11	2519526	18249496.00
2011/10/18	3.08	3.10	3.03	3.04	3883664	27609158.00
2011/10/19	3.04	3.06	3.00	3.02	2937021	20661388.00
2011/10/20	3.01	3.01	2.92	2.93	3476101	23951528.00
2011/10/21	2.92	2.94	2.89	2.90	2384934	16167713.00
2011/10/24	2.90	2.93	2.79	2.92	6501643	43410328.00
2011/10/25	2.90	2.98	2.88	2.97	4493351	30771740.00
2011/10/26	2.95	3.03	2.94	2.99	5972776	41512600.00
2011/10/27	2.98	3.01	2.97	3.00	3972557	27700032.00
2011/10/28	3.02	3.05	3.01	3.04	5351725	37727628.00
2011/10/31	3.03	3.04	2.98	3.01	4049295	28355400.00
2011/11/01	2.99	3.02	2.97	2.99	3706067	25846100.00
2011/11/02	2.95	3.00	2.93	3.00	5412302	37419136.00
2011/11/03	3.01	3.05	3.00	3.01	11299377	79510320.00
2011/11/04	3.03	3.11	3.02	3.10	12949283	92585104.00
2011/11/07	3.08	3.14	3.06	3.10	7302513	52734536.00
2011/11/08	3.09	3.12	3.06	3.06	5882505	42297120.00
2011/11/09	3.08	3.09	3.02	3.07	6206429	43990276.00
2011/11/10	3.04	3.11	3.02	3.05	5752345	41119288.00
2011/11/11	3.14	3.20	3.07	3.15	13581683	99232200.00
2011/11/14	3.15	3.18	3.13	3.17	9366724	68702200.00
2011/11/15	3.17	3.19	3.14	3.17	4693226	34580248.00
2011/11/16	3.17	3.17	3.03	3.05	7007670	50525992.00
2011/11/17	3.06	3.20	3.05	3.20	18538193	136730512.00
2011/11/18	3.13	3.16	3.04	3.04	12011449	86068256.00
2011/11/21	3.01	3.07	2.98	3.04	5174852	36437952.00
2011/11/22	3.01	3.06	2.97	3.05	4332817	30434438.00
2011/11/23	3.05	3.07	3.02	3.02	2632930	18621636.00
2011/11/24	3.00	3.02	2.97	3.01	3282975	22905068.00
2011/11/25	3.01	3.03	2.97	2.98	1975897	13798576.00
2011/11/28	2.91	3.00	2.91	2.97	2106046	14547303.00
2011/11/29	2.99	3.01	2.96	3.01	3181200	22170624.00
2011/11/30	3.01	3.01	2.85	2.88	5825903	39468644.00
2011/12/01	2.94	2.98	2.90	2.91	3970168	27249840.00
2011/12/02	2.91	2.91	2.85	2.87	2530773	16969140.00
2011/12/05	2.89	2.95	2.84	2.87	3478604	23492116.00
2011/12/06	2.87	2.89	2.81	2.85	2827862	18792932.00
2011/12/07	2.85	2.88	2.83	2.87	1747181	11656373.00
2011/12/08	2.87	2.91	2.83	2.85	3172343	21201898.00
2011/12/09	2.85	2.88	2.84	2.85	2322544	15455540.00
