600689 上海三毛 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.09	9.26	9.09	9.09	308070	2819260.00
2011/10/11	9.25	9.31	9.06	9.11	265360	2443435.00
2011/10/12	9.11	9.53	9.04	9.47	692418	6493436.00
2011/10/13	9.54	9.69	9.42	9.56	461761	4425386.00
2011/10/14	9.52	9.68	9.35	9.63	503184	4821177.00
2011/10/17	9.70	9.76	9.60	9.73	624816	6035634.00
2011/10/18	9.65	9.79	9.55	9.55	618600	5978115.00
2011/10/19	9.57	9.73	9.55	9.67	229034	2208624.00
2011/10/20	9.50	9.70	9.43	9.57	361748	3452695.00
2011/10/21	9.50	9.57	9.38	9.40	213760	2026915.00
2011/10/24	9.40	9.72	9.32	9.66	397594	3803411.00
2011/10/25	9.70	10.06	9.70	10.02	985853	9782631.00
2011/10/26	9.85	10.12	9.85	10.01	687232	6883701.00
2011/10/27	10.02	10.15	9.88	9.90	432004	4309339.00
2011/10/28	10.05	10.09	9.95	10.04	534899	5358182.00
2011/10/31	9.83	10.25	9.83	10.12	440153	4408216.00
2011/11/01	10.82	10.82	10.19	10.30	1004498	10406108.00
2011/11/02	10.18	10.71	9.98	10.70	1230339	12723396.00
2011/11/03	10.50	10.81	10.49	10.51	1328990	14166757.00
2011/11/04	10.45	10.57	10.30	10.43	735568	7678755.00
2011/11/07	10.41	10.41	10.20	10.26	694172	7137896.00
2011/11/08	10.26	10.29	10.08	10.15	537154	5468373.00
2011/11/09	10.20	10.28	10.08	10.25	615944	6285702.00
2011/11/10	10.20	10.32	10.03	10.04	580184	5923546.00
2011/11/11	10.10	10.26	10.03	10.10	289655	2940337.00
2011/11/14	10.18	10.55	10.18	10.47	708984	7336189.00
2011/11/15	10.40	11.00	10.40	10.50	1082193	11463855.00
2011/11/16	10.52	10.55	10.12	10.16	866101	8915800.00
2011/11/17	10.28	10.28	10.03	10.17	537631	5443916.00
2011/11/18	10.17	10.17	9.95	9.97	614837	6160781.00
2011/11/21	9.98	10.15	9.92	10.02	332968	3343147.00
2011/11/22	10.02	10.10	9.90	10.09	247167	2475276.00
2011/11/23	10.03	10.14	10.02	10.10	222701	2244825.00
2011/11/24	10.05	10.08	9.91	10.04	285110	2849182.00
2011/11/25	9.97	10.00	9.70	9.74	413999	4081484.00
2011/11/28	9.60	9.83	9.60	9.62	278799	2704764.00
2011/11/29	9.64	9.79	9.60	9.70	285984	2775839.00
2011/11/30	9.75	9.75	9.20	9.30	510010	4779327.00
2011/12/01	9.49	9.64	9.46	9.46	420717	4022649.00
2011/12/02	9.41	9.56	9.22	9.23	314100	2932183.00
2011/12/05	9.32	9.32	8.88	8.91	433499	3954017.00
2011/12/06	8.97	9.07	8.84	9.06	194817	1739671.00
2011/12/07	9.10	9.14	8.96	9.00	210138	1899578.00
2011/12/08	8.89	9.09	8.81	8.93	223835	2002184.00
2011/12/09	8.88	9.00	8.70	8.74	374900	3293613.00
2011/12/12	8.70	8.82	8.57	8.61	245600	2128133.00
2011/12/13	8.61	8.61	8.15	8.23	335700	2786395.00
2011/12/14	8.20	8.29	8.05	8.10	156617	1282053.00
2011/12/15	8.01	8.10	7.64	7.71	380284	2963285.00
2011/12/16	7.60	7.89	7.52	7.87	322466	2485347.00
2011/12/19	7.85	7.87	7.55	7.79	255888	1965079.00
2011/12/20	7.68	7.89	7.68	7.82	344880	2697179.00
2011/12/21	8.00	8.00	7.52	7.54	262401	2033325.00
2011/12/22	7.51	7.51	7.12	7.20	305060	2210802.00
2011/12/23	7.14	7.46	7.14	7.28	201190	1474160.00
2011/12/26	7.28	7.43	7.28	7.32	140790	1034547.00
2011/12/27	7.33	7.34	7.15	7.20	238890	1721293.00
2011/12/28	7.16	7.16	6.98	7.11	328773	2318527.00
2011/12/29	7.10	7.17	7.02	7.03	232471	1648085.00
2011/12/30	7.17	7.24	7.06	7.13	246619	1757033.00
2012/01/04	7.16	7.19	6.91	6.93	256600	1815050.00
2012/01/05	6.72	6.93	6.45	6.54	382536	2560583.00
2012/01/06	6.65	6.65	6.18	6.40	441059	2807671.00
2012/01/09	6.45	6.85	6.28	6.85	882822	5772385.00
2012/01/10	6.86	7.14	6.68	7.11	1248829	8680619.00
2012/01/11	7.03	7.16	6.97	7.10	698130	4942215.00
2012/01/12	7.06	7.19	7.06	7.08	422931	3017059.00
2012/01/13	7.11	7.11	6.69	6.81	526660	3623443.00
2012/01/16	6.81	6.82	6.56	6.57	248300	1650231.00
2012/01/17	6.65	7.02	6.61	6.99	324015	2221475.00
2012/01/18	7.02	7.12	6.80	6.81	256547	1779515.00
2012/01/19	6.83	6.94	6.82	6.90	183801	1265851.00
2012/01/20	6.77	7.06	6.77	7.04	398642	2781569.00
2012/01/30	7.04	7.11	6.83	7.00	351116	2467906.00
2012/01/31	7.00	7.12	7.00	7.11	266530	1879200.00
2012/02/01	7.10	7.17	6.96	7.01	481692	3413912.00
2012/02/02	7.04	7.17	6.95	7.15	345159	2444985.00
2012/02/03	7.15	7.38	7.15	7.31	513644	3739955.00
2012/02/06	7.38	7.38	7.25	7.35	451683	3306678.00
2012/02/07	7.27	7.29	7.05	7.21	442702	3172568.00
2012/02/08	7.23	7.38	7.17	7.37	705676	5154540.00
2012/02/09	7.33	7.52	7.31	7.44	802556	5960426.00
2012/02/10	7.44	7.50	7.40	7.45	490879	3659244.00
2012/02/13	7.45	7.90	7.25	7.77	1332625	10114659.00
2012/02/14	7.72	7.72	7.53	7.61	957904	7283955.00
2012/02/15	7.54	7.98	7.54	7.97	1355088	10503584.00
2012/02/16	7.87	8.10	7.82	8.09	1832485	14597064.00
2012/02/17	8.15	8.15	7.90	8.00	991364	7931019.00
2012/02/20	8.09	8.09	7.81	7.82	697791	5554842.00
2012/02/21	7.97	8.35	7.77	8.09	1399643	11375368.00
2012/02/22	8.00	8.26	8.00	8.16	888584	7224341.00
2012/02/23	8.20	8.20	8.09	8.14	666601	5429378.00
2012/02/24	8.13	8.27	8.07	8.22	791104	6452792.00
2012/02/27	8.22	8.30	8.16	8.26	1334540	11001775.00
2012/02/28	8.18	8.24	8.07	8.14	812106	6607536.00
2012/02/29	8.13	8.24	7.97	7.98	551700	4476061.00
2012/03/01	7.98	8.10	7.93	7.99	538503	4315493.00
2012/03/02	8.00	8.15	7.85	8.13	680708	5505241.00
2012/03/05	8.14	8.38	8.14	8.26	825113	6788527.00
2012/03/06	8.20	8.29	8.05	8.10	473663	3856513.00
2012/03/07	8.00	8.09	7.92	8.02	576762	4622925.00
2012/03/08	8.02	8.36	8.02	8.27	1150906	9434339.00
2012/03/09	8.23	8.39	8.18	8.38	1066337	8857392.00
2012/03/12	8.55	9.22	8.55	9.22	1867466	16972590.00
2012/03/13	9.68	10.14	9.50	10.14	8841186	88356584.00
2012/03/14	10.09	10.09	9.58	9.73	7219174	71379280.00
2012/03/15	9.60	9.72	9.41	9.62	4499140	43078176.00
2012/03/16	9.54	9.77	9.41	9.71	3997855	38430848.00
2012/03/19	9.66	9.68	9.46	9.62	2598519	24879648.00
2012/03/20	9.65	9.65	9.26	9.30	2257516	21210012.00
2012/03/21	9.32	9.53	8.90	9.11	2572802	23526992.00
2012/03/22	9.13	9.24	9.00	9.22	1800097	16410654.00
2012/03/23	9.14	9.20	8.90	8.95	1187466	10699009.00
2012/03/26	8.95	9.10	8.83	9.05	1150664	10317675.00
2012/03/27	9.05	9.10	8.90	8.95	1085003	9763882.00
2012/03/28	8.87	8.87	8.06	8.06	2642446	22033968.00
2012/03/29	8.00	8.15	7.85	8.05	1549398	12465919.00
2012/03/30	8.05	8.11	7.86	7.89	924085	7328928.00
2012/04/05	7.86	8.22	7.85	8.15	1146268	9243765.00
2012/04/06	8.18	8.39	8.09	8.20	1174788	9624966.00
2012/04/09	8.20	8.29	8.11	8.27	1239040	10196150.00
2012/04/10	8.20	8.32	7.87	8.31	1163892	9447365.00
2012/04/11	8.22	8.70	8.10	8.55	2158915	18193924.00
2012/04/12	8.41	9.41	8.41	9.41	6471941	59081484.00
2012/04/13	9.46	9.51	9.12	9.15	4283356	39650292.00
2012/04/16	9.00	9.40	8.93	9.26	2649354	24439724.00
2012/04/17	9.16	9.89	9.03	9.14	3152967	29740356.00
2012/04/18	9.05	9.31	8.88	9.24	2382073	21652436.00
2012/04/19	9.25	9.30	9.05	9.09	1331337	12162463.00
2012/04/20	9.09	9.79	8.98	9.31	3504764	33110142.00
2012/04/23	9.25	10.15	9.18	9.81	5592659	54716396.00
2012/04/24	9.58	9.69	9.18	9.64	3149662	29888840.00
2012/04/25	9.62	10.24	9.35	9.94	5334646	52933016.00
2012/04/26	9.94	10.18	9.71	9.85	3009384	29779016.00
2012/05/02	9.75	9.75	9.15	9.48	2271536	21425280.00
2012/05/03	9.45	9.52	9.22	9.39	1143455	10699706.00
2012/05/04	9.39	9.47	9.25	9.41	890486	8321143.00
2012/05/07	9.30	9.36	9.17	9.35	911727	8432546.00
2012/05/08	9.33	9.34	9.18	9.29	730794	6761673.00
2012/05/09	9.29	9.29	9.10	9.12	1069784	9790576.00
2012/05/10	9.15	9.27	9.15	9.24	957853	8819040.00
2012/05/11	9.31	9.31	9.10	9.12	728033	6703057.00
2012/05/14	9.16	9.29	9.00	9.10	951700	8671925.00
2012/05/15	8.95	9.06	8.78	9.00	914755	8178895.00
2012/05/16	8.98	9.14	8.95	9.01	932983	8442435.00
2012/05/17	9.13	9.13	8.98	9.10	710747	6445273.00
2012/05/18	9.10	9.10	8.70	8.74	926561	8194804.00
2012/05/21	8.74	8.83	8.12	8.54	897853	7650013.00
2012/05/22	8.56	8.75	8.48	8.71	687967	5923585.00
2012/05/23	8.64	8.75	8.52	8.62	635800	5501587.00
2012/05/24	8.54	8.61	8.40	8.45	682523	5802937.00
2012/05/25	8.45	8.51	8.25	8.27	529270	4425040.00
2012/05/28	8.13	8.55	8.13	8.52	681254	5656974.00
2012/05/29	8.51	8.75	8.51	8.61	850490	7371328.00
2012/05/30	8.53	8.71	8.52	8.65	623741	5389792.00
2012/05/31	8.56	8.83	8.56	8.82	783167	6822403.00
2012/06/01	8.70	9.03	8.70	8.83	802928	7098862.00
2012/06/04	8.81	8.81	8.30	8.37	923444	7814068.00
2012/06/05	8.40	8.51	8.31	8.41	264701	2221898.00
2012/06/06	8.39	8.50	8.19	8.25	511400	4262209.00
2012/06/07	8.26	8.48	8.20	8.25	478301	3967071.00
2012/06/08	8.34	8.37	8.18	8.24	307989	2542949.00
2012/06/11	8.24	8.36	8.15	8.32	356566	2946942.00
2012/06/12	8.33	8.33	8.18	8.21	336831	2768506.00
2012/06/13	8.24	8.47	8.21	8.45	722702	6019123.00
2012/06/14	8.38	8.45	8.23	8.25	619819	5171473.00
2012/06/15	8.36	8.38	8.22	8.24	432419	3578845.00
2012/06/18	8.36	8.41	8.25	8.40	554810	4619841.00
2012/06/19	8.38	8.44	8.27	8.32	299700	2509553.00
2012/06/20	8.29	8.40	8.29	8.33	336040	2805787.00
2012/06/21	8.32	8.34	8.10	8.15	383500	3150324.00
2012/06/25	8.16	8.27	8.00	8.06	316225	2577016.00
2012/06/26	8.03	8.06	7.80	7.89	361993	2857954.00
2012/06/27	7.99	7.99	7.83	7.93	360932	2851651.00
2012/06/28	7.96	8.01	7.81	7.82	219815	1731400.00
2012/06/29	7.82	7.91	7.66	7.90	262355	2040641.00
2012/07/02	7.78	7.97	7.78	7.93	340352	2676646.00
2012/07/03	7.95	7.95	7.80	7.81	457199	3596946.00
2012/07/04	7.83	7.83	7.70	7.80	303321	2354776.00
2012/07/05	8.58	8.58	8.15	8.22	2569452	21405100.00
2012/07/06	8.10	8.11	7.68	7.99	1593418	12583359.00
2012/07/09	7.79	7.97	7.61	7.62	928838	7214536.00
2012/07/10	7.54	7.68	7.16	7.29	783160	5791657.00
2012/07/11	7.24	7.36	7.20	7.30	458960	3343468.00
2012/07/12	7.34	7.48	7.20	7.44	570441	4188135.00
2012/07/13	7.42	7.52	7.35	7.43	401671	2987075.00
2012/07/16	7.54	7.54	7.16	7.18	487601	3553256.00
2012/07/17	7.07	7.34	7.01	7.15	402537	2890610.00
2012/07/18	7.10	7.67	7.10	7.42	874540	6501147.00
2012/07/19	7.32	8.16	7.28	8.16	3076461	24632136.00
2012/07/20	8.26	8.96	8.13	8.59	5756085	48813664.00
2012/07/23	8.38	8.38	7.91	8.10	2566534	20756124.00
2012/07/24	8.09	8.35	8.02	8.25	2133893	17565712.00
2012/07/25	8.18	8.20	7.91	7.99	1551121	12438586.00
2012/07/26	7.99	8.04	7.60	7.66	1075966	8451864.00
2012/07/27	7.66	7.70	7.41	7.45	1194617	8985694.00
2012/07/30	7.41	7.52	7.17	7.22	845659	6166548.00
2012/07/31	7.19	7.64	7.12	7.45	1264276	9287473.00
2012/08/01	7.35	7.57	7.35	7.48	945568	7039880.00
2012/08/02	7.46	7.52	7.25	7.41	621605	4590761.00
2012/08/03	7.44	7.92	7.31	7.86	2132717	16557123.00
2012/08/06	7.80	8.07	7.70	8.01	2013348	15900318.00
2012/08/07	7.90	8.28	7.83	7.96	2308196	18573160.00
2012/08/08	7.85	8.00	7.75	7.90	1250765	9836485.00
2012/08/09	7.81	8.00	7.73	7.96	1255642	9903802.00
2012/08/10	7.89	8.18	7.81	8.08	2104379	16918480.00
2012/08/13	8.06	8.06	7.82	7.84	975729	7692413.00
