600693 东百集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.75	8.79	8.54	8.59	3419599	30013288.00
2011/10/11	8.78	8.84	8.40	8.48	4705373	41420916.00
2011/10/12	8.45	8.88	8.36	8.86	5098349	45115664.00
2011/10/13	8.84	9.06	8.76	8.93	6051937	54882800.00
2011/10/14	8.92	9.00	8.82	8.93	4554189	41223996.00
2011/10/17	8.95	9.04	8.81	8.90	3614742	32712444.00
2011/10/18	8.89	8.89	8.42	8.47	6164661	53995384.00
2011/10/19	8.53	8.54	8.27	8.43	2938906	25142644.00
2011/10/20	8.36	8.40	8.07	8.16	4020301	33526868.00
2011/10/21	8.14	8.26	8.12	8.21	2657377	22189896.00
2011/10/24	8.16	8.16	7.66	8.06	8013762	64600100.00
2011/10/25	8.02	8.22	7.93	8.19	6168357	50941796.00
2011/10/26	8.15	8.40	8.11	8.25	6013066	50755120.00
2011/10/27	8.23	8.46	8.23	8.32	5865594	49812472.00
2011/10/28	8.35	8.52	8.27	8.50	8440770	71977640.00
2011/10/31	8.49	8.49	8.35	8.42	5540531	47496608.00
2011/11/01	8.35	8.48	8.31	8.40	4865484	41538100.00
2011/11/02	8.29	8.52	8.13	8.48	7017837	59254812.00
2011/11/03	8.45	8.61	8.45	8.49	7785931	67529120.00
2011/11/04	8.54	8.57	8.43	8.56	5848416	50536112.00
2011/11/07	8.58	8.76	8.53	8.66	8175589	71983448.00
2011/11/08	8.70	8.70	8.50	8.51	4274056	37343100.00
2011/11/09	8.52	8.58	8.30	8.54	5008087	43136912.00
2011/11/10	8.47	8.47	8.24	8.25	6484435	55013804.00
2011/11/11	8.29	8.35	8.21	8.23	3224192	27181008.00
2011/11/14	8.32	8.48	8.28	8.44	4947446	42228656.00
2011/11/15	8.44	8.59	8.38	8.56	5602560	48336452.00
2011/11/16	8.56	8.56	8.42	8.50	6893896	59432808.00
2011/11/17	8.47	8.68	8.46	8.54	7456279	65180136.00
2011/11/18	8.52	8.52	8.27	8.48	4772304	40650328.00
2011/11/21	8.42	8.57	8.26	8.52	7240903	62125756.00
2011/11/22	8.42	8.62	8.37	8.61	4661902	40379356.00
2011/11/23	8.62	8.72	8.56	8.59	5254204	46166892.00
2011/11/24	8.53	8.69	8.46	8.66	4792530	41907180.00
2011/11/25	8.67	8.74	8.48	8.66	8100856	71036288.00
2011/11/28	8.66	8.97	8.55	8.74	19685469	175133504.00
2011/11/29	8.83	8.92	8.58	8.76	21146873	187516672.00
2011/11/30	8.66	8.70	7.98	8.24	15482180	131167920.00
2011/12/01	8.36	8.45	8.20	8.22	11688762	99021280.00
2011/12/02	8.14	8.14	7.82	8.04	7859951	63619280.00
2011/12/05	7.94	8.02	7.81	7.90	3412700	27388460.00
2011/12/06	7.87	7.92	7.70	7.81	2678779	21346840.00
2011/12/07	7.83	7.91	7.73	7.90	3883516	30977116.00
2011/12/08	7.89	7.89	7.68	7.76	3912835	31013312.00
2011/12/09	7.66	7.73	7.51	7.61	4327601	33578680.00
2011/12/12	7.65	7.66	7.52	7.54	2088015	16166937.00
2011/12/13	7.50	7.50	7.13	7.24	4345811	32169852.00
2011/12/14	7.18	7.29	7.11	7.25	3828201	28074244.00
2011/12/15	7.16	7.22	7.04	7.05	2541580	18462332.00
2011/12/16	7.05	7.30	6.99	7.28	3650087	26640932.00
2011/12/19	7.21	7.26	7.04	7.22	2848880	20806088.00
2011/12/20	7.22	7.31	7.13	7.20	2588442	19156126.00
2011/12/21	7.25	7.31	7.03	7.04	2640065	19437608.00
2011/12/22	6.95	7.03	6.60	6.79	5704309	39517152.00
2011/12/23	6.72	6.95	6.67	6.92	3901157	27360704.00
2011/12/26	6.89	6.96	6.86	6.88	2530321	17842180.00
2011/12/27	6.88	6.91	6.65	6.65	2574041	17765068.00
2011/12/28	6.65	6.71	6.43	6.67	5099849	34189968.00
2011/12/29	6.60	6.73	6.56	6.64	2920134	19879080.00
2011/12/30	6.65	6.76	6.65	6.75	2866806	19675820.00
2012/01/04	6.79	6.83	6.55	6.62	3499905	24026284.00
2012/01/05	6.58	6.60	6.27	6.43	4386485	28881724.00
2012/01/06	6.38	6.50	6.22	6.49	4195740	27408618.00
2012/01/09	6.49	6.73	6.39	6.73	7664652	51828656.00
2012/01/10	6.73	6.99	6.68	6.96	8726245	61255464.00
2012/01/11	6.97	7.00	6.83	6.88	6509216	45864716.00
2012/01/12	6.85	7.00	6.81	6.93	9025236	63790312.00
2012/01/13	6.93	6.95	6.63	6.66	6533291	45078664.00
2012/01/16	6.64	6.68	6.48	6.49	4065337	27305944.00
2012/01/17	6.54	6.94	6.45	6.85	5882219	40493292.00
2012/01/18	6.87	6.90	6.68	6.72	5156275	35751856.00
2012/01/19	6.73	6.83	6.69	6.80	4617025	31971596.00
2012/01/20	6.80	6.92	6.78	6.90	5002560	35108964.00
2012/01/30	6.91	7.01	6.85	6.90	5190828	36721632.00
2012/01/31	6.88	6.94	6.84	6.89	2718076	19088280.00
2012/02/01	6.91	6.93	6.76	6.79	4292004	30011256.00
2012/02/02	6.81	6.91	6.77	6.90	3521112	24642232.00
2012/02/03	6.90	7.00	6.86	6.98	6320465	44819364.00
2012/02/06	6.98	7.08	6.96	7.03	6412111	45942908.00
2012/02/07	6.98	7.00	6.83	6.87	4316631	30393012.00
2012/02/08	6.84	7.03	6.84	7.02	4567797	32492652.00
2012/02/09	7.00	7.14	6.97	7.10	9150460	66230528.00
2012/02/10	7.09	7.17	7.06	7.14	6822591	49574932.00
2012/02/13	7.06	7.21	7.05	7.20	6427114	46879224.00
2012/02/14	7.19	7.23	7.10	7.16	4910359	35822340.00
2012/02/15	7.15	7.32	7.11	7.29	7533099	55578092.00
2012/02/16	7.29	7.38	7.24	7.30	7734657	57609544.00
2012/02/17	7.31	7.37	7.16	7.27	5712265	42179404.00
2012/02/20	7.36	7.41	7.28	7.28	6583495	49275304.00
2012/02/21	7.27	7.30	7.12	7.27	6786223	49916108.00
2012/02/22	7.25	7.49	7.21	7.49	10340011	77756064.00
2012/02/23	7.49	7.50	7.38	7.40	8670722	65757664.00
2012/02/24	7.40	7.56	7.40	7.54	9092807	69420640.00
2012/02/27	7.56	7.72	7.53	7.53	12738623	98801696.00
2012/02/28	7.50	7.56	7.43	7.55	6409024	48928864.00
2012/02/29	7.56	7.72	7.52	7.56	10217036	79483456.00
2012/03/01	7.50	7.64	7.45	7.54	5988333	45969408.00
2012/03/02	7.55	7.69	7.55	7.68	7707367	59823668.00
2012/03/05	7.75	7.93	7.67	7.83	13280731	105727224.00
2012/03/06	7.80	8.01	7.67	8.00	10869908	86690680.00
2012/03/07	7.90	8.32	7.86	8.13	20034465	166081872.00
2012/03/08	8.10	8.18	8.02	8.11	9574908	78911984.00
2012/03/09	8.13	8.23	8.01	8.20	8568781	70789424.00
2012/03/12	8.20	8.31	8.05	8.15	7178957	59838900.00
2012/03/13	8.11	8.17	7.97	8.13	10035193	82285568.00
2012/03/14	8.13	8.17	7.50	7.55	12299861	99125512.00
2012/03/15	7.55	7.65	7.25	7.59	9420659	72025816.00
2012/03/16	7.56	7.88	7.55	7.83	9165129	72338800.00
2012/03/19	7.85	7.98	7.80	7.93	6919478	55714808.00
2012/03/20	7.87	7.90	7.62	7.62	6723420	52878156.00
2012/03/21	7.68	7.73	7.50	7.62	4761056	36913868.00
2012/03/22	7.62	7.67	7.52	7.62	3650944	28251212.00
2012/03/23	7.60	7.60	7.41	7.47	3376581	25798252.00
2012/03/26	7.45	7.53	7.37	7.48	2565581	19572468.00
2012/03/27	7.51	7.67	7.51	7.63	4272064	33122490.00
2012/03/28	7.60	7.60	7.26	7.33	3827476	28879888.00
2012/03/29	7.35	7.36	7.17	7.26	2726407	20222422.00
