600697 欧亚集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	25.45	25.45	25.01	25.33	274601	7153571.00
2011/10/11	25.56	25.96	25.09	25.14	68500	1809933.00
2011/10/12	25.06	25.48	24.68	25.35	545495	14296604.00
2011/10/13	25.37	26.10	25.24	25.75	518599	13869481.00
2011/10/14	25.99	25.99	25.37	25.60	65060	1724076.00
2011/10/17	25.81	25.82	25.37	25.74	193575	5128320.00
2011/10/18	25.55	25.79	25.40	25.56	204887	5431831.00
2011/10/19	25.57	25.72	25.37	25.51	244100	6433607.00
2011/10/20	25.34	25.42	25.00	25.07	228241	5933459.00
2011/10/21	24.83	25.26	24.83	24.97	213101	5557339.00
2011/10/24	24.46	25.07	24.46	24.96	684182	17652742.00
2011/10/25	25.06	25.87	24.87	25.63	288516	7598360.00
2011/10/26	25.87	26.15	25.74	25.87	320574	8644532.00
2011/10/27	26.19	26.19	25.87	25.89	85000	2290696.00
2011/10/28	26.15	26.39	26.15	26.37	264105	7189022.00
2011/10/31	26.37	26.62	26.28	26.43	85000	2325065.00
2011/11/01	26.37	26.87	26.37	26.58	188292	5185527.00
2011/11/02	26.37	26.77	26.37	26.66	172366	4719568.00
2011/11/03	26.85	27.67	26.48	27.08	337350	9467737.00
2011/11/04	27.09	27.42	26.73	27.07	339228	9491265.00
2011/11/07	27.05	27.17	26.77	26.83	211382	5902489.00
2011/11/08	27.00	27.37	26.48	26.59	89000	2463308.00
2011/11/09	26.67	26.83	26.28	26.37	746632	20383860.00
2011/11/10	26.18	26.67	26.18	26.37	312325	8532848.00
2011/11/11	26.52	26.52	26.19	26.22	436044	11848612.00
2011/11/14	26.36	27.55	26.36	26.88	512404	14294102.00
2011/11/15	26.77	26.87	26.44	26.67	407645	11218235.00
2011/11/16	26.75	27.02	26.37	26.42	413979	11373473.00
2011/11/17	26.37	26.56	26.20	26.45	156566	4276773.00
2011/11/18	26.45	26.45	25.92	26.07	337032	9110836.00
2011/11/21	25.95	26.43	25.52	26.37	285800	7713715.00
2011/11/22	26.07	26.07	25.60	25.82	354689	9457476.00
2011/11/23	25.87	26.27	25.57	26.10	940407	25253526.00
2011/11/24	25.82	25.90	25.08	25.60	763100	20224452.00
2011/11/25	25.27	25.77	25.27	25.71	277423	7384397.00
2011/11/28	25.64	26.06	25.62	25.85	154023	4114080.00
2011/11/29	25.97	26.05	25.75	26.01	919974	24670332.00
2011/11/30	25.87	25.87	25.07	25.41	426424	11218610.00
2011/12/01	25.58	25.85	25.58	25.73	306828	8169188.00
2011/12/02	25.48	25.49	24.94	25.34	449659	11719842.00
2011/12/05	25.25	25.30	24.73	25.07	378448	9796423.00
2011/12/06	25.06	25.07	24.33	25.06	669176	16997682.00
2011/12/07	24.94	25.29	24.57	25.27	518749	13432595.00
2011/12/08	25.57	25.57	24.77	25.15	341206	8852104.00
2011/12/09	25.06	25.22	24.42	24.96	367809	9501534.00
2011/12/12	24.77	24.96	24.57	24.86	396126	10182615.00
2011/12/13	24.55	24.55	23.97	24.40	139036	3502611.00
2011/12/14	24.17	24.47	24.17	24.23	57400	1449327.00
2011/12/15	24.08	24.64	23.39	24.45	264146	6534001.00
2011/12/16	24.10	24.86	24.06	24.83	364499	9230810.00
2011/12/19	24.25	24.72	24.19	24.71	252017	6375061.00
2011/12/20	24.57	24.71	24.53	24.70	188317	4813101.00
2011/12/21	24.77	24.92	24.27	24.61	286677	7342289.00
2011/12/22	24.28	24.67	23.97	24.67	452043	11339324.00
2011/12/23	24.48	24.92	24.48	24.81	156690	4025113.00
2011/12/26	24.81	26.25	24.40	25.07	143426	3766317.00
2011/12/27	24.70	25.36	24.49	24.53	118100	3053025.00
2011/12/28	24.79	26.37	23.60	26.05	1576380	39679264.00
2011/12/29	25.07	25.52	24.77	25.07	1196294	31137740.00
2011/12/30	25.07	25.87	24.87	25.72	754450	19786780.00
2012/01/04	25.77	25.77	24.51	24.63	61750	1616695.00
2012/01/05	24.57	24.57	22.25	23.10	450000	10918428.00
2012/01/06	23.07	23.32	22.60	22.95	386138	9246852.00
2012/01/09	22.93	24.02	22.28	22.70	2409242	56556584.00
2012/01/10	22.55	23.15	22.35	23.04	3752472	89599800.00
2012/01/11	22.88	23.45	22.75	23.27	1597166	38374464.00
2012/01/12	23.17	23.17	21.95	22.18	1641657	38498676.00
2012/01/13	22.08	22.08	20.49	20.81	3088073	67602400.00
2012/01/16	20.74	20.74	19.19	19.31	1905203	39728648.00
2012/01/17	19.20	20.20	19.20	20.15	1165095	24131556.00
2012/01/18	20.15	20.31	19.64	19.77	908607	19061908.00
2012/01/19	19.68	20.54	19.33	20.48	845162	17607596.00
2012/01/20	20.26	21.05	20.07	20.82	776916	16784062.00
2012/01/30	21.00	21.06	20.40	20.82	376051	8189119.00
2012/01/31	20.67	21.87	20.47	20.85	263287	5785572.00
2012/02/01	20.77	20.97	20.57	20.94	956851	20825302.00
2012/02/02	20.83	21.06	20.62	20.94	673555	14610082.00
2012/02/03	20.78	21.28	20.71	21.07	811401	17823620.00
2012/02/06	21.07	21.59	20.87	21.08	1561408	34673224.00
2012/02/07	21.08	21.08	20.79	21.07	434985	9513852.00
2012/02/09	21.45	21.67	21.32	21.35	696675	15637122.00
2012/02/10	21.35	21.67	21.27	21.53	328370	7364803.00
2012/02/13	21.47	21.69	21.14	21.54	813191	18142376.00
2012/02/14	21.37	21.72	21.37	21.63	653241	14722117.00
2012/02/15	21.64	22.02	21.51	22.00	325507	7402990.00
2012/02/16	21.88	23.04	21.88	22.31	674194	15784731.00
2012/02/17	22.32	22.65	22.18	22.53	333624	7791827.00
2012/02/20	22.62	23.22	22.57	22.99	565337	13529906.00
2012/02/21	22.97	23.21	22.71	23.02	637482	15264651.00
2012/02/22	23.12	23.26	22.85	23.02	453149	10819257.00
2012/02/23	23.02	23.02	22.67	22.72	637269	15090532.00
2012/02/24	22.58	22.94	22.53	22.74	1054884	24941428.00
2012/02/27	22.67	23.87	22.66	23.64	2450236	59212500.00
2012/02/28	23.63	23.63	22.97	23.18	1612552	38927960.00
2012/02/29	23.19	23.67	23.19	23.27	1698264	41313648.00
2012/03/01	23.44	23.44	22.98	23.33	826200	19853292.00
2012/03/02	23.38	23.45	23.07	23.29	545352	13164723.00
2012/03/05	23.30	23.64	23.25	23.35	1202964	29235348.00
2012/03/06	23.37	23.37	22.78	22.86	643677	15339675.00
2012/03/07	22.67	22.96	22.38	22.47	682791	16163046.00
2012/03/08	22.53	23.07	22.47	22.95	478820	11389313.00
2012/03/09	22.96	23.27	22.87	23.23	570825	13693545.00
2012/03/12	23.24	24.32	23.24	23.76	1670137	41312388.00
2012/03/13	23.87	24.49	23.78	24.31	1093752	27392344.00
2012/03/14	24.37	24.72	23.11	23.37	916598	22726684.00
2012/03/15	23.42	24.07	23.42	23.79	687600	16951504.00
2012/03/16	24.00	24.54	23.71	24.35	1212527	30430578.00
2012/03/19	24.47	24.47	24.08	24.19	402002	10127135.00
2012/03/20	24.42	24.42	23.42	23.50	327340	8058671.00
2012/03/21	23.86	23.86	23.39	23.61	579029	14145627.00
2012/03/22	23.43	23.84	23.43	23.57	194738	4766919.00
2012/03/23	23.47	23.78	23.29	23.77	287213	7037674.00
2012/03/26	23.77	23.85	23.42	23.43	725417	17739746.00
2012/03/27	23.52	23.54	23.09	23.13	284130	6878932.00
2012/03/28	23.07	23.07	22.37	22.37	971025	22976180.00
2012/03/29	22.61	22.61	21.93	21.97	1002706	23245008.00
2012/03/30	22.10	22.57	22.10	22.54	205521	4792217.00
2012/04/05	22.52	23.10	22.47	23.10	364756	8669274.00
2012/04/06	23.05	23.21	22.90	23.02	300857	7191682.00
2012/04/09	22.98	22.99	22.16	22.56	483670	11320751.00
2012/04/10	22.28	22.70	22.28	22.37	626218	14627774.00
2012/04/11	22.18	22.47	22.07	22.45	656885	15212274.00
2012/04/12	22.45	23.05	22.45	22.92	390450	9274623.00
2012/04/13	23.05	23.17	22.92	23.07	860185	20625868.00
2012/04/16	23.22	23.86	23.19	23.67	1238326	30460024.00
2012/04/17	23.64	23.87	23.27	23.44	421380	10356434.00
2012/04/18	23.46	23.77	23.08	23.66	788667	19316490.00
2012/04/19	23.65	23.76	23.03	23.41	761433	18447464.00
2012/04/20	23.23	23.37	22.67	22.96	846012	20223286.00
2012/04/23	23.04	23.45	22.68	23.18	405596	9749698.00
2012/04/24	22.74	23.35	22.33	22.57	1377335	32409932.00
2012/04/25	22.62	24.26	22.62	23.37	1261294	30475318.00
2012/04/26	23.35	23.55	22.80	23.45	660884	15952606.00
2012/04/27	23.44	23.50	22.98	23.06	416531	10041467.00
2012/05/02	23.46	23.47	22.90	23.07	731183	17544932.00
2012/05/03	22.99	23.12	22.47	23.00	1307291	30891388.00
2012/05/04	23.00	23.02	22.78	23.02	625970	14908432.00
2012/05/07	22.95	23.04	22.75	23.00	1292662	30772404.00
2012/05/08	22.85	23.43	22.84	22.99	1011892	24353300.00
2012/05/09	22.92	23.29	22.57	22.73	560901	13338534.00
2012/05/10	22.68	22.96	22.59	22.67	473913	11249488.00
