600698 湖南天雁 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	4.80	4.80	4.72	4.76	1649395	7861080.00
2011/10/11	4.86	4.92	4.75	4.81	2124255	10244064.00
2011/10/12	4.78	4.92	4.72	4.91	2836738	13786447.00
2011/10/13	4.94	4.96	4.90	4.94	2288267	11278066.00
2011/10/14	4.94	4.95	4.87	4.92	1981050	9735703.00
2011/10/17	4.94	4.95	4.86	4.91	1694406	8308887.00
2011/10/18	4.88	4.88	4.70	4.72	2320160	11081666.00
2011/10/19	4.73	4.76	4.66	4.74	1259629	5933549.00
2011/10/20	4.74	4.74	4.51	4.56	2097286	9640703.00
2011/10/21	4.55	4.62	4.50	4.57	1196096	5452424.00
2011/10/24	4.59	4.62	4.36	4.52	2511687	11253042.00
2011/10/25	4.53	4.65	4.46	4.62	2411025	10987478.00
2011/10/26	4.60	4.67	4.56	4.64	2185172	10130933.00
2011/10/27	4.65	4.70	4.59	4.64	2462593	11439800.00
2011/10/28	4.68	4.74	4.65	4.74	3247412	15223596.00
2011/11/01	4.65	4.83	4.65	4.76	2882005	13700292.00
2011/11/02	4.68	4.77	4.65	4.77	2930551	13780182.00
2011/11/03	4.76	4.84	4.75	4.80	4185594	20038466.00
2011/11/04	4.80	4.84	4.77	4.83	3304039	15860924.00
2011/11/07	4.82	5.07	4.80	5.03	10071068	50405772.00
2011/11/08	4.99	5.02	4.85	4.89	4556150	22513808.00
2011/11/09	4.89	4.97	4.86	4.94	2076082	10195865.00
2011/11/10	4.90	4.90	4.80	4.84	3059801	14821900.00
2011/11/11	4.83	4.89	4.83	4.87	1972610	9588568.00
2011/11/14	4.91	4.95	4.87	4.92	2879177	14128139.00
2011/11/15	4.92	5.04	4.91	4.98	3475836	17292140.00
2011/11/16	4.98	4.98	4.81	4.84	3038344	14818849.00
2011/11/17	4.84	4.88	4.80	4.85	1940605	9395335.00
2011/11/18	4.83	4.86	4.70	4.75	2874953	13697848.00
2011/11/21	4.74	4.77	4.65	4.71	1785031	8399533.00
2011/11/22	4.68	4.70	4.55	4.67	1578428	7324115.00
2011/11/23	4.68	4.70	4.59	4.59	1215121	5629543.00
2011/11/24	4.58	4.62	4.48	4.55	1703391	7737538.00
2011/11/25	4.50	4.65	4.50	4.56	1322097	6056547.00
2011/11/28	4.52	4.63	4.52	4.58	1681601	7706258.00
2011/11/29	4.63	4.63	4.56	4.60	1456710	6684339.00
2011/11/30	4.60	4.61	4.37	4.38	2658978	11777959.00
2011/12/01	4.48	4.53	4.40	4.43	2338371	10451200.00
2011/12/02	4.43	4.46	4.21	4.27	3737524	15927134.00
2011/12/05	4.27	4.27	4.06	4.06	2722714	11138214.00
2011/12/06	4.00	4.07	3.96	4.03	1361044	5471403.00
2011/12/07	4.03	4.07	4.01	4.06	890754	3604118.00
2011/12/08	4.11	4.12	3.99	4.05	1756542	7105275.00
2011/12/09	4.05	4.05	3.93	3.97	1574513	6277936.00
2011/12/12	3.94	4.00	3.94	3.95	930360	3694085.00
2011/12/13	3.92	3.94	3.75	3.75	2477506	9330567.00
2011/12/14	3.72	3.72	3.56	3.56	2531499	9094039.00
2011/12/15	3.50	3.50	3.38	3.38	4060567	13765929.00
2011/12/16	3.38	3.55	3.30	3.55	2500429	8596635.00
2011/12/19	3.55	3.73	3.47	3.73	7512663	27833648.00
2011/12/20	3.73	3.85	3.67	3.68	3257488	12197528.00
2011/12/21	3.69	3.75	3.50	3.56	2552130	9243969.00
2011/12/22	3.45	3.60	3.45	3.56	2750934	9738867.00
2011/12/23	3.57	3.66	3.51	3.64	2056785	7422915.00
2011/12/26	3.64	3.66	3.54	3.55	2331178	8371720.00
2011/12/27	3.55	3.62	3.50	3.50	1432277	5095811.00
2012/01/05	3.68	3.68	3.68	3.68	504973	1858301.00
2012/01/06	3.86	3.86	3.80	3.86	5995757	23121302.00
2012/01/09	4.00	4.00	3.82	3.94	7325198	28542148.00
2012/01/10	3.94	4.13	3.88	4.07	6667549	26557348.00
2012/01/11	4.05	4.13	4.00	4.05	4006874	16263678.00
2012/01/12	4.05	4.06	3.93	3.94	2920933	11669946.00
2012/01/13	3.98	3.98	3.80	3.84	2689949	10393816.00
2012/01/16	3.84	3.93	3.81	3.90	2406673	9363284.00
2012/01/17	3.92	4.03	3.80	4.00	4140759	16275762.00
2012/01/18	3.95	4.01	3.94	3.97	2920944	11573381.00
2012/01/19	3.94	4.01	3.88	3.90	3160392	12465884.00
2012/01/20	3.93	3.95	3.89	3.93	1984836	7782134.00
2012/01/30	3.96	4.12	3.94	4.06	4007678	16283695.00
2012/01/31	4.04	4.10	4.00	4.06	2364822	9581247.00
2012/02/01	4.06	4.18	4.02	4.08	3935656	16219118.00
2012/02/02	4.10	4.12	4.04	4.08	2155458	8767833.00
2012/02/06	4.13	4.24	4.12	4.16	3901438	16262717.00
2012/02/07	4.12	4.16	3.95	3.98	4020946	16154901.00
2012/02/08	3.98	4.06	3.96	4.05	3019623	12106248.00
2012/02/09	4.04	4.09	4.01	4.06	3291050	13371605.00
2012/02/10	4.08	4.10	4.03	4.06	2699854	10962784.00
2012/02/13	4.05	4.14	3.98	4.09	3493248	14218949.00
2012/02/14	4.09	4.25	4.08	4.17	5488025	22902116.00
2012/02/15	4.17	4.30	4.14	4.29	6281791	26592888.00
2012/02/16	4.29	4.31	4.19	4.24	4248320	17995668.00
2012/02/17	4.22	4.45	4.21	4.45	11695379	51280180.00
2012/02/20	4.50	4.67	4.45	4.46	12666924	57676292.00
2012/02/21	4.42	4.50	4.31	4.43	6589322	29007352.00
2012/02/22	4.41	4.49	4.34	4.45	4613330	20369116.00
2012/02/23	4.42	4.48	4.33	4.38	4850324	21317772.00
2012/02/24	4.40	4.44	4.36	4.41	4000544	17641838.00
2012/02/27	4.41	4.46	4.37	4.41	4712629	20828952.00
2012/02/28	4.39	4.61	4.36	4.46	6409329	28753420.00
2012/02/29	4.44	4.47	4.36	4.36	3329039	14668765.00
2012/03/01	4.34	4.40	4.33	4.36	2361511	10296435.00
2012/03/02	4.36	4.46	4.36	4.42	3035783	13408884.00
2012/03/05	4.41	4.46	4.33	4.39	3741602	16493306.00
