600701 工大高新 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	4.30	4.36	4.27	4.31	1491642	6474696.00
2011/10/11	4.43	4.44	4.27	4.34	2231338	9761208.00
2011/10/12	4.34	4.50	4.29	4.48	5174526	23029876.00
2011/10/13	4.45	4.55	4.44	4.49	4687388	21237576.00
2011/10/14	4.50	4.58	4.48	4.53	4146799	18860310.00
2011/10/17	4.54	4.57	4.46	4.49	2656770	12014214.00
2011/10/18	4.48	4.49	4.29	4.30	3517500	15476391.00
2011/10/19	4.30	4.36	4.25	4.30	2356069	10176841.00
2011/10/20	4.30	4.31	4.09	4.13	2970444	12444325.00
2011/10/21	4.12	4.16	4.06	4.06	1775955	7322566.00
2011/10/24	4.09	4.14	3.97	4.13	2216924	9047994.00
2011/10/25	4.13	4.25	4.08	4.21	3430457	14418267.00
2011/10/26	4.19	4.37	4.17	4.28	7203235	30788388.00
2011/10/27	4.25	4.31	4.23	4.26	3875585	16620306.00
2011/10/28	4.34	4.44	4.30	4.39	5661317	24781578.00
2011/10/31	4.38	4.44	4.36	4.39	4115323	18165984.00
2011/11/01	4.37	4.43	4.33	4.39	4773740	21077888.00
2011/11/02	4.30	4.50	4.28	4.48	7118056	31388728.00
2011/11/03	4.49	4.60	4.48	4.54	10420836	47518808.00
2011/11/04	4.54	4.60	4.52	4.55	5397385	24694884.00
2011/11/07	4.56	4.58	4.51	4.54	4730854	21555554.00
2011/11/08	4.54	4.55	4.44	4.45	4310804	19514190.00
2011/11/09	4.46	4.55	4.43	4.54	4199637	18937824.00
2011/11/10	4.50	4.51	4.43	4.44	3343502	14999469.00
2011/11/11	4.46	4.51	4.41	4.45	3571882	16019544.00
2011/11/14	4.49	4.56	4.47	4.55	3984640	18128280.00
2011/11/15	4.55	4.66	4.51	4.61	7537791	34627176.00
2011/11/16	4.62	4.62	4.44	4.47	5778621	26272510.00
2011/11/17	4.46	4.50	4.42	4.44	3087101	13840273.00
2011/11/18	4.43	4.43	4.22	4.26	5363824	23219734.00
2011/11/21	4.25	4.31	4.20	4.26	2809445	12009850.00
2011/11/22	4.25	4.31	4.20	4.30	1956504	8387358.00
2011/11/23	4.29	4.34	4.23	4.24	2280033	9808289.00
2011/11/24	4.21	4.34	4.13	4.32	4586466	19515340.00
2011/11/25	4.28	4.31	4.23	4.24	3267028	14019893.00
2011/11/28	4.24	4.33	4.24	4.27	2140263	9189993.00
2011/11/29	4.30	4.33	4.26	4.32	2954138	12753965.00
2011/11/30	4.32	4.32	4.01	4.07	4670178	19481752.00
2011/12/01	4.18	4.24	4.14	4.15	3612141	15207967.00
2011/12/02	4.14	4.16	4.02	4.04	2593828	10663353.00
2011/12/05	4.03	4.04	3.86	3.88	3195201	12599816.00
2011/12/06	3.89	3.93	3.84	3.88	2098423	8160135.00
2011/12/07	3.88	3.94	3.88	3.91	1551118	6088792.00
2011/12/08	3.91	3.95	3.81	3.92	2374969	9277021.00
2011/12/09	3.89	3.92	3.85	3.87	1688000	6589880.00
2011/12/12	3.87	3.90	3.82	3.82	1917672	7417598.00
2011/12/13	3.81	3.81	3.62	3.66	3373173	12477985.00
2011/12/14	3.65	3.69	3.58	3.58	2034800	7431105.00
2011/12/15	3.58	3.58	3.40	3.42	3147848	11029363.00
2011/12/16	3.43	3.55	3.43	3.53	2245377	7852936.00
2011/12/19	3.50	3.53	3.39	3.50	1931553	6728396.00
2011/12/20	3.47	3.60	3.46	3.54	2466258	8809950.00
2011/12/21	3.58	3.59	3.47	3.47	2507630	8940126.00
2011/12/22	3.42	3.43	3.20	3.36	2443618	8203609.00
2011/12/23	3.36	3.49	3.32	3.42	3138745	10800866.00
2011/12/26	3.45	3.49	3.39	3.48	2508483	8726381.00
2011/12/27	3.46	3.49	3.34	3.36	2645851	9079663.00
2011/12/28	3.36	3.36	3.26	3.35	1974961	6592740.00
2011/12/29	3.35	3.40	3.32	3.37	1254790	4250533.00
2011/12/30	3.40	3.44	3.36	3.44	1751878	6013104.00
2012/01/04	3.45	3.48	3.31	3.32	1921195	6586403.00
2012/01/05	3.31	3.33	3.14	3.19	2088127	6829323.00
2012/01/06	3.19	3.24	3.08	3.22	2126515	6743476.00
2012/01/09	3.24	3.36	3.16	3.35	2896473	9606450.00
2012/01/10	3.33	3.56	3.32	3.52	6135113	21423544.00
2012/01/11	3.51	3.54	3.46	3.50	3789458	13319289.00
2012/01/12	3.48	3.71	3.48	3.58	10255394	37134188.00
2012/01/13	3.58	3.60	3.43	3.48	6259160	22006160.00
2012/01/16	3.46	3.51	3.42	3.42	2001486	6951232.00
2012/01/17	3.43	3.60	3.39	3.58	4021698	14287524.00
2012/01/18	3.57	3.63	3.50	3.51	4353901	15580855.00
2012/01/19	3.48	3.57	3.48	3.55	2136310	7598478.00
2012/01/20	3.56	3.63	3.54	3.60	3059928	11041703.00
2012/01/30	3.63	3.63	3.53	3.55	2070634	7432655.00
2012/01/31	3.57	3.68	3.53	3.67	7555825	27527242.00
2012/02/01	3.64	3.69	3.61	3.66	4334022	15898709.00
2012/02/02	3.68	3.75	3.65	3.74	6608010	24631128.00
2012/02/03	3.74	3.77	3.71	3.73	5469558	20552666.00
2012/02/06	3.72	3.79	3.70	3.73	4524269	17034762.00
2012/02/07	3.71	3.72	3.61	3.65	4002672	14686454.00
2012/02/08	3.61	3.73	3.61	3.72	3134870	11598940.00
2012/02/09	3.70	3.82	3.69	3.76	6989686	26449280.00
2012/02/10	3.76	3.80	3.74	3.79	4161708	15786888.00
2012/02/13	3.77	3.94	3.72	3.92	9659091	37340004.00
2012/02/14	3.89	3.98	3.84	3.96	8921571	35114008.00
2012/02/15	3.95	4.17	3.94	4.05	15909953	64966112.00
2012/02/16	4.03	4.09	3.94	4.00	9644685	38758676.00
2012/02/17	4.00	4.03	3.91	3.98	5302708	21113042.00
2012/02/20	4.00	4.08	3.99	4.00	4790578	19383696.00
2012/02/21	3.98	4.03	3.92	4.03	3813163	15226519.00
2012/02/22	4.02	4.12	3.99	4.11	6962034	28457756.00
2012/02/23	4.10	4.38	4.08	4.18	18339435	78398488.00
2012/02/24	4.18	4.22	4.11	4.19	9533560	39850396.00
2012/02/27	4.18	4.25	4.16	4.18	8206363	34730288.00
2012/02/28	4.16	4.22	4.12	4.21	5920187	24842232.00
2012/02/29	4.18	4.24	4.14	4.16	4302095	18129480.00
2012/03/01	4.16	4.31	4.16	4.29	7551905	32210488.00
2012/03/02	4.29	4.46	4.28	4.32	13227110	57957512.00
2012/03/05	4.29	4.34	4.26	4.29	4840165	20903536.00
2012/03/06	4.27	4.41	4.13	4.36	9321452	39452288.00
2012/03/07	4.29	4.43	4.26	4.29	10730710	46935660.00
2012/03/08	4.29	4.33	4.27	4.30	4062127	17545834.00
2012/03/09	4.32	4.33	4.25	4.32	4370179	18879068.00
2012/03/12	4.30	4.33	4.21	4.28	6378698	27373384.00
2012/03/13	4.29	4.40	4.25	4.39	7793043	33765980.00
2012/03/14	4.38	4.51	4.13	4.29	14547765	63634152.00
2012/03/15	4.26	4.33	3.99	4.09	8602875	35690056.00
2012/03/16	4.10	4.18	4.06	4.17	10271015	42506884.00
2012/03/19	4.17	4.32	4.10	4.31	9894121	41658412.00
2012/03/20	4.33	4.40	4.21	4.26	11573585	50097560.00
2012/03/21	4.26	4.28	4.14	4.22	5631411	23804454.00
2012/03/22	4.20	4.23	4.15	4.18	3578715	15033676.00
2012/03/23	4.11	4.17	4.05	4.15	4800484	19834528.00
2012/03/26	4.14	4.32	4.11	4.20	5016576	21358280.00
2012/03/27	4.20	4.24	4.10	4.12	3075600	12865322.00
2012/03/28	4.09	4.12	3.93	3.96	4590227	18421520.00
2012/03/29	3.96	3.98	3.79	3.80	3973014	15536462.00
2012/03/30	3.82	3.83	3.65	3.70	5087808	19046940.00
2012/04/05	3.72	3.83	3.69	3.81	11733992	43996524.00
2012/04/06	3.78	3.84	3.74	3.82	7414119	28295630.00
2012/04/09	3.80	3.85	3.73	3.78	4047253	15526419.00
2012/04/10	3.78	3.82	3.63	3.80	4822313	18006128.00
2012/04/11	3.75	3.85	3.71	3.84	5598139	21403256.00
2012/04/12	3.84	3.97	3.79	3.94	8663942	33977368.00
2012/04/13	3.92	4.12	3.90	4.03	11957779	48469084.00
2012/04/16	3.99	4.24	3.99	4.20	12473773	51665020.00
2012/04/17	4.16	4.18	4.04	4.06	8976269	37039232.00
2012/04/18	4.07	4.25	4.05	4.21	14610003	61445612.00
2012/04/19	4.17	4.22	4.12	4.17	7114555	29750696.00
2012/04/20	4.13	4.25	4.10	4.20	8420731	35450344.00
2012/04/23	4.18	4.25	4.10	4.22	8584116	36074236.00
2012/04/24	4.21	4.26	4.00	4.16	9986387	41568584.00
2012/04/25	4.13	4.58	4.13	4.58	29938944	135300800.00
2012/04/26	4.73	4.73	4.45	4.50	34680919	158484624.00
2012/04/27	4.43	4.52	4.27	4.28	16363888	71514624.00
2012/05/02	4.28	4.32	4.18	4.26	11480346	48906288.00
2012/05/03	4.24	4.30	4.21	4.26	5796290	24787380.00
2012/05/04	4.24	4.28	4.18	4.24	6797441	28828102.00
2012/05/07	4.19	4.24	4.16	4.23	6109011	25788452.00
2012/05/08	4.23	4.29	4.22	4.25	7590521	32482466.00
2012/05/09	4.21	4.21	4.16	4.16	6916054	29029694.00
2012/05/10	4.17	4.22	4.15	4.18	3302761	13885443.00
2012/05/11	4.18	4.25	4.16	4.23	6929103	29374670.00
2012/05/14	4.24	4.36	4.20	4.22	8741961	37564880.00
2012/05/15	4.19	4.19	4.04	4.16	6490944	26813864.00
2012/05/16	4.13	4.16	3.98	3.99	5660600	23170180.00
2012/05/17	4.00	4.12	4.00	4.11	4538586	18573496.00
2012/05/18	4.08	4.13	4.04	4.07	4274735	17573274.00
2012/05/21	4.06	4.13	4.03	4.08	3260124	13389089.00
2012/05/22	4.10	4.17	4.08	4.14	4183161	17359544.00
2012/05/23	4.13	4.15	4.05	4.12	4051624	16686155.00
2012/05/24	4.08	4.12	4.04	4.05	2498238	10260038.00
2012/05/25	4.06	4.08	3.93	3.97	4828775	19356952.00
2012/05/28	3.96	4.11	3.85	4.10	5855192	23415944.00
2012/05/29	4.10	4.27	4.07	4.21	17402584	72993984.00
2012/05/30	4.15	4.17	4.08	4.11	8941065	36955336.00
2012/05/31	4.09	4.12	4.04	4.07	4061537	16648631.00
2012/06/01	4.06	4.11	4.03	4.05	2900655	11860727.00
2012/06/04	3.98	4.01	3.86	3.86	5167664	20431360.00
2012/06/05	3.88	3.90	3.79	3.81	4119512	15951657.00
2012/06/06	3.85	3.88	3.81	3.85	2376657	9188173.00
2012/06/07	3.88	3.90	3.79	3.80	2475010	9569240.00
2012/06/08	3.86	3.87	3.78	3.79	1815249	6965908.00
2012/06/11	3.83	3.88	3.79	3.84	1947702	7517904.00
2012/06/12	3.82	3.86	3.80	3.83	1256899	4838124.00
2012/06/13	3.83	3.90	3.81	3.89	2675464	10409674.00
2012/06/14	3.88	3.92	3.86	3.87	2352002	9197735.00
2012/06/15	3.89	3.90	3.79	3.84	1687258	6529740.00
2012/06/18	3.87	3.89	3.84	3.85	1719900	6684807.00
2012/06/19	3.85	3.87	3.81	3.83	1890653	7292648.00
2012/06/20	3.85	3.85	3.79	3.80	1508045	5788073.00
2012/06/21	3.81	3.84	3.75	3.75	1827000	6943902.00
2012/06/25	3.75	3.77	3.53	3.58	3067237	11280769.00
2012/06/26	3.58	3.61	3.52	3.56	2704701	9718579.00
2012/06/27	3.58	3.63	3.55	3.57	1509134	5448600.00
2012/06/28	3.59	3.59	3.45	3.46	2117671	7518972.00
2012/07/02	3.55	3.60	3.54	3.56	3321327	11914047.00
2012/07/03	3.57	3.61	3.53	3.55	1988596	7137545.00
2012/07/04	3.56	3.56	3.47	3.50	2461194	8701651.00
2012/07/05	3.48	3.48	3.35	3.38	2812672	9630534.00
2012/07/06	3.41	3.47	3.34	3.46	2494022	8543330.00
2012/07/09	3.44	3.49	3.38	3.43	3312382	11482690.00
2012/07/10	3.46	3.55	3.45	3.47	3530518	12405436.00
2012/07/11	3.43	3.49	3.42	3.48	1746308	6056261.00
2012/07/12	3.47	3.54	3.42	3.51	2871186	10021121.00
2012/07/13	3.49	3.53	3.44	3.45	1688401	5909266.00
2012/07/16	3.48	3.48	3.26	3.28	2534310	8563777.00
2012/07/17	3.28	3.34	3.23	3.33	1526014	5053276.00
2012/07/18	3.32	3.37	3.27	3.36	2107625	7034644.00
2012/07/19	3.37	3.48	3.33	3.45	2866798	9918818.00
2012/07/20	3.43	3.46	3.38	3.40	2529218	8705877.00
2012/07/23	3.36	3.39	3.31	3.38	1630973	5512593.00
2012/07/24	3.38	3.46	3.35	3.45	2722919	9378968.00
2012/07/25	3.45	3.51	3.42	3.44	3274532	11433373.00
2012/07/26	3.44	3.47	3.35	3.38	2270323	7796052.00
2012/07/27	3.40	3.43	3.36	3.40	2238286	7645402.00
2012/07/30	3.46	3.46	3.25	3.28	2975640	9959291.00
2012/07/31	3.28	3.34	3.22	3.26	2014327	6588353.00
2012/08/01	3.25	3.34	3.25	3.28	1384185	4595792.00
2012/08/02	3.30	3.31	3.24	3.26	1145799	3768826.00
2012/08/03	3.27	3.33	3.26	3.32	1847504	6122715.00
2012/08/06	3.33	3.43	3.31	3.42	3026022	10329669.00
2012/08/07	3.40	3.51	3.39	3.46	4248115	14744491.00
2012/08/08	3.46	3.47	3.40	3.46	2362979	8168432.00
2012/08/09	3.45	3.50	3.41	3.49	3277830	11432169.00
2012/08/10	3.48	3.52	3.47	3.52	3565543	12556436.00
2012/08/13	3.50	3.52	3.39	3.41	3805028	13243989.00
2012/08/14	3.40	3.46	3.31	3.45	2969327	10138725.00
2012/08/15	3.51	3.63	3.43	3.44	5558491	19681632.00
2012/08/16	3.38	3.44	3.35	3.41	2523150	8621199.00
2012/08/17	3.41	3.48	3.35	3.41	2146292	7356748.00
2012/08/20	3.41	3.44	3.34	3.43	1916330	6519700.00
2012/08/21	3.47	3.49	3.41	3.45	3219001	11199074.00
2012/08/22	3.48	3.52	3.44	3.47	3488446	12213045.00
2012/08/23	3.48	3.50	3.43	3.50	2427080	8475425.00
2012/08/24	3.79	3.79	3.50	3.58	11582144	42286016.00
2012/08/27	3.52	3.71	3.48	3.53	7378161	26675148.00
2012/08/28	3.50	3.57	3.43	3.50	4695500	16477138.00
2012/08/29	3.52	3.54	3.45	3.47	3639919	12767030.00
2012/08/30	3.51	3.82	3.50	3.82	27749265	106089240.00
2012/08/31	3.69	4.03	3.65	3.84	38932546	149818944.00
2012/09/03	3.70	3.86	3.70	3.84	18715903	70954592.00
2012/09/04	3.79	3.95	3.76	3.81	17884483	69179616.00
2012/09/05	3.77	3.87	3.66	3.84	13598291	51239688.00
2012/09/06	3.82	3.84	3.72	3.81	8312755	31589696.00
2012/09/07	3.81	3.94	3.78	3.87	17190279	66868092.00
2012/09/10	3.85	3.93	3.82	3.87	10015694	39025504.00
2012/09/11	3.84	4.07	3.81	4.01	20148029	80568192.00
2012/09/12	4.01	4.01	3.88	3.97	10158062	40276056.00
2012/09/13	3.97	3.97	3.79	3.80	8853547	34468480.00
2012/09/14	3.82	3.86	3.72	3.79	6578281	25039724.00
2012/09/17	3.80	3.81	3.64	3.64	4976452	18655404.00
2012/09/18	3.64	3.93	3.62	3.89	13652197	52240704.00
2012/09/19	3.88	3.93	3.81	3.87	7600394	29542706.00
2012/09/20	3.83	3.86	3.67	3.67	6554260	24706718.00
2012/09/21	3.65	4.04	3.64	3.98	32901175	131699664.00
2012/09/24	3.91	4.05	3.87	4.01	22889095	91020848.00
2012/09/25	3.98	3.98	3.76	3.89	15092609	58712392.00
2012/09/26	3.87	3.98	3.78	3.97	14105951	55382092.00
2012/09/27	3.92	4.28	3.91	4.09	27347637	113332800.00
2012/09/28	4.01	4.13	4.00	4.07	13407675	54765648.00
2012/10/08	4.06	4.21	4.03	4.16	12021594	49883536.00
2012/10/09	4.15	4.26	4.10	4.21	15344531	64600904.00
2012/10/10	4.20	4.21	4.10	4.15	11222907	46676216.00
2012/10/11	4.14	4.15	4.01	4.03	9921592	40647784.00
2012/10/12	4.04	4.18	4.01	4.17	12725598	52656504.00
2012/10/15	4.14	4.17	4.02	4.07	7576878	30981932.00
2012/10/16	4.03	4.10	3.98	4.01	6255847	25370050.00
2012/10/17	4.01	4.04	3.93	4.03	7863972	31528764.00
2012/10/18	4.04	4.12	4.01	4.08	7049960	28937216.00
2012/10/19	4.07	4.12	4.03	4.04	4340162	17695692.00
2012/10/22	4.01	4.09	3.98	4.06	4438356	18027842.00
2012/10/23	4.07	4.12	4.03	4.05	6612914	27112656.00
2012/10/24	4.02	4.04	3.93	3.99	6467572	25941092.00
2012/10/25	3.99	4.04	3.88	3.89	6749807	26845904.00
2012/10/26	3.88	3.91	3.79	3.81	5228242	20120224.00
2012/10/29	3.83	3.88	3.79	3.85	3400262	13100579.00
2012/10/30	3.83	3.91	3.80	3.86	5078507	19789408.00
2012/10/31	3.87	3.88	3.81	3.86	2642509	10200045.00
2012/11/01	3.87	3.93	3.85	3.90	4317694	16945920.00
2012/11/02	3.90	3.94	3.88	3.92	4360415	17117854.00
2012/11/05	3.92	3.93	3.85	3.86	3081804	12028738.00
2012/11/06	3.86	3.94	3.85	3.94	5087399	19914692.00
2012/11/07	3.94	3.96	3.87	3.89	3367207	13228321.00
2012/11/08	3.87	3.87	3.69	3.70	6335818	23972740.00
2012/11/09	3.69	3.74	3.64	3.67	3633324	13480477.00
2012/11/12	3.68	3.71	3.66	3.70	2426833	9004724.00
2012/11/13	3.71	3.72	3.62	3.64	2972750	10943997.00
2012/11/14	3.64	3.65	3.56	3.61	2483580	8983289.00
2012/11/15	3.59	3.60	3.50	3.52	2003981	7160566.00
2012/11/16	3.51	3.56	3.48	3.54	2392769	8471059.00
2012/11/19	3.54	3.55	3.49	3.54	1770788	6275292.00
2012/11/20	3.56	3.57	3.50	3.51	1767600	6279374.00
2012/11/21	3.51	3.54	3.43	3.54	2151070	7555603.00
2012/11/22	3.53	3.53	3.47	3.48	1717101	6040585.00
2012/11/23	3.48	3.52	3.48	3.50	1293700	4554023.00
2012/11/26	3.50	3.51	3.43	3.44	1617950	5624480.00
2012/11/27	3.43	3.43	3.30	3.31	2970940	10000807.00
2012/11/28	3.28	3.30	3.25	3.28	1400016	4611379.00
2012/11/29	3.28	3.32	3.24	3.25	1745300	5764683.00
2012/11/30	3.25	3.31	3.22	3.28	1697420	5588276.00
2012/12/03	3.29	3.34	3.24	3.25	2417770	8020212.00
2012/12/04	3.24	3.32	3.18	3.32	2590142	8448822.00
2012/12/05	3.29	3.44	3.28	3.40	5034846	17220528.00
2012/12/06	3.39	3.41	3.36	3.38	2947117	10031496.00
2012/12/07	3.38	3.47	3.38	3.45	4787470	16545354.00
2012/12/10	3.45	3.51	3.45	3.49	3812312	13357306.00
2012/12/11	3.49	3.60	3.43	3.49	5623297	19965226.00
2012/12/12	3.49	3.50	3.41	3.49	3639189	12622185.00
2012/12/13	3.47	3.47	3.40	3.41	3165044	10911421.00
2012/12/14	3.41	3.54	3.41	3.53	5327131	18766032.00
2012/12/17	3.52	3.58	3.52	3.54	3274494	11691476.00
2012/12/18	3.53	3.59	3.52	3.54	4140477	14821602.00
2012/12/19	3.53	3.58	3.52	3.56	2561994	9178601.00
2012/12/20	3.56	3.57	3.49	3.52	2748827	9727118.00
2012/12/21	3.53	3.55	3.47	3.49	3263252	11490646.00
2012/12/24	3.47	3.52	3.47	3.50	1935004	6810283.00
2012/12/25	3.48	3.58	3.46	3.57	4896437	17443076.00
2012/12/26	3.57	3.62	3.56	3.62	5481713	19789016.00
2012/12/27	3.62	3.64	3.57	3.60	4730489	17122964.00
2012/12/28	3.58	3.62	3.57	3.62	2990169	10833115.00
2012/12/31	3.63	3.65	3.59	3.65	3663481	13347055.00
2013/01/04	3.66	3.75	3.63	3.71	8131761	30166174.00
2013/01/07	3.73	3.85	3.70	3.84	10979914	41867976.00
2013/01/08	3.83	3.85	3.76	3.82	6919458	26412204.00
2013/01/09	3.88	4.04	3.83	3.88	15019713	59268036.00
2013/01/10	3.80	3.88	3.77	3.81	9434714	36190456.00
2013/01/11	3.79	3.83	3.66	3.67	6952918	26159344.00
2013/01/14	3.66	3.77	3.63	3.74	6164149	23026696.00
2013/01/15	3.74	3.83	3.73	3.82	6445075	24606040.00
2013/01/16	3.82	3.83	3.74	3.79	6391766	24308692.00
2013/01/17	3.79	3.80	3.73	3.74	4077280	15404480.00
2013/01/18	3.76	3.82	3.74	3.82	5752086	21941564.00
2013/01/21	3.84	3.85	3.80	3.84	4978088	19152680.00
2013/01/22	3.83	3.85	3.75	3.75	5556963	21296920.00
2013/01/23	3.76	3.81	3.74	3.81	3703692	14064445.00
2013/01/24	3.80	3.84	3.66	3.68	7224647	27410304.00
2013/01/25	3.70	3.73	3.64	3.68	3357190	12434497.00
2013/01/28	3.68	3.74	3.65	3.73	3490091	13006923.00
2013/01/29	3.73	3.93	3.71	3.91	14233551	54949140.00
2013/01/30	3.89	4.07	3.82	3.98	20086903	80044840.00
2013/01/31	3.95	3.99	3.88	3.97	9796726	38686936.00
2013/02/01	3.95	4.08	3.85	4.02	12730333	51086348.00
2013/02/04	4.00	4.03	3.89	3.90	8904751	35246344.00
2013/02/05	3.89	3.94	3.86	3.91	3652024	14318724.00
2013/02/06	3.90	3.94	3.87	3.91	4399578	17241138.00
2013/02/07	3.93	3.93	3.87	3.90	2755852	10781782.00
2013/02/08	3.89	3.93	3.89	3.92	3599284	14162397.00
2013/02/18	3.92	3.95	3.89	3.93	3913538	15428413.00
2013/02/19	3.92	3.95	3.86	3.89	3623685	14184818.00
2013/02/20	3.89	3.93	3.87	3.92	3740491	14662296.00
2013/02/21	3.90	3.90	3.82	3.88	5023767	19498462.00
2013/02/22	3.88	4.03	3.88	3.94	10629439	42435124.00
2013/02/25	3.94	4.00	3.92	4.00	7041430	28035124.00
2013/02/26	3.98	4.09	3.95	4.01	13053030	53036168.00
2013/02/27	4.03	4.17	4.03	4.14	18005221	74472024.00
2013/02/28	4.14	4.17	4.06	4.13	13999183	57897160.00
2013/03/01	4.13	4.55	4.08	4.55	26099271	116697208.00
