600716 凤凰股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	4.73	4.78	4.60	4.70	2581707	12410417.00
2011/10/11	4.80	4.83	4.59	4.63	2459808	11817662.00
2011/10/12	4.64	4.95	4.57	4.91	6148410	30366332.00
2011/10/13	4.87	4.95	4.84	4.90	3422086	17089086.00
2011/10/14	4.97	5.40	4.97	5.40	8474418	45710944.00
2011/10/17	5.60	5.95	5.58	5.95	31713567	186964640.00
2011/10/18	6.03	6.23	5.78	5.86	33860164	206035888.00
2011/10/19	5.69	5.75	5.36	5.64	14009302	79903696.00
2011/10/20	5.59	6.04	5.56	5.80	26592650	158358240.00
2011/10/21	5.62	5.93	5.31	5.77	18215937	104749912.00
2011/10/24	5.71	6.36	5.56	6.36	28463602	176220608.00
2011/10/25	6.68	7.01	6.50	6.82	75231158	519712640.00
2011/10/26	6.76	7.20	6.71	6.81	64934674	455508544.00
2011/10/27	6.67	6.86	6.57	6.78	34794401	237075760.00
2011/10/28	6.82	7.03	6.74	6.78	43930034	306272992.00
2011/10/31	6.72	7.00	6.62	6.97	37871965	262812896.00
2011/11/01	6.90	7.11	6.77	6.83	31906891	224135280.00
2011/11/02	6.61	7.38	6.58	7.07	43322218	304348704.00
2011/11/03	7.00	7.06	6.70	6.73	40927343	284424192.00
2011/11/04	6.69	7.41	6.65	6.98	55804710	404230688.00
2011/11/07	6.80	6.86	6.60	6.72	26405130	180246368.00
2011/11/08	6.73	6.99	6.68	6.74	21195763	146977568.00
2011/11/09	6.76	7.00	6.50	6.95	28128956	193457232.00
2011/11/10	6.78	6.87	6.56	6.57	19567380	133812280.00
2011/11/11	6.56	7.24	6.56	7.24	29242946	211205136.00
2011/11/14	7.68	7.68	7.16	7.29	54561419	408664416.00
2011/11/15	7.50	8.03	7.31	8.03	66881151	527446496.00
2011/11/16	7.82	7.89	7.49	7.78	51072864	398778144.00
2011/11/17	7.76	7.83	7.55	7.62	24432086	189670832.00
2011/11/18	7.50	7.64	7.00	7.29	23262040	172742064.00
2011/11/21	7.32	7.38	7.07	7.30	14705013	107798632.00
2011/11/22	7.23	7.66	7.13	7.38	22097688	166355296.00
2011/11/23	7.30	7.32	7.00	7.02	17219595	125106776.00
2011/11/24	6.99	7.05	6.70	6.93	16803428	117495136.00
