600718 东软集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.43	8.43	8.22	8.29	2721862	23310772.00
2011/10/11	8.47	8.54	8.14	8.26	3930433	33870652.00
2011/10/12	8.22	8.57	8.14	8.54	6756246	58736564.00
2011/10/13	8.52	8.71	8.46	8.69	9500452	84233616.00
2011/10/14	8.63	8.70	8.50	8.58	4672024	41282488.00
2011/10/17	8.63	8.93	8.58	8.71	6136608	55243016.00
2011/10/18	8.68	8.90	8.45	8.46	7102203	63670780.00
2011/10/19	8.48	8.58	8.32	8.39	3395417	29424660.00
2011/10/20	8.34	8.34	8.08	8.11	4520618	38077776.00
2011/10/21	8.13	8.19	8.03	8.10	2771451	23177712.00
2011/10/24	8.14	8.22	7.92	8.21	4481089	37505100.00
2011/10/25	8.15	8.64	8.14	8.53	10737079	93482256.00
2011/10/26	8.48	8.83	8.44	8.64	12739739	113353328.00
2011/10/27	8.68	8.87	8.58	8.64	9335764	83600408.00
2011/10/28	8.78	8.88	8.66	8.82	10080659	90999672.00
2011/10/31	8.78	8.85	8.68	8.84	7213623	65190192.00
2011/11/01	8.74	9.07	8.71	8.99	16157701	148299648.00
2011/11/02	8.89	9.89	8.79	9.78	40848457	393078656.00
2011/11/03	9.91	10.63	9.91	10.20	55231399	583774848.00
2011/11/04	10.34	10.39	9.82	9.99	26288308	270840128.00
2011/11/07	10.00	10.05	9.75	10.00	14118909	143910416.00
2011/11/08	9.99	10.07	9.78	9.94	13581354	138171280.00
2011/11/09	9.96	10.92	9.83	10.69	36220395	384337920.00
2011/11/10	10.54	10.83	10.24	10.26	27606342	298788000.00
2011/11/11	10.32	10.56	10.11	10.20	14854563	156490224.00
2011/11/14	10.34	10.60	10.26	10.33	14929224	159277440.00
2011/11/15	10.35	10.58	10.24	10.48	14346573	153382064.00
2011/11/16	10.47	10.64	9.86	9.93	21642473	226842048.00
2011/11/17	9.91	10.27	9.85	9.94	13986829	143673456.00
2011/11/18	9.84	9.88	9.24	9.54	18833897	185138736.00
2011/11/21	9.46	9.76	9.39	9.66	10027596	99192864.00
2011/11/22	9.52	9.81	9.45	9.70	8444507	83912160.00
2011/11/23	9.69	9.87	9.62	9.62	6196171	61922556.00
2011/11/24	9.50	9.84	9.44	9.83	8213779	81829352.00
2011/11/25	9.84	9.96	9.67	9.71	8680419	87564976.00
2011/11/28	9.70	9.85	9.52	9.78	8550857	85094000.00
2011/11/29	9.89	10.04	9.80	10.00	9841300	100109464.00
2011/11/30	10.00	10.00	9.25	9.45	10988998	108458408.00
2011/12/01	9.76	9.89	9.63	9.64	6782989	67944808.00
