600720 祁连山 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.85	7.89	7.75	7.77	3032497	35742560.00
2011/10/11	7.99	8.09	7.76	7.86	5182493	62280532.00
2011/10/12	7.85	8.20	7.73	8.17	8715647	106697960.00
2011/10/13	8.16	8.44	8.11	8.38	11920493	151221776.00
2011/10/14	8.36	8.36	8.20	8.33	5823305	73297840.00
2011/10/17	8.38	8.53	8.29	8.40	7940812	101924920.00
2011/10/18	8.30	8.31	8.00	8.04	7231561	89330144.00
2011/10/19	8.04	8.11	7.91	7.94	4346856	52655436.00
2011/10/20	7.88	7.88	7.66	7.75	4989254	58242268.00
2011/10/21	7.75	7.79	7.64	7.67	3375100	39251736.00
2011/10/24	7.68	7.92	7.56	7.85	5094706	59661564.00
2011/10/25	7.85	8.08	7.76	8.01	8350280	100204552.00
2011/10/26	7.96	8.41	7.92	8.23	17019271	213005232.00
2011/10/28	8.34	8.46	8.23	8.33	11814421	149596096.00
2011/10/31	8.29	8.33	8.17	8.24	6845248	85796448.00
2011/11/01	8.21	8.28	8.12	8.23	7045382	87723792.00
2011/11/02	8.09	8.24	7.95	8.24	8786849	107781616.00
2011/11/03	8.27	8.46	8.27	8.37	13977896	177960928.00
2011/11/04	8.41	8.44	8.25	8.38	9322069	118365752.00
2011/11/07	8.31	8.41	8.26	8.27	5518694	69806224.00
2011/11/08	8.26	8.30	8.04	8.11	8502341	105442720.00
2011/11/09	8.12	8.19	8.01	8.18	7773047	95557824.00
2011/11/10	8.06	8.20	7.96	8.13	9583486	117411296.00
2011/11/11	8.17	8.20	8.03	8.07	9244429	114255904.00
2011/11/14	8.11	8.21	8.02	8.20	9876726	121913056.00
2011/11/15	8.16	8.30	8.15	8.23	8097559	101165528.00
2011/11/16	8.24	8.29	7.94	7.99	7584519	92923968.00
2011/11/17	7.97	8.02	7.82	7.88	6132453	73308552.00
2011/11/18	7.84	7.84	7.61	7.64	5907129	68439440.00
2011/11/21	7.58	7.70	7.49	7.64	4650207	53079276.00
2011/11/22	7.59	7.61	7.46	7.54	4781591	54117968.00
2011/11/23	7.54	7.60	7.38	7.39	4885752	54743652.00
2011/11/24	7.30	7.35	7.19	7.28	5602313	60900496.00
2011/11/25	7.26	7.38	7.24	7.31	3878373	42416936.00
2011/11/28	7.38	7.40	7.22	7.26	4293950	46823320.00
2011/11/29	7.31	7.40	7.25	7.39	4700240	51602628.00
2011/11/30	7.39	7.39	6.90	6.95	6833362	72454936.00
2011/12/01	7.18	7.25	7.09	7.10	6621659	70857328.00
