600736 苏州高新 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	4.83	4.88	4.76	4.79	4730138	23561108.00
2011/10/11	4.90	4.96	4.74	4.81	6113899	30590464.00
2011/10/12	4.78	5.02	4.75	4.99	12282999	62650000.00
2011/10/13	5.02	5.12	4.97	5.04	12611369	65803928.00
2011/10/14	5.08	5.32	5.08	5.14	23536874	125917208.00
2011/10/17	5.29	5.52	5.26	5.33	34862644	193196416.00
2011/10/18	5.16	5.25	5.06	5.07	20333014	108304752.00
2011/10/19	5.10	5.13	4.96	5.03	11052921	57469172.00
2011/10/20	4.99	5.03	4.85	4.89	9170475	46466736.00
2011/10/21	4.89	5.04	4.86	4.95	7844607	40123172.00
2011/10/24	4.95	5.08	4.82	5.04	11375541	58366320.00
2011/10/25	5.00	5.28	4.95	5.19	18477230	98143896.00
2011/10/26	5.15	5.39	5.12	5.26	25642175	139401696.00
2011/10/27	5.25	5.29	5.16	5.21	15577993	83721096.00
2011/10/28	5.26	5.42	5.24	5.37	27287423	150094784.00
2011/10/31	5.35	5.80	5.28	5.52	42587928	244004352.00
2011/11/01	5.48	5.61	5.40	5.47	23472321	132637368.00
2011/11/02	5.35	5.55	5.29	5.54	20577272	115074960.00
2011/11/03	5.60	5.79	5.52	5.59	40514835	235570752.00
2011/11/04	5.65	6.04	5.52	5.88	70943158	424523712.00
2011/11/07	5.74	5.81	5.62	5.64	36109194	211982336.00
2011/11/08	5.62	5.67	5.47	5.50	19434863	111106128.00
2011/11/09	5.53	5.62	5.41	5.60	17748581	100749192.00
2011/11/10	5.54	5.63	5.44	5.47	16766627	95256056.00
2011/11/11	5.51	5.72	5.45	5.54	23352146	134659184.00
2011/11/14	5.60	5.71	5.58	5.64	18125334	105231856.00
2011/11/15	5.65	5.67	5.58	5.65	13810022	79883256.00
2011/11/16	5.65	5.70	5.46	5.56	25655075	147279104.00
2011/11/17	5.53	5.77	5.47	5.64	34645063	201658720.00
