600739 辽宁成大 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	14.98	14.98	14.62	14.78	5929842	87623016.00
2011/10/11	15.40	15.48	14.73	15.02	13364459	202173392.00
2011/10/12	14.89	15.91	14.80	15.84	26674496	414988640.00
2011/10/13	15.71	15.92	15.55	15.65	17756470	279197216.00
2011/10/14	15.57	15.81	15.49	15.65	10088772	157798448.00
2011/10/17	15.70	15.87	15.47	15.57	15144539	237357424.00
2011/10/18	15.41	15.50	14.95	14.97	11579498	176160112.00
2011/10/19	15.09	15.23	14.94	14.97	6169908	93028744.00
2011/10/20	15.00	15.02	14.32	14.45	16629177	241522688.00
2011/10/21	14.46	14.58	14.19	14.20	6730055	96716448.00
2011/10/24	14.30	14.80	14.14	14.67	17955737	258959200.00
2011/10/25	14.66	15.08	14.60	14.99	18456011	274494208.00
2011/10/26	14.86	15.52	14.80	15.20	22181722	338623776.00
2011/10/27	15.40	15.59	15.20	15.32	20909469	321620704.00
2011/10/28	15.56	15.73	15.45	15.68	22927921	358030464.00
2011/10/31	15.66	15.81	15.45	15.63	17587584	274631808.00
2011/11/01	15.43	15.74	15.41	15.64	18301141	285273824.00
2011/11/02	15.35	16.05	15.27	16.02	21883434	341469568.00
2011/11/03	16.06	16.42	16.00	16.02	32363326	524043200.00
2011/11/04	16.20	16.29	16.00	16.24	17968370	290396192.00
2011/11/07	16.15	16.29	15.98	16.09	11499717	185262096.00
2011/11/08	16.09	16.32	15.90	15.95	14136224	227878896.00
2011/11/09	16.06	16.24	15.80	16.13	12441975	199466320.00
2011/11/10	15.91	16.00	15.66	15.68	16075700	254452384.00
2011/11/11	15.78	15.86	15.54	15.56	8858729	139171616.00
2011/11/14	15.75	16.03	15.69	16.01	14951443	237382688.00
2011/11/15	15.96	16.03	15.85	15.97	10521785	167745232.00
2011/11/16	16.02	16.05	15.38	15.40	13878785	217442656.00
2011/11/17	15.47	15.54	15.19	15.26	12324030	189436992.00
2011/11/18	15.10	15.34	14.89	15.00	10340944	155955552.00
2011/11/22	14.92	15.19	14.72	15.13	7657358	114719128.00
2011/11/23	15.19	15.20	14.41	14.53	20663005	302929536.00
2011/11/24	14.38	14.60	14.21	14.41	11260385	161942944.00
2011/11/25	14.37	14.51	14.16	14.26	11013230	157706432.00
2011/11/28	14.30	14.50	14.08	14.22	9157197	130413536.00
2011/11/29	14.37	14.46	14.25	14.43	11150998	160152976.00
2011/11/30	14.40	14.44	13.02	13.20	26833978	365263040.00
2011/12/01	13.78	13.96	13.39	13.45	24942122	341787840.00
2011/12/02	13.40	13.44	13.01	13.10	14726140	193847552.00
2011/12/05	13.14	13.16	12.75	12.80	11058859	142648288.00
2011/12/06	12.81	13.02	12.72	13.01	7307464	94195264.00
2011/12/07	13.02	13.40	12.94	13.18	9808909	129277608.00
2011/12/08	13.25	13.40	12.99	13.19	10119212	133528648.00
2011/12/09	13.05	13.22	12.96	13.00	7283292	94971128.00
2011/12/12	13.04	13.37	12.96	13.17	10155257	133957576.00
2011/12/13	13.03	13.22	12.83	13.12	15553074	202893312.00
2011/12/14	13.03	13.36	13.02	13.08	13888637	183293072.00
