600740 山西焦化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	12.06	12.09	11.58	11.71	6794917	80379184.00
2011/10/11	12.00	12.09	10.68	10.98	15996743	180538320.00
2011/10/12	10.75	11.24	10.40	11.23	16272850	178195136.00
2011/10/13	11.18	11.77	10.93	11.46	16220688	184865280.00
2011/10/14	11.42	12.34	11.35	11.85	22981371	274650752.00
2011/10/17	11.90	11.90	11.53	11.73	13312602	155564848.00
2011/10/18	11.50	11.59	11.00	11.02	11599060	130897248.00
2011/10/19	11.05	11.20	10.88	11.00	7026596	77554736.00
2011/10/20	10.96	10.96	10.49	10.65	8127740	86662736.00
2011/10/21	10.61	10.79	10.43	10.44	4918173	51986376.00
2011/10/24	10.58	10.64	10.15	10.60	7753327	81244408.00
2011/10/25	10.66	11.20	10.58	11.07	14281630	156586032.00
2011/10/26	10.88	11.20	10.80	10.98	13418748	147800176.00
2011/10/27	11.00	11.09	10.83	10.88	8595808	94262824.00
2011/10/28	11.15	11.48	11.02	11.27	17161630	193139408.00
2011/10/31	11.20	11.20	10.91	11.07	15401856	169638528.00
2011/11/01	10.88	11.14	10.80	10.94	12176978	133410600.00
2011/11/02	10.65	10.95	10.50	10.92	13685071	146280576.00
2011/11/03	10.95	11.35	10.87	11.13	21853063	243405984.00
2011/11/04	11.21	11.46	11.11	11.28	18222016	205804560.00
2011/11/07	11.30	12.12	11.08	11.82	35349097	411936512.00
2011/11/08	11.86	13.00	11.76	13.00	79968693	1015595840.00
2011/11/09	12.88	12.96	12.52	12.89	47940776	611314112.00
2011/11/10	12.68	13.34	12.51	13.17	53256932	690710976.00
2011/11/11	13.08	13.80	13.00	13.08	51776246	694774912.00
2011/11/14	13.18	13.50	12.86	13.24	35719354	470385312.00
2011/11/15	13.15	13.42	13.00	13.22	29209178	386679968.00
2011/11/16	13.16	13.28	12.67	12.89	25409212	328345344.00
2011/11/17	12.88	12.98	12.57	12.65	17978062	228994976.00
2011/11/18	12.50	12.56	12.10	12.21	17182237	210899136.00
2011/11/21	12.46	12.98	12.45	12.77	29758078	378589568.00
2011/11/22	12.46	12.64	12.21	12.60	15692025	194899488.00
2011/11/23	12.60	12.79	12.30	12.36	10409899	130533520.00
2011/11/24	12.15	12.41	11.91	12.20	12220780	148339936.00
2011/11/25	12.25	12.41	12.00	12.10	9482147	115761128.00
2011/11/28	12.06	12.29	11.91	12.14	8500504	102960160.00
2011/11/29	12.39	12.99	12.28	12.95	34623823	442287744.00
2011/11/30	12.81	12.85	12.03	12.23	24731659	307447040.00
2011/12/01	12.66	12.85	12.46	12.50	23524326	298225376.00
