600741 华域汽车 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.16	9.24	8.96	8.99	3761839	38386176.00
2011/10/11	9.26	9.31	8.26	8.35	20930737	204431456.00
2011/10/12	8.31	8.77	8.25	8.72	10584227	103140544.00
2011/10/13	8.76	8.89	8.66	8.77	7976825	78910640.00
2011/10/14	8.74	8.85	8.69	8.78	4326814	42862676.00
2011/10/17	8.82	8.95	8.76	8.91	5054825	50544544.00
2011/10/18	8.84	8.85	8.60	8.63	3699716	36589720.00
2011/10/19	8.66	8.75	8.36	8.42	6391435	61437448.00
2011/10/20	8.31	8.57	8.19	8.43	6628023	62998448.00
2011/10/21	8.44	8.55	8.35	8.46	5920064	56723932.00
2011/10/24	8.46	8.79	8.38	8.69	4360378	42501308.00
2011/10/25	8.64	8.89	8.61	8.80	4926945	48839040.00
2011/10/26	8.75	9.26	8.75	9.02	11487605	117374544.00
2011/10/27	9.15	9.15	9.01	9.03	3824672	38994288.00
2011/10/28	9.12	9.30	9.02	9.11	6739003	69268224.00
2011/10/31	9.09	9.19	9.05	9.07	3716825	38090064.00
2011/11/01	9.01	9.23	8.96	9.09	8499302	87070984.00
2011/11/02	8.95	9.24	8.86	9.23	9368983	95418984.00
2011/11/03	9.28	9.45	9.20	9.27	9465274	99227416.00
2011/11/04	9.31	9.38	9.19	9.26	5452513	56878660.00
2011/11/07	9.30	9.30	8.86	8.93	14182386	143491056.00
2011/11/08	8.96	9.00	8.83	8.88	6203734	62278968.00
2011/11/09	8.92	9.01	8.79	8.94	5427624	54397036.00
2011/11/10	8.86	8.89	8.74	8.75	5649076	56159156.00
2011/11/11	8.81	8.86	8.72	8.72	3674893	36465784.00
2011/11/14	8.82	8.94	8.79	8.91	6163725	61745896.00
2011/11/15	8.89	8.96	8.74	8.77	8230472	81879760.00
2011/11/16	8.77	8.78	8.42	8.54	9380180	91198128.00
2011/11/17	8.55	8.58	8.43	8.48	6698806	64569516.00
2011/11/18	8.44	8.56	8.41	8.55	8975836	86477320.00
2011/11/21	8.56	8.70	8.49	8.62	6192908	60378140.00
2011/11/22	8.56	8.61	8.34	8.44	6377647	61176800.00
2011/11/23	8.46	8.49	8.12	8.24	11016052	103221296.00
2011/11/24	8.17	8.17	8.01	8.13	5343498	49273696.00
2011/11/25	8.08	8.17	8.04	8.06	2512101	23224220.00
2011/11/28	8.12	8.17	7.96	8.02	2611671	23996744.00
2011/11/29	8.10	8.10	7.90	8.06	10691898	97780976.00
2011/11/30	8.01	8.03	7.47	7.80	11693131	103857976.00
2011/12/01	7.94	8.21	7.90	8.15	21086313	194102336.00
2011/12/02	8.16	8.16	7.91	8.03	4654221	42560784.00
2011/12/05	7.92	8.02	7.68	7.79	6348739	57030888.00
2011/12/06	7.78	7.85	7.61	7.78	3273969	29120168.00
2011/12/07	7.78	8.16	7.76	7.98	6047861	55199112.00
2011/12/08	7.97	7.99	7.63	7.91	7308369	65466420.00
2011/12/09	7.80	7.95	7.70	7.72	5628817	50139712.00
2011/12/12	7.69	7.76	7.59	7.66	2062064	18151404.00
2011/12/13	7.63	7.64	7.18	7.21	8414866	71738544.00
2011/12/14	7.21	7.38	7.04	7.16	6491097	54203852.00
2011/12/15	7.14	7.18	6.99	7.11	4606289	37978912.00
2011/12/16	7.12	7.50	7.08	7.46	7867722	66323608.00
2011/12/19	7.37	7.58	7.30	7.52	5563325	47774248.00
2011/12/20	7.53	7.86	7.52	7.66	6889508	61138456.00
2011/12/21	7.76	7.91	7.66	7.70	7674847	68676848.00
2011/12/22	7.65	7.87	7.52	7.84	6806091	60281448.00
2011/12/23	7.81	8.05	7.79	7.94	5530605	50408060.00
2011/12/26	7.86	8.06	7.80	7.84	6582410	59686592.00
2011/12/27	7.91	7.91	7.61	7.64	5522303	49192636.00
2011/12/28	7.64	7.73	7.46	7.64	2431653	21320900.00
2011/12/29	7.56	8.00	7.56	7.95	5097566	46242020.00
2011/12/30	7.95	8.23	7.95	8.12	13094308	121831392.00
2012/01/04	8.21	8.30	8.00	8.10	10874518	101310464.00
2012/01/05	8.06	8.61	8.01	8.23	17099530	162266880.00
2012/01/06	8.23	8.40	8.01	8.05	11610827	107704840.00
2012/01/09	8.10	8.46	7.92	8.33	17190098	161822240.00
2012/01/10	8.33	8.76	8.31	8.70	18849987	183790720.00
2012/01/11	8.61	8.85	8.58	8.62	9515793	93661448.00
2012/01/12	8.66	8.95	8.60	8.82	10007415	98949520.00
2012/01/13	8.82	8.82	8.43	8.53	7114841	69432976.00
