600743 华远地产 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	2.37	2.37	2.29	2.31	1019615	3760012.00
2011/10/11	2.36	2.42	2.27	2.30	1365936	5016042.00
2011/10/12	2.29	2.40	2.29	2.39	2488001	9311679.00
2011/10/13	2.38	2.42	2.36	2.41	2284775	8653692.00
2011/10/14	2.40	2.44	2.37	2.43	1830343	6943862.00
2011/10/17	2.42	2.45	2.39	2.40	2215286	8455018.00
2011/10/18	2.38	2.39	2.31	2.32	1944526	7217492.00
2011/10/19	2.32	2.35	2.30	2.31	1601119	5884621.00
2011/10/20	2.31	2.33	2.19	2.22	1963992	6992814.00
2011/10/21	2.24	2.25	2.20	2.20	1023200	3606057.00
2011/10/24	2.20	2.26	2.19	2.25	1415210	5006625.00
2011/10/25	2.25	2.32	2.23	2.31	2184113	7894117.00
2011/10/26	2.29	2.37	2.28	2.33	2663581	9864123.00
2011/10/27	2.34	2.39	2.33	2.37	3213162	11975280.00
2011/10/28	2.40	2.63	2.38	2.63	26024026	105870136.00
2011/10/31	2.57	2.62	2.52	2.61	8682497	35082340.00
2011/11/01	2.56	2.66	2.52	2.54	8997733	36297480.00
2011/11/02	2.48	2.56	2.46	2.54	9629621	38013524.00
2011/11/03	2.54	2.58	2.50	2.51	9626281	38436940.00
2011/11/04	2.52	2.56	2.49	2.54	4817746	19163034.00
2011/11/07	2.54	2.55	2.51	2.51	3255805	12925224.00
2011/11/08	2.51	2.53	2.45	2.47	4064925	15821629.00
2011/11/09	2.47	2.51	2.43	2.51	2978526	11558142.00
2011/11/10	2.47	2.47	2.44	2.44	2810609	10843664.00
2011/11/11	2.44	2.47	2.42	2.45	2400395	9238215.00
2011/11/14	2.47	2.51	2.45	2.50	3976983	15543357.00
2011/11/15	2.50	2.52	2.49	2.52	3109737	12259522.00
2011/11/16	2.53	2.53	2.41	2.42	3349663	12957330.00
2011/11/17	2.43	2.44	2.39	2.44	2806068	10684932.00
2011/11/18	2.42	2.42	2.34	2.38	2694606	10094470.00
2011/11/21	2.38	2.38	2.33	2.37	1633514	6077758.00
2011/11/22	2.33	2.35	2.30	2.33	2008685	7406243.00
2011/11/23	2.33	2.36	2.31	2.31	1441306	5327329.00
2011/11/24	2.29	2.36	2.27	2.34	1585268	5808607.00
2011/11/25	2.33	2.33	2.29	2.29	1096645	4005378.00
2011/11/28	2.30	2.31	2.28	2.29	823656	2987431.00
2011/11/29	2.31	2.33	2.29	2.33	1021891	3739728.00
2011/11/30	2.31	2.32	2.17	2.19	2512913	8936666.00
2011/12/01	2.28	2.33	2.26	2.26	3285605	11932639.00
2011/12/02	2.26	2.26	2.18	2.22	1759271	6184209.00
2011/12/05	2.22	2.22	2.17	2.19	1268829	4423611.00
2011/12/06	2.17	2.22	2.17	2.21	1430340	5008328.00
2011/12/07	2.21	2.24	2.19	2.22	1391883	4906999.00
2011/12/08	2.22	2.24	2.18	2.22	1351135	4744732.00
2011/12/09	2.21	2.29	2.19	2.27	4290001	15306569.00
2011/12/12	2.26	2.38	2.22	2.31	4198297	15098109.00
2011/12/13	2.27	2.29	2.19	2.24	2476805	8799784.00
2011/12/14	2.22	2.33	2.17	2.22	2058307	7279179.00
2011/12/15	2.20	2.33	2.19	2.24	10599735	38070664.00
2011/12/16	2.22	2.24	2.06	2.17	7186254	24352792.00
2011/12/19	2.13	2.13	2.07	2.11	2502212	8390597.00
2011/12/20	2.10	2.16	2.08	2.13	2430470	8267704.00
2011/12/21	2.13	2.14	2.02	2.03	2121678	7080212.00
2011/12/22	2.02	2.02	1.89	1.96	2497831	7858069.00
2011/12/23	1.94	2.03	1.94	2.03	2690430	8643031.00
2011/12/26	2.01	2.11	1.99	2.08	3056318	10117811.00
2011/12/27	2.08	2.26	2.03	2.10	8228702	28240878.00
2011/12/28	2.10	2.10	2.02	2.08	1879352	6170735.00
2011/12/29	2.06	2.10	2.03	2.06	913499	3025131.00
2011/12/30	2.06	2.17	2.06	2.11	5631085	19090188.00
