600745 中茵股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.68	9.13	8.68	9.08	8858160	79262400.00
2011/10/11	9.16	9.46	8.98	9.19	12978863	119945752.00
2011/10/12	9.19	9.33	9.06	9.28	8162431	75580944.00
2011/10/13	9.28	9.38	8.96	8.99	8910356	81239608.00
2011/10/14	8.91	9.00	8.20	8.37	8617108	73633232.00
2011/10/17	8.30	8.93	8.22	8.80	8966771	77628264.00
2011/10/18	8.65	8.83	8.52	8.69	6634440	57875172.00
2011/10/19	8.70	9.56	8.46	9.56	17149350	158195264.00
2011/10/20	9.65	9.65	9.29	9.41	11227726	105712920.00
2011/10/21	9.30	9.54	9.23	9.25	5955777	55781472.00
2011/10/24	9.29	9.76	9.27	9.49	16707473	158585392.00
2011/10/25	9.29	9.80	9.00	9.79	19462887	183920592.00
2011/10/26	9.53	9.70	9.35	9.40	14560365	138715168.00
2011/10/27	9.25	9.81	9.22	9.63	11139026	105961392.00
2011/10/28	9.75	9.98	9.43	9.63	11037779	106557776.00
2011/10/31	9.62	9.65	9.25	9.63	6922791	65310016.00
2011/11/01	9.42	9.60	9.29	9.39	5064823	47821352.00
2011/11/02	9.25	9.51	9.05	9.42	6236693	57831880.00
2011/11/03	9.42	10.15	9.35	9.77	14217477	139123968.00
2011/11/04	9.71	9.89	9.50	9.60	7866643	76164352.00
2011/11/07	9.51	9.70	9.36	9.66	5056558	48214760.00
2011/11/08	9.68	10.14	9.60	9.81	9964267	98447088.00
2011/11/09	9.80	9.97	9.52	9.93	5912900	57719768.00
2011/11/10	9.85	9.87	9.54	9.55	5209601	50455768.00
2011/11/11	9.46	9.78	9.40	9.60	2993146	28726866.00
2011/11/14	9.63	9.90	9.57	9.68	4219281	40787084.00
2011/11/15	9.60	9.62	9.38	9.39	5844960	55246576.00
2011/11/16	9.40	9.52	9.22	9.41	4764450	44838376.00
2011/11/17	9.46	9.50	9.02	9.12	3992769	36677480.00
