600750 江中药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	22.38	22.80	22.30	22.52	656533	15397032.00
2011/10/11	23.40	23.57	22.28	22.70	772092	18194708.00
2011/10/12	22.50	23.58	22.45	23.49	1032327	24874764.00
2011/10/13	23.22	24.60	23.22	23.97	1365300	34210100.00
2011/10/14	24.04	24.49	23.80	24.00	1077557	26982568.00
2011/10/17	24.25	24.65	23.94	24.58	1353355	34299116.00
2011/10/18	24.49	24.76	23.89	23.90	1052024	26597458.00
2011/10/19	23.70	24.21	23.70	24.09	1218836	30313010.00
2011/10/20	23.70	24.55	23.00	24.24	855868	21059108.00
2011/10/21	24.25	24.25	23.56	23.97	606121	15060039.00
2011/10/24	23.63	24.32	23.00	24.30	1003248	24510162.00
2011/10/25	24.30	25.16	24.12	25.03	1224607	31431148.00
2011/10/26	24.73	26.17	24.51	25.60	1964273	52286844.00
2011/10/27	25.51	26.11	25.34	25.50	904559	24109968.00
2011/10/28	25.66	25.96	25.10	25.89	1738450	45989072.00
2011/10/31	25.87	26.05	25.61	25.96	649372	17380144.00
2011/11/01	25.80	26.49	25.60	26.07	1058733	28644084.00
2011/11/02	25.68	26.90	25.50	26.71	2597456	70095000.00
2011/11/03	26.70	27.94	26.70	27.29	3083309	87750144.00
2011/11/04	27.29	27.80	27.00	27.21	2139490	60368600.00
2011/11/07	27.11	27.80	26.60	27.30	1643891	46554176.00
2011/11/08	27.10	27.40	26.78	27.08	1450903	40634320.00
2011/11/09	26.80	27.35	26.80	27.29	1140262	31970412.00
2011/11/10	27.09	27.80	26.90	27.58	2073933	59060216.00
2011/11/11	27.55	27.69	26.92	27.20	4033879	113315776.00
2011/11/14	27.25	27.98	27.10	27.85	1467298	41839572.00
2011/11/15	27.90	27.90	27.52	27.67	774764	22173160.00
2011/11/16	27.67	27.68	26.81	26.93	1543001	43245320.00
2011/11/17	26.94	27.98	26.87	27.51	1122595	32006384.00
2011/11/18	27.48	27.56	26.30	26.66	2159048	60283416.00
2011/11/21	26.30	27.26	26.20	26.55	834579	23001704.00
2011/11/22	26.45	27.70	26.45	27.40	2647031	74399360.00
2011/11/23	27.54	27.95	27.39	27.89	2302761	66020192.00
2011/11/24	27.53	28.45	27.40	28.30	4526901	132021008.00
2011/11/25	28.28	28.36	27.81	28.31	1444740	41948908.00
2011/11/28	28.12	28.70	27.70	28.51	2695913	78762088.00
2011/11/29	28.87	29.58	28.42	29.34	2998658	89678200.00
2011/11/30	29.36	29.41	28.43	29.33	2898331	86444816.00
2011/12/01	29.76	29.78	28.89	29.40	3030736	92029528.00
2011/12/02	29.10	29.10	28.35	28.59	1428269	42236032.00
2011/12/05	28.34	28.72	27.95	27.98	2375277	69498144.00
2011/12/06	27.98	27.98	26.61	26.92	2500830	70271888.00
2011/12/07	26.91	27.98	26.91	27.79	1013220	28943372.00
2011/12/08	27.50	27.98	27.12	27.90	531821	15206685.00
2011/12/09	27.80	28.20	27.37	27.78	578477	16581676.00
2011/12/12	27.20	28.13	27.20	27.60	406409	11619805.00
2011/12/13	27.59	27.59	26.50	26.57	1204707	33753368.00
2011/12/14	26.26	26.88	26.15	26.18	495316	13531346.00
2011/12/15	26.40	26.40	25.60	26.07	1258201	33858584.00
2011/12/16	26.10	27.18	26.10	27.06	959797	26571650.00
2011/12/19	27.06	28.89	26.80	28.48	1417412	40840848.00
2011/12/20	28.50	28.70	27.98	28.10	456620	13372028.00
2011/12/21	28.39	28.58	27.82	28.08	722793	20953196.00
2011/12/22	28.05	28.60	26.67	27.94	1203555	33964808.00
2011/12/23	27.86	28.28	27.41	28.17	330361	9547487.00
2011/12/26	27.79	28.13	27.48	27.60	410621	11776877.00
2011/12/27	27.40	27.60	26.35	26.78	1077236	29828046.00
