600758 红阳能源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	10.62	10.72	10.49	10.62	2057374	22001064.00
2011/10/11	10.85	10.91	10.39	10.88	6923409	74305928.00
2011/10/12	10.67	11.38	10.64	11.23	9855203	109030696.00
2011/10/13	11.01	11.28	10.84	11.02	8491714	93934496.00
2011/10/14	11.00	11.00	10.68	10.75	3179968	34434324.00
2011/10/17	10.75	10.86	10.52	10.53	3068846	32996664.00
2011/10/18	10.54	10.54	9.96	9.99	3543071	36419944.00
2011/10/19	10.07	10.08	9.69	9.75	2876517	28513606.00
2011/10/20	9.74	9.88	9.47	9.56	2126208	20660444.00
2011/10/21	9.45	9.60	9.12	9.14	1938175	18224084.00
2011/10/24	9.15	9.28	8.89	9.25	2532844	23270384.00
2011/10/25	9.29	9.52	9.01	9.42	2882722	27107462.00
2011/10/26	9.24	9.61	9.19	9.55	4157524	39680096.00
2011/10/27	9.51	9.94	9.47	9.88	6545561	64535116.00
2011/10/28	9.92	10.87	9.85	10.79	16325347	173391104.00
2011/10/31	10.64	11.24	10.46	10.62	13660013	147094512.00
2011/11/01	10.54	10.89	10.32	10.57	10546472	112034624.00
2011/11/02	10.30	10.51	10.00	10.49	7941794	82064680.00
2011/11/03	10.49	10.57	10.37	10.48	6481981	68267960.00
2011/11/04	10.44	10.83	10.44	10.79	7917562	84839120.00
2011/11/07	10.79	11.14	10.64	10.92	8899092	97802480.00
2011/11/08	10.89	10.93	10.66	10.72	4649984	50449820.00
2011/11/09	10.70	10.82	10.44	10.68	3338463	35666380.00
2011/11/10	10.54	10.59	10.32	10.44	3144849	32957982.00
2011/11/11	10.44	10.50	10.37	10.41	1602676	16828860.00
2011/11/14	10.49	10.70	10.44	10.66	2572191	27452836.00
2011/11/15	10.66	10.92	10.54	10.84	4196347	45536548.00
2011/11/16	10.82	10.82	10.38	10.41	2834393	30131736.00
2011/11/17	10.34	10.58	10.34	10.41	1619811	17003748.00
2011/11/18	10.35	10.36	9.90	9.94	2482013	25219014.00
2011/11/21	9.94	10.11	9.89	10.00	1295705	13025472.00
2011/11/22	9.95	10.07	9.80	10.04	1514003	15163016.00
2011/11/23	10.03	10.08	9.72	9.77	1933706	19246964.00
2011/11/24	9.62	9.72	9.47	9.59	2065238	19915468.00
2011/11/25	9.58	9.82	9.52	9.70	2125764	20761096.00
2011/11/28	9.70	9.89	9.62	9.88	1999700	19700462.00
2011/11/29	9.99	10.04	9.85	9.91	1925114	19204516.00
2011/11/30	9.91	10.01	9.24	9.53	2376264	22928040.00
2011/12/01	9.69	9.85	9.60	9.64	2470658	24233332.00
2011/12/02	9.65	9.69	9.13	9.40	2545266	23805090.00
2011/12/05	9.38	9.79	9.11	9.72	3134929	30026832.00
2011/12/06	9.62	9.96	9.45	9.93	2748382	27059064.00
2011/12/07	9.78	10.03	9.64	9.85	2493883	24741002.00
2011/12/08	9.82	10.04	9.45	9.78	1920927	18777024.00
2011/12/09	9.66	9.71	9.50	9.52	929153	8949451.00
2011/12/12	9.51	9.57	9.24	9.25	1056423	9946708.00
2011/12/13	9.15	9.25	8.60	8.61	1862631	16569798.00
2011/12/14	8.64	8.64	7.99	8.20	1930817	16229283.00
2011/12/15	8.15	8.15	7.70	7.70	1958813	15492959.00
2011/12/16	7.70	7.93	7.59	7.90	1260522	9830916.00
2011/12/19	7.91	7.91	7.59	7.79	1272420	9919875.00
2011/12/20	7.79	8.01	7.74	7.92	2118962	16812316.00
2011/12/21	8.44	8.55	7.63	7.67	2082187	16871164.00
2011/12/22	7.52	7.74	7.17	7.65	1565800	11794905.00
2011/12/23	7.72	7.80	7.55	7.71	1252322	9708683.00
2011/12/26	7.71	7.80	7.65	7.73	924599	7196681.00
2011/12/27	7.73	7.74	7.33	7.38	1156188	8690281.00
2011/12/28	7.33	7.41	7.04	7.27	1191601	8698072.00
2011/12/29	7.19	7.29	7.14	7.17	973301	7079538.00
2011/12/30	7.22	7.44	7.19	7.36	1401547	10322993.00
2012/01/04	7.36	7.47	7.02	7.03	1068046	7798908.00
2012/01/05	6.80	7.02	6.60	6.74	1234653	8488374.00
2012/01/06	6.74	6.84	6.62	6.77	733329	4979513.00
2012/01/09	6.77	7.14	6.74	7.14	1800071	12752140.00
2012/01/10	7.13	7.62	7.07	7.59	2841509	21209320.00
2012/01/11	7.54	7.84	7.49	7.73	4002748	31079848.00
2012/01/12	7.64	7.78	7.46	7.65	3299419	25381948.00
2012/01/13	7.62	7.70	7.29	7.32	2232674	16753369.00
2012/01/16	7.25	7.36	6.97	7.22	1764648	12791178.00
2012/01/17	7.22	7.73	7.10	7.63	2807396	21209408.00
2012/01/18	7.64	7.76	7.35	7.39	1762863	13414872.00
2012/01/19	7.35	7.54	7.28	7.40	1900731	14213103.00
2012/01/20	7.36	7.49	7.34	7.40	993992	7428681.00
2012/01/30	7.41	7.50	7.34	7.46	1069415	8021373.00
2012/01/31	7.49	7.50	7.33	7.45	1300731	9751421.00
2012/02/01	7.40	7.52	7.35	7.45	1115660	8379790.00
2012/02/02	7.44	7.71	7.41	7.64	2699129	20644632.00
2012/02/03	7.60	7.82	7.55	7.74	3117291	24202232.00
2012/02/06	7.71	7.93	7.71	7.82	3002001	23618160.00
2012/02/07	7.78	7.78	7.47	7.63	2387284	18249708.00
2012/02/08	7.57	7.96	7.57	7.93	3527664	27703060.00
