600760 中航黑豹 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/11/09	9.98	9.98	9.98	9.98	4779400	47698412.00
2011/11/10	9.51	9.90	9.38	9.63	41349031	396076576.00
2011/11/11	9.43	9.87	9.42	9.80	22174415	213636752.00
2011/11/14	9.80	10.23	9.72	10.09	31564511	314978176.00
2011/11/15	10.04	10.04	9.78	9.91	14499423	143415520.00
2011/11/16	9.86	9.91	9.73	9.87	11585950	113675944.00
2011/11/17	9.86	10.14	9.80	9.97	15518675	155567184.00
2011/11/18	9.88	9.89	9.75	9.80	8975231	87998144.00
2011/11/21	9.82	10.15	9.60	10.10	12759825	126617624.00
2011/11/22	10.05	10.25	9.96	10.15	19270986	194801696.00
2011/11/23	10.13	10.15	9.85	9.98	9458967	94070208.00
2011/11/24	9.85	10.23	9.72	9.92	11724419	117036792.00
2011/11/25	9.81	10.02	9.71	9.95	10456011	103107440.00
2011/11/28	9.93	10.15	9.80	10.09	10610517	105740336.00
2011/11/29	10.10	10.70	10.03	10.46	32240749	332871424.00
2011/11/30	10.20	10.34	9.82	9.93	16637100	167840192.00
2011/12/01	10.16	10.22	9.96	9.98	11826906	119214512.00
2011/12/02	9.89	9.89	9.02	9.31	16538591	155502128.00
2011/12/05	9.20	9.54	9.15	9.48	11120327	103932240.00
2011/12/06	9.39	9.51	9.29	9.34	9841271	92911240.00
2011/12/07	9.32	9.63	9.31	9.54	16473609	156276992.00
2011/12/08	9.43	9.66	9.19	9.25	10653080	99629272.00
2011/12/09	9.22	9.29	8.81	9.19	8559600	77504256.00
2011/12/12	9.11	9.34	9.10	9.20	8352134	77022720.00
2011/12/13	9.20	9.20	8.91	9.01	5152682	46424712.00
2011/12/14	9.02	9.10	8.90	8.90	14482139	130375672.00
2011/12/15	8.87	8.87	8.40	8.70	10986671	94044232.00
2011/12/16	8.66	9.40	8.53	9.26	13591010	120612688.00
2011/12/19	9.01	9.39	8.84	8.96	18494016	166169920.00
2011/12/20	8.90	8.96	8.42	8.47	10163492	88402128.00
2011/12/21	8.50	8.58	8.00	8.03	9775734	80633376.00
2011/12/22	7.90	8.20	7.67	8.12	12336884	97581048.00
2011/12/23	8.08	8.58	7.93	8.43	16496975	136902224.00
2011/12/26	8.38	8.55	8.25	8.33	18047173	151536704.00
2011/12/27	8.30	8.34	7.93	8.00	10322394	83953904.00
2011/12/28	7.91	8.10	7.84	8.02	4462112	35479804.00
2011/12/29	8.00	8.19	7.80	8.02	5019087	40269792.00
2011/12/30	8.10	8.27	8.02	8.21	16403993	133723280.00
2012/01/04	8.26	8.65	8.06	8.35	11611370	96225136.00
2012/01/05	8.30	8.47	7.91	8.02	19461168	160678704.00
2012/01/06	7.90	8.09	7.59	7.86	11492804	89350984.00
2012/01/09	7.80	8.05	7.72	8.02	13131213	103593200.00
2012/01/10	7.97	8.37	7.85	8.28	15229910	123509080.00
2012/01/11	8.21	8.46	8.11	8.34	14712447	121818000.00
2012/01/12	8.29	8.46	8.10	8.12	9862246	81312712.00
2012/01/13	8.06	8.10	7.31	7.31	12647005	97095232.00
2012/01/16	7.00	7.16	6.77	7.10	9800524	68999408.00
2012/01/17	7.09	7.78	7.00	7.66	9424111	69612744.00
2012/01/18	7.64	7.70	7.45	7.51	6980869	52931016.00
2012/01/19	7.52	7.65	7.44	7.56	5008594	37789452.00
2012/01/20	7.60	7.98	7.53	7.86	7200087	55817540.00
2012/01/30	7.78	8.07	7.62	7.85	9073444	71318688.00
2012/01/31	7.69	7.90	7.67	7.76	5669047	43963232.00
2012/02/01	7.76	8.00	7.69	7.81	19696254	154889504.00
2012/02/02	7.75	7.88	7.50	7.71	13607765	105034352.00
2012/02/03	7.68	7.76	7.51	7.72	9895911	75740752.00
2012/02/06	7.73	7.92	7.69	7.80	9088855	70885776.00
