600761 安徽合力 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.06	8.11	7.95	7.96	868847	10736561.00
2011/10/11	8.14	8.29	7.89	7.94	1923941	23899872.00
2011/10/12	7.90	8.23	7.80	8.20	1684767	21062800.00
2011/10/13	8.19	8.30	8.14	8.23	2211821	28012104.00
2011/10/14	8.16	8.23	8.06	8.14	906365	11347270.00
2011/10/17	8.14	8.35	8.14	8.34	2390085	30444400.00
2011/10/18	8.30	8.30	8.06	8.07	1172411	14710114.00
2011/10/19	8.12	8.12	7.87	7.92	1481141	18223256.00
2011/10/20	7.92	7.96	7.46	7.74	3127415	36880376.00
2011/10/21	7.63	7.69	7.46	7.48	1290765	15063185.00
2011/10/24	7.51	7.51	7.21	7.43	3305306	37667920.00
2011/10/25	7.43	7.67	7.29	7.58	2846085	33045554.00
2011/10/26	7.59	7.82	7.51	7.65	2700195	32026654.00
2011/10/27	7.63	7.80	7.60	7.63	1957498	23266892.00
2011/10/28	7.77	7.83	7.67	7.80	2747866	32920944.00
2011/10/31	7.84	7.85	7.63	7.75	2962064	35331856.00
2011/11/01	7.63	7.83	7.62	7.77	4553425	54562008.00
2011/11/02	7.63	7.89	7.48	7.86	4006409	47509152.00
2011/11/03	7.84	8.15	7.84	7.98	5179982	64118296.00
2011/11/04	7.99	8.04	7.89	7.98	3398231	41741640.00
2011/11/07	7.98	8.03	7.85	7.88	2535723	31078508.00
2011/11/08	7.85	7.90	7.72	7.73	2568940	31034148.00
2011/11/09	7.74	7.92	7.66	7.91	2502093	30155768.00
2011/11/10	7.87	7.98	7.77	7.90	5212533	63666052.00
2011/11/11	7.88	8.01	7.83	7.98	4668615	57048412.00
2011/11/14	8.05	8.26	8.03	8.23	7697072	97055248.00
2011/11/15	8.21	8.62	8.16	8.48	10393392	134028048.00
2011/11/16	8.45	8.74	8.17	8.28	10027459	129805624.00
2011/11/17	8.26	8.58	8.21	8.30	5533496	71007920.00
2011/11/18	8.26	8.26	7.94	8.01	3146277	39073144.00
2011/11/21	8.10	8.10	7.89	8.02	2337857	28666820.00
2011/11/22	7.91	8.01	7.86	7.94	1624510	19836840.00
2011/11/23	7.98	7.99	7.78	7.79	1983567	24086904.00
2011/11/24	7.66	7.73	7.49	7.55	3111990	36512524.00
2011/11/25	7.53	7.59	7.36	7.43	2167062	25063930.00
2011/11/28	7.42	7.55	7.37	7.44	2038365	23482616.00
2011/11/29	7.53	7.57	7.43	7.55	2498116	29024900.00
2011/11/30	7.55	7.56	7.02	7.12	3398446	38291788.00
2011/12/01	7.41	7.46	7.08	7.13	6829459	76870088.00
2011/12/02	7.08	7.08	6.78	6.94	3324786	35686476.00
2011/12/05	6.90	6.91	6.67	6.72	1482730	15639872.00
2011/12/06	6.62	6.75	6.51	6.64	1737493	18001028.00
2011/12/07	6.65	6.72	6.59	6.64	1151415	11962083.00
2011/12/08	6.64	6.69	6.48	6.64	1144806	11794358.00
2011/12/09	6.62	6.68	6.53	6.55	927946	9557208.00
2011/12/12	6.56	6.64	6.44	6.50	1811803	18472120.00
2011/12/13	6.49	6.49	6.31	6.33	1712954	17128028.00
2011/12/14	6.33	6.39	6.28	6.29	1283245	12730271.00
2011/12/15	6.29	6.31	6.04	6.09	1499116	14512315.00
2011/12/16	6.10	6.30	6.02	6.28	1679862	16207589.00
2011/12/19	6.28	6.29	6.04	6.22	1607057	15524372.00
2011/12/20	6.16	6.31	6.13	6.21	1848668	18088184.00
2011/12/21	6.30	6.30	6.00	6.01	1068780	10376655.00
2011/12/22	5.95	6.07	5.72	6.05	1538285	14281613.00
2011/12/23	6.03	6.71	5.97	6.52	8146159	83825888.00
2011/12/26	6.42	6.53	6.16	6.17	4167526	41518648.00
2011/12/27	6.15	6.44	6.00	6.27	3202119	31248344.00
2011/12/28	6.14	6.58	6.09	6.55	4593917	45929952.00
2011/12/29	6.46	6.64	6.43	6.51	3072138	31481312.00
2011/12/30	6.51	6.61	6.46	6.51	2254134	23005610.00
2012/01/04	6.56	6.59	6.18	6.20	1817617	18160860.00
2012/01/05	6.19	6.38	6.01	6.13	2174374	21062092.00
2012/01/06	6.03	6.24	6.03	6.21	1410693	13579437.00
2012/01/09	6.21	6.54	6.12	6.51	6379582	63872332.00
2012/01/10	6.45	6.98	6.41	6.86	7841624	82550656.00
2012/01/11	6.79	6.89	6.67	6.76	4047907	42778072.00
2012/01/12	6.76	6.87	6.66	6.71	3606044	38013808.00
2012/01/13	6.73	6.73	6.38	6.51	3179160	32488076.00
2012/01/16	6.42	6.63	6.30	6.30	2431349	24612104.00
2012/01/17	6.26	6.77	6.24	6.73	5215046	53492096.00
2012/01/18	6.73	6.83	6.56	6.58	4142312	43433932.00
2012/01/19	6.58	6.71	6.53	6.61	4045093	41753968.00
2012/01/20	6.64	6.80	6.59	6.78	4570027	47776884.00
2012/01/30	6.75	6.85	6.66	6.67	3288422	34627912.00
2012/01/31	6.68	6.71	6.54	6.62	1689964	17427200.00
2012/02/01	6.62	6.71	6.51	6.51	1875455	19343936.00
2012/02/02	6.51	6.67	6.50	6.67	2296559	23640356.00
2012/02/03	6.64	6.76	6.58	6.73	3352315	35042468.00
2012/02/06	6.76	6.76	6.66	6.71	2547168	26682620.00
2012/02/07	6.65	6.69	6.53	6.56	2243414	23117648.00
2012/02/08	6.58	6.89	6.56	6.77	4281481	44776800.00
2012/02/09	6.76	6.89	6.71	6.85	6405044	67995528.00
2012/02/10	6.80	7.01	6.77	6.94	5733166	61814868.00
2012/02/13	6.83	7.10	6.80	7.10	5953734	64775848.00
2012/02/14	7.02	7.20	6.97	7.08	4411488	48507044.00
2012/02/15	7.06	7.39	6.94	7.21	4734218	52806904.00
2012/02/16	7.21	7.44	7.17	7.25	7946383	90052920.00
2012/02/17	7.25	7.30	7.18	7.21	2926284	32814124.00
2012/02/20	7.32	7.38	7.27	7.37	4263117	48272560.00
2012/02/21	7.37	7.37	7.17	7.33	2615132	29557104.00
2012/02/22	7.35	7.42	7.24	7.37	3620159	41149052.00
2012/02/23	7.35	7.63	7.35	7.48	5126959	59449912.00
2012/02/24	7.46	7.69	7.46	7.56	4513365	52940996.00
2012/02/27	7.56	7.78	7.55	7.56	5547684	65512324.00
2012/02/28	7.54	7.62	7.42	7.52	3118691	36374668.00
2012/02/29	7.56	7.57	7.26	7.32	4218240	48685640.00
2012/03/01	7.28	7.40	7.26	7.33	2761634	31464576.00
2012/03/02	7.32	7.81	7.30	7.70	4944591	58299076.00
2012/03/05	7.76	7.94	7.62	7.69	3082504	37040704.00
2012/03/06	7.76	7.96	7.48	7.77	5095183	60609880.00
2012/03/07	7.62	7.85	7.57	7.64	2236281	26711068.00
2012/03/08	7.64	7.85	7.64	7.83	3007605	36164960.00
2012/03/09	7.84	8.03	7.78	8.02	4656778	56983996.00
2012/03/12	8.05	8.46	7.99	8.22	4999522	63425396.00
2012/03/13	8.19	8.30	8.13	8.23	2618634	33140294.00
2012/03/14	8.25	8.37	7.80	7.88	4737039	58551072.00
2012/03/15	7.91	7.96	7.62	7.77	3214721	38484380.00
2012/03/16	7.70	7.96	7.70	7.92	3201888	38874584.00
2012/03/19	7.91	8.21	7.78	8.17	3613014	45032408.00
2012/03/20	8.18	8.19	7.76	7.78	4228644	51547024.00
2012/03/21	7.84	7.87	7.55	7.63	3550033	42074764.00
2012/03/22	7.69	7.69	7.44	7.52	2899939	33765048.00
2012/03/23	7.52	7.56	7.37	7.46	2873523	33269468.00
2012/03/26	7.51	7.57	7.46	7.56	5113097	59493956.00
2012/03/27	7.63	8.35	7.63	8.07	16025082	195628928.00
2012/03/28	7.96	8.30	7.77	7.94	14541700	178635568.00
2012/03/29	7.73	8.04	7.49	7.63	10841331	129409944.00
2012/03/30	7.53	7.89	7.30	7.69	12981620	151725856.00
2012/04/05	7.67	8.11	7.56	7.90	14881599	177874528.00
2012/04/06	7.82	7.87	7.63	7.71	7102944	84785008.00
2012/04/09	7.64	7.64	7.36	7.38	4617316	53402664.00
2012/04/10	7.30	7.42	7.06	7.38	4855523	54449960.00
2012/04/11	7.21	7.46	7.19	7.43	2975601	33982052.00
2012/04/12	7.43	7.58	7.42	7.55	3256341	37875704.00
2012/04/13	7.57	7.71	7.53	7.62	3741247	44097500.00
2012/04/16	7.62	7.64	7.52	7.55	2700080	31637568.00
2012/04/17	7.53	7.60	7.39	7.48	2381701	27592452.00
2012/04/18	7.55	7.90	7.55	7.89	7738876	92579936.00
2012/04/19	7.80	8.02	7.79	7.85	5499499	66930512.00
2012/04/20	7.83	7.94	7.83	7.91	3223383	39274712.00
2012/04/23	7.96	7.97	7.71	7.76	3123209	37567968.00
2012/04/24	7.69	7.83	7.49	7.81	4331505	51386844.00
2012/04/25	7.82	8.08	7.70	7.98	5717522	70034792.00
2012/04/26	7.99	8.08	7.91	7.96	3339452	41107152.00
2012/05/02	8.12	8.17	7.99	8.14	5685234	70947272.00
