600768 宁波富邦 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	11.08	11.75	10.94	11.61	3737755	42331440.00
2011/10/11	11.60	12.20	11.20	11.52	6533191	76318256.00
2011/10/12	11.64	11.80	10.96	11.77	4582488	52581512.00
2011/10/13	11.65	12.04	11.53	11.90	4334954	51217696.00
2011/10/14	11.72	11.91	11.45	11.55	3099386	36129048.00
2011/10/18	11.18	11.18	10.59	10.61	4356975	47161220.00
2011/10/19	10.58	10.70	10.31	10.41	1693144	17756032.00
2011/10/20	10.41	10.57	10.09	10.14	1396346	14448649.00
2011/10/21	10.18	10.45	10.02	10.19	1014201	10354292.00
2011/10/24	9.97	10.15	9.34	9.85	2492414	24174796.00
2011/10/25	9.62	10.27	9.45	10.03	2714596	26830438.00
2011/10/26	9.94	10.30	9.81	10.06	3492641	35311484.00
2011/10/27	10.08	10.90	10.05	10.23	5978502	61668148.00
2011/10/28	10.63	10.63	10.10	10.36	4200635	43327584.00
2011/10/31	10.30	10.62	10.23	10.61	4142937	43232536.00
2011/11/01	10.45	10.60	10.08	10.30	5993447	61488188.00
2011/11/02	10.05	10.22	9.71	10.19	4195322	41812784.00
2011/11/03	10.20	10.59	10.08	10.52	6835765	70890672.00
2011/11/04	10.48	10.82	10.40	10.63	7338747	78090008.00
2011/11/07	10.60	10.81	10.32	10.73	5901689	62416048.00
2011/11/08	10.60	10.68	10.28	10.31	3513326	36847312.00
2011/11/09	10.31	10.53	10.11	10.44	2663957	27548776.00
2011/11/10	10.30	10.35	10.12	10.30	2448586	25035832.00
2011/11/11	10.31	10.35	10.12	10.26	1400983	14298126.00
2011/11/14	10.31	10.48	10.29	10.46	2854673	29649028.00
2011/11/15	10.41	10.64	10.31	10.61	4136869	43601552.00
2011/11/16	10.57	10.77	10.37	10.45	4095565	43472912.00
2011/11/17	10.51	10.58	10.21	10.23	2429773	25228910.00
2011/11/18	10.10	10.19	9.70	9.71	2342114	23157204.00
2011/11/21	9.61	9.80	9.61	9.72	1289248	12504818.00
2011/11/22	9.63	9.81	9.52	9.80	1188485	11479987.00
2011/11/23	9.80	10.09	9.72	10.05	2744885	27284796.00
2011/11/24	9.98	10.10	9.82	9.95	2307833	22962984.00
2011/11/25	9.93	10.04	9.72	9.99	1626421	16092428.00
2011/11/28	9.99	10.20	9.72	9.87	2200738	21755292.00
2011/11/29	9.98	10.00	9.75	9.90	1601424	15774913.00
2011/11/30	9.92	9.92	9.04	9.13	2207036	20785972.00
2011/12/01	9.39	9.62	9.26	9.27	1571105	14796494.00
2011/12/02	9.19	9.26	8.75	8.89	1753936	15694431.00
2011/12/05	8.97	8.98	8.36	8.38	1158299	9917843.00
2011/12/06	8.41	8.49	8.21	8.31	956203	7952235.00
2011/12/07	8.37	8.40	8.21	8.30	1281849	10627555.00
2011/12/08	8.30	8.33	7.90	8.14	1316243	10747862.00
2011/12/09	8.05	8.13	7.98	7.99	805101	6476966.00
2011/12/12	8.06	8.12	7.98	7.99	787815	6341403.00
2011/12/13	7.98	7.99	7.43	7.52	1326659	10015766.00
2011/12/14	7.45	7.58	7.21	7.30	1055964	7853211.00
2011/12/15	7.30	7.30	6.90	6.92	1153644	8128701.00
2011/12/16	6.92	7.16	6.86	7.14	898601	6287667.00
2011/12/19	7.03	7.15	6.88	7.09	954640	6706698.00
2011/12/20	7.06	7.56	7.05	7.24	2220474	16318470.00
2011/12/21	7.30	7.39	7.02	7.04	1318429	9500041.00
2011/12/22	6.90	6.96	6.52	6.80	1101966	7429097.00
2011/12/23	6.82	7.48	6.78	7.48	3553033	26388532.00
2011/12/26	7.53	7.70	7.41	7.60	5377133	40558224.00
2011/12/27	7.45	7.50	7.20	7.21	2487614	18221980.00
2011/12/28	7.10	7.93	7.06	7.93	5093229	38459224.00
2011/12/29	8.05	8.10	7.75	7.94	6042247	47873164.00
2011/12/30	7.86	8.05	7.80	7.94	4242370	33676904.00
2012/01/04	7.94	8.03	7.57	7.64	2865053	22382700.00
2012/01/05	7.52	8.34	7.52	7.89	6898356	55070956.00
2012/01/06	7.71	8.00	7.10	7.88	5092168	38099696.00
2012/01/09	7.79	8.28	7.59	8.27	5697178	45920360.00
2012/01/10	8.18	8.63	8.12	8.58	6520992	54893212.00
2012/01/11	8.48	8.86	8.28	8.84	6609827	56362352.00
2012/01/12	8.68	8.90	8.52	8.57	5216907	45385472.00
2012/01/13	8.60	8.69	8.20	8.27	3295998	27625630.00
2012/01/16	8.23	8.23	7.89	7.98	2008297	16142459.00
2012/01/17	7.98	8.77	7.72	8.73	5131187	42991864.00
2012/01/18	8.75	9.10	8.38	8.39	5969963	52287576.00
2012/01/19	8.20	8.38	7.83	8.19	4826597	39202296.00
2012/01/20	8.11	8.19	7.98	8.12	2504351	20233384.00
2012/01/30	8.16	8.25	8.09	8.12	1927691	15721503.00
2012/01/31	8.07	8.20	7.85	7.99	2014260	16151997.00
2012/02/01	7.93	8.01	7.72	7.75	1653755	13017936.00
2012/02/02	7.79	7.93	7.62	7.92	1959544	15286741.00
2012/02/03	7.86	8.11	7.84	8.06	2254944	18040992.00
2012/02/06	8.07	8.38	8.03	8.35	4079625	33604208.00
2012/02/07	8.30	8.30	8.04	8.22	2678106	21860916.00
2012/02/08	8.23	8.80	8.17	8.59	5648848	48235356.00
2012/02/09	8.41	8.74	8.33	8.50	4677739	39954920.00
2012/02/10	8.52	8.65	8.30	8.34	3547176	30036868.00
2012/02/13	8.38	9.17	8.37	9.17	6430924	57886212.00
2012/02/14	9.58	9.98	9.31	9.81	15224519	146582416.00
2012/02/15	9.63	10.55	9.50	10.19	11923508	119417976.00
2012/02/16	10.02	10.90	9.83	10.43	11313622	118196488.00
2012/02/17	10.38	10.54	10.12	10.30	6295412	64783800.00
2012/02/20	10.36	10.60	10.16	10.28	6635294	68664560.00
2012/02/21	10.25	10.57	10.02	10.48	7243502	74898048.00
2012/02/22	10.43	10.67	10.21	10.59	10184870	106259784.00
2012/02/23	10.60	10.80	10.31	10.42	9550641	100602464.00
2012/02/24	10.49	10.50	10.23	10.37	6650635	68695704.00
2012/02/27	10.37	10.53	10.21	10.27	8189543	84938976.00
2012/02/28	10.11	10.26	9.78	9.88	6402094	63664664.00
2012/02/29	9.89	10.09	9.78	9.90	4317093	42878960.00
2012/03/01	9.85	10.05	9.80	9.95	3861085	38413456.00
2012/03/02	10.00	10.16	9.95	10.10	3846077	38729108.00
2012/03/05	10.13	10.17	9.90	9.93	3629961	36332608.00
2012/03/06	9.86	10.11	9.78	10.08	4510850	44864604.00
2012/03/07	10.02	10.02	9.78	9.80	3036446	30076124.00
2012/03/08	9.80	10.10	9.80	9.94	3934336	39271500.00
2012/03/09	9.97	10.05	9.70	9.91	8850283	87017408.00
2012/03/12	9.86	10.01	9.80	9.93	5720701	56618048.00
2012/03/13	9.90	10.02	9.78	9.99	5759237	57044624.00
2012/03/14	10.00	10.25	9.30	9.32	10214147	101079848.00
2012/03/15	9.20	9.30	8.42	8.81	6371682	56436484.00
2012/03/16	8.82	8.97	8.61	8.97	3703728	32758036.00
2012/03/19	8.90	9.10	8.86	9.09	3500404	31472220.00
2012/03/20	9.05	9.05	8.80	8.85	2700529	24003066.00
2012/03/21	8.82	9.30	8.82	9.02	3614778	32776752.00
2012/03/22	8.96	9.07	8.80	8.89	1878863	16751058.00
2012/03/23	8.88	8.89	8.43	8.48	2602022	22390706.00
2012/03/26	8.48	8.59	8.40	8.45	1303535	11049212.00
2012/03/27	8.50	8.73	8.50	8.55	1910981	16422245.00
2012/03/28	8.56	8.56	7.83	7.88	2516325	20470884.00
2012/03/29	7.88	7.88	7.56	7.62	2264722	17427704.00
2012/03/30	7.68	7.83	7.62	7.69	2292650	17698736.00
2012/04/05	7.69	7.93	7.62	7.91	2753785	21512120.00
2012/04/06	7.89	8.38	7.85	8.19	4373128	35398336.00
2012/04/09	8.07	8.15	7.90	7.91	2470313	19811128.00
2012/04/10	7.90	8.03	7.65	7.99	2148593	16806734.00
2012/04/11	7.88	8.34	7.80	8.27	4140557	33787024.00
2012/04/12	8.22	8.69	8.10	8.58	6857418	58247392.00
2012/04/13	8.41	8.62	8.41	8.49	4489875	38130576.00
2012/04/16	8.36	8.88	8.28	8.62	5563177	48420848.00
2012/04/17	8.52	8.90	8.31	8.60	4598600	39412572.00
2012/04/18	8.61	8.85	8.46	8.82	4784659	41561544.00
2012/04/19	8.97	9.23	8.69	8.90	7927998	71279760.00
2012/04/20	8.72	8.91	8.61	8.80	4877281	42689920.00
2012/04/23	8.70	8.75	8.39	8.48	3782233	32401378.00
2012/04/24	8.31	8.56	7.95	8.37	3729059	30725654.00
2012/04/25	8.36	8.79	8.18	8.66	5948659	50961756.00
2012/04/26	8.60	8.95	8.55	8.66	6187401	54158992.00
2012/04/27	8.58	8.79	8.47	8.47	3124697	26891216.00
2012/05/02	8.52	8.73	8.30	8.59	4257034	36345532.00
2012/05/03	8.53	8.85	8.50	8.77	5100733	44521484.00
2012/05/04	8.77	8.79	8.56	8.70	3134245	27191364.00
2012/05/07	8.61	8.74	8.46	8.57	3096598	26503192.00
2012/05/08	8.56	8.63	8.41	8.51	2671452	22728280.00
2012/05/09	8.44	8.44	8.15	8.16	3386189	27854364.00
2012/05/10	8.14	8.27	8.11	8.18	1627243	13326216.00
2012/05/11	8.18	8.28	8.10	8.11	1560131	12753522.00
2012/05/14	8.16	8.23	8.07	8.11	1539550	12558869.00
2012/05/15	8.04	8.04	7.83	7.95	1806656	14263071.00
2012/05/16	8.01	8.01	7.85	7.86	1262100	9998817.00
2012/05/17	7.78	8.06	7.78	8.01	1545840	12317346.00
2012/05/18	8.03	8.27	7.99	8.02	2397268	19434920.00
2012/05/21	7.90	8.08	7.83	8.00	1063014	8499501.00
2012/05/22	8.04	8.13	8.00	8.08	1266860	10209044.00
2012/05/23	8.07	8.07	7.89	7.92	1349526	10754066.00
2012/05/24	7.89	8.00	7.86	7.90	1117888	8855898.00
2012/05/25	7.85	7.94	7.60	7.65	1794812	13871885.00
2012/05/29	7.83	8.42	7.83	8.42	5008084	41220684.00
2012/05/30	8.60	8.75	8.42	8.49	9537703	81686120.00
2012/05/31	8.27	8.40	8.22	8.31	3820206	31752780.00
2012/06/01	8.23	8.38	8.23	8.26	2774846	23057504.00
2012/06/04	8.08	8.14	7.81	7.84	2962697	23631072.00
2012/06/05	7.83	7.95	7.78	7.89	1718111	13526036.00
2012/06/06	7.88	8.04	7.86	7.93	1550434	12321772.00
2012/06/07	7.98	8.04	7.82	7.86	1527039	12116068.00
2012/06/08	7.98	7.99	7.71	7.72	1233039	9650412.00
2012/06/11	7.73	7.90	7.65	7.84	1291220	10068787.00
2012/06/12	7.79	7.79	7.63	7.73	1369475	10549296.00
2012/06/13	7.78	7.85	7.65	7.83	1888017	14632784.00
2012/06/14	7.79	7.91	7.75	7.81	1438947	11258095.00
2012/06/15	7.77	7.89	7.65	7.79	1667765	12956614.00
2012/06/18	7.85	7.92	7.81	7.87	1525125	12006190.00
2012/06/19	7.89	7.89	7.75	7.77	1295203	10107340.00
