600771 广誉远 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.29	8.59	8.24	8.44	2229092	18771996.00
2011/10/11	8.60	8.86	8.53	8.57	5531959	48423504.00
2011/10/12	8.52	8.83	8.51	8.78	2895803	25284252.00
2011/10/13	8.78	9.16	8.68	8.93	3348638	29848960.00
2011/10/14	8.91	9.12	8.81	9.03	2433818	21884712.00
2011/10/17	9.03	9.14	8.85	8.97	1532425	13770078.00
2011/10/18	8.83	8.99	8.52	8.52	2426800	21061264.00
2011/10/19	8.34	8.56	8.25	8.31	2186986	18288448.00
2011/10/20	8.29	8.40	7.89	7.99	2587141	20853892.00
2011/10/21	8.00	8.07	7.67	7.77	1668489	13112061.00
2011/10/24	7.80	8.03	7.65	8.00	2329276	18327932.00
2011/10/25	8.00	8.25	7.98	8.20	3188453	25840524.00
2011/10/26	8.15	8.36	8.08	8.24	3020514	25047420.00
2011/10/27	8.26	8.35	8.16	8.24	2149448	17711930.00
2011/10/28	8.31	8.42	8.22	8.36	2417692	20137408.00
2011/10/31	8.33	8.33	8.09	8.25	3188027	26072924.00
2011/11/01	8.21	8.66	8.10	8.66	7774700	66169932.00
2011/11/02	8.55	8.97	8.51	8.90	7452370	65937704.00
2011/11/03	8.90	9.35	8.80	9.35	9567752	88457776.00
2011/11/04	9.36	9.81	9.30	9.38	7517068	71569424.00
2011/11/07	9.38	9.65	9.28	9.54	4324655	41216488.00
2011/11/08	9.55	9.55	9.29	9.38	4628884	43379740.00
2011/11/09	9.34	9.80	9.31	9.70	7181907	68885072.00
2011/11/10	9.54	9.90	9.22	9.70	5181669	50154700.00
2011/11/11	9.60	9.76	9.43	9.61	3222201	30958568.00
2011/11/14	9.60	9.84	9.59	9.77	4329245	42059872.00
2011/11/15	9.79	10.25	9.70	10.20	6585471	66542096.00
2011/11/16	10.20	10.49	10.02	10.05	6505196	66469856.00
2011/11/17	10.19	10.24	9.85	10.00	3360391	33640600.00
2011/11/18	9.99	9.99	9.50	9.50	4345617	41792640.00
2011/11/21	9.40	9.47	9.10	9.44	2853058	26586912.00
2011/11/22	9.30	9.69	9.23	9.64	2869547	27142992.00
2011/11/23	9.62	9.90	9.57	9.62	3239500	31543136.00
2011/11/24	9.48	9.81	9.35	9.61	2335805	22429432.00
2011/11/25	9.56	9.78	9.45	9.48	2050422	19671940.00
2011/11/28	9.54	9.56	9.23	9.37	1764660	16546806.00
2011/11/29	9.41	9.59	9.41	9.57	1742264	16587266.00
2011/11/30	9.57	9.57	9.09	9.09	3229592	29769200.00
2011/12/01	9.37	9.45	9.18	9.24	2248126	20978496.00
2011/12/02	9.19	9.24	8.78	8.78	3169501	28139536.00
2011/12/05	8.68	8.68	8.34	8.34	3125447	26239916.00
2011/12/06	8.10	8.48	8.10	8.38	2531872	21082352.00
2011/12/07	8.37	8.80	8.37	8.80	3987782	34602312.00
2011/12/08	8.82	8.88	8.58	8.70	2371632	20682956.00
2011/12/09	8.55	8.82	8.55	8.66	1402529	12182637.00
2011/12/12	8.59	8.77	8.56	8.63	1311277	11326878.00
