600773 西藏城投 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	16.93	17.12	16.48	16.52	1335147	22432296.00
2011/10/11	17.03	17.16	16.05	16.36	2435825	40572896.00
2011/10/12	16.13	16.94	16.08	16.92	2540630	42544912.00
2011/10/13	16.91	17.29	16.74	17.17	2854613	49070852.00
2011/10/14	16.96	17.15	16.55	16.72	2719094	45701616.00
2011/10/17	16.72	17.03	16.65	16.77	1591542	26895788.00
2011/10/18	16.59	16.73	15.91	15.93	2651052	43029700.00
2011/10/19	16.09	16.13	14.88	14.93	5500816	83919440.00
2011/10/20	14.93	15.41	14.73	14.78	4634531	70008736.00
2011/10/21	14.73	15.21	14.18	14.73	3588069	53357000.00
2011/10/24	14.53	14.86	13.71	14.52	4862886	69752408.00
2011/10/25	14.52	14.95	14.05	14.89	7605959	111626376.00
2011/10/26	14.69	15.16	14.53	14.93	5931213	88788288.00
2011/10/27	15.13	15.26	14.63	14.77	4363312	65530992.00
2011/10/28	15.03	15.33	14.94	15.18	6162285	93597392.00
2011/10/31	15.19	16.03	15.05	15.68	8252802	130170760.00
2011/11/01	15.43	15.90	15.28	15.57	5190859	81506560.00
2011/11/02	15.33	15.60	14.78	15.45	7406513	112628912.00
2011/11/03	15.56	16.42	15.45	15.85	10087047	160644816.00
2011/11/04	15.89	16.23	15.69	15.83	7301572	116681704.00
2011/11/07	15.83	16.13	15.61	15.64	3355693	53298416.00
2011/11/08	15.64	15.75	15.09	15.19	4314181	66879932.00
2011/11/09	15.19	15.43	14.88	15.28	3734213	56848652.00
2011/11/10	15.05	15.12	14.71	14.73	3894902	58344424.00
2011/11/11	14.78	14.95	14.73	14.88	2142983	31929926.00
2011/11/14	15.03	16.21	15.03	16.04	11860816	187153440.00
2011/11/15	16.06	16.08	15.60	15.88	8578284	135980192.00
2011/11/16	15.75	15.83	15.21	15.27	5972367	92522168.00
2011/11/17	15.27	15.40	15.01	15.06	3375022	51399416.00
2011/11/18	14.94	15.06	14.36	14.40	4227350	62171928.00
2011/11/21	14.48	14.63	14.23	14.47	2182356	31636032.00
2011/11/22	14.29	14.45	14.15	14.35	2487708	35732136.00
2011/11/23	14.36	14.56	14.11	14.15	2338373	33615392.00
2011/11/24	13.95	14.18	13.59	13.82	3428864	47733936.00
2011/11/25	13.83	14.04	13.38	13.53	5252338	72075120.00
2011/11/28	13.54	13.72	12.91	13.01	7021574	92837360.00
2011/11/29	13.18	14.07	12.88	13.66	9937677	134031008.00
2011/11/30	13.54	13.54	12.71	12.92	8020397	105539712.00
2011/12/01	13.28	13.65	13.08	13.21	7914207	106436784.00
2011/12/02	13.10	13.17	12.68	12.81	3325547	43032980.00
2011/12/05	12.83	12.86	11.98	12.19	4779677	59145748.00
2011/12/06	12.13	12.32	12.01	12.24	3845143	47028720.00
2011/12/07	12.35	12.38	12.13	12.32	2535739	31317606.00
2011/12/08	12.16	12.44	12.08	12.27	2695854	33249974.00
2011/12/09	12.09	12.35	12.04	12.19	1920619	23576732.00
2011/12/12	12.10	12.28	11.94	12.03	2713630	33091108.00
2011/12/13	11.89	12.00	11.25	11.34	4252435	49379656.00
2011/12/14	11.36	11.50	10.85	10.95	2622006	29502300.00
2011/12/15	10.73	10.82	10.14	10.19	4119723	43463788.00
2011/12/16	10.21	10.63	9.94	10.53	5554963	56964912.00
2011/12/19	10.33	10.36	9.81	10.28	5004805	51087012.00
2011/12/20	10.39	11.32	10.39	11.32	7762318	87248960.00
2011/12/21	11.73	11.73	10.83	10.89	14235647	161381232.00
2011/12/22	10.45	11.08	9.96	10.97	8643518	91220320.00
2011/12/23	10.81	11.53	10.64	11.14	10817350	122437872.00
2011/12/26	11.04	11.24	10.55	10.59	6330697	69589800.00
2011/12/27	10.51	10.62	10.13	10.18	5259613	54558068.00
2011/12/28	10.08	10.68	9.99	10.61	5387038	55905568.00
2011/12/29	10.47	11.57	10.43	11.13	13019832	145804384.00
2011/12/30	11.07	11.38	10.94	11.28	8293692	93689072.00
2012/01/04	11.43	11.62	10.61	10.64	7872200	88802256.00
2012/01/05	10.51	11.71	10.43	11.71	15033210	172702720.00
2012/01/06	11.71	12.13	11.20	12.12	23730460	278472672.00
2012/01/09	11.83	12.59	11.73	12.54	17439377	213856288.00
